Planet,A_H
EPIC 220674823 c,12.10028286413738
G 9-40 b,13.418480945446603
GJ 1214 b,12.606467870985545
GJ 3090 b,14.114736601573295
GJ 9827 d,14.225367147063274
HD 135694 b,12.731977916725036
HD 15337 b,10.749373256866095
HD 15337 c,12.481925594025668
HD 191939 c,12.83933075863877
HD 191939 d,16.926049338476354
HD 23472 b,12.274809276869282
HD 23472 c,13.717531670595651
HD 235088 b,12.807364429901156
HD 28109 b,12.236891552213521
HD 42813 b,12.148949155252854
HD 73583 c,12.56784734368548
HIP 116454 b,11.452358720890896
HIP 29442 d,11.03286952110714
HIP 8152 b,11.198471494946201
K2-138 d,11.010524747948304
K2-138 f,35.609988126823694
K2-138 g,14.517942749204616
K2-146 b,12.622120803191176
K2-18 b,12.933926240184089
K2-199 b,10.842960928157849
K2-222 b,11.098015724494994
K2-229 c,11.421620796071483
K2-266 d,12.743560915789917
K2-277 b,10.833449276137832
K2-285 b,10.483282325999905
K2-3 b,13.152471517392259
K2-3 c,13.795416530592844
K2-32 c,12.631820970457387
K2-32 d,13.589262206476082
K2-36 c,12.130675944938515
K2-38 c,10.991396152580917
K2-73 b,10.683316048214362
KOI-142 b,11.923850018018486
Kepler-102 e,13.166209927890375
Kepler-11 b,19.149355119623724
Kepler-11 c,19.148915997916845
Kepler-11 d,12.623304667339266
Kepler-11 f,18.527103874501428
Kepler-114 c,13.626830992208289
Kepler-114 d,14.231388501944778
Kepler-128 c,12.407360069132507
Kepler-138 c,14.034526980101859
Kepler-138 d,14.184442861815416
Kepler-1655 b,12.050298491924705
Kepler-177 b,13.847418188430877
Kepler-19 b,11.826025375115048
Kepler-23 d,12.885613031488193
Kepler-24 c,10.769512849375255
Kepler-26 b,13.789874647517562
Kepler-26 c,13.495848479090142
Kepler-28 b,20.678662439874266
Kepler-28 c,16.070025548312664
Kepler-289 b,14.364663575832214
Kepler-289 d,13.904101490128921
Kepler-29 b,13.123067684016071
Kepler-29 c,13.273943268401064
Kepler-305 c,13.418521833675676
Kepler-305 d,12.972086668340129
Kepler-307 b,11.844036612602638
Kepler-307 c,13.872737386953707
Kepler-36 c,13.129771854773749
Kepler-454 b,12.338449905635152
Kepler-48 b,12.656367385213661
Kepler-48 d,12.611022346006202
Kepler-49 b,11.996649351993938
Kepler-49 c,12.50703859702362
Kepler-57 c,11.913416405795443
Kepler-60 d,12.671294274474437
Kepler-79 c,14.13025801448504
Kepler-79 e,15.474674177378198
Kepler-80 b,12.38520651776092
Kepler-80 c,12.713124361885574
Kepler-80 d,10.615852915478614
Kepler-80 e,12.11003324240032
Kepler-81 c,13.698864113320736
Kepler-83 b,16.297273783165483
Kepler-83 c,16.563549569076944
Kepler-85 b,18.855048379996504
Kepler-85 c,17.116059173365215
Kepler-92 c,12.329337396818548
Kepler-96 b,11.71317538115081
L 168-9 b,11.869078039342687
L 98-59 d,15.352689705998197
LHS 1140 b,12.667688316835482
LTT 3780 c,13.107521138058692
Ross 176 b,12.557686776061047
TOI-1064 c,17.554375303112845
TOI-1136 c,12.431253322221025
TOI-1136 e,12.640392325317567
TOI-1136 f,12.514566250351214
TOI-1136 g,13.179133287547717
TOI-1184 b,11.99053782791752
TOI-1201 b,12.391877767732565
TOI-1203 d,12.338708358460936
TOI-1244 b,12.144356538038725
TOI-125 b,10.774905937178284
TOI-125 c,12.288897464639623
TOI-1260 b,11.171647012108332
TOI-1266 b,13.903966266093388
TOI-1266 c,13.948856844540149
TOI-1422 b,12.059728395842315
TOI-1437 b,10.994314674454056
TOI-1438 b,11.2173082485258
TOI-1452 b,13.072810956738085
TOI-1468 c,13.66756613813221
TOI-1470 b,11.816436391724304
TOI-1470 c,13.236741984730301
TOI-1634 b,10.76573685136906
TOI-1648 b,11.840132220904637
TOI-1695 b,11.92962135765262
TOI-1742 b,11.364453097591031
TOI-1758 b,13.509185432789003
TOI-178 c,11.871372335622985
TOI-178 d,13.270862417909264
TOI-178 e,14.284252946936718
TOI-178 f,13.208409731195665
TOI-178 g,14.34491908107938
TOI-1794 b,11.554564934721679
TOI-1798.01,12.061116205402179
TOI-1799 b,11.966593282532527
TOI-1801 b,12.972216462939594
TOI-2015 b,12.909325865999406
TOI-2136 b,13.16924417473885
TOI-2345 c,12.743090184555848
TOI-244 b,13.712950370985412
TOI-2443 b,13.502720338295802
TOI-260 b,13.121716602841916
TOI-269 b,12.524908117743095
TOI-270 c,13.072325009879362
TOI-270 d,13.556428047245296
TOI-283 b,12.370134229580565
TOI-286 c,13.550858792499113
TOI-406.01,13.105372364272068
TOI-421 b,11.808059779612277
TOI-431 d,12.31925402515986
TOI-4438 b,13.471632248760633
TOI-521 b,12.06827571396998
TOI-544 b,15.774367087809027
TOI-561 c,12.87426221861297
TOI-654.01,11.38905633615892
TOI-663 b,13.153485405639035
TOI-663 c,14.020472882856568
TOI-733 b,11.305134870424387
TOI-756 b,11.019593499328346
TOI-763 b,10.395717914625378
TOI-763 c,11.496014585379577
TOI-776 b,12.894861120737774
TOI-776 c,12.913058917709625
TOI-815 b,12.455657041893183
TOI-836 b,11.87534314923064
TOI-836 c,11.93926627050724
TOI-912 b,12.880543056381649
TOI-969 b,10.834100529459162
Wolf 503 b,11.762964063079574
