pl_name,pl_orbper,no_of_transits,pl_orbsmax,pl_bmasse,pl_rade,pl_radelim,pl_radeerr1,pl_radeerr2,pl_trandep,pl_trandur,pl_bmasselim,pl_bmasseerr2,pl_bmasseerr1,pl_orbeccen,pl_orbincl,st_rad,st_mass,st_teff,pl_ratror,st_met,st_metlim,sy_jmag,pl_controv_flag,st_logg,st_tefferr1,st_tefferr2,st_raderr1,st_raderr2,pl_orbsmaxerr1,pl_orbsmaxerr2,sy_jmagerr1,sy_jmagerr2,pl_bmasseerr_avg,pl_radeerr_avg,st_tefferr_avg,st_raderr_avg,pl_orbsmaxerr_avg,sy_jmagerr_avg,g_planet_cgs,g_planet_cgs_err,pl_Teq,pl_Teq_err,pl_tsm,pl_tsm_err
GJ 1214 b,1.580404531,1,0.01505,8.41,2.733,0,0.033,-0.031,1.343,0.86966,0,-0.35,0.36,0.0062,88.98,0.2162,0.182,3101.0,0.11589,0.24,0,9.75,0,5.0286,43.0,-43.0,0.0025,-0.0024,0.00011,-0.00011,0.024,-0.024,0.355,0.032,43.0,0.00245,0.00011,0.024,1105.673867,53.37327767,518.4051725,7.99318003,380.584758,23.73469099
GJ 3090 b,2.8531054,1,0.03165,3.34,2.13,0,0.11,-0.11,0.1395,1.281,0,-0.72,0.72,0.32,87.14,0.516,0.519,3556.0,0.0379,-0.06,0,8.168,0,4.727,70.0,-70.0,0.016,-0.016,0.00027,-0.00027,0.021,-0.021,0.72,0.11,70.0,0.016,0.00027,0.021,722.9322058,172.8065239,633.2974086,16.09702749,201.5910265,55.2295478
HD 191939 c	28.579743	1	0.1752	8	3.195	0	0.075	-0.075	0.10813969	4.162	0	-1	1	0.034	89.1	0.94	0.81	5348	0.03118	-0.15	0	7.597	0	4.3	100	-100	0.02	-0.02	0.0055	-0.005	0.029	-0.029	1	0.075	100	0.02	0.00525	0.029	769.5885091	102.7599471	546.3818188	14.32413514	97.58276113	14.88281403
HD 42813 b,13.6308205,1,0.111,9.1,3.41,0,0.046,-0.046,0.11791033,4.327,0,-0.79,0.82,0.0,89.3,0.98,0.901,5289.0,0.03195,0.24,0,8.056,0,4.39,69.0,-69.0,0.007,-0.007,0.002,-0.002,0.029,-0.029,0.805,0.046,69.0,0.007,0.002,0.029,768.4983633,71.07399145,693.1593415,11.26493787,98.5400194,9.907929246
L 98-59 d,7.450729,1,0.0494,1.64,1.627,0,0.041,-0.041,0.1445,0.84,0,-0.07,0.07,0.006,88.44,0.3155,0.2923,3415.0,0.0448,-0.46,0,7.933,0,4.91,60.0,-60.0,0.0062,-0.0062,0.0016,-0.0016,0.027,-0.027,0.07,0.041,60.0,0.0062,0.0016,0.027,608.3857802,40.18084187,380.6579289,9.83460682,327.8124994,32.62331467
LHS 1140 b,24.73723,1,0.0946,5.6,1.73,0,0.025,-0.025,0.538,2.15,0,-0.19,0.19,0.043,89.86,0.2159,0.1844,3096.0,0.0739,-0.15,0,9.612001,0,5.041,48.0,-48.0,0.003,-0.003,0.0017,-0.0017,0.023,-0.023,0.19,0.025,48.0,0.003,0.0017,0.023,1837.410244,81.89282407,206.2954598,3.964814103,61.64601574,4.035096942
TOI-1136 c,6.2574,1,0.0669,6.32,2.879,0,0.06,-0.062,0.0813,3.4880319,0,-1.3,1.1,0.11,88.8,0.968,1.022,5770.0,0.02725,0.07,0,8.363,0,4.47,50.0,-50.0,0.036,-0.036,0.0005,-0.0005,0.02,-0.02,1.2,0.061,50.0,0.036,0.0005,0.02,748.7624576,145.6677388,968.0736472,20.18685944,106.1147046,22.79474618
TOI-1260 b,3.127463,1,0.0367,8.56,2.41,0,0.05,-0.05,0.1082,2.06,0,-1.54,1.54,0.0,89.03,0.672,0.679,4227.0,0.0329,-0.1,0,9.698,0,4.57,85.0,-85.0,0.01,-0.01,0.0011,-0.0011,0.023,-0.023,1.54,0.05,85.0,0.01,0.0011,0.023,1447.27144,267.209179,797.7959316,20.86990491,41.83128246,8.146102861
TOI-1422 b,12.99894,1,0.107,9.5,3.83,0,0.11,-0.11,0.13395838,4.46,0,-1.9,2.0,0.2,89.53,1.019,0.9903,5840.0,0.0356,-0.028,0,9.585,0,4.412,62.0,-62.0,0.014,-0.013,0.003,-0.003,0.022,-0.022,1.95,0.11,62.0,0.0135,0.003,0.022,635.9696197,135.5562368,794.9064397,14.93729936,70.15365999,15.79854473
TOI-1438 b,5.13967,1,0.0553,9.4,3.04,0,0.19,-0.19,0.07695997,1.04,0,-1.8,1.8,0.0,86.21,0.82,0.876,5230.0,0.0341,0.03,0,9.584,0,4.5,60.0,-60.0,0.017,-0.017,0.0015,-0.0015,0.018,-0.018,1.8,0.19,60.0,0.017,0.0015,0.018,998.8286683,228.409155,888.2884484,18.26944741,61.21095799,16.65515808
