pl_name,pl_orbper,no_of_transits,pl_orbsmax,pl_bmasse,pl_rade,pl_radelim,pl_radeerr1,pl_radeerr2,pl_trandep,pl_trandur,pl_bmasselim,pl_bmasseerr2,pl_bmasseerr1,pl_orbeccen,pl_orbincl,st_rad,st_mass,st_teff,pl_ratror,st_met,st_metlim,sy_jmag,pl_controv_flag,st_logg,st_tefferr1,st_tefferr2,st_raderr1,st_raderr2,pl_orbsmaxerr1,pl_orbsmaxerr2,sy_jmagerr1,sy_jmagerr2,pl_bmasseerr_avg,pl_radeerr_avg,st_tefferr_avg,st_raderr_avg,pl_orbsmaxerr_avg,sy_jmagerr_avg,g_planet_cgs,g_planet_cgs_err,pl_Teq,pl_Teq_err,pl_tsm,pl_tsm_err,A/H,Feature Height (ppm),scale height (m)
GJ 1214 b,1.580404531,1,0.01505,8.41,2.733,0.0,0.033,-0.031,1.343,0.86966,0.0,-0.35,0.36,0.0062,88.98,0.2162,0.182,3101.0,0.11589,0.24,0.0,9.75,0.0,5.0286,43.0,-43.0,0.0025,-0.0024,0.00011,-0.00011,0.024,-0.024,0.355,0.032,43.0,0.00245,0.00011,0.024,1105.6738668774178,53.37327766932817,518.4051724509364,7.993180029666558,380.58475799071584,23.734690991627097,11.139731460885825,1362.184799583551,79351.60995951768
GJ 3090 b,2.8531054,1,0.03165,3.34,2.13,0.0,0.11,-0.11,0.1395,1.281,0.0,-0.72,0.72,0.32,87.14,0.516,0.519,3556.0,0.0379,-0.06,0.0,8.168,0.0,4.727,70.0,-70.0,0.016,-0.016,0.00027,-0.00027,0.021,-0.021,0.72,0.11,70.0,0.016,0.00027,0.021,722.9322057702495,172.80652394341482,633.2974086440051,16.097027491855087,201.5910265223682,55.22954780052977,11.998855484297742,375.0774336283187,148259.8648468228
K2-138 f,12.75758,6,0.10447,1.63,2.904,0.0,0.164,-0.111,0.085069,3.2,0.0,-1.18,2.12,0.062,88.8,0.863,0.935,5356.3,0.03085,0.14,0.0,10.756,0.0,4.54,41.8,-13.1,0.031,-0.018,0.0007,-0.00088,0.021,-0.021,1.65,0.1375,27.45,0.0245,0.00079,0.021,189.803708155302,192.97147497997503,679.0198320832703,10.564120905919202,123.7864387513892,126.74829080866589,23.679148005016703,1473.3625715773028,605468.0452906128
L 98-59 d,7.450729,1,0.0494,1.64,1.627,0.0,0.041,-0.041,0.1445,0.84,0.0,-0.07,0.07,0.006,88.44,0.3155,0.2923,3415.0,0.0448,-0.46,0.0,7.933,0.0,4.91,60.0,-60.0,0.0062,-0.0062,0.0016,-0.0016,0.027,-0.027,0.07,0.041,60.0,0.0062,0.0016,0.027,608.385780179526,40.18084186574586,380.6579289272226,9.834606820421872,327.8124994124873,32.62331466985521,13.58244495060432,619.6028110359189,105893.49614237437
LHS 1140 b,24.73723,1,0.0946,5.6,1.73,0.0,0.025,-0.025,0.538,2.15,0.0,-0.19,0.19,0.043,89.86,0.2159,0.1844,3096.0,0.0739,-0.15,0.0,9.612001,0.0,5.041,48.0,-48.0,0.003,-0.003,0.0017,-0.0017,0.023,-0.023,0.19,0.025,48.0,0.003,0.0017,0.023,1837.4102438056143,81.89282407127625,206.2954597930245,3.964814102954924,61.64601573983464,4.035096942019602,12.307803751631672,228.7682196772528,19001.898682246872
TOI-1064 c,12.226574,4,0.09429,2.5,2.651,0.0,0.043,-0.042,0.12063693,2.37,0.0,-2.0,1.8,0.088,88.455,0.726,0.748,4734.0,0.03347,0.05,0.0,9.097,0.0,4.6,67.0,-67.0,0.007,-0.007,0.00132,-0.00136,0.023,-0.023,1.9,0.0424999999999999,67.0,0.007,0.00134,0.023,349.325963634453,265.7238957413848,579.3909550668909,9.591301297596027,156.44373983611987,119.21292438188392,14.25293600884099,530.3620510150962,280707.6876974328
TOI-1136 c,6.2574,2,0.0669,6.32,2.879,0.0,0.06,-0.062,0.0813,3.4880319,0.0,-1.3,1.1,0.11,88.8,0.968,1.022,5770.0,0.02725,0.07,0.0,8.363,0.0,4.47,50.0,-50.0,0.036,-0.036,0.0005,-0.0005,0.02,-0.02,1.2000000000000002,0.061,50.0,0.036,0.0005,0.02,748.7624576060178,145.6677388172651,968.0736471778304,20.186859438498992,106.11470457862129,22.79474618026104,10.340579287262836,183.22761582509133,218815.3568474925
TOI-1260 b,3.127463,4,0.0367,8.56,2.41,0.0,0.05,-0.05,0.1082,2.06,0.0,-1.54,1.54,0.0,89.03,0.672,0.679,4227.0,0.0329,-0.1,0.0,9.698,0.0,4.57,85.0,-85.0,0.01,-0.01,0.0011,-0.0011,0.023,-0.023,1.54,0.05,85.0,0.01,0.0011,0.023,1447.2714403760838,267.2091789521189,797.7959315744145,20.86990491134148,41.831282456874405,8.146102860904312,9.736619723192238,127.7671785528372,93294.33783169172
TOI-1422 b,12.99894,1,0.107,9.5,3.83,0.0,0.11,-0.11,0.13395838,4.46,0.0,-1.9,2.0,0.2,89.53,1.019,0.9903,5840.0,0.0356,-0.028,0.0,9.585,0.0,4.412,62.0,-62.0,0.014,-0.013,0.003,-0.003,0.022,-0.022,1.95,0.11,62.0,0.0135,0.003,0.022,635.9696197338213,135.5562368057999,794.9064396922664,14.937299358257246,70.15365999007705,15.798544726678546,10.134206367412174,208.40616866215515,211540.2955597301
TOI-1438 b,5.13967,4,0.0553,9.4,3.04,0.0,0.19,-0.19,0.07695997,1.04,0.0,-1.8,1.8,0.0,86.21,0.82,0.876,5230.0,0.0341,0.03,0.0,9.584,0.0,4.5,60.0,-60.0,0.017,-0.017,0.0015,-0.0015,0.018,-0.018,1.8,0.19,60.0,0.017,0.0015,0.018,998.8286682664478,228.4091549831256,888.288448402286,18.26944741436267,61.210957991255945,16.655158083859337,9.58451391646302,171.8975793857363,150513.85422197115
TOI-1468 c,15.532477,2,0.08608,4.1,2.126,0.0,0.092,-0.093,0.276,1.86,0.0,-1.1,1.1,0.111,89.22,0.3714,0.3527,3376.0,0.0526,-0.01,0.0,9.343,0.0,4.846,45.0,-44.0,0.01,-0.01,0.00065,-0.00065,0.021,-0.021,1.1,0.0925,44.5,0.01,0.00065,0.021,890.7742391057014,251.24425048152688,309.3002161642257,5.94341003273972,89.6133873262774,27.237286096427702,12.677648518205816,302.6366475793862,58765.98717871228
TOI-1758 b,20.705074685,4,0.141409,6.9,3.62,0.0,0.337,-0.269,0.1822,3.6727,0.0,-6.3,6.2,0.0,,0.81,0.88,5169.0,0.0406,-0.02,0.0,9.315,0.0,4.53,122.0,-122.0,0.05,-0.05,0.005424,-0.005863,0.023,-0.023,6.25,0.303,122.0,0.05,0.0056435,0.023,517.061571998339,476.2842326047678,545.6554296510881,23.83363858332177,100.33097527167972,95.22375341572916,11.572659368685478,300.5652004164502,178603.38279255634
TOI-270 c,5.66051,1,0.04526,6.2,2.33,0.0,0.01,-0.01,0.38561061,1.682,0.0,-0.31,0.31,0.0044,89.36,0.38,0.386,3506.0,0.056,-0.17,0.0,9.099,0.0,4.872,70.0,-70.0,0.008,-0.008,0.00031,-0.00031,0.032,-0.032,0.31,0.01,70.0,0.008,0.00031,0.032,1121.4764545781477,56.89412371783786,448.0788038258526,10.229195450758844,120.79079113650162,8.691031361445653,11.684360681388329,336.0072878709004,67620.39474386048
