# file produced from stan branch - Group-Studies---Exoplanets\Code\filtering_code_stan.ipynb
# on 22/01/2026 at 15:08
#
# WHAT HAS BEEN DONE/FILTERED
# kept only the columns needed for analysis and uncertainty calculations
# removed planets with no measured mass, zero/invalid mass uncertainties, or flagged as mass limits
# removed planets with no measured radius, zero/invalid radius uncertainties, or flagged as radius limits
# removed planets where the host star has missing radius, mass, temperature, metallicity, or j-mag
# removed planets flagged as controversial
# removed planets where stellar temperature, radius, semi-major axis, or j-mag uncertainties are missing or zero
#
#^note: doing the line above takes out 70 planets almost all from sm axis Unc
# which are all kepler planets so faint anyway so low TSM a lot of the 
# existing values for sm axis come from KOI catalogue rather than confirmed planet catalogue
#
# computed average uncertainties for mass, radius, stellar temp, stellar radius, semi-major axis, and j-mag
# computed planet surface gravity in cgs units
# computed absolute error on planet gravity from mass and radius uncertainties
# filtered planets to only those with radii between 1.5 and 4 earth radii (sub-neptunes)
# computed equilibrium temperature (teq) assuming full heat redistribution and a bond albedo of 0.3
# computed fractional uncertainties for teq based on stellar and orbital uncertainties
# computed transmission spectroscopy metric (tsm) for each planet
# computed fractional uncertainties for tsm based on planet, stellar, and teq uncertainties
#
# INDEXED COLUMNS
#
# COLUMN pl_name:             Planet Name
# COLUMN pl_orbper:           Orbital Period [days]
# COLUMN pl_orbsmax:          Orbit Semi-Major Axis [au]
# COLUMN pl_bmasse:           Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_rade:             Planet Radius [Earth Radius]
# COLUMN pl_radelim:          Planet Radius Limit Flag
# COLUMN pl_radeerr1:         Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:         Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_trandep:          Transit Depth [%]
# COLUMN pl_trandur:          Transit Duration [hours]
# COLUMN pl_bmasselim:        Planet Mass or Mass*sin(i) Limit Flag
# COLUMN pl_bmasseerr2:       Planet Mass or Mass*sin(i) Lower Unc. [Earth Mass]
# COLUMN pl_bmasseerr1:       Planet Mass or Mass*sin(i) Upper Unc. [Earth Mass]
# COLUMN pl_orbeccen:         Orbital Eccentricity
# COLUMN pl_orbincl:          Orbital Inclination [deg]
# COLUMN st_rad:              Stellar Radius [Solar Radius]
# COLUMN st_mass:             Stellar Mass [Solar Mass]
# COLUMN st_teff:             Stellar Effective Temperature [K]
# COLUMN pl_ratror:           Ratio of Planet Radius to Stellar Radius
# COLUMN st_met:              Stellar Metallicity [dex]
# COLUMN st_metlim:           Stellar Metallicity Limit Flag
# COLUMN sy_jmag:             J (2MASS) Magnitude
# COLUMN discoverymethod:     Discovery Method
# COLUMN pl_controv_flag:     Controversial Flag
# COLUMN st_tefferr1:         Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:         Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_raderr1:          Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:          Stellar Radius Lower Unc. [Solar Radius]
# COLUMN pl_orbsmaxerr1:      Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2:      Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN sy_jmagerr1:         J Magnitude Upper Unc.
# COLUMN sy_jmagerr2:         J Magnitude Lower Unc.
# COLUMN pl_bmasseerr_avg:    Planet Mass 1σ Average Error [Earth Mass]
# COLUMN pl_radeerr_avg:      Planet Radius 1σ Average Error [Earth Radius]
# COLUMN st_tefferr_avg:      Stellar Effective Temperature 1σ Average Error [K]
# COLUMN st_raderr_avg:       Stellar Radius 1σ Average Error [Solar Radius]
# COLUMN pl_orbsmaxerr_avg:   Orbit Semi-Major Axis 1σ Average Error [au]
# COLUMN sy_jmagerr_avg:      J Magnitude 1σ Average Error
# COLUMN g_planet_cgs:        Planet Surface Gravity [cm/s²]
# COLUMN g_planet_cgs_err:    Planet Surface Gravity 1σ Error [cm/s²]
# COLUMN pl_Teq:              Planet Equilibrium Temperature [K]
# COLUMN pl_Teq_err:          Planet Equilibrium Temperature 1σ Error [K]
# COLUMN pl_tsm:              Transmission Spectroscopy Metric (TSM)
# COLUMN pl_tsm_err:          TSM 1σ Error
#
pl_name,pl_orbper,pl_orbsmax,pl_bmasse,pl_rade,pl_radelim,pl_radeerr1,pl_radeerr2,pl_trandep,pl_trandur,pl_bmasselim,pl_bmasseerr2,pl_bmasseerr1,pl_orbeccen,pl_orbincl,st_rad,st_mass,st_teff,pl_ratror,st_met,st_metlim,sy_jmag,discoverymethod,pl_controv_flag,st_tefferr1,st_tefferr2,st_raderr1,st_raderr2,pl_orbsmaxerr1,pl_orbsmaxerr2,sy_jmagerr1,sy_jmagerr2,pl_bmasseerr_avg,pl_radeerr_avg,st_tefferr_avg,st_raderr_avg,pl_orbsmaxerr_avg,sy_jmagerr_avg,g_planet_cgs,g_planet_cgs_err,pl_Teq,pl_Teq_err,pl_tsm,pl_tsm_err
55 Cnc e,0.7365474,0.01544,7.99,1.875,0.0,0.029,-0.029,0.03846733,1.5439,0.0,-0.33,0.32,0.05,83.59,0.943,0.905,5172.0,0.0182,0.35,0.0,4.768,Radial Velocity,0.0,18.0,-18.0,0.01,-0.01,5e-05,-5e-05,0.244,-0.244,0.325,0.029,18.0,0.01,5e-05,0.244,2231.796271659669,114.04883943865846,1782.7838023411402,11.669768738086255,231.90113601680386,30.17059805290944
AU Mic b,8.46308,0.0649,20.12,3.95677019,0.0,0.14571675,-0.14571675,0.2379,3.4927,0.0,-1.72,1.57,0.00577,89.57917,0.744,0.51,3678.0,0.0488,0.23,0.0,5.436,Transit,0.0,90.0,-88.0,0.023,-0.021,0.0012,-0.0012,0.017,-0.017,1.645,0.14571675,89.0,0.022,0.0012,0.017,1261.9920956294966,138.87405037572,549.2673818765147,16.38258000673468,319.9207525676641,48.874841358370695
AU Mic c,18.85969,0.1108,9.6,2.52202066,0.0,0.24659758,-0.24659758,0.097,4.236,0.0,-2.31,2.07,0.00338,89.22655,0.744,0.51,3678.0,0.0311,0.23,0.0,5.436,Transit,0.0,90.0,-88.0,0.023,-0.021,0.002,-0.002,0.017,-0.017,2.19,0.24659758,89.0,0.022,0.002,0.017,1482.1230645217188,445.33541969024753,420.3744165065487,12.509866179714486,130.80840141661994,49.384261485177745
BD+20 594 b,41.6855,0.241,22.2481,2.57807,0.0,0.11209,-0.11209,0.049,,0.0,-9.5349,9.5349,0.0,89.55,1.08,1.67,5766.0,0.02204,-0.15,0.0,9.770001,Transit,0.0,99.0,-99.0,0.06,-0.06,0.019,-0.017,0.022,-0.022,9.5349,0.11209,99.0,0.06,0.018000000000000002,0.022,3287.106915841577,1437.4654448783817,538.3763323410446,26.708050054030963,4.97966332740644,2.312173191305585
CoRoT-7 b,0.85359163,0.017016,4.07660518,1.68135,0.0,0.11209,-0.11209,0.035,1.059,0.0,-1.01981794,1.01981794,0.0,80.1,0.83,0.82,5275.0,0.0187,0.05,0.0,10.301,Transit,0.0,75.0,-75.0,0.04,-0.04,0.00017,-3.6e-05,0.024,-0.024,1.01981794,0.11209,75.0,0.04,0.00010300000000000001,0.024,1416.0960392615746,401.43155539118214,1624.952748337743,45.728713218829085,30.166910150150812,10.131145607840184
EPIC 201595106 b,0.87724,0.0177,7.67,1.565,0.0,0.079,-0.079,0.025,1.0008,0.0,-0.75,0.75,0.0,78.2,0.98,0.958,5679.0,0.0147,0.01,0.0,10.588,Transit,0.0,60.0,-39.0,0.025,-0.025,0.0003,-0.0003,0.019,-0.019,0.75,0.079,49.5,0.025,0.0003,0.019,3075.2256807415956,432.2222744346592,1863.829744943496,32.841788804315634,9.321210029818529,1.7558826945215193
EPIC 220674823 b,0.5713127,0.01314,7.8,1.676,0.0,0.037,-0.037,0.0241,1.54,0.0,-0.7,0.71,0.0,85.2,0.99,0.913,5578.0,0.01553,-0.005,0.0,10.77,Transit,0.0,46.0,-46.0,0.012,-0.012,0.00032,-0.00034,0.023,-0.023,0.705,0.037,46.0,0.012,0.00033,0.023,2726.8226116760184,274.2978019161016,2135.5335052892624,34.594254094257956,11.62342146938078,1.3514184229770667
EPIC 220674823 c,13.33989,0.1073,7.32,2.84,0.0,0.1,-0.08,0.0693,3.661,0.0,-2.38,2.49,0.17,88.62,0.99,0.913,5578.0,0.02659,-0.005,0.0,10.77,Transit,0.0,46.0,-46.0,0.012,-0.012,0.0026,-0.0027,0.023,-0.023,2.435,0.09,46.0,0.012,0.00265,0.023,891.2195680416175,301.7976135873444,747.3158807433292,11.985641058305522,21.423367154339076,7.441396585400163
EPIC 229004835 b,16.141132,0.1237,10.4,2.332,0.0,0.08,-0.094,0.036,2.1,0.0,-1.5,1.6,0.23,88.08,0.999,0.97,5868.0,0.0184,-0.12,0.0,9.061,Transit,0.0,60.0,-60.0,0.008,-0.008,0.0017,-0.0017,0.032,-0.032,1.55,0.087,60.0,0.008,0.0017,0.032,1877.9609599151622,313.00444518561676,735.5225032983673,9.527746101932932,17.44969466724945,3.282225518037072
EPIC 249893012 b,3.5951,0.047,8.75,1.95,0.0,0.09,-0.08,,4.33,0.0,-1.08,1.09,0.06,86.14,1.71,1.05,5430.0,0.0104,0.2,0.0,10.216,Transit,0.0,85.0,-85.0,0.04,-0.04,0.005,-0.007,0.026,-0.026,1.085,0.08499999999999999,85.0,0.04,0.006,0.026,2259.69145245144,342.52229053050456,1444.6309693908368,96.43468074187878,4.775633898393632,0.9463077253009144
