# File_Name, Equilibrium_Temperature, Uncertainty_on_Equilibrium_Temperature, Feature_Depth, Feature_Depth_Error, B_H, B_H_Error, Number_of_Transits
GJ 1214 b,518.4051724509364,7.993180029666558,1.3163770732572138e-09,2.7051122715533273e-09,1.7651857742632887e-06,3.6287817678718835e-06,None
GJ 3090 b,633.2974086440051,16.097027491855087,3.777256094245027e-10,3.492883766381918e-10,1.898286906265336e-06,1.820173134874121e-06,None
HD 191939 d,495.3015536189921,12.926390363198616,3.814328241951982e-10,2.1548230908837277e-10,1.8288134468261655e-06,1.1128534696283327e-06,None
K2-138 d,904.0866069151292,14.073875722133884,1.0546568278582161e-10,2.0383828056543555e-10,2.103885778189443e-06,4.088595617160826e-06,None
K2-138 f,679.0198320832703,10.564120905919202,2.141631803961676e-09,5.357542897034879e-10,2.6091336285901234e-06,2.73890262394217e-06,None
K2-18 b,258.59024707677503,13.542313735145688,1.3068251416823013e-10,5.327233794596519e-10,2.0748926762508e-06,8.487261346994474e-06,None
L 98-59 d,380.6579289272226,9.834606820421872,6.642977518461993e-10,5.023614307933788e-10,2.1556783442086168e-06,1.6404300479462451e-06,None
LHS 1140 b,206.2954597930245,3.964814102954924,2.29329895666084e-10,1.022306428516659e-09,2.0990860772659876e-06,9.358088058290236e-06,None
TOI-1064 c,579.3909550668909,9.591301297596027,5.590846705610901e-10,3.0839670917943395e-10,1.8043225161475607e-06,1.6962595140611819e-06,None
TOI-1136 c,968.0736471778304,20.186859438498992,2.2273630187096721e-10,1.8062366223973478e-10,1.998506754647573e-06,1.6743051151136316e-06,None
TOI-1260 b,797.7959315744145,20.86990491134148,1.4709930754216213e-10,2.497889300012981e-10,2.09180141377482e-06,3.574241003578484e-06,None
TOI-1422 b,794.9064396922664,14.937299358257246,2.4905932727903123e-10,2.6856863448961364e-10,1.82429944647446e-06,2.0068225513596737e-06,None
TOI-1468 c,309.3002161642257,5.94341003273972,3.178077359802662e-10,5.393686112911706e-10,2.081893709272383e-06,3.5848772551277096e-06,None
TOI-1758 b,545.6554296510881,23.83363858332177,3.0166564086171465e-10,3.7844470857369023e-10,1.6550119876435354e-06,2.5886317755368845e-06,None
TOI-1799 b,911.8033990403044,35.409896800441935,6.025527842641748e-11,7.382669890542688e-11,2.315451740530921e-06,3.0854524125574634e-06,None
TOI-270 d,355.0128252545304,8.1068818515895,2.7778264128794257e-10,4.706960168899364e-10,2.0513433162763692e-06,3.480108288427361e-06,None
TOI-4438 b,398.37200521627,19.29467562934845,4.955391671026832e-10,7.707695175919819e-10,1.9774315035361447e-06,3.11772116692933e-06,None
TOI-521 b,726.3156808218597,32.165150010429485,3.240856206918669e-10,4.30317959845392e-10,2.1404415339855843e-06,2.906023463483836e-06,None
TOI-561 c,725.5623780453545,9.465545095374008,2.356483756052557e-10,2.259835978095249e-10,2.009747004898287e-06,1.94203908242489e-06,None
TOI-969 b,986.93862588902,21.183860583574,2.5388525413668617e-10,3.060913756487952e-10,2.038872601427089e-06,2.4750872993468786e-06,None
