pl_name,pl_orbper,pl_orbsmax,pl_bmasse,pl_rade,pl_radelim,pl_radeerr1,pl_radeerr2,pl_trandep,pl_trandur,pl_bmasselim,pl_bmasseerr2,pl_bmasseerr1,pl_orbeccen,pl_orbincl,st_rad,st_mass,st_teff,pl_ratror,st_met,st_metlim,sy_jmag,pl_controv_flag,st_logg,st_tefferr1,st_tefferr2,st_raderr1,st_raderr2,pl_orbsmaxerr1,pl_orbsmaxerr2,sy_jmagerr1,sy_jmagerr2,pl_bmasseerr_avg,pl_radeerr_avg,st_tefferr_avg,st_raderr_avg,pl_orbsmaxerr_avg,sy_jmagerr_avg,g_planet_cgs,g_planet_cgs_err,pl_Teq,pl_Teq_err,pl_tsm,pl_tsm_err
55 Cnc e,0.7365474,0.01544,7.99,1.875,0.0,0.029,-0.029,0.03846733,1.5439,0.0,-0.33,0.32,0.05,83.59,0.943,0.905,5172.0,0.0182,0.35,0.0,4.768,0.0,4.43,18.0,-18.0,0.01,-0.01,5e-05,-5e-05,0.244,-0.244,0.325,0.029,18.0,0.01,5e-05,0.244,2231.796271659669,114.04883943865846,1782.7838023411402,11.669768738086255,231.90113601680386,30.17059805290944
AU Mic b,8.46308,0.0649,20.12,3.95677019,0.0,0.14571675,-0.14571675,0.2379,3.4927,0.0,-1.72,1.57,0.00577,89.57917,0.744,0.51,3678.0,0.0488,0.23,0.0,5.436,0.0,4.404,90.0,-88.0,0.023,-0.021,0.0012,-0.0012,0.017,-0.017,1.645,0.14571675,89.0,0.022,0.0012,0.017,1261.9920956294966,138.87405037572,549.2673818765147,16.38258000673468,319.9207525676641,48.874841358370695
CoRoT-7 b,0.85359163,0.017016,4.07660518,1.68135,0.0,0.11209,-0.11209,0.035,1.059,0.0,-1.01981794,1.01981794,0.0,80.1,0.83,0.82,5275.0,0.0187,0.05,0.0,10.301,0.0,4.5,75.0,-75.0,0.04,-0.04,0.00017,-3.6e-05,0.024,-0.024,1.01981794,0.11209,75.0,0.04,0.00010300000000000001,0.024,1416.0960392615746,401.43155539118214,1624.952748337743,45.728713218829085,30.166910150150812,10.131145607840184
GJ 1214 b,1.580404531,0.01505,8.41,2.733,0.0,0.033,-0.031,1.343,0.86966,0.0,-0.35,0.36,0.0062,88.98,0.2162,0.182,3101.0,0.11589,0.24,0.0,9.75,0.0,5.0286,43.0,-43.0,0.0025,-0.0024,0.00011,-0.00011,0.024,-0.024,0.355,0.032,43.0,0.00245,0.00011,0.024,1105.6738668774178,53.37327766932817,518.4051724509364,7.993180029666558,380.58475799071584,23.734690991627097
GJ 3090 b,2.8531054,0.03165,3.34,2.13,0.0,0.11,-0.11,0.1395,1.281,0.0,-0.72,0.72,0.32,87.14,0.516,0.519,3556.0,0.0379,-0.06,0.0,8.168,0.0,4.727,70.0,-70.0,0.016,-0.016,0.00027,-0.00027,0.021,-0.021,0.72,0.11,70.0,0.016,0.00027,0.021,722.9322057702495,172.80652394341482,633.2974086440051,16.097027491855087,201.5910265223682,55.22954780052977
GJ 414 A b,50.8,0.2324,7.6,2.63,0.0,1.22,-0.85,,,0.0,-2.19,2.44,0.45,,0.68,0.65,4120.0,,0.24,0.0,5.764,0.0,4.65,109.0,-109.0,0.14,-0.14,0.0092,-0.0099,0.02,-0.02,2.315,1.035,109.0,0.14,0.00955,0.02,1078.9775483136607,910.6129973776879,310.84334627376495,33.65010906879987,142.60933293702303,184.1800755568367
HD 136352 b,11.57797,0.0964,4.72,1.664,0.0,0.043,-0.043,0.0208,3.935,0.0,-0.42,0.42,0.0,88.49,1.058,0.87,5664.0,0.01442,-0.24,0.0,4.308,0.0,4.39,61.0,-61.0,0.019,-0.019,0.0028,-0.0028,0.226,-0.226,0.42,0.043,61.0,0.019,0.0028,0.226,1673.962278531968,172.25620082215383,827.6286698081713,16.707576741873282,125.06987147627576,20.343565025075968
HD 136352 c,27.59221,0.1721,11.24,2.916,0.0,0.075,-0.073,0.0638,3.251,0.0,-0.63,0.65,0.0,88.571,1.058,0.87,5664.0,0.02526,-0.24,0.0,4.308,0.0,4.39,61.0,-61.0,0.019,-0.019,0.005,-0.005,0.226,-0.226,0.64,0.074,61.0,0.019,0.005,0.226,1298.080376170232,99.01317615898948,619.4176959157002,12.505973912703164,214.89113036589694,31.558853475322508
HD 191939 b,8.8803256,0.0804,10.0,3.41,0.0,0.075,-0.075,0.1238,2.939,0.0,-0.7,0.7,0.031,88.1,0.94,0.81,5348.0,0.03319,-0.15,0.0,7.597,0.0,4.3,100.0,-100.0,0.02,-0.02,0.0025,-0.0023,0.029,-0.029,0.7,0.075,100.0,0.02,0.0024000000000000002,0.029,844.5036958939711,69.81838416580923,806.5573738703368,21.118515417922026,140.1046874023834,15.301833910051021
HD 191939 d,38.353037,0.2132,2.8,2.995,0.0,0.07,-0.07,0.10290917,5.36,0.0,-0.6,0.6,0.031,89.49,0.94,0.81,5348.0,0.02916,-0.15,0.0,7.597,0.0,4.3,100.0,-100.0,0.02,-0.02,0.0065,-0.0061,0.029,-0.029,0.6,0.07,100.0,0.02,0.0063,0.029,306.53120357445067,67.22993312670687,495.3015536189921,12.926390363198617,208.18833961192578,48.15634282217507
