pl_name,pl_orbper,pl_orbsmax,pl_bmasse,pl_rade,pl_radelim,pl_radeerr1,pl_radeerr2,pl_trandep,pl_trandur,pl_bmasselim,pl_bmasseerr2,pl_bmasseerr1,pl_orbeccen,pl_orbincl,st_rad,st_mass,st_teff,pl_ratror,st_met,st_metlim,sy_jmag,pl_controv_flag,st_logg,st_tefferr1,st_tefferr2,st_raderr1,st_raderr2,pl_orbsmaxerr1,pl_orbsmaxerr2,sy_jmagerr1,sy_jmagerr2,pl_bmasseerr_avg,pl_radeerr_avg,st_tefferr_avg,st_raderr_avg,pl_orbsmaxerr_avg,sy_jmagerr_avg,g_planet_cgs,g_planet_cgs_err,pl_Teq,pl_Teq_err,pl_tsm,pl_tsm_err
GJ 1214 b,1.580404531,0.01505,8.41,2.733,0.0,0.033,-0.031,1.343,0.86966,0.0,-0.35,0.36,0.0062,88.98,0.2162,0.182,3101.0,0.11589,0.24,0.0,9.75,0.0,5.0286,43.0,-43.0,0.0025,-0.0024,0.00011,-0.00011,0.024,-0.024,0.355,0.032,43.0,0.00245,0.00011,0.024,1105.6738668774178,53.37327766932817,518.4051724509364,7.993180029666558,380.58475799071584,23.734690991627097
GJ 3090 b,2.8531054,0.03165,3.34,2.13,0.0,0.11,-0.11,0.1395,1.281,0.0,-0.72,0.72,0.32,87.14,0.516,0.519,3556.0,0.0379,-0.06,0.0,8.168,0.0,4.727,70.0,-70.0,0.016,-0.016,0.00027,-0.00027,0.021,-0.021,0.72,0.11,70.0,0.016,0.00027,0.021,722.9322057702495,172.80652394341482,633.2974086440051,16.097027491855087,201.5910265223682,55.22954780052977
GJ 9827 d,6.20183,0.053,3.02,1.98,0.0,0.11,-0.1,0.0957,1.2264,0.0,-0.57,0.58,0.0,87.41,0.58,0.62,4236.0,0.03093,-0.29,0.0,7.984,0.0,4.7,12.0,-12.0,0.03,-0.03,0.003,-0.003,0.02,-0.02,0.575,0.10500000000000001,12.0,0.03,0.003,0.02,756.4615791041361,164.86698484013772,618.0732934987349,23.760625873065415,150.57163430639253,40.911538676616466
HD 191939 c,28.579743,0.1752,8.0,3.195,0.0,0.075,-0.075,0.10813969,4.162,0.0,-1.0,1.0,0.034,89.1,0.94,0.81,5348.0,0.03118,-0.15,0.0,7.597,0.0,4.3,100.0,-100.0,0.02,-0.02,0.0055,-0.005,0.029,-0.029,1.0,0.075,100.0,0.02,0.0052499999999999995,0.029,769.5885091366596,102.7599471202464,546.381818815485,14.324135141391542,97.58276113353516,14.882814029047402
HD 191939 d,38.353037,0.2132,2.8,2.995,0.0,0.07,-0.07,0.10290917,5.36,0.0,-0.6,0.6,0.031,89.49,0.94,0.81,5348.0,0.02916,-0.15,0.0,7.597,0.0,4.3,100.0,-100.0,0.02,-0.02,0.0065,-0.0061,0.029,-0.029,0.6,0.07,100.0,0.02,0.0063,0.029,306.53120357445067,67.22993312670687,495.3015536189921,12.926390363198617,208.18833961192578,48.15634282217507
HD 235088 b,7.4341325,0.0706,4.15,1.982,0.0,0.072,-0.069,0.0701,2.673,0.0,-0.83,0.83,0.0,88.74,0.772,0.849,5075.0,0.0236,-0.02,0.0,7.646,0.0,4.55,75.0,-75.0,0.029,-0.029,0.00054,-0.00055,0.037,-0.037,0.83,0.07050000000000001,75.0,0.029,0.000545,0.037,1037.4116218222441,220.2171905318791,740.2020972302571,17.919537128864295,86.8058730661382,20.889028770616886
HD 42813 b,13.6308205,0.111,9.1,3.41,0.0,0.046,-0.046,0.11791033,4.327,0.0,-0.79,0.82,0.0,89.3,0.98,0.901,5289.0,0.03195,0.24,0.0,8.056,0.0,4.39,69.0,-69.0,0.007,-0.007,0.002,-0.002,0.029,-0.029,0.8049999999999999,0.046,69.0,0.007,0.002,0.029,768.4983632635137,71.07399145342232,693.1593415499656,11.264937871977386,98.54001939550955,9.907929245944349
K2-138 f,12.75758,0.10447,1.63,2.904,0.0,0.164,-0.111,0.085069,3.2,0.0,-1.18,2.12,0.062,88.8,0.863,0.935,5356.3,0.03085,0.14,0.0,10.756,0.0,4.54,41.8,-13.1,0.031,-0.018,0.0007,-0.00088,0.021,-0.021,1.65,0.1375,27.45,0.0245,0.00079,0.021,189.80370815530202,192.97147497997503,679.0198320832703,10.564120905919202,123.78643875138921,126.74829080866587
L 168-9 b,1.40152604,0.0208,4.07,1.63,0.0,0.14,-0.14,0.05937541,1.02,0.0,-0.45,0.45,0.0,84.27,0.604,0.614,3842.0,0.0247,-0.03,0.0,7.941,0.0,4.84,32.0,-32.0,0.037,-0.037,0.0006,-0.0006,0.019,-0.019,0.45,0.14,32.0,0.037,0.0006,0.019,1504.2828802263723,307.30373805873523,913.1710345691097,31.837357755946137,86.61980450984929,26.686803531286078
L 98-59 d,7.450729,0.0494,1.64,1.627,0.0,0.041,-0.041,0.1445,0.84,0.0,-0.07,0.07,0.006,88.44,0.3155,0.2923,3415.0,0.0448,-0.46,0.0,7.933,0.0,4.91,60.0,-60.0,0.0062,-0.0062,0.0016,-0.0016,0.027,-0.027,0.07,0.041,60.0,0.0062,0.0016,0.027,608.385780179526,40.18084186574586,380.6579289272226,9.834606820421872,327.8124994124873,32.62331466985521
