pl_name,pl_orbper,no_of_transits,pl_orbsmax,pl_bmasse,pl_rade,pl_radelim,pl_radeerr1,pl_radeerr2,pl_trandep,pl_trandur,pl_bmasselim,pl_bmasseerr2,pl_bmasseerr1,pl_orbeccen,pl_orbincl,st_rad,st_mass,st_teff,pl_ratror,st_met,st_metlim,sy_jmag,pl_controv_flag,st_logg,st_tefferr1,st_tefferr2,st_raderr1,st_raderr2,pl_orbsmaxerr1,pl_orbsmaxerr2,sy_jmagerr1,sy_jmagerr2,pl_bmasseerr_avg,pl_radeerr_avg,st_tefferr_avg,st_raderr_avg,pl_orbsmaxerr_avg,sy_jmagerr_avg,g_planet_cgs,g_planet_cgs_err,pl_Teq,pl_Teq_err,pl_tsm,pl_tsm_err,A/H,Feature Height (ppm),scale height (m)
GJ 9827 d,6.20183,1,0.053,3.02,1.98,0,0.11,-0.1,0.0957,1.2264,0,-0.57,0.58,0.0,87.41,0.58,0.62,4236.0,0.03093,-0.29,0,7.984,0,4.7,12.0,-12.0,0.03,-0.03,0.003,-0.003,0.02,-0.02,0.575,0.105,12.0,0.03,0.003,0.02,756.4615791,164.8669848,618.0732935,23.76062587,150.5716343,40.91153868,12.1283672,260.1689224,138282.2906
HD 15337 c,17.180546,1,0.1235,6.792,2.526,0,0.086,-0.075,0.06801386,2.232,0,-1.143,1.302,0.096,88.41,0.855,0.829,5131.0,0.02707,0.03,0,7.553,0,4.48,74.0,-74.0,0.008,-0.008,0.002,-0.0017,0.019,-0.019,1.2225,0.0805,74.0,0.008,0.00185,0.019,1045.300835,199.5929125,595.46955,10.07001296,75.16233013,15.44947133,10.91340422,95.82313899,96412.13991
HD 191939 c,28.579743,1,0.1752,8.0,3.195,0,0.075,-0.075,0.10813969,4.162,0,-1.0,1.0,0.034,89.1,0.94,0.81,5348.0,0.03118,-0.15,0,7.597,0,4.3,100.0,-100.0,0.02,-0.02,0.0055,-0.005,0.029,-0.029,1.0,0.075,100.0,0.02,0.00525,0.029,769.5885091,102.7599471,546.3818188,14.32413514,97.58276113,14.88281403,11.17437616,127.9578345,120157.5671
HD 23472 b,17.667087,1,0.1162,8.32,2.0,0,0.11,-0.1,0.0854,2.67,0,-0.79,0.78,0.072,88.93,0.71,0.67,4684.0,0.02597,-0.2,0,7.865,0,4.53,99.0,-99.0,0.02,-0.02,0.0018,-0.0018,0.024,-0.024,0.785,0.105,99.0,0.02,0.0018,0.024,2042.554473,288.3339228,510.6824835,13.56036298,32.80737404,6.370847979,11.02749362,48.79307652,42314.65221
HD 42813 b,13.6308205,1,0.111,9.1,3.41,0,0.046,-0.046,0.11791033,4.327,0,-0.79,0.82,0.0,89.3,0.98,0.901,5289.0,0.03195,0.24,0,8.056,0,4.39,69.0,-69.0,0.007,-0.007,0.002,-0.002,0.029,-0.029,0.805,0.046,69.0,0.007,0.002,0.029,768.4983633,71.07399145,693.1593415,11.26493787,98.5400194,9.907929246,10.38823527,148.3969287,152652.3854
HIP 116454 b,9.1004157,1,0.0792,9.7,2.469,0,0.1,-0.091,0.0889,2.431,0,-1.2,1.2,0.215,88.91,0.758,0.8,5048.0,0.02981,0.0,0,8.604,0,4.582,79.0,-78.0,0.024,-0.022,0.0011,-0.001,0.021,-0.021,1.2,0.0955,78.5,0.023,0.00105,0.021,1562.571385,227.9906243,688.8098094,15.645842,44.57824766,8.105617049,10.07632631,85.14029151,74605.85601
K2-146 b,2.6446,1,0.0248,5.77,2.05,0,0.06,-0.06,0.386,1.32,0,-0.18,0.18,0.129,88.93,0.33,0.331,3385.0,0.0572,-0.02,0,12.183,0,4.8983,70.0,-70.0,0.01,-0.01,0.0002,-0.0002,0.021,-0.021,0.18,0.06,70.0,0.01,0.0002,0.021,1348.274757,89.43150567,544.6252441,14.1337116,34.42914224,3.944047978,11.18237819,379.2890422,68364.84373
K2-32 c,20.66093,1,0.13843,8.1,3.134,0,0.123,-0.102,0.1346,4.35,0,-2.4,2.4,0.049,89.4,0.86,0.83,5271.0,0.03342,-0.06,0,10.404,0,4.49,39.0,-35.0,0.02,-0.02,0.00115,-0.00108,0.024,-0.024,2.4,0.1125,37.0,0.02,0.001115,0.024,809.8365005,246.8949163,579.4755247,8.209378247,31.64172284,10.09935136,10.97359073,148.4155388,121101.971
Kepler-11 d,22.6845,1,0.155,7.3,3.12,0,0.06,-0.07,0.0885,5.586,0,-1.5,0.8,0.004,89.67,1.065,0.961,5663.0,0.02714,0.05,0,12.548,0,4.366,55.0,-66.0,0.017,-0.022,0.001,-0.001,0.024,-0.024,1.15,0.065,60.5,0.0195,0.001,0.024,736.4173037,120.0002107,654.7318702,9.450692089,9.508568894,1.657733881,10.81573708,117.9890682,150471.0523
Kepler-177 b,36.8601,1,0.21101,5.84,3.5,0,0.19,-0.15,0.07141,7.495,0,-0.82,0.86,0.0,89.93,1.324,0.921,5732.0,0.02499,-0.11,0,13.858,0,4.1,60.0,-60.0,0.053,-0.051,0.00181,-0.00181,0.025,-0.025,0.84,0.17,60.0,0.052,0.00181,0.025,468.1522025,81.25565973,633.2958186,14.35214003,5.744231126,1.268130034,11.61723815,139.9604373,228945.9741
Kepler-28 b,5.91,1,0.05687,1.63,1.959,0,0.043,-0.042,0.10629,2.3254,0,-0.4,0.51,0.0,89.51,0.664,0.684,4499.3,0.027826,0.1451,0,13.334,0,4.62,74.9,-74.9,0.013,-0.013,0.00036,-0.00036,0.023,-0.023,0.455,0.0425,74.9,0.013,0.00036,0.023,417.0892965,117.8248867,678.1024948,13.27019504,19.25065151,5.585479966,16.08545949,518.3090838,275156.4886
Kepler-28 c,8.99,1,0.07519,2.06,1.857,0,0.042,-0.042,0.09053,2.8606,0,-0.52,0.7,0.017,89.98,0.664,0.684,4499.3,0.026527,0.1451,0,13.334,0,4.62,74.9,-74.9,0.013,-0.013,0.00048,-0.00048,0.023,-0.023,0.61,0.042,74.9,0.013,0.00048,0.023,586.6157585,175.7216505,589.7350143,11.54344554,11.28391461,3.465417905,13.44048501,253.8543727,170144.0044
Kepler-29 b,10.33974,1,0.08482,5.0,2.55,0,0.12,-0.12,0.102,3.041,0,-1.3,1.5,0.0,89.13,0.732,0.761,5378.0,0.03194,-0.44,0,14.131,0,4.6,60.0,-60.0,0.033,-0.031,0.00096,-0.00096,0.03,-0.03,1.4,0.12,60.0,0.032,0.00096,0.03,755.0921512,223.0503507,696.8433652,17.54969958,8.108379918,2.649843217,11.14479463,218.3313378,156188.3636
Kepler-29 c,13.28613,1,0.10027,4.5,2.34,0,0.12,-0.11,0.10396,3.2825,0,-1.1,1.1,0.0,89.97,0.732,0.761,5378.0,0.029278,-0.44,0,14.131,0,4.6,60.0,-60.0,0.033,-0.031,0.00113,-0.00113,0.03,-0.03,1.1,0.115,60.0,0.032,0.00113,0.03,807.0326616,212.6253532,640.9125798,16.13762068,6.402981359,1.9204631,11.38873061,176.1844092,134406.7704
Kepler-305 d,16.74,1,0.12091,6.2,2.76,0,0.12,-0.12,0.09968,2.398,0,-1.34,1.76,0.0,89.27,0.792,0.827,5090.0,0.030609,0.09,0,14.25,0,4.57,101.0,-101.0,0.025,-0.025,0.00108,-0.00108,0.029,-0.029,1.55,0.12,101.0,0.025,0.00108,0.029,799.2521955,211.5550307,574.5888942,14.79253266,5.616327064,1.631056542,11.2538706,158.7906039,121670.9366
Kepler-307 b,10.4208,1,0.09359,7.44,2.43,0,0.09,-0.09,0.08776,2.7791,0,-0.87,0.91,0.0,88.23,0.814,0.907,5367.0,0.028979,0.19,0,12.833,0,4.46,94.0,-94.0,0.024,-0.024,0.00063,-0.00063,0.027,-0.027,0.89,0.09,94.0,0.024,0.00063,0.027,1237.287715,174.0876896,698.1311867,16.15402017,6.945518297,1.219383491,10.31427057,95.20353982,95494.81674
Kepler-307 c,13.0729,1,0.10896,3.64,2.2,0,0.07,-0.07,0.07055,3.0401,0,-0.58,0.65,0.0,88.37,0.814,0.907,5367.0,0.027127,0.19,0,12.833,0,4.46,94.0,-94.0,0.024,-0.024,0.00073,-0.00073,0.027,-0.027,0.615,0.07,94.0,0.024,0.00073,0.027,738.5269271,133.3357785,647.02076,14.96988662,9.763524258,1.996750625,11.80046505,153.1142634,148274.1156
Kepler-49 b,7.2,1,0.05929,9.77,2.579,0,0.087,-0.086,0.17659,2.5418,0,-0.95,0.94,0.0,89.9,0.618,0.607,4095.6,0.038237,0.03,0,13.184,0,4.68,74.7,-74.7,0.02,-0.02,0.00227,-0.00227,0.021,-0.021,0.945,0.0865,74.7,0.02,0.00227,0.021,1442.454729,169.7899918,583.2154384,18.07928674,7.7961838,1.22585971,10.61576683,129.2835763,68429.01382
Kepler-49 c,10.91,1,0.07821,8.38,2.444,0,0.083,-0.082,0.13872,2.1801,0,-0.89,0.92,0.008,88.68,0.618,0.607,4095.6,0.034,0.03,0,13.184,0,4.68,74.7,-74.7,0.02,-0.02,0.003,-0.003,0.021,-0.021,0.905,0.0825,74.7,0.02,0.003,0.021,1377.691339,175.4644275,507.7952031,15.75258636,6.735064745,1.110028506,11.13071001,117.1047631,62380.68326
Kepler-57 c,11.6,1,0.09588,6.86,2.196,0,0.067,-0.065,0.04893,2.2603,0,-1.43,1.52,0.0725,89.96,0.826,0.859,5187.9,0.019868,0.1166,0,13.437,0,4.54,90.8,-90.8,0.019,-0.019,0.00095,-0.00095,0.024,-0.024,1.475,0.066,90.8,0.019,0.00095,0.024,1396.914279,311.8731033,671.6230184,14.4539503,3.932863871,0.939473472,10.44448702,72.09513274,81370.92949
Kepler-79 e,81.0659,1,0.386,4.1,3.49,0,0.14,-0.14,0.0453,3.001,0,-1.1,1.2,0.012,89.13,1.302,1.165,6174.0,0.02458,-0.0731,0,12.913,0,4.274,83.0,-117.0,0.026,-0.027,0.005,-0.005,0.025,-0.025,1.15,0.14,100.0,0.0265,0.005,0.025,330.5546838,96.43483934,500.1340579,10.10039294,10.23686215,3.161077338,12.97897628,180.3340708,256068.7468
Kepler-80 b,7.05246,1,0.0648,6.93,2.67,0,0.1,-0.1,0.14801,2.3982,0,-0.7,1.05,0.0049,89.34,0.678,0.73,4540.0,0.03441,0.04,0,12.954,0,4.639,100.0,-100.0,0.023,-0.023,0.0009,-0.0009,0.023,-0.023,0.875,0.1,100.0,0.023,0.0009,0.023,954.5991085,140.1448203,647.725749,18.56032832,12.51131241,2.310475834,10.72904698,188.6140031,114837.4655
Kepler-80 c,9.52355,1,0.0792,6.74,2.74,0,0.12,-0.1,0.14913,2.3569,0,-0.86,1.23,0.0079,89.33,0.678,0.73,4540.0,0.03654,0.04,0,12.954,0,4.639,100.0,-100.0,0.023,-0.023,0.0011,-0.0011,0.023,-0.023,1.045,0.11,100.0,0.023,0.0011,0.023,881.594929,153.9275874,585.8899845,16.78844864,12.57531937,2.6402343,11.06121271,195.4482041,112476.1525
Ross 176 b,5.0066338,1,0.0464,4.57,1.84,0,0.08,-0.08,0.129,1.66,0,-0.93,0.89,0.25,89.42,0.569,0.577,4041.0,0.0296,-0.19,0,9.243,0,5.07,69.0,-69.0,0.02,-0.02,0.0012,-0.001,0.018,-0.018,0.91,0.08,69.0,0.02,0.0011,0.018,1325.533984,288.0165841,624.1571622,16.98956531,46.92207828,11.72258216,11.01416979,131.4737116,79692.33523
TOI-1136 e,18.801,1,0.14,6.07,2.639,0,0.072,-0.088,0.04706732,4.4632032,0,-1.01,1.09,0.0425,89.2,0.968,1.022,5770.0,0.02497,0.07,0,8.363,0,4.47,50.0,-50.0,0.036,-0.036,0.002,-0.002,0.02,-0.02,1.05,0.08,50.0,0.036,0.002,0.02,855.8944755,156.8848012,669.2023217,14.53705626,57.90375778,12.18493526,10.86280623,106.6985945,132327.6735
