pl_name,pl_orbper,no_of_transits,pl_orbsmax,pl_bmasse,pl_rade,pl_radelim,pl_radeerr1,pl_radeerr2,pl_trandep,pl_trandur,pl_bmasselim,pl_bmasseerr2,pl_bmasseerr1,pl_orbeccen,pl_orbincl,st_rad,st_mass,st_teff,pl_ratror,st_met,st_metlim,sy_jmag,pl_controv_flag,st_logg,st_tefferr1,st_tefferr2,st_raderr1,st_raderr2,pl_orbsmaxerr1,pl_orbsmaxerr2,sy_jmagerr1,sy_jmagerr2,pl_bmasseerr_avg,pl_radeerr_avg,st_tefferr_avg,st_raderr_avg,pl_orbsmaxerr_avg,sy_jmagerr_avg,g_planet_cgs,g_planet_cgs_err,pl_Teq,pl_Teq_err,pl_tsm,pl_tsm_err
GJ 1214 b,1.580404531,1,0.01505,8.41,2.733,0,0.033,-0.031,1.343,0.86966,0,-0.35,0.36,0.0062,88.98,0.2162,0.182,3101.0,0.11589,0.24,0,9.75,0,5.0286,43.0,-43.0,0.0025,-0.0024,0.00011,-0.00011,0.024,-0.024,0.355,0.032,43.0,0.00245,0.00011,0.024,1105.673867,53.37327767,518.4051725,7.99318003,380.584758,23.73469099
GJ 3090 b,2.8531054,1,0.03165,3.34,2.13,0,0.11,-0.11,0.1395,1.281,0,-0.72,0.72,0.32,87.14,0.516,0.519,3556.0,0.0379,-0.06,0,8.168,0,4.727,70.0,-70.0,0.016,-0.016,0.00027,-0.00027,0.021,-0.021,0.72,0.11,70.0,0.016,0.00027,0.021,722.9322058,172.8065239,633.2974086,16.09702749,201.5910265,55.2295478
HD 191939 c,28.579743,1,0.1752,8.0,3.195,0,0.075,-0.075,0.10813969,4.162,0,-1.0,1.0,0.034,89.1,0.94,0.81,5348.0,0.03118,-0.15,0,7.597,0,4.3,100.0,-100.0,0.02,-0.02,0.0055,-0.005,0.029,-0.029,1.0,0.075,100.0,0.02,0.00525,0.029,769.5885091,102.7599471,546.3818188,14.32413514,97.58276113,14.88281403
HD 42813 b,13.6308205,1,0.111,9.1,3.41,0,0.046,-0.046,0.11791033,4.327,0,-0.79,0.82,0.0,89.3,0.98,0.901,5289.0,0.03195,0.24,0,8.056,0,4.39,69.0,-69.0,0.007,-0.007,0.002,-0.002,0.029,-0.029,0.805,0.046,69.0,0.007,0.002,0.029,768.4983633,71.07399145,693.1593415,11.26493787,98.5400194,9.907929246
K2-138 f,12.75758,1,0.10447,1.63,2.904,0,0.164,-0.111,0.085069,3.2,0,-1.18,2.12,0.062,88.8,0.863,0.935,5356.3,0.03085,0.14,0,10.756,0,4.54,41.8,-13.1,0.031,-0.018,0.0007,-0.00088,0.021,-0.021,1.65,0.1375,27.45,0.0245,0.00079,0.021,189.8037082,192.971475,679.0198321,10.56412091,123.7864388,126.7482908
TOI-1064 c,12.226574,1,0.09429,2.5,2.651,0,0.043,-0.042,0.12063693,2.37,0,-2.0,1.8,0.088,88.455,0.726,0.748,4734.0,0.03347,0.05,0,9.097,0,4.6,67.0,-67.0,0.007,-0.007,0.00132,-0.00136,0.023,-0.023,1.9,0.0425,67.0,0.007,0.00134,0.023,349.3259636,265.7238957,579.3909551,9.591301298,156.4437398,119.2129244
TOI-1136 e,18.801,1,0.14,6.07,2.639,0,0.072,-0.088,0.04706732,4.4632032,0,-1.01,1.09,0.0425,89.2,0.968,1.022,5770.0,0.02497,0.07,0,8.363,0,4.47,50.0,-50.0,0.036,-0.036,0.002,-0.002,0.02,-0.02,1.05,0.08,50.0,0.036,0.002,0.02,855.8944755,156.8848012,669.2023217,14.53705626,57.90375778,12.18493526
TOI-1203 d,25.502672,1,0.1632,7.39,2.918,0,0.046,-0.045,0.05583759,6.153,0,-0.62,0.62,0.032,89.22,1.179,0.886,5737.0,0.02269,-0.39,0,7.411,0,4.34,62.0,-62.0,0.011,-0.011,0.0031,-0.0032,0.021,-0.021,0.62,0.0455,62.0,0.011,0.00315,0.021,852.2836867,76.28431201,680.1264115,10.35247122,69.37187358,6.902546561
TOI-1758 b,20.70507469,1,0.141409,6.9,3.62,0,0.337,-0.269,0.1822,3.6727,0,-6.3,6.2,0.0,,0.81,0.88,5169.0,0.0406,-0.02,0,9.315,0,4.53,122.0,-122.0,0.05,-0.05,0.005424,-0.005863,0.023,-0.023,6.25,0.303,122.0,0.05,0.0056435,0.023,517.061572,476.2842326,545.6554297,23.83363858,100.3309753,95.22375342
TOI-178 e,9.96318,1,0.0783,3.48,2.301,0,0.038,-0.039,0.10181,2.501,0,-0.29,0.29,0.00038,88.71,0.662,0.647,4316.0,0.03191,-0.23,0,9.372,0,4.45,70.0,-70.0,0.01,-0.01,0.0023,-0.0024,0.021,-0.021,0.29,0.0385,70.0,0.01,0.00235,0.021,645.4406578,57.96137761,553.5253494,12.92555022,74.39824535,7.80847875
