pl_name,pl_orbper,pl_orbsmax,pl_bmasse,pl_rade,pl_radelim,pl_radeerr1,pl_radeerr2,pl_trandep,pl_trandur,pl_bmasselim,pl_bmasseerr2,pl_bmasseerr1,pl_orbeccen,pl_orbincl,st_rad,st_mass,st_teff,pl_ratror,st_met,st_metlim,sy_jmag,pl_controv_flag,st_logg,st_tefferr1,st_tefferr2,st_raderr1,st_raderr2,pl_orbsmaxerr1,pl_orbsmaxerr2,sy_jmagerr1,sy_jmagerr2,pl_bmasseerr_avg,pl_radeerr_avg,st_tefferr_avg,st_raderr_avg,pl_orbsmaxerr_avg,sy_jmagerr_avg,g_planet_cgs,g_planet_cgs_err,pl_Teq,pl_Teq_err,pl_tsm,pl_tsm_err,pl_eqt_calc,pl_eqt_calc_err,TSM,TSM_err
55 Cnc e,0.7365474,0.01544,7.99,1.875,0,0.029,-0.029,0.03846733,1.5439,0,-0.33,0.32,0.05,83.59,0.943,0.905,5172,0.0182,0.35,0,4.768,0,4.43,18,-18,0.01,-0.01,5.00E-05,-5.00E-05,0.244,-0.244,0.325,0.029,18,0.01,5.00E-05,0.244,2231.796272,114.0488394,1782.783802,11.66976874,231.901136,30.17059805,1782.77047,11.66968146,231.8994017,30.17037242
AU Mic b,8.46308,0.0649,20.12,3.95677019,0,0.14571675,-0.14571675,0.2379,3.4927,0,-1.72,1.57,0.00577,89.57917,0.744,0.51,3678,0.0488,0.23,0,5.436,0,4.404,90,-88,0.023,-0.021,0.0012,-0.0012,0.017,-0.017,1.645,0.14571675,89,0.022,0.0012,0.017,1261.992096,138.8740504,549.2673819,16.38258001,319.9207526,48.87484136,549.2632741,16.38245749,319.91836,48.87447584
CoRoT-7 b,0.85359163,0.017016,4.07660518,1.68135,0,0.11209,-0.11209,0.035,1.059,0,-1.01981794,1.01981794,0,80.1,0.83,0.82,5275,0.0187,0.05,0,10.301,0,4.5,75,-75,0.04,-0.04,0.00017,-3.60E-05,0.024,-0.024,1.01981794,0.11209,75,0.04,0.000103,0.024,1416.096039,401.4315554,1624.952748,45.72871322,30.16691015,10.13114561,1624.940596,45.72837123,30.16668454,10.13106984
GJ 1214 b,1.580404531,0.01505,8.41,2.733,0,0.033,-0.031,1.343,0.86966,0,-0.35,0.36,0.0062,88.98,0.2162,0.182,3101,0.11589,0.24,0,9.75,0,5.0286,43,-43,0.0025,-0.0024,0.00011,-0.00011,0.024,-0.024,0.355,0.032,43,0.00245,0.00011,0.024,1105.673867,53.37327767,518.4051725,7.99318003,380.584758,23.73469099,518.4012955,7.993120252,380.5819117,23.73451349
GJ 3090 b,2.8531054,0.03165,3.34,2.13,0,0.11,-0.11,0.1395,1.281,0,-0.72,0.72,0.32,87.14,0.516,0.519,3556,0.0379,-0.06,0,8.168,0,4.727,70,-70,0.016,-0.016,0.00027,-0.00027,0.021,-0.021,0.72,0.11,70,0.016,0.00027,0.021,722.9322058,172.8065239,633.2974086,16.09702749,201.5910265,55.2295478,633.2926724,16.09690711,201.5895189,55.22913476
GJ 414 A b,50.8,0.2324,7.6,2.63,0,1.22,-0.85,,,0,-2.19,2.44,0.45,,0.68,0.65,4120,,0.24,0,5.764,0,4.65,109,-109,0.14,-0.14,0.0092,-0.0099,0.02,-0.02,2.315,1.035,109,0.14,0.00955,0.02,1078.977548,910.6129974,310.8433463,33.65010907,142.6093329,184.1800756,310.8410216,33.64985741,142.6082664,184.1786981
HD 136352 b,11.57797,0.0964,4.72,1.664,0,0.043,-0.043,0.0208,3.935,0,-0.42,0.42,0,88.49,1.058,0.87,5664,0.01442,-0.24,0,4.308,0,4.39,61,-61,0.019,-0.019,0.0028,-0.0028,0.226,-0.226,0.42,0.043,61,0.019,0.0028,0.226,1673.962279,172.2562008,827.6286698,16.70757674,125.0698715,20.34356503,827.6224803,16.70745179,125.0689361,20.34341288
HD 136352 c,27.59221,0.1721,11.24,2.916,0,0.075,-0.073,0.0638,3.251,0,-0.63,0.65,0,88.571,1.058,0.87,5664,0.02526,-0.24,0,4.308,0,4.39,61,-61,0.019,-0.019,0.005,-0.005,0.226,-0.226,0.64,0.074,61,0.019,0.005,0.226,1298.080376,99.01317616,619.4176959,12.50597391,214.8911304,31.55885348,619.4130635,12.50588039,214.8895233,31.55861746
HD 191939 b,8.8803256,0.0804,10,3.41,0,0.075,-0.075,0.1238,2.939,0,-0.7,0.7,0.031,88.1,0.94,0.81,5348,0.03319,-0.15,0,7.597,0,4.3,100,-100,0.02,-0.02,0.0025,-0.0023,0.029,-0.029,0.7,0.075,100,0.02,0.0024,0.029,844.5036959,69.81838417,806.5573739,21.11851542,140.1046874,15.30183391,806.5513419,21.11835748,140.1036396,15.30171947
HD 191939 d,38.353037,0.2132,2.8,2.995,0,0.07,-0.07,0.10290917,5.36,0,-0.6,0.6,0.031,89.49,0.94,0.81,5348,0.02916,-0.15,0,7.597,0,4.3,100,-100,0.02,-0.02,0.0065,-0.0061,0.029,-0.029,0.6,0.07,100,0.02,0.0063,0.029,306.5312036,67.22993313,495.3015536,12.92639036,208.1883396,48.15634282,495.2978494,12.92629369,208.1867826,48.15598268
