# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.003130
  0.632060   0.003193
  0.654121   0.003178
  0.676181   0.003095
  0.698241   0.003198
  0.720302   0.003270
  0.742362   0.003288
  0.764422   0.003109
  0.786482   0.003205
  0.808543   0.003214
  0.830603   0.003292
  0.852663   0.003333
  0.874724   0.003320
  0.896784   0.003383
  0.918844   0.003327
  0.940905   0.003337
  0.962965   0.003413
  0.985025   0.003355
  1.007085   0.003366
  1.029146   0.003341
  1.051206   0.003286
  1.073266   0.003233
  1.095327   0.003303
  1.117387   0.003430
  1.139447   0.003434
  1.161508   0.003520
  1.183568   0.003435
  1.205628   0.003364
  1.227688   0.003285
  1.249749   0.003258
  1.271809   0.003253
  1.293869   0.003297
  1.315930   0.003311
  1.337990   0.003402
  1.360050   0.003473
  1.382111   0.003455
  1.404171   0.003480
  1.426231   0.003460
  1.448291   0.003425
  1.470352   0.003458
  1.492412   0.003340
  1.514472   0.003328
  1.536533   0.003315
  1.558593   0.003279
  1.580653   0.003301
  1.602714   0.003330
  1.624774   0.003507
  1.646834   0.003429
  1.668894   0.003487
  1.690955   0.003457
  1.713015   0.003421
  1.735075   0.003527
  1.757136   0.003524
  1.779196   0.003434
  1.801256   0.003457
  1.823317   0.003504
  1.845377   0.003412
  1.867437   0.003360
  1.889497   0.003417
  1.911558   0.003420
  1.933618   0.003366
  1.955678   0.003378
  1.977739   0.003317
  1.999799   0.003366
  2.021859   0.003344
  2.043920   0.003341
  2.065980   0.003410
  2.088040   0.003377
  2.110101   0.003339
  2.132161   0.003484
  2.154221   0.003374
  2.176281   0.003354
  2.198342   0.003471
  2.220402   0.003468
  2.242462   0.003387
  2.264523   0.003428
  2.286583   0.003601
  2.308643   0.003485
  2.330704   0.003497
  2.352764   0.003629
  2.374824   0.003512
  2.396884   0.003524
  2.418945   0.003500
  2.441005   0.003536
  2.463065   0.003578
  2.485126   0.003426
  2.507186   0.003387
  2.529246   0.003389
  2.551307   0.003412
  2.573367   0.003428
  2.595427   0.003452
  2.617487   0.003437
  2.639548   0.003437
  2.661608   0.003494
  2.683668   0.003508
  2.705729   0.003530
  2.727789   0.003568
  2.749849   0.003399
  2.771910   0.003437
  2.793970   0.003614
  2.816030   0.003609
  2.838090   0.003383
  2.860151   0.003418
  2.882211   0.003396
  2.904271   0.003404
  2.926332   0.003352
  2.948392   0.003360
  2.970452   0.003396
  2.992513   0.003382
  3.014573   0.003340
  3.036633   0.003394
  3.058693   0.003401
  3.080754   0.003388
  3.102814   0.003372
  3.124874   0.003443
  3.146935   0.003534
  3.168995   0.003570
  3.191055   0.003573
  3.213116   0.003515
  3.235176   0.003489
  3.257236   0.003467
  3.279296   0.003528
  3.301357   0.003472
  3.323417   0.003672
  3.345477   0.003568
  3.367538   0.003523
  3.389598   0.003461
  3.411658   0.003524
  3.433719   0.003483
  3.455779   0.003494
  3.477839   0.003644
  3.499899   0.003454
  3.521960   0.003464
  3.544020   0.003443
  3.566080   0.003427
  3.588141   0.003513
  3.610201   0.003517
  3.632261   0.003449
  3.654322   0.003610
  3.676382   0.003480
  3.698442   0.003385
  3.720503   0.003477
  3.742563   0.003541
  3.764623   0.003441
  3.786683   0.003485
  3.808744   0.003333
  3.830804   0.003371
  3.852864   0.003346
  3.874925   0.003430
  3.896985   0.003339
  3.919045   0.003379
  3.941106   0.003359
  3.963166   0.003364
  3.985226   0.003395
  4.007286   0.003461
  4.029347   0.003385
  4.051407   0.003346
  4.073467   0.003342
  4.095528   0.003357
  4.117588   0.003298
  4.139648   0.003288
  4.161709   0.003358
  4.183769   0.003419
  4.205829   0.003445
  4.227889   0.003489
  4.249950   0.003548
  4.272010   0.003824
  4.294070   0.003497
  4.316131   0.003449
  4.338191   0.003546
  4.360251   0.003458
  4.382312   0.003434
  4.404372   0.003426
  4.426432   0.003457
  4.448492   0.003422
  4.470553   0.003562
  4.492613   0.003500
  4.514673   0.003511
  4.536734   0.003456
  4.558794   0.003430
  4.580854   0.003434
  4.602915   0.003387
  4.624975   0.003384
  4.647035   0.003427
  4.669095   0.003340
  4.691156   0.003333
  4.713216   0.003340
  4.735276   0.003384
  4.757337   0.003394
  4.779397   0.003332
  4.801457   0.003373
  4.823518   0.003329
  4.845578   0.003347
  4.867638   0.003347
  4.889698   0.003414
  4.911759   0.003437
  4.933819   0.003363
  4.955879   0.003410
  4.977940   0.003302
  5.000000   0.003307
