# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.000895
  0.632060   0.000915
  0.654121   0.000910
  0.676181   0.000875
  0.698241   0.000927
  0.720302   0.000965
  0.742362   0.000972
  0.764422   0.000895
  0.786482   0.000927
  0.808543   0.000927
  0.830603   0.001002
  0.852663   0.000995
  0.874724   0.000999
  0.896784   0.001036
  0.918844   0.001025
  0.940905   0.001038
  0.962965   0.001066
  0.985025   0.001028
  1.007085   0.001027
  1.029146   0.001008
  1.051206   0.000982
  1.073266   0.000963
  1.095327   0.001035
  1.117387   0.001096
  1.139447   0.001066
  1.161508   0.001120
  1.183568   0.001086
  1.205628   0.001035
  1.227688   0.000993
  1.249749   0.000973
  1.271809   0.000975
  1.293869   0.000993
  1.315930   0.001014
  1.337990   0.001061
  1.360050   0.001093
  1.382111   0.001092
  1.404171   0.001111
  1.426231   0.001080
  1.448291   0.001095
  1.470352   0.001133
  1.492412   0.001021
  1.514472   0.001037
  1.536533   0.001035
  1.558593   0.000981
  1.580653   0.001054
  1.602714   0.001049
  1.624774   0.001121
  1.646834   0.001078
  1.668894   0.001114
  1.690955   0.001106
  1.713015   0.001082
  1.735075   0.001137
  1.757136   0.001124
  1.779196   0.001089
  1.801256   0.001094
  1.823317   0.001153
  1.845377   0.001069
  1.867437   0.001049
  1.889497   0.001113
  1.911558   0.001062
  1.933618   0.001066
  1.955678   0.001040
  1.977739   0.001011
  1.999799   0.001061
  2.021859   0.001066
  2.043920   0.001050
  2.065980   0.001094
  2.088040   0.001081
  2.110101   0.001060
  2.132161   0.001107
  2.154221   0.001070
  2.176281   0.001065
  2.198342   0.001119
  2.220402   0.001118
  2.242462   0.001115
  2.264523   0.001163
  2.286583   0.001185
  2.308643   0.001137
  2.330704   0.001155
  2.352764   0.001199
  2.374824   0.001154
  2.396884   0.001151
  2.418945   0.001156
  2.441005   0.001131
  2.463065   0.001177
  2.485126   0.001117
  2.507186   0.001095
  2.529246   0.001080
  2.551307   0.001083
  2.573367   0.001076
  2.595427   0.001123
  2.617487   0.001093
  2.639548   0.001147
  2.661608   0.001143
  2.683668   0.001192
  2.705729   0.001191
  2.727789   0.001142
  2.749849   0.001070
  2.771910   0.001128
  2.793970   0.001234
  2.816030   0.001223
  2.838090   0.001077
  2.860151   0.001045
  2.882211   0.001114
  2.904271   0.001063
  2.926332   0.001143
  2.948392   0.001073
  2.970452   0.001059
  2.992513   0.001048
  3.014573   0.001062
  3.036633   0.001080
  3.058693   0.001076
  3.080754   0.001128
  3.102814   0.001119
  3.124874   0.001167
  3.146935   0.001166
  3.168995   0.001185
  3.191055   0.001194
  3.213116   0.001210
  3.235176   0.001158
  3.257236   0.001146
  3.279296   0.001194
  3.301357   0.001159
  3.323417   0.001262
  3.345477   0.001229
  3.367538   0.001189
  3.389598   0.001146
  3.411658   0.001195
  3.433719   0.001155
  3.455779   0.001166
  3.477839   0.001226
  3.499899   0.001139
  3.521960   0.001158
  3.544020   0.001149
  3.566080   0.001148
  3.588141   0.001184
  3.610201   0.001149
  3.632261   0.001146
  3.654322   0.001190
  3.676382   0.001136
  3.698442   0.001096
  3.720503   0.001129
  3.742563   0.001162
  3.764623   0.001131
  3.786683   0.001135
  3.808744   0.001066
  3.830804   0.001092
  3.852864   0.001078
  3.874925   0.001102
  3.896985   0.001070
  3.919045   0.001081
  3.941106   0.001053
  3.963166   0.001078
  3.985226   0.001097
  4.007286   0.001128
  4.029347   0.001080
  4.051407   0.001065
  4.073467   0.001058
  4.095528   0.001060
  4.117588   0.001042
  4.139648   0.001010
  4.161709   0.001064
  4.183769   0.001087
  4.205829   0.001090
  4.227889   0.001093
  4.249950   0.001163
  4.272010   0.001379
  4.294070   0.001114
  4.316131   0.001170
  4.338191   0.001201
  4.360251   0.001101
  4.382312   0.001099
  4.404372   0.001088
  4.426432   0.001159
  4.448492   0.001152
  4.470553   0.001280
  4.492613   0.001244
  4.514673   0.001199
  4.536734   0.001172
  4.558794   0.001071
  4.580854   0.001077
  4.602915   0.001077
  4.624975   0.001059
  4.647035   0.001070
  4.669095   0.001022
  4.691156   0.001030
  4.713216   0.001023
  4.735276   0.001040
  4.757337   0.001052
  4.779397   0.001014
  4.801457   0.001049
  4.823518   0.001061
  4.845578   0.001020
  4.867638   0.001036
  4.889698   0.001073
  4.911759   0.001144
  4.933819   0.001022
  4.955879   0.001071
  4.977940   0.001019
  5.000000   0.001017
