# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.000196
  0.632060   0.000198
  0.654121   0.000197
  0.676181   0.000194
  0.698241   0.000200
  0.720302   0.000206
  0.742362   0.000205
  0.764422   0.000200
  0.786482   0.000200
  0.808543   0.000200
  0.830603   0.000211
  0.852663   0.000208
  0.874724   0.000209
  0.896784   0.000213
  0.918844   0.000214
  0.940905   0.000216
  0.962965   0.000217
  0.985025   0.000216
  1.007085   0.000212
  1.029146   0.000210
  1.051206   0.000208
  1.073266   0.000208
  1.095327   0.000219
  1.117387   0.000223
  1.139447   0.000218
  1.161508   0.000222
  1.183568   0.000223
  1.205628   0.000215
  1.227688   0.000211
  1.249749   0.000208
  1.271809   0.000211
  1.293869   0.000210
  1.315930   0.000213
  1.337990   0.000217
  1.360050   0.000220
  1.382111   0.000222
  1.404171   0.000225
  1.426231   0.000219
  1.448291   0.000226
  1.470352   0.000228
  1.492412   0.000215
  1.514472   0.000220
  1.536533   0.000219
  1.558593   0.000211
  1.580653   0.000224
  1.602714   0.000218
  1.624774   0.000223
  1.646834   0.000220
  1.668894   0.000223
  1.690955   0.000223
  1.713015   0.000221
  1.735075   0.000225
  1.757136   0.000223
  1.779196   0.000225
  1.801256   0.000221
  1.823317   0.000233
  1.845377   0.000220
  1.867437   0.000219
  1.889497   0.000227
  1.911558   0.000218
  1.933618   0.000222
  1.955678   0.000217
  1.977739   0.000212
  1.999799   0.000220
  2.021859   0.000223
  2.043920   0.000222
  2.065980   0.000224
  2.088040   0.000223
  2.110101   0.000221
  2.132161   0.000222
  2.154221   0.000221
  2.176281   0.000221
  2.198342   0.000226
  2.220402   0.000226
  2.242462   0.000226
  2.264523   0.000230
  2.286583   0.000231
  2.308643   0.000228
  2.330704   0.000231
  2.352764   0.000232
  2.374824   0.000229
  2.396884   0.000229
  2.418945   0.000230
  2.441005   0.000226
  2.463065   0.000231
  2.485126   0.000227
  2.507186   0.000226
  2.529246   0.000223
  2.551307   0.000222
  2.573367   0.000222
  2.595427   0.000230
  2.617487   0.000223
  2.639548   0.000231
  2.661608   0.000233
  2.683668   0.000238
  2.705729   0.000237
  2.727789   0.000228
  2.749849   0.000227
  2.771910   0.000233
  2.793970   0.000239
  2.816030   0.000237
  2.838090   0.000227
  2.860151   0.000220
  2.882211   0.000231
  2.904271   0.000224
  2.926332   0.000237
  2.948392   0.000226
  2.970452   0.000223
  2.992513   0.000220
  3.014573   0.000222
  3.036633   0.000225
  3.058693   0.000226
  3.080754   0.000233
  3.102814   0.000231
  3.124874   0.000235
  3.146935   0.000233
  3.168995   0.000236
  3.191055   0.000235
  3.213116   0.000240
  3.235176   0.000233
  3.257236   0.000232
  3.279296   0.000236
  3.301357   0.000233
  3.323417   0.000245
  3.345477   0.000242
  3.367538   0.000236
  3.389598   0.000232
  3.411658   0.000237
  3.433719   0.000233
  3.455779   0.000234
  3.477839   0.000237
  3.499899   0.000231
  3.521960   0.000233
  3.544020   0.000233
  3.566080   0.000233
  3.588141   0.000236
  3.610201   0.000231
  3.632261   0.000231
  3.654322   0.000232
  3.676382   0.000228
  3.698442   0.000226
  3.720503   0.000230
  3.742563   0.000229
  3.764623   0.000229
  3.786683   0.000227
  3.808744   0.000223
  3.830804   0.000225
  3.852864   0.000223
  3.874925   0.000224
  3.896985   0.000223
  3.919045   0.000222
  3.941106   0.000220
  3.963166   0.000222
  3.985226   0.000224
  4.007286   0.000227
  4.029347   0.000222
  4.051407   0.000221
  4.073467   0.000220
  4.095528   0.000220
  4.117588   0.000219
  4.139648   0.000216
  4.161709   0.000220
  4.183769   0.000222
  4.205829   0.000227
  4.227889   0.000221
  4.249950   0.000231
  4.272010   0.000257
  4.294070   0.000243
  4.316131   0.000241
  4.338191   0.000241
  4.360251   0.000242
  4.382312   0.000238
  4.404372   0.000233
  4.426432   0.000238
  4.448492   0.000236
  4.470553   0.000251
  4.492613   0.000247
  4.514673   0.000239
  4.536734   0.000238
  4.558794   0.000230
  4.580854   0.000226
  4.602915   0.000226
  4.624975   0.000224
  4.647035   0.000224
  4.669095   0.000222
  4.691156   0.000222
  4.713216   0.000219
  4.735276   0.000220
  4.757337   0.000222
  4.779397   0.000218
  4.801457   0.000220
  4.823518   0.000222
  4.845578   0.000217
  4.867638   0.000222
  4.889698   0.000225
  4.911759   0.000231
  4.933819   0.000216
  4.955879   0.000223
  4.977940   0.000221
  5.000000   0.000219
