# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.000824
  0.632060   0.000885
  0.654121   0.000869
  0.676181   0.000790
  0.698241   0.000925
  0.720302   0.001037
  0.742362   0.001053
  0.764422   0.000848
  0.786482   0.000913
  0.808543   0.000907
  0.830603   0.001173
  0.852663   0.001130
  0.874724   0.001154
  0.896784   0.001283
  0.918844   0.001264
  0.940905   0.001312
  0.962965   0.001415
  0.985025   0.001276
  1.007085   0.001250
  1.029146   0.001179
  1.051206   0.001101
  1.073266   0.001053
  1.095327   0.001337
  1.117387   0.001585
  1.139447   0.001413
  1.161508   0.001659
  1.183568   0.001533
  1.205628   0.001295
  1.227688   0.001146
  1.249749   0.001076
  1.271809   0.001098
  1.293869   0.001137
  1.315930   0.001222
  1.337990   0.001397
  1.360050   0.001529
  1.382111   0.001545
  1.404171   0.001651
  1.426231   0.001471
  1.448291   0.001597
  1.470352   0.001789
  1.492412   0.001247
  1.514472   0.001346
  1.536533   0.001329
  1.558593   0.001102
  1.580653   0.001442
  1.602714   0.001371
  1.624774   0.001675
  1.646834   0.001484
  1.668894   0.001651
  1.690955   0.001615
  1.713015   0.001505
  1.735075   0.001769
  1.757136   0.001688
  1.779196   0.001562
  1.801256   0.001550
  1.823317   0.001943
  1.845377   0.001447
  1.867437   0.001365
  1.889497   0.001693
  1.911558   0.001385
  1.933618   0.001459
  1.955678   0.001288
  1.977739   0.001198
  1.999799   0.001418
  2.021859   0.001469
  2.043920   0.001396
  2.065980   0.001588
  2.088040   0.001533
  2.110101   0.001436
  2.132161   0.001604
  2.154221   0.001463
  2.176281   0.001448
  2.198342   0.001697
  2.220402   0.001691
  2.242462   0.001679
  2.264523   0.001961
  2.286583   0.002069
  2.308643   0.001809
  2.330704   0.001920
  2.352764   0.002162
  2.374824   0.001899
  2.396884   0.001878
  2.418945   0.001924
  2.441005   0.001746
  2.463065   0.002029
  2.485126   0.001705
  2.507186   0.001606
  2.529246   0.001518
  2.551307   0.001512
  2.573367   0.001486
  2.595427   0.001764
  2.617487   0.001564
  2.639548   0.001887
  2.661608   0.001883
  2.683668   0.002224
  2.705729   0.002202
  2.727789   0.001781
  2.749849   0.001521
  2.771910   0.001833
  2.793970   0.002499
  2.816030   0.002400
  2.838090   0.001546
  2.860151   0.001274
  2.882211   0.001741
  2.904271   0.001461
  2.926332   0.001958
  2.948392   0.001511
  2.970452   0.001435
  2.992513   0.001362
  3.014573   0.001449
  3.036633   0.001526
  3.058693   0.001535
  3.080754   0.001835
  3.102814   0.001770
  3.124874   0.002058
  3.146935   0.001995
  3.168995   0.002132
  3.191055   0.002191
  3.213116   0.002371
  3.235176   0.001971
  3.257236   0.001903
  3.279296   0.002211
  3.301357   0.001982
  3.323417   0.002766
  3.345477   0.002530
  3.367538   0.002176
  3.389598   0.001901
  3.411658   0.002229
  3.433719   0.001956
  3.455779   0.002019
  3.477839   0.002397
  3.499899   0.001844
  3.521960   0.001972
  3.544020   0.001927
  3.566080   0.001929
  3.588141   0.002158
  3.610201   0.001881
  3.632261   0.001877
  3.654322   0.002106
  3.676382   0.001800
  3.698442   0.001610
  3.720503   0.001788
  3.742563   0.001937
  3.764623   0.001795
  3.786683   0.001787
  3.808744   0.001466
  3.830804   0.001588
  3.852864   0.001510
  3.874925   0.001613
  3.896985   0.001487
  3.919045   0.001521
  3.941106   0.001398
  3.963166   0.001508
  3.985226   0.001599
  4.007286   0.001758
  4.029347   0.001510
  4.051407   0.001453
  4.073467   0.001419
  4.095528   0.001416
  4.117588   0.001361
  4.139648   0.001229
  4.161709   0.001434
  4.183769   0.001494
  4.205829   0.001553
  4.227889   0.001453
  4.249950   0.001948
  4.272010   0.003957
  4.294070   0.002115
  4.316131   0.002151
  4.338191   0.002257
  4.360251   0.001574
  4.382312   0.001644
  4.404372   0.001508
  4.426432   0.002042
  4.448492   0.001984
  4.470553   0.003088
  4.492613   0.002753
  4.514673   0.002280
  4.536734   0.002116
  4.558794   0.001526
  4.580854   0.001514
  4.602915   0.001525
  4.624975   0.001382
  4.647035   0.001426
  4.669095   0.001278
  4.691156   0.001310
  4.713216   0.001233
  4.735276   0.001262
  4.757337   0.001411
  4.779397   0.001229
  4.801457   0.001332
  4.823518   0.001445
  4.845578   0.001220
  4.867638   0.001306
  4.889698   0.001475
  4.911759   0.001884
  4.933819   0.001241
  4.955879   0.001454
  4.977940   0.001275
  5.000000   0.001246
