# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.003562
  0.632060   0.003602
  0.654121   0.003592
  0.676181   0.003529
  0.698241   0.003610
  0.720302   0.003666
  0.742362   0.003679
  0.764422   0.003544
  0.786482   0.003616
  0.808543   0.003620
  0.830603   0.003695
  0.852663   0.003712
  0.874724   0.003707
  0.896784   0.003756
  0.918844   0.003721
  0.940905   0.003735
  0.962965   0.003787
  0.985025   0.003736
  1.007085   0.003745
  1.029146   0.003722
  1.051206   0.003681
  1.073266   0.003641
  1.095327   0.003710
  1.117387   0.003805
  1.139447   0.003795
  1.161508   0.003863
  1.183568   0.003801
  1.205628   0.003746
  1.227688   0.003687
  1.249749   0.003662
  1.271809   0.003660
  1.293869   0.003693
  1.315930   0.003711
  1.337990   0.003778
  1.360050   0.003827
  1.382111   0.003817
  1.404171   0.003836
  1.426231   0.003814
  1.448291   0.003798
  1.470352   0.003840
  1.492412   0.003728
  1.514472   0.003721
  1.536533   0.003717
  1.558593   0.003676
  1.580653   0.003715
  1.602714   0.003738
  1.624774   0.003857
  1.646834   0.003798
  1.668894   0.003844
  1.690955   0.003826
  1.713015   0.003797
  1.735075   0.003874
  1.757136   0.003866
  1.779196   0.003802
  1.801256   0.003820
  1.823317   0.003863
  1.845377   0.003785
  1.867437   0.003750
  1.889497   0.003809
  1.911558   0.003788
  1.933618   0.003758
  1.955678   0.003758
  1.977739   0.003712
  1.999799   0.003761
  2.021859   0.003748
  2.043920   0.003738
  2.065980   0.003792
  2.088040   0.003771
  2.110101   0.003745
  2.132161   0.003840
  2.154221   0.003768
  2.176281   0.003756
  2.198342   0.003836
  2.220402   0.003836
  2.242462   0.003802
  2.264523   0.003859
  2.286583   0.003929
  2.308643   0.003852
  2.330704   0.003867
  2.352764   0.003948
  2.374824   0.003874
  2.396884   0.003877
  2.418945   0.003869
  2.441005   0.003872
  2.463065   0.003915
  2.485126   0.003816
  2.507186   0.003785
  2.529246   0.003778
  2.551307   0.003792
  2.573367   0.003794
  2.595427   0.003823
  2.617487   0.003806
  2.639548   0.003839
  2.661608   0.003853
  2.683668   0.003885
  2.705729   0.003895
  2.727789   0.003894
  2.749849   0.003773
  2.771910   0.003793
  2.793970   0.003956
  2.816030   0.003949
  2.838090   0.003765
  2.860151   0.003777
  2.882211   0.003792
  2.904271   0.003767
  2.926332   0.003790
  2.948392   0.003761
  2.970452   0.003767
  2.992513   0.003758
  3.014573   0.003745
  3.036633   0.003782
  3.058693   0.003774
  3.080754   0.003796
  3.102814   0.003787
  3.124874   0.003847
  3.146935   0.003886
  3.168995   0.003912
  3.191055   0.003918
  3.213116   0.003901
  3.235176   0.003861
  3.257236   0.003844
  3.279296   0.003899
  3.301357   0.003857
  3.323417   0.003990
  3.345477   0.003930
  3.367538   0.003894
  3.389598   0.003844
  3.411658   0.003897
  3.433719   0.003854
  3.455779   0.003869
  3.477839   0.003965
  3.499899   0.003839
  3.521960   0.003853
  3.544020   0.003838
  3.566080   0.003830
  3.588141   0.003885
  3.610201   0.003870
  3.632261   0.003846
  3.654322   0.003936
  3.676382   0.003849
  3.698442   0.003783
  3.720503   0.003839
  3.742563   0.003892
  3.764623   0.003825
  3.786683   0.003852
  3.808744   0.003745
  3.830804   0.003777
  3.852864   0.003735
  3.874925   0.003812
  3.896985   0.003748
  3.919045   0.003777
  3.941106   0.003748
  3.963166   0.003768
  3.985226   0.003793
  4.007286   0.003838
  4.029347   0.003779
  4.051407   0.003752
  4.073467   0.003746
  4.095528   0.003757
  4.117588   0.003715
  4.139648   0.003693
  4.161709   0.003757
  4.183769   0.003799
  4.205829   0.003810
  4.227889   0.003838
  4.249950   0.003893
  4.272010   0.004109
  4.294070   0.003845
  4.316131   0.003841
  4.338191   0.003910
  4.360251   0.003823
  4.382312   0.003807
  4.404372   0.003803
  4.426432   0.003844
  4.448492   0.003827
  4.470553   0.003951
  4.492613   0.003908
  4.514673   0.003893
  4.536734   0.003847
  4.558794   0.003791
  4.580854   0.003796
  4.602915   0.003768
  4.624975   0.003770
  4.647035   0.003795
  4.669095   0.003722
  4.691156   0.003727
  4.713216   0.003729
  4.735276   0.003763
  4.757337   0.003771
  4.779397   0.003721
  4.801457   0.003760
  4.823518   0.003738
  4.845578   0.003732
  4.867638   0.003739
  4.889698   0.003787
  4.911759   0.003834
  4.933819   0.003739
  4.955879   0.003783
  4.977940   0.003707
  5.000000   0.003707
