# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.001296
  0.632060   0.001321
  0.654121   0.001314
  0.676181   0.001274
  0.698241   0.001328
  0.720302   0.001366
  0.742362   0.001379
  0.764422   0.001285
  0.786482   0.001331
  0.808543   0.001332
  0.830603   0.001393
  0.852663   0.001402
  0.874724   0.001400
  0.896784   0.001435
  0.918844   0.001411
  0.940905   0.001423
  0.962965   0.001459
  0.985025   0.001421
  1.007085   0.001428
  1.029146   0.001411
  1.051206   0.001382
  1.073266   0.001354
  1.095327   0.001407
  1.117387   0.001476
  1.139447   0.001464
  1.161508   0.001514
  1.183568   0.001470
  1.205628   0.001429
  1.227688   0.001387
  1.249749   0.001369
  1.271809   0.001367
  1.293869   0.001391
  1.315930   0.001405
  1.337990   0.001453
  1.360050   0.001487
  1.382111   0.001480
  1.404171   0.001495
  1.426231   0.001477
  1.448291   0.001470
  1.470352   0.001504
  1.492412   0.001414
  1.514472   0.001414
  1.536533   0.001412
  1.558593   0.001377
  1.580653   0.001416
  1.602714   0.001429
  1.624774   0.001511
  1.646834   0.001467
  1.668894   0.001502
  1.690955   0.001491
  1.713015   0.001468
  1.735075   0.001524
  1.757136   0.001517
  1.779196   0.001471
  1.801256   0.001484
  1.823317   0.001517
  1.845377   0.001458
  1.867437   0.001433
  1.889497   0.001482
  1.911558   0.001458
  1.933618   0.001441
  1.955678   0.001432
  1.977739   0.001402
  1.999799   0.001445
  2.021859   0.001436
  2.043920   0.001424
  2.065980   0.001466
  2.088040   0.001451
  2.110101   0.001435
  2.132161   0.001498
  2.154221   0.001449
  2.176281   0.001442
  2.198342   0.001498
  2.220402   0.001498
  2.242462   0.001487
  2.264523   0.001533
  2.286583   0.001566
  2.308643   0.001511
  2.330704   0.001523
  2.352764   0.001580
  2.374824   0.001528
  2.396884   0.001528
  2.418945   0.001526
  2.441005   0.001520
  2.463065   0.001556
  2.485126   0.001487
  2.507186   0.001464
  2.529246   0.001456
  2.551307   0.001462
  2.573367   0.001460
  2.595427   0.001486
  2.617487   0.001473
  2.639548   0.001511
  2.661608   0.001509
  2.683668   0.001541
  2.705729   0.001546
  2.727789   0.001536
  2.749849   0.001444
  2.771910   0.001453
  2.793970   0.001592
  2.816030   0.001586
  2.838090   0.001440
  2.860151   0.001441
  2.882211   0.001469
  2.904271   0.001439
  2.926332   0.001479
  2.948392   0.001444
  2.970452   0.001435
  2.992513   0.001434
  3.014573   0.001434
  3.036633   0.001459
  3.058693   0.001446
  3.080754   0.001476
  3.102814   0.001471
  3.124874   0.001516
  3.146935   0.001535
  3.168995   0.001555
  3.191055   0.001560
  3.213116   0.001555
  3.235176   0.001520
  3.257236   0.001507
  3.279296   0.001551
  3.301357   0.001519
  3.323417   0.001616
  3.345477   0.001575
  3.367538   0.001546
  3.389598   0.001508
  3.411658   0.001549
  3.433719   0.001514
  3.455779   0.001526
  3.477839   0.001595
  3.499899   0.001505
  3.521960   0.001517
  3.544020   0.001506
  3.566080   0.001502
  3.588141   0.001539
  3.610201   0.001523
  3.632261   0.001515
  3.654322   0.001571
  3.676382   0.001509
  3.698442   0.001463
  3.720503   0.001499
  3.742563   0.001540
  3.764623   0.001493
  3.786683   0.001511
  3.808744   0.001436
  3.830804   0.001460
  3.852864   0.001420
  3.874925   0.001481
  3.896985   0.001438
  3.919045   0.001457
  3.941106   0.001432
  3.963166   0.001452
  3.985226   0.001470
  4.007286   0.001502
  4.029347   0.001458
  4.051407   0.001439
  4.073467   0.001434
  4.095528   0.001441
  4.117588   0.001414
  4.139648   0.001392
  4.161709   0.001442
  4.183769   0.001466
  4.205829   0.001473
  4.227889   0.001485
  4.249950   0.001537
  4.272010   0.001710
  4.294070   0.001492
  4.316131   0.001513
  4.338191   0.001558
  4.360251   0.001478
  4.382312   0.001468
  4.404372   0.001465
  4.426432   0.001506
  4.448492   0.001500
  4.470553   0.001599
  4.492613   0.001566
  4.514673   0.001549
  4.536734   0.001515
  4.558794   0.001452
  4.580854   0.001458
  4.602915   0.001441
  4.624975   0.001442
  4.647035   0.001459
  4.669095   0.001405
  4.691156   0.001413
  4.713216   0.001412
  4.735276   0.001435
  4.757337   0.001442
  4.779397   0.001403
  4.801457   0.001435
  4.823518   0.001430
  4.845578   0.001415
  4.867638   0.001419
  4.889698   0.001452
  4.911759   0.001504
  4.933819   0.001416
  4.955879   0.001450
  4.977940   0.001400
  5.000000   0.001399
