# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.000475
  0.632060   0.000481
  0.654121   0.000480
  0.676181   0.000474
  0.698241   0.000488
  0.720302   0.000502
  0.742362   0.000500
  0.764422   0.000488
  0.786482   0.000486
  0.808543   0.000486
  0.830603   0.000514
  0.852663   0.000506
  0.874724   0.000510
  0.896784   0.000518
  0.918844   0.000523
  0.940905   0.000526
  0.962965   0.000529
  0.985025   0.000527
  1.007085   0.000517
  1.029146   0.000511
  1.051206   0.000509
  1.073266   0.000508
  1.095327   0.000536
  1.117387   0.000545
  1.139447   0.000533
  1.161508   0.000539
  1.183568   0.000546
  1.205628   0.000524
  1.227688   0.000515
  1.249749   0.000508
  1.271809   0.000517
  1.293869   0.000512
  1.315930   0.000521
  1.337990   0.000529
  1.360050   0.000537
  1.382111   0.000543
  1.404171   0.000548
  1.426231   0.000535
  1.448291   0.000552
  1.470352   0.000556
  1.492412   0.000528
  1.514472   0.000539
  1.536533   0.000536
  1.558593   0.000519
  1.580653   0.000549
  1.602714   0.000533
  1.624774   0.000543
  1.646834   0.000537
  1.668894   0.000544
  1.690955   0.000543
  1.713015   0.000539
  1.735075   0.000548
  1.757136   0.000543
  1.779196   0.000553
  1.801256   0.000538
  1.823317   0.000571
  1.845377   0.000537
  1.867437   0.000535
  1.889497   0.000555
  1.911558   0.000535
  1.933618   0.000544
  1.955678   0.000529
  1.977739   0.000519
  1.999799   0.000539
  2.021859   0.000547
  2.043920   0.000545
  2.065980   0.000547
  2.088040   0.000546
  2.110101   0.000542
  2.132161   0.000540
  2.154221   0.000539
  2.176281   0.000540
  2.198342   0.000551
  2.220402   0.000551
  2.242462   0.000551
  2.264523   0.000562
  2.286583   0.000562
  2.308643   0.000557
  2.330704   0.000563
  2.352764   0.000565
  2.374824   0.000559
  2.396884   0.000559
  2.418945   0.000561
  2.441005   0.000553
  2.463065   0.000562
  2.485126   0.000553
  2.507186   0.000555
  2.529246   0.000544
  2.551307   0.000544
  2.573367   0.000542
  2.595427   0.000564
  2.617487   0.000544
  2.639548   0.000564
  2.661608   0.000570
  2.683668   0.000581
  2.705729   0.000579
  2.727789   0.000558
  2.749849   0.000558
  2.771910   0.000570
  2.793970   0.000582
  2.816030   0.000579
  2.838090   0.000556
  2.860151   0.000541
  2.882211   0.000566
  2.904271   0.000549
  2.926332   0.000581
  2.948392   0.000555
  2.970452   0.000548
  2.992513   0.000539
  3.014573   0.000545
  3.036633   0.000551
  3.058693   0.000554
  3.080754   0.000572
  3.102814   0.000566
  3.124874   0.000576
  3.146935   0.000570
  3.168995   0.000576
  3.191055   0.000574
  3.213116   0.000586
  3.235176   0.000571
  3.257236   0.000568
  3.279296   0.000576
  3.301357   0.000570
  3.323417   0.000598
  3.345477   0.000592
  3.367538   0.000577
  3.389598   0.000568
  3.411658   0.000578
  3.433719   0.000571
  3.455779   0.000571
  3.477839   0.000578
  3.499899   0.000564
  3.521960   0.000569
  3.544020   0.000569
  3.566080   0.000570
  3.588141   0.000578
  3.610201   0.000564
  3.632261   0.000564
  3.654322   0.000565
  3.676382   0.000557
  3.698442   0.000553
  3.720503   0.000562
  3.742563   0.000560
  3.764623   0.000559
  3.786683   0.000555
  3.808744   0.000546
  3.830804   0.000550
  3.852864   0.000545
  3.874925   0.000547
  3.896985   0.000545
  3.919045   0.000543
  3.941106   0.000538
  3.963166   0.000543
  3.985226   0.000547
  4.007286   0.000554
  4.029347   0.000542
  4.051407   0.000540
  4.073467   0.000538
  4.095528   0.000538
  4.117588   0.000537
  4.139648   0.000529
  4.161709   0.000536
  4.183769   0.000540
  4.205829   0.000558
  4.227889   0.000536
  4.249950   0.000566
  4.272010   0.000627
  4.294070   0.000598
  4.316131   0.000591
  4.338191   0.000590
  4.360251   0.000599
  4.382312   0.000588
  4.404372   0.000575
  4.426432   0.000585
  4.448492   0.000580
  4.470553   0.000614
  4.492613   0.000607
  4.514673   0.000586
  4.536734   0.000584
  4.558794   0.000566
  4.580854   0.000557
  4.602915   0.000556
  4.624975   0.000551
  4.647035   0.000552
  4.669095   0.000548
  4.691156   0.000548
  4.713216   0.000541
  4.735276   0.000542
  4.757337   0.000543
  4.779397   0.000536
  4.801457   0.000539
  4.823518   0.000545
  4.845578   0.000533
  4.867638   0.000545
  4.889698   0.000550
  4.911759   0.000563
  4.933819   0.000529
  4.955879   0.000545
  4.977940   0.000542
  5.000000   0.000539
