# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.001170
  0.632060   0.001187
  0.654121   0.001183
  0.676181   0.001159
  0.698241   0.001201
  0.720302   0.001233
  0.742362   0.001234
  0.764422   0.001183
  0.786482   0.001198
  0.808543   0.001197
  0.830603   0.001266
  0.852663   0.001253
  0.874724   0.001260
  0.896784   0.001286
  0.918844   0.001287
  0.940905   0.001296
  0.962965   0.001311
  0.985025   0.001289
  1.007085   0.001280
  1.029146   0.001265
  1.051206   0.001249
  1.073266   0.001240
  1.095327   0.001306
  1.117387   0.001343
  1.139447   0.001311
  1.161508   0.001347
  1.183568   0.001336
  1.205628   0.001291
  1.227688   0.001261
  1.249749   0.001244
  1.271809   0.001254
  1.293869   0.001257
  1.315930   0.001278
  1.337990   0.001309
  1.360050   0.001330
  1.382111   0.001336
  1.404171   0.001351
  1.426231   0.001321
  1.448291   0.001348
  1.470352   0.001371
  1.492412   0.001285
  1.514472   0.001308
  1.536533   0.001304
  1.558593   0.001253
  1.580653   0.001328
  1.602714   0.001308
  1.624774   0.001351
  1.646834   0.001325
  1.668894   0.001349
  1.690955   0.001345
  1.713015   0.001329
  1.735075   0.001364
  1.757136   0.001352
  1.779196   0.001343
  1.801256   0.001334
  1.823317   0.001394
  1.845377   0.001320
  1.867437   0.001307
  1.889497   0.001361
  1.911558   0.001308
  1.933618   0.001326
  1.955678   0.001295
  1.977739   0.001273
  1.999799   0.001317
  2.021859   0.001329
  2.043920   0.001318
  2.065980   0.001345
  2.088040   0.001337
  2.110101   0.001322
  2.132161   0.001341
  2.154221   0.001324
  2.176281   0.001323
  2.198342   0.001358
  2.220402   0.001357
  2.242462   0.001356
  2.264523   0.001391
  2.286583   0.001399
  2.308643   0.001373
  2.330704   0.001387
  2.352764   0.001408
  2.374824   0.001383
  2.396884   0.001381
  2.418945   0.001387
  2.441005   0.001363
  2.463065   0.001396
  2.485126   0.001361
  2.507186   0.001350
  2.529246   0.001334
  2.551307   0.001333
  2.573367   0.001329
  2.595427   0.001373
  2.617487   0.001339
  2.639548   0.001385
  2.661608   0.001388
  2.683668   0.001423
  2.705729   0.001420
  2.727789   0.001366
  2.749849   0.001345
  2.771910   0.001385
  2.793970   0.001443
  2.816030   0.001434
  2.838090   0.001345
  2.860151   0.001293
  2.882211   0.001373
  2.904271   0.001330
  2.926332   0.001402
  2.948392   0.001338
  2.970452   0.001326
  2.992513   0.001310
  3.014573   0.001325
  3.036633   0.001338
  3.058693   0.001342
  3.080754   0.001386
  3.102814   0.001376
  3.124874   0.001408
  3.146935   0.001397
  3.168995   0.001412
  3.191055   0.001416
  3.213116   0.001437
  3.235176   0.001397
  3.257236   0.001389
  3.279296   0.001420
  3.301357   0.001397
  3.323417   0.001469
  3.345477   0.001451
  3.367538   0.001417
  3.389598   0.001389
  3.411658   0.001422
  3.433719   0.001395
  3.455779   0.001401
  3.477839   0.001433
  3.499899   0.001381
  3.521960   0.001396
  3.544020   0.001392
  3.566080   0.001393
  3.588141   0.001416
  3.610201   0.001383
  3.632261   0.001384
  3.654322   0.001403
  3.676382   0.001372
  3.698442   0.001350
  3.720503   0.001374
  3.742563   0.001386
  3.764623   0.001374
  3.786683   0.001370
  3.808744   0.001328
  3.830804   0.001346
  3.852864   0.001333
  3.874925   0.001347
  3.896985   0.001331
  3.919045   0.001334
  3.941106   0.001315
  3.963166   0.001332
  3.985226   0.001346
  4.007286   0.001367
  4.029347   0.001332
  4.051407   0.001324
  4.073467   0.001318
  4.095528   0.001316
  4.117588   0.001309
  4.139648   0.001284
  4.161709   0.001319
  4.183769   0.001332
  4.205829   0.001344
  4.227889   0.001327
  4.249950   0.001391
  4.272010   0.001547
  4.294070   0.001441
  4.316131   0.001424
  4.338191   0.001423
  4.360251   0.001348
  4.382312   0.001362
  4.404372   0.001340
  4.426432   0.001410
  4.448492   0.001403
  4.470553   0.001496
  4.492613   0.001474
  4.514673   0.001429
  4.536734   0.001416
  4.558794   0.001348
  4.580854   0.001339
  4.602915   0.001339
  4.624975   0.001318
  4.647035   0.001324
  4.669095   0.001303
  4.691156   0.001307
  4.713216   0.001286
  4.735276   0.001291
  4.757337   0.001322
  4.779397   0.001288
  4.801457   0.001306
  4.823518   0.001325
  4.845578   0.001284
  4.867638   0.001305
  4.889698   0.001334
  4.911759   0.001385
  4.933819   0.001287
  4.955879   0.001329
  4.977940   0.001303
  5.000000   0.001288
