# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.000394
  0.632060   0.000406
  0.654121   0.000403
  0.676181   0.000392
  0.698241   0.000416
  0.720302   0.000437
  0.742362   0.000434
  0.764422   0.000415
  0.786482   0.000412
  0.808543   0.000411
  0.830603   0.000458
  0.852663   0.000444
  0.874724   0.000451
  0.896784   0.000464
  0.918844   0.000472
  0.940905   0.000478
  0.962965   0.000483
  0.985025   0.000478
  1.007085   0.000463
  1.029146   0.000453
  1.051206   0.000448
  1.073266   0.000446
  1.095327   0.000494
  1.117387   0.000511
  1.139447   0.000488
  1.161508   0.000502
  1.183568   0.000511
  1.205628   0.000474
  1.227688   0.000458
  1.249749   0.000447
  1.271809   0.000462
  1.293869   0.000453
  1.315930   0.000469
  1.337990   0.000483
  1.360050   0.000497
  1.382111   0.000507
  1.404171   0.000517
  1.426231   0.000492
  1.448291   0.000523
  1.470352   0.000531
  1.492412   0.000479
  1.514472   0.000499
  1.536533   0.000494
  1.558593   0.000464
  1.580653   0.000516
  1.602714   0.000489
  1.624774   0.000508
  1.646834   0.000497
  1.668894   0.000509
  1.690955   0.000507
  1.713015   0.000499
  1.735075   0.000517
  1.757136   0.000507
  1.779196   0.000523
  1.801256   0.000499
  1.823317   0.000558
  1.845377   0.000497
  1.867437   0.000491
  1.889497   0.000528
  1.911558   0.000491
  1.933618   0.000508
  1.955678   0.000481
  1.977739   0.000464
  1.999799   0.000500
  2.021859   0.000513
  2.043920   0.000510
  2.065980   0.000514
  2.088040   0.000512
  2.110101   0.000504
  2.132161   0.000502
  2.154221   0.000500
  2.176281   0.000502
  2.198342   0.000521
  2.220402   0.000521
  2.242462   0.000521
  2.264523   0.000541
  2.286583   0.000542
  2.308643   0.000532
  2.330704   0.000543
  2.352764   0.000547
  2.374824   0.000537
  2.396884   0.000536
  2.418945   0.000540
  2.441005   0.000524
  2.463065   0.000542
  2.485126   0.000526
  2.507186   0.000527
  2.529246   0.000509
  2.551307   0.000507
  2.573367   0.000506
  2.595427   0.000545
  2.617487   0.000508
  2.639548   0.000545
  2.661608   0.000556
  2.683668   0.000577
  2.705729   0.000574
  2.727789   0.000534
  2.749849   0.000533
  2.771910   0.000556
  2.793970   0.000580
  2.816030   0.000574
  2.838090   0.000529
  2.860151   0.000502
  2.882211   0.000548
  2.904271   0.000517
  2.926332   0.000576
  2.948392   0.000526
  2.970452   0.000515
  2.992513   0.000499
  3.014573   0.000509
  3.036633   0.000521
  3.058693   0.000525
  3.080754   0.000560
  3.102814   0.000548
  3.124874   0.000567
  3.146935   0.000557
  3.168995   0.000568
  3.191055   0.000565
  3.213116   0.000586
  3.235176   0.000558
  3.257236   0.000552
  3.279296   0.000569
  3.301357   0.000557
  3.323417   0.000611
  3.345477   0.000599
  3.367538   0.000570
  3.389598   0.000552
  3.411658   0.000572
  3.433719   0.000558
  3.455779   0.000559
  3.477839   0.000573
  3.499899   0.000544
  3.521960   0.000554
  3.544020   0.000554
  3.566080   0.000556
  3.588141   0.000571
  3.610201   0.000544
  3.632261   0.000546
  3.654322   0.000548
  3.676382   0.000533
  3.698442   0.000524
  3.720503   0.000541
  3.742563   0.000537
  3.764623   0.000536
  3.786683   0.000528
  3.808744   0.000511
  3.830804   0.000520
  3.852864   0.000510
  3.874925   0.000514
  3.896985   0.000511
  3.919045   0.000507
  3.941106   0.000498
  3.963166   0.000507
  3.985226   0.000514
  4.007286   0.000526
  4.029347   0.000505
  4.051407   0.000501
  4.073467   0.000498
  4.095528   0.000497
  4.117588   0.000495
  4.139648   0.000481
  4.161709   0.000495
  4.183769   0.000501
  4.205829   0.000531
  4.227889   0.000491
  4.249950   0.000548
  4.272010   0.000668
  4.294070   0.000609
  4.316131   0.000596
  4.338191   0.000595
  4.360251   0.000611
  4.382312   0.000590
  4.404372   0.000564
  4.426432   0.000583
  4.448492   0.000574
  4.470553   0.000642
  4.492613   0.000628
  4.514673   0.000587
  4.536734   0.000582
  4.558794   0.000546
  4.580854   0.000531
  4.602915   0.000529
  4.624975   0.000518
  4.647035   0.000521
  4.669095   0.000514
  4.691156   0.000513
  4.713216   0.000501
  4.735276   0.000504
  4.757337   0.000506
  4.779397   0.000492
  4.801457   0.000498
  4.823518   0.000509
  4.845578   0.000487
  4.867638   0.000510
  4.889698   0.000519
  4.911759   0.000544
  4.933819   0.000482
  4.955879   0.000510
  4.977940   0.000504
  5.000000   0.000498
