# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.001410
  0.632060   0.001422
  0.654121   0.001419
  0.676181   0.001397
  0.698241   0.001429
  0.720302   0.001452
  0.742362   0.001456
  0.764422   0.001408
  0.786482   0.001430
  0.808543   0.001430
  0.830603   0.001470
  0.852663   0.001469
  0.874724   0.001470
  0.896784   0.001491
  0.918844   0.001482
  0.940905   0.001490
  0.962965   0.001506
  0.985025   0.001485
  1.007085   0.001486
  1.029146   0.001476
  1.051206   0.001460
  1.073266   0.001447
  1.095327   0.001486
  1.117387   0.001520
  1.139447   0.001507
  1.161508   0.001535
  1.183568   0.001515
  1.205628   0.001489
  1.227688   0.001466
  1.249749   0.001455
  1.271809   0.001455
  1.293869   0.001466
  1.315930   0.001477
  1.337990   0.001503
  1.360050   0.001521
  1.382111   0.001519
  1.404171   0.001529
  1.426231   0.001514
  1.448291   0.001518
  1.470352   0.001538
  1.492412   0.001482
  1.514472   0.001487
  1.536533   0.001486
  1.558593   0.001459
  1.580653   0.001494
  1.602714   0.001495
  1.624774   0.001535
  1.646834   0.001512
  1.668894   0.001531
  1.690955   0.001526
  1.713015   0.001514
  1.735075   0.001543
  1.757136   0.001537
  1.779196   0.001516
  1.801256   0.001521
  1.823317   0.001547
  1.845377   0.001507
  1.867437   0.001495
  1.889497   0.001528
  1.911558   0.001505
  1.933618   0.001503
  1.955678   0.001493
  1.977739   0.001476
  1.999799   0.001502
  2.021859   0.001502
  2.043920   0.001494
  2.065980   0.001518
  2.088040   0.001511
  2.110101   0.001500
  2.132161   0.001528
  2.154221   0.001506
  2.176281   0.001503
  2.198342   0.001532
  2.220402   0.001532
  2.242462   0.001529
  2.264523   0.001553
  2.286583   0.001566
  2.308643   0.001541
  2.330704   0.001549
  2.352764   0.001573
  2.374824   0.001549
  2.396884   0.001548
  2.418945   0.001550
  2.441005   0.001540
  2.463065   0.001562
  2.485126   0.001530
  2.507186   0.001518
  2.529246   0.001511
  2.551307   0.001513
  2.573367   0.001510
  2.595427   0.001531
  2.617487   0.001519
  2.639548   0.001544
  2.661608   0.001542
  2.683668   0.001565
  2.705729   0.001565
  2.727789   0.001546
  2.749849   0.001505
  2.771910   0.001527
  2.793970   0.001587
  2.816030   0.001582
  2.838090   0.001507
  2.860151   0.001498
  2.882211   0.001525
  2.904271   0.001502
  2.926332   0.001538
  2.948392   0.001506
  2.970452   0.001500
  2.992513   0.001495
  3.014573   0.001501
  3.036633   0.001511
  3.058693   0.001507
  3.080754   0.001532
  3.102814   0.001528
  3.124874   0.001552
  3.146935   0.001555
  3.168995   0.001564
  3.191055   0.001568
  3.213116   0.001573
  3.235176   0.001549
  3.257236   0.001543
  3.279296   0.001567
  3.301357   0.001550
  3.323417   0.001599
  3.345477   0.001582
  3.367538   0.001564
  3.389598   0.001543
  3.411658   0.001567
  3.433719   0.001547
  3.455779   0.001553
  3.477839   0.001584
  3.499899   0.001540
  3.521960   0.001549
  3.544020   0.001544
  3.566080   0.001543
  3.588141   0.001561
  3.610201   0.001547
  3.632261   0.001544
  3.654322   0.001569
  3.676382   0.001540
  3.698442   0.001518
  3.720503   0.001535
  3.742563   0.001554
  3.764623   0.001536
  3.786683   0.001540
  3.808744   0.001502
  3.830804   0.001516
  3.852864   0.001506
  3.874925   0.001523
  3.896985   0.001504
  3.919045   0.001512
  3.941106   0.001497
  3.963166   0.001510
  3.985226   0.001520
  4.007286   0.001536
  4.029347   0.001511
  4.051407   0.001503
  4.073467   0.001499
  4.095528   0.001501
  4.117588   0.001490
  4.139648   0.001473
  4.161709   0.001503
  4.183769   0.001517
  4.205829   0.001518
  4.227889   0.001523
  4.249950   0.001554
  4.272010   0.001650
  4.294070   0.001527
  4.316131   0.001552
  4.338191   0.001570
  4.360251   0.001524
  4.382312   0.001520
  4.404372   0.001517
  4.426432   0.001548
  4.448492   0.001544
  4.470553   0.001603
  4.492613   0.001586
  4.514673   0.001568
  4.536734   0.001554
  4.558794   0.001507
  4.580854   0.001510
  4.602915   0.001507
  4.624975   0.001502
  4.647035   0.001509
  4.669095   0.001481
  4.691156   0.001485
  4.713216   0.001483
  4.735276   0.001494
  4.757337   0.001498
  4.779397   0.001477
  4.801457   0.001497
  4.823518   0.001500
  4.845578   0.001482
  4.867638   0.001489
  4.889698   0.001509
  4.911759   0.001542
  4.933819   0.001483
  4.955879   0.001507
  4.977940   0.001479
  5.000000   0.001478
