# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.000410
  0.632060   0.000413
  0.654121   0.000412
  0.676181   0.000408
  0.698241   0.000417
  0.720302   0.000425
  0.742362   0.000424
  0.764422   0.000415
  0.786482   0.000416
  0.808543   0.000416
  0.830603   0.000433
  0.852663   0.000428
  0.874724   0.000430
  0.896784   0.000436
  0.918844   0.000438
  0.940905   0.000440
  0.962965   0.000442
  0.985025   0.000439
  1.007085   0.000435
  1.029146   0.000431
  1.051206   0.000429
  1.073266   0.000428
  1.095327   0.000444
  1.117387   0.000451
  1.139447   0.000443
  1.161508   0.000450
  1.183568   0.000450
  1.205628   0.000439
  1.227688   0.000432
  1.249749   0.000428
  1.271809   0.000432
  1.293869   0.000431
  1.315930   0.000436
  1.337990   0.000442
  1.360050   0.000447
  1.382111   0.000449
  1.404171   0.000453
  1.426231   0.000445
  1.448291   0.000454
  1.470352   0.000458
  1.492412   0.000439
  1.514472   0.000445
  1.536533   0.000444
  1.558593   0.000432
  1.580653   0.000451
  1.602714   0.000443
  1.624774   0.000451
  1.646834   0.000447
  1.668894   0.000451
  1.690955   0.000450
  1.713015   0.000447
  1.735075   0.000454
  1.757136   0.000451
  1.779196   0.000453
  1.801256   0.000448
  1.823317   0.000465
  1.845377   0.000446
  1.867437   0.000444
  1.889497   0.000456
  1.911558   0.000443
  1.933618   0.000449
  1.955678   0.000441
  1.977739   0.000435
  1.999799   0.000446
  2.021859   0.000450
  2.043920   0.000448
  2.065980   0.000452
  2.088040   0.000451
  2.110101   0.000448
  2.132161   0.000449
  2.154221   0.000447
  2.176281   0.000447
  2.198342   0.000454
  2.220402   0.000454
  2.242462   0.000454
  2.264523   0.000461
  2.286583   0.000462
  2.308643   0.000458
  2.330704   0.000461
  2.352764   0.000464
  2.374824   0.000460
  2.396884   0.000459
  2.418945   0.000461
  2.441005   0.000455
  2.463065   0.000462
  2.485126   0.000456
  2.507186   0.000455
  2.529246   0.000450
  2.551307   0.000449
  2.573367   0.000449
  2.595427   0.000460
  2.617487   0.000450
  2.639548   0.000462
  2.661608   0.000464
  2.683668   0.000471
  2.705729   0.000470
  2.727789   0.000457
  2.749849   0.000456
  2.771910   0.000464
  2.793970   0.000473
  2.816030   0.000471
  2.838090   0.000455
  2.860151   0.000442
  2.882211   0.000461
  2.904271   0.000451
  2.926332   0.000469
  2.948392   0.000454
  2.970452   0.000450
  2.992513   0.000445
  3.014573   0.000449
  3.036633   0.000452
  3.058693   0.000454
  3.080754   0.000464
  3.102814   0.000461
  3.124874   0.000468
  3.146935   0.000465
  3.168995   0.000468
  3.191055   0.000468
  3.213116   0.000474
  3.235176   0.000465
  3.257236   0.000463
  3.279296   0.000469
  3.301357   0.000465
  3.323417   0.000482
  3.345477   0.000477
  3.367538   0.000469
  3.389598   0.000463
  3.411658   0.000470
  3.433719   0.000465
  3.455779   0.000466
  3.477839   0.000471
  3.499899   0.000461
  3.521960   0.000464
  3.544020   0.000464
  3.566080   0.000464
  3.588141   0.000469
  3.610201   0.000461
  3.632261   0.000461
  3.654322   0.000463
  3.676382   0.000458
  3.698442   0.000454
  3.720503   0.000460
  3.742563   0.000460
  3.764623   0.000459
  3.786683   0.000457
  3.808744   0.000450
  3.830804   0.000453
  3.852864   0.000450
  3.874925   0.000452
  3.896985   0.000450
  3.919045   0.000449
  3.941106   0.000446
  3.963166   0.000449
  3.985226   0.000452
  4.007286   0.000456
  4.029347   0.000449
  4.051407   0.000447
  4.073467   0.000446
  4.095528   0.000446
  4.117588   0.000445
  4.139648   0.000439
  4.161709   0.000446
  4.183769   0.000449
  4.205829   0.000455
  4.227889   0.000448
  4.249950   0.000463
  4.272010   0.000498
  4.294070   0.000479
  4.316131   0.000474
  4.338191   0.000474
  4.360251   0.000466
  4.382312   0.000466
  4.404372   0.000459
  4.426432   0.000471
  4.448492   0.000468
  4.470553   0.000489
  4.492613   0.000484
  4.514673   0.000473
  4.536734   0.000471
  4.558794   0.000458
  4.580854   0.000454
  4.602915   0.000454
  4.624975   0.000450
  4.647035   0.000451
  4.669095   0.000448
  4.691156   0.000448
  4.713216   0.000442
  4.735276   0.000444
  4.757337   0.000448
  4.779397   0.000442
  4.801457   0.000445
  4.823518   0.000449
  4.845578   0.000441
  4.867638   0.000449
  4.889698   0.000452
  4.911759   0.000462
  4.933819   0.000440
  4.955879   0.000450
  4.977940   0.000446
  5.000000   0.000442
