# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.001119
  0.632060   0.001139
  0.654121   0.001134
  0.676181   0.001109
  0.698241   0.001157
  0.720302   0.001194
  0.742362   0.001193
  0.764422   0.001141
  0.786482   0.001152
  0.808543   0.001150
  0.830603   0.001233
  0.852663   0.001213
  0.874724   0.001223
  0.896784   0.001252
  0.918844   0.001257
  0.940905   0.001267
  0.962965   0.001282
  0.985025   0.001262
  1.007085   0.001245
  1.029146   0.001228
  1.051206   0.001213
  1.073266   0.001205
  1.095327   0.001285
  1.117387   0.001323
  1.139447   0.001284
  1.161508   0.001322
  1.183568   0.001317
  1.205628   0.001261
  1.227688   0.001228
  1.249749   0.001208
  1.271809   0.001224
  1.293869   0.001222
  1.315930   0.001247
  1.337990   0.001280
  1.360050   0.001303
  1.382111   0.001314
  1.404171   0.001332
  1.426231   0.001294
  1.448291   0.001333
  1.470352   0.001357
  1.492412   0.001258
  1.514472   0.001289
  1.536533   0.001283
  1.558593   0.001223
  1.580653   0.001315
  1.602714   0.001283
  1.624774   0.001327
  1.646834   0.001301
  1.668894   0.001326
  1.690955   0.001322
  1.713015   0.001305
  1.735075   0.001343
  1.757136   0.001328
  1.779196   0.001329
  1.801256   0.001309
  1.823317   0.001389
  1.845377   0.001297
  1.867437   0.001283
  1.889497   0.001346
  1.911558   0.001281
  1.933618   0.001307
  1.955678   0.001267
  1.977739   0.001240
  1.999799   0.001294
  2.021859   0.001313
  2.043920   0.001302
  2.065980   0.001327
  2.088040   0.001320
  2.110101   0.001303
  2.132161   0.001316
  2.154221   0.001302
  2.176281   0.001301
  2.198342   0.001340
  2.220402   0.001340
  2.242462   0.001339
  2.264523   0.001378
  2.286583   0.001384
  2.308643   0.001359
  2.330704   0.001376
  2.352764   0.001394
  2.374824   0.001369
  2.396884   0.001367
  2.418945   0.001374
  2.441005   0.001346
  2.463065   0.001382
  2.485126   0.001346
  2.507186   0.001337
  2.529246   0.001315
  2.551307   0.001312
  2.573367   0.001309
  2.595427   0.001365
  2.617487   0.001319
  2.639548   0.001375
  2.661608   0.001383
  2.683668   0.001423
  2.705729   0.001418
  2.727789   0.001348
  2.749849   0.001336
  2.771910   0.001381
  2.793970   0.001441
  2.816030   0.001430
  2.838090   0.001334
  2.860151   0.001261
  2.882211   0.001368
  2.904271   0.001316
  2.926332   0.001406
  2.948392   0.001327
  2.970452   0.001312
  2.992513   0.001289
  3.014573   0.001307
  3.036633   0.001324
  3.058693   0.001330
  3.080754   0.001383
  3.102814   0.001369
  3.124874   0.001405
  3.146935   0.001390
  3.168995   0.001408
  3.191055   0.001411
  3.213116   0.001439
  3.235176   0.001391
  3.257236   0.001382
  3.279296   0.001416
  3.301357   0.001391
  3.323417   0.001483
  3.345477   0.001457
  3.367538   0.001414
  3.389598   0.001382
  3.411658   0.001419
  3.433719   0.001388
  3.455779   0.001395
  3.477839   0.001428
  3.499899   0.001371
  3.521960   0.001389
  3.544020   0.001386
  3.566080   0.001388
  3.588141   0.001415
  3.610201   0.001372
  3.632261   0.001374
  3.654322   0.001390
  3.676382   0.001357
  3.698442   0.001336
  3.720503   0.001365
  3.742563   0.001371
  3.764623   0.001362
  3.786683   0.001354
  3.808744   0.001311
  3.830804   0.001331
  3.852864   0.001314
  3.874925   0.001327
  3.896985   0.001314
  3.919045   0.001314
  3.941106   0.001293
  3.963166   0.001312
  3.985226   0.001327
  4.007286   0.001351
  4.029347   0.001311
  4.051407   0.001303
  4.073467   0.001296
  4.095528   0.001293
  4.117588   0.001287
  4.139648   0.001259
  4.161709   0.001296
  4.183769   0.001308
  4.205829   0.001332
  4.227889   0.001297
  4.249950   0.001380
  4.272010   0.001569
  4.294070   0.001456
  4.316131   0.001433
  4.338191   0.001420
  4.360251   0.001326
  4.382312   0.001348
  4.404372   0.001323
  4.426432   0.001415
  4.448492   0.001404
  4.470553   0.001515
  4.492613   0.001490
  4.514673   0.001431
  4.536734   0.001418
  4.558794   0.001345
  4.580854   0.001328
  4.602915   0.001326
  4.624975   0.001303
  4.647035   0.001310
  4.669095   0.001292
  4.691156   0.001294
  4.713216   0.001262
  4.735276   0.001265
  4.757337   0.001303
  4.779397   0.001267
  4.801457   0.001283
  4.823518   0.001306
  4.845578   0.001267
  4.867638   0.001299
  4.889698   0.001319
  4.911759   0.001376
  4.933819   0.001262
  4.955879   0.001314
  4.977940   0.001286
  5.000000   0.001262
