# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.002087
  0.632060   0.002118
  0.654121   0.002113
  0.676181   0.002080
  0.698241   0.002119
  0.720302   0.002146
  0.742362   0.002151
  0.764422   0.002085
  0.786482   0.002121
  0.808543   0.002126
  0.830603   0.002149
  0.852663   0.002170
  0.874724   0.002163
  0.896784   0.002187
  0.918844   0.002163
  0.940905   0.002164
  0.962965   0.002190
  0.985025   0.002175
  1.007085   0.002177
  1.029146   0.002170
  1.051206   0.002149
  1.073266   0.002131
  1.095327   0.002153
  1.117387   0.002199
  1.139447   0.002204
  1.161508   0.002233
  1.183568   0.002204
  1.205628   0.002176
  1.227688   0.002147
  1.249749   0.002139
  1.271809   0.002136
  1.293869   0.002152
  1.315930   0.002160
  1.337990   0.002189
  1.360050   0.002218
  1.382111   0.002210
  1.404171   0.002220
  1.426231   0.002216
  1.448291   0.002196
  1.470352   0.002195
  1.492412   0.002167
  1.514472   0.002165
  1.536533   0.002157
  1.558593   0.002147
  1.580653   0.002150
  1.602714   0.002155
  1.624774   0.002225
  1.646834   0.002199
  1.668894   0.002218
  1.690955   0.002203
  1.713015   0.002194
  1.735075   0.002231
  1.757136   0.002234
  1.779196   0.002201
  1.801256   0.002208
  1.823317   0.002225
  1.845377   0.002194
  1.867437   0.002174
  1.889497   0.002187
  1.911558   0.002196
  1.933618   0.002175
  1.955678   0.002181
  1.977739   0.002159
  1.999799   0.002170
  2.021859   0.002165
  2.043920   0.002165
  2.065980   0.002189
  2.088040   0.002170
  2.110101   0.002160
  2.132161   0.002217
  2.154221   0.002175
  2.176281   0.002164
  2.198342   0.002206
  2.220402   0.002205
  2.242462   0.002187
  2.264523   0.002197
  2.286583   0.002259
  2.308643   0.002215
  2.330704   0.002212
  2.352764   0.002270
  2.374824   0.002214
  2.396884   0.002229
  2.418945   0.002212
  2.441005   0.002243
  2.463065   0.002249
  2.485126   0.002183
  2.507186   0.002175
  2.529246   0.002180
  2.551307   0.002191
  2.573367   0.002201
  2.595427   0.002201
  2.617487   0.002206
  2.639548   0.002197
  2.661608   0.002224
  2.683668   0.002222
  2.705729   0.002227
  2.727789   0.002254
  2.749849   0.002193
  2.771910   0.002210
  2.793970   0.002258
  2.816030   0.002253
  2.838090   0.002182
  2.860151   0.002200
  2.882211   0.002181
  2.904271   0.002193
  2.926332   0.002160
  2.948392   0.002167
  2.970452   0.002191
  2.992513   0.002185
  3.014573   0.002161
  3.036633   0.002178
  3.058693   0.002193
  3.080754   0.002177
  3.102814   0.002174
  3.124874   0.002182
  3.146935   0.002232
  3.168995   0.002244
  3.191055   0.002246
  3.213116   0.002201
  3.235176   0.002213
  3.257236   0.002207
  3.279296   0.002218
  3.301357   0.002189
  3.323417   0.002280
  3.345477   0.002233
  3.367538   0.002217
  3.389598   0.002200
  3.411658   0.002218
  3.433719   0.002217
  3.455779   0.002213
  3.477839   0.002272
  3.499899   0.002192
  3.521960   0.002192
  3.544020   0.002189
  3.566080   0.002182
  3.588141   0.002216
  3.610201   0.002230
  3.632261   0.002200
  3.654322   0.002262
  3.676382   0.002208
  3.698442   0.002175
  3.720503   0.002211
  3.742563   0.002232
  3.764623   0.002198
  3.786683   0.002211
  3.808744   0.002155
  3.830804   0.002166
  3.852864   0.002174
  3.874925   0.002184
  3.896985   0.002165
  3.919045   0.002179
  3.941106   0.002177
  3.963166   0.002163
  3.985226   0.002172
  4.007286   0.002200
  4.029347   0.002175
  4.051407   0.002162
  4.073467   0.002163
  4.095528   0.002163
  4.117588   0.002148
  4.139648   0.002148
  4.161709   0.002168
  4.183769   0.002191
  4.205829   0.002207
  4.227889   0.002228
  4.249950   0.002258
  4.272010   0.002328
  4.294070   0.002228
  4.316131   0.002203
  4.338191   0.002218
  4.360251   0.002208
  4.382312   0.002198
  4.404372   0.002197
  4.426432   0.002196
  4.448492   0.002182
  4.470553   0.002211
  4.492613   0.002182
  4.514673   0.002206
  4.536734   0.002204
  4.558794   0.002205
  4.580854   0.002207
  4.602915   0.002185
  4.624975   0.002180
  4.647035   0.002201
  4.669095   0.002173
  4.691156   0.002164
  4.713216   0.002167
  4.735276   0.002182
  4.757337   0.002184
  4.779397   0.002169
  4.801457   0.002182
  4.823518   0.002164
  4.845578   0.002172
  4.867638   0.002171
  4.889698   0.002195
  4.911759   0.002184
  4.933819   0.002180
  4.955879   0.002195
  4.977940   0.002151
  5.000000   0.002155
