# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.001510
  0.632060   0.001544
  0.654121   0.001534
  0.676181   0.001478
  0.698241   0.001557
  0.720302   0.001614
  0.742362   0.001628
  0.764422   0.001501
  0.786482   0.001560
  0.808543   0.001561
  0.830603   0.001660
  0.852663   0.001662
  0.874724   0.001664
  0.896784   0.001717
  0.918844   0.001690
  0.940905   0.001709
  0.962965   0.001758
  0.985025   0.001700
  1.007085   0.001705
  1.029146   0.001678
  1.051206   0.001637
  1.073266   0.001601
  1.095327   0.001693
  1.117387   0.001791
  1.139447   0.001761
  1.161508   0.001839
  1.183568   0.001779
  1.205628   0.001712
  1.227688   0.001649
  1.249749   0.001621
  1.271809   0.001619
  1.293869   0.001652
  1.315930   0.001678
  1.337990   0.001749
  1.360050   0.001798
  1.382111   0.001792
  1.404171   0.001817
  1.426231   0.001781
  1.448291   0.001784
  1.470352   0.001840
  1.492412   0.001690
  1.514472   0.001698
  1.536533   0.001696
  1.558593   0.001632
  1.580653   0.001712
  1.602714   0.001721
  1.624774   0.001838
  1.646834   0.001772
  1.668894   0.001825
  1.690955   0.001810
  1.713015   0.001776
  1.735075   0.001859
  1.757136   0.001845
  1.779196   0.001780
  1.801256   0.001797
  1.823317   0.001862
  1.845377   0.001758
  1.867437   0.001724
  1.889497   0.001808
  1.911558   0.001753
  1.933618   0.001742
  1.955678   0.001719
  1.977739   0.001674
  1.999799   0.001742
  2.021859   0.001737
  2.043920   0.001717
  2.065980   0.001782
  2.088040   0.001761
  2.110101   0.001733
  2.132161   0.001817
  2.154221   0.001752
  2.176281   0.001743
  2.198342   0.001825
  2.220402   0.001824
  2.242462   0.001814
  2.264523   0.001884
  2.286583   0.001927
  2.308643   0.001848
  2.330704   0.001870
  2.352764   0.001948
  2.374824   0.001873
  2.396884   0.001871
  2.418945   0.001873
  2.441005   0.001851
  2.463065   0.001913
  2.485126   0.001814
  2.507186   0.001780
  2.529246   0.001765
  2.551307   0.001771
  2.573367   0.001765
  2.595427   0.001815
  2.617487   0.001786
  2.639548   0.001854
  2.661608   0.001850
  2.683668   0.001909
  2.705729   0.001913
  2.727789   0.001872
  2.749849   0.001745
  2.771910   0.001783
  2.793970   0.001980
  2.816030   0.001968
  2.838090   0.001747
  2.860151   0.001730
  2.882211   0.001797
  2.904271   0.001737
  2.926332   0.001825
  2.948392   0.001749
  2.970452   0.001731
  2.992513   0.001723
  3.014573   0.001734
  3.036633   0.001765
  3.058693   0.001751
  3.080754   0.001812
  3.102814   0.001803
  3.124874   0.001871
  3.146935   0.001887
  3.168995   0.001916
  3.191055   0.001927
  3.213116   0.001934
  3.235176   0.001868
  3.257236   0.001850
  3.279296   0.001919
  3.301357   0.001869
  3.323417   0.002019
  3.345477   0.001962
  3.367538   0.001912
  3.389598   0.001851
  3.411658   0.001919
  3.433719   0.001862
  3.455779   0.001880
  3.477839   0.001978
  3.499899   0.001844
  3.521960   0.001867
  3.544020   0.001851
  3.566080   0.001847
  3.588141   0.001902
  3.610201   0.001866
  3.632261   0.001857
  3.654322   0.001934
  3.676382   0.001846
  3.698442   0.001780
  3.720503   0.001832
  3.742563   0.001889
  3.764623   0.001829
  3.786683   0.001847
  3.808744   0.001738
  3.830804   0.001775
  3.852864   0.001733
  3.874925   0.001800
  3.896985   0.001742
  3.919045   0.001766
  3.941106   0.001726
  3.963166   0.001760
  3.985226   0.001788
  4.007286   0.001834
  4.029347   0.001766
  4.051407   0.001741
  4.073467   0.001732
  4.095528   0.001739
  4.117588   0.001705
  4.139648   0.001664
  4.161709   0.001742
  4.183769   0.001779
  4.205829   0.001785
  4.227889   0.001799
  4.249950   0.001887
  4.272010   0.002178
  4.294070   0.001810
  4.316131   0.001869
  4.338191   0.001930
  4.360251   0.001797
  4.382312   0.001785
  4.404372   0.001778
  4.426432   0.001858
  4.448492   0.001848
  4.470553   0.002016
  4.492613   0.001965
  4.514673   0.001920
  4.536734   0.001875
  4.558794   0.001751
  4.580854   0.001763
  4.602915   0.001747
  4.624975   0.001739
  4.647035   0.001760
  4.669095   0.001681
  4.691156   0.001695
  4.713216   0.001690
  4.735276   0.001722
  4.757337   0.001733
  4.779397   0.001675
  4.801457   0.001727
  4.823518   0.001730
  4.845578   0.001690
  4.867638   0.001705
  4.889698   0.001756
  4.911759   0.001847
  4.933819   0.001692
  4.955879   0.001753
  4.977940   0.001677
  5.000000   0.001675
