# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.002308
  0.610878   0.002308
  0.611756   0.002308
  0.612635   0.002308
  0.613513   0.002308
  0.614391   0.002308
  0.615269   0.002308
  0.616147   0.002308
  0.617025   0.002308
  0.617904   0.002308
  0.618782   0.002308
  0.619660   0.002308
  0.620538   0.002308
  0.621416   0.002308
  0.622294   0.002308
  0.623173   0.002308
  0.624051   0.002308
  0.624929   0.002308
  0.625807   0.002310
  0.626685   0.002308
  0.627564   0.002308
  0.628442   0.002308
  0.629320   0.002308
  0.630198   0.002308
  0.631076   0.002308
  0.631954   0.002308
  0.632833   0.002308
  0.633711   0.002310
  0.634589   0.002308
  0.635467   0.002312
  0.636345   0.002308
  0.637223   0.002308
  0.638102   0.002308
  0.638980   0.002308
  0.639858   0.002308
  0.640736   0.002308
  0.641614   0.002308
  0.642492   0.002318
  0.643371   0.002308
  0.644249   0.002308
  0.645127   0.002312
  0.646005   0.002308
  0.646883   0.002351
  0.647762   0.002309
  0.648640   0.002326
  0.649518   0.002310
  0.650396   0.002308
  0.651274   0.002309
  0.652152   0.002337
  0.653031   0.002308
  0.653909   0.002308
  0.654787   0.002308
  0.655665   0.002311
  0.656543   0.002308
  0.657421   0.002308
  0.658300   0.002308
  0.659178   0.002308
  0.660056   0.002308
  0.660934   0.002308
  0.661812   0.002308
  0.662691   0.002308
  0.663569   0.002308
  0.664447   0.002308
  0.665325   0.002308
  0.666203   0.002308
  0.667081   0.002308
  0.667960   0.002308
  0.668838   0.002308
  0.669716   0.002308
  0.670594   0.002308
  0.671472   0.002308
  0.672350   0.002308
  0.673229   0.002308
  0.674107   0.002308
  0.674985   0.002308
  0.675863   0.002308
  0.676741   0.002308
  0.677620   0.002308
  0.678498   0.002308
  0.679376   0.002308
  0.680254   0.002308
  0.681132   0.002308
  0.682010   0.002308
  0.682889   0.002308
  0.683767   0.002308
  0.684645   0.002308
  0.685523   0.002308
  0.686401   0.002308
  0.687279   0.002308
  0.688158   0.002308
  0.689036   0.002308
  0.689914   0.002308
  0.690792   0.002308
  0.691670   0.002308
  0.692549   0.002308
  0.693427   0.002312
  0.694305   0.002309
  0.695183   0.002324
  0.696061   0.002308
  0.696939   0.002310
  0.697818   0.002308
  0.698696   0.002308
  0.699574   0.002317
  0.700452   0.002343
  0.701330   0.002308
  0.702208   0.002310
  0.703087   0.002321
  0.703965   0.002309
  0.704843   0.002316
  0.705721   0.002313
  0.706599   0.002309
  0.707477   0.002343
  0.708356   0.002308
  0.709234   0.002308
  0.710112   0.002312
  0.710990   0.002308
  0.711868   0.002308
  0.712747   0.002327
  0.713625   0.002308
