# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.002228
  0.618798   0.002228
  0.627595   0.002228
  0.636393   0.002228
  0.645190   0.002234
  0.653988   0.002228
  0.662786   0.002228
  0.671583   0.002228
  0.680381   0.002228
  0.689178   0.002228
  0.697976   0.002228
  0.706774   0.002228
  0.715571   0.002229
  0.724369   0.002232
  0.733166   0.002234
  0.741964   0.002229
  0.750762   0.002228
  0.759559   0.002228
  0.768357   0.002228
  0.777154   0.002228
  0.785952   0.002228
  0.794749   0.002228
  0.803547   0.002229
  0.812345   0.002275
  0.821142   0.002315
  0.829940   0.002229
  0.838737   0.002253
  0.847535   0.002252
  0.856333   0.002266
  0.865130   0.002252
  0.873928   0.002268
  0.882725   0.002269
  0.891523   0.002454
  0.900321   0.002439
  0.909118   0.002343
  0.917916   0.002253
  0.926713   0.002234
  0.935511   0.002253
  0.944309   0.002320
  0.953106   0.002361
  0.961904   0.002260
  0.970701   0.002290
  0.979499   0.002290
  0.988297   0.002389
  0.997094   0.002312
  1.005892   0.002355
  1.014689   0.002352
  1.023487   0.002314
  1.032285   0.002324
  1.041082   0.002252
  1.049880   0.002243
  1.058677   0.002242
  1.067475   0.002232
  1.076273   0.002231
  1.085070   0.002232
  1.093868   0.002240
  1.102665   0.002262
  1.111463   0.002315
  1.120261   0.002493
  1.129058   0.002399
  1.137856   0.002419
  1.146653   0.002434
  1.155451   0.002578
  1.164248   0.002411
  1.173046   0.002527
  1.181844   0.002392
  1.190641   0.002435
  1.199439   0.002386
  1.208236   0.002316
  1.217034   0.002294
  1.225832   0.002279
  1.234629   0.002239
  1.243427   0.002231
  1.252224   0.002230
  1.261022   0.002229
  1.269820   0.002230
  1.278617   0.002231
  1.287415   0.002256
  1.296212   0.002263
  1.305010   0.002260
  1.313808   0.002312
  1.322605   0.002286
  1.331403   0.002394
  1.340200   0.002423
  1.348998   0.002388
  1.357796   0.002742
  1.366593   0.002379
  1.375391   0.002466
  1.384188   0.002479
  1.392986   0.002477
  1.401784   0.002536
  1.410581   0.002455
  1.419379   0.002630
  1.428176   0.002417
  1.436974   0.002395
  1.445772   0.002430
  1.454569   0.002478
  1.463367   0.002313
  1.472164   0.002314
  1.480962   0.002678
  1.489760   0.002397
  1.498557   0.002239
  1.507355   0.002445
  1.516152   0.002243
  1.524950   0.002269
  1.533747   0.002267
  1.542545   0.002354
  1.551343   0.002265
  1.560140   0.002242
  1.568938   0.002235
  1.577735   0.002240
  1.586533   0.002239
  1.595331   0.002236
  1.604128   0.002293
  1.612926   0.002300
  1.621723   0.002411
  1.630521   0.002398
  1.639319   0.002404
  1.648116   0.002365
  1.656914   0.002409
  1.665711   0.002396
  1.674509   0.002488
  1.683307   0.002489
  1.692104   0.002400
  1.700902   0.002493
  1.709699   0.002493
  1.718497   0.002464
  1.727295   0.002581
  1.736092   0.002527
  1.744890   0.002410
  1.753687   0.002587
  1.762485   0.002573
  1.771283   0.002475
  1.780080   0.002434
  1.788878   0.002421
  1.797675   0.002469
  1.806473   0.002388
  1.815271   0.002378
  1.824068   0.002485
  1.832866   0.002465
  1.841663   0.002320
  1.850461   0.002489
  1.859259   0.002400
  1.868056   0.002316
  1.876854   0.002365
  1.885651   0.002354
  1.894449   0.002307
  1.903246   0.002268
  1.912044   0.002399
  1.920842   0.002925
  1.929639   0.002281
  1.938437   0.002305
  1.947234   0.002305
  1.956032   0.002337
  1.964830   0.002417
  1.973627   0.002263
  1.982425   0.002298
  1.991222   0.002240
  2.000020   0.002307
  2.008818   0.002327
  2.017615   0.002562
  2.026413   0.002337
  2.035210   0.002287
  2.044008   0.002271
  2.052806   0.002277
  2.061603   0.002243
  2.070401   0.002318
  2.079198   0.002242
  2.087996   0.002306
  2.096794   0.002289
  2.105591   0.002333
  2.114389   0.002283
  2.123186   0.002305
  2.131984   0.002473
  2.140782   0.002286
  2.149579   0.002267
  2.158377   0.002439
  2.167174   0.002357
  2.175972   0.002285
  2.184770   0.002301
  2.193567   0.002465
  2.202365   0.002519
  2.211162   0.002380
  2.219960   0.002460
  2.228758   0.002404
  2.237555   0.002381
  2.246353   0.002375
  2.255150   0.002536
  2.263948   0.002386
  2.272745   0.002544
  2.281543   0.002549
  2.290341   0.002619
  2.299138   0.002751
  2.307936   0.002499
  2.316733   0.002652
  2.325531   0.002523
  2.334329   0.002587
  2.343126   0.002584
  2.351924   0.002735
  2.360721   0.002650
  2.369519   0.002496
  2.378317   0.002480
  2.387114   0.002421
  2.395912   0.002543
  2.404709   0.002484
  2.413507   0.002502
  2.422305   0.002401
  2.431102   0.002680
  2.439900   0.002566
  2.448697   0.002492
  2.457495   0.002649
  2.466293   0.002527
  2.475090   0.002386
  2.483888   0.002339
  2.492685   0.002480
  2.501483   0.002378
  2.510281   0.002321
  2.519078   0.002311
  2.527876   0.002335
  2.536673   0.002360
  2.545471   0.002282
  2.554269   0.002431
  2.563066   0.002629
  2.571864   0.002413
  2.580661   0.002435
  2.589459   0.002349
  2.598257   0.002461
  2.607054   0.002286
  2.615852   0.002408
  2.624649   0.002475
  2.633447   0.002479
  2.642244   0.002383
  2.651042   0.002369
  2.659840   0.002440
  2.668637   0.002392
  2.677435   0.002603
  2.686232   0.002455
  2.695030   0.002402
  2.703828   0.002513
  2.712625   0.002362
  2.721423   0.002427
  2.730220   0.002523
  2.739018   0.002457
  2.747816   0.002357
  2.756613   0.002429
  2.765411   0.002367
  2.774208   0.002444
  2.783006   0.002515
  2.791804   0.002532
  2.800601   0.002526
  2.809399   0.002516
  2.818196   0.002731
  2.826994   0.002554
  2.835792   0.002356
  2.844589   0.002289
  2.853387   0.002308
  2.862184   0.002384
  2.870982   0.002356
  2.879780   0.002299
  2.888577   0.002382
  2.897375   0.002325
  2.906172   0.002400
  2.914970   0.002361
  2.923768   0.002278
  2.932565   0.002350
  2.941363   0.002338
  2.950160   0.002278
  2.958958   0.002255
  2.967756   0.002317
  2.976553   0.002328
  2.985351   0.002351
  2.994148   0.002326
  3.002946   0.002362
  3.011743   0.002313
  3.020541   0.002247
  3.029339   0.002273
  3.038136   0.002348
  3.046934   0.002389
  3.055731   0.002495
  3.064529   0.002295
  3.073327   0.002328
  3.082124   0.002329
  3.090922   0.002326
  3.099719   0.002288
  3.108517   0.002401
  3.117315   0.002411
  3.126112   0.002383
  3.134910   0.002312
  3.143707   0.002427
  3.152505   0.002618
  3.161303   0.002674
  3.170100   0.002574
  3.178898   0.002404
  3.187695   0.002664
  3.196493   0.002480
  3.205291   0.002496
  3.214088   0.002480
  3.222886   0.002421
  3.231683   0.002423
  3.240481   0.002547
  3.249279   0.002470
  3.258076   0.002438
  3.266874   0.002506
  3.275671   0.002553
  3.284469   0.002479
  3.293267   0.002401
  3.302064   0.002422
  3.310862   0.002473
  3.319659   0.002604
  3.328457   0.002821
  3.337255   0.002611
  3.346052   0.002584
  3.354850   0.002523
  3.363647   0.002502
  3.372445   0.002511
  3.381242   0.002408
  3.390040   0.002436
  3.398838   0.002502
  3.407635   0.002547
  3.416433   0.002486
  3.425230   0.002472
  3.434028   0.002473
  3.442826   0.002470
  3.451623   0.002445
  3.460421   0.002542
  3.469218   0.002666
  3.478016   0.002716
  3.486814   0.002478
  3.495611   0.002425
  3.504409   0.002455
  3.513206   0.002545
  3.522004   0.002421
  3.530802   0.002390
  3.539599   0.002404
  3.548397   0.002400
  3.557194   0.002395
  3.565992   0.002377
  3.574790   0.002338
  3.583587   0.002439
  3.592385   0.002496
  3.601182   0.002472
  3.609980   0.002526
  3.618778   0.002482
  3.627575   0.002417
  3.636373   0.002413
  3.645170   0.002481
  3.653968   0.002667
  3.662766   0.002555
  3.671563   0.002480
  3.680361   0.002447
  3.689158   0.002341
  3.697956   0.002318
  3.706754   0.002396
  3.715551   0.002440
  3.724349   0.002463
  3.733146   0.002430
  3.741944   0.002543
  3.750741   0.002716
  3.759539   0.002490
  3.768337   0.002471
  3.777134   0.002674
  3.785932   0.002492
  3.794729   0.002312
  3.803527   0.002273
  3.812325   0.002254
  3.821122   0.002246
  3.829920   0.002289
  3.838717   0.002348
  3.847515   0.002283
  3.856313   0.002309
  3.865110   0.002402
  3.873908   0.002383
  3.882705   0.002336
  3.891503   0.002286
  3.900301   0.002281
  3.909098   0.002322
  3.917896   0.002327
  3.926693   0.002318
  3.935491   0.002309
  3.944289   0.002302
  3.953086   0.002301
  3.961884   0.002295
  3.970681   0.002283
  3.979479   0.002304
  3.988277   0.002352
  3.997074   0.002387
  4.005872   0.002431
  4.014669   0.002454
  4.023467   0.002405
  4.032265   0.002301
  4.041062   0.002268
  4.049860   0.002275
  4.058657   0.002279
  4.067455   0.002278
  4.076253   0.002265
  4.085050   0.002249
  4.093848   0.002277
  4.102645   0.002357
  4.111443   0.002270
  4.120240   0.002236
  4.129038   0.002234
  4.137836   0.002235
  4.146633   0.002238
  4.155431   0.002243
  4.164228   0.002326
  4.173026   0.002456
  4.181824   0.002354
  4.190621   0.002462
  4.199419   0.002436
  4.208216   0.002422
  4.217014   0.002458
  4.225812   0.002496
  4.234609   0.002467
  4.243407   0.002566
  4.252204   0.002684
  4.261002   0.003102
  4.269800   0.003030
  4.278597   0.002923
  4.287395   0.002648
  4.296192   0.002471
  4.304990   0.002425
  4.313788   0.002409
  4.322585   0.002428
  4.331383   0.002501
  4.340180   0.002514
  4.348978   0.002466
  4.357776   0.002439
  4.366573   0.002424
  4.375371   0.002409
  4.384168   0.002395
  4.392966   0.002382
  4.401764   0.002387
  4.410561   0.002392
  4.419359   0.002403
  4.428156   0.002425
  4.436954   0.002414
  4.445752   0.002377
  4.454549   0.002384
  4.463347   0.002469
  4.472144   0.002545
  4.480942   0.002482
  4.489739   0.002429
