# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.005315
  0.610878   0.005315
  0.611756   0.005315
  0.612635   0.005315
  0.613513   0.005315
  0.614391   0.005315
  0.615269   0.005315
  0.616147   0.005315
  0.617025   0.005315
  0.617904   0.005315
  0.618782   0.005315
  0.619660   0.005315
  0.620538   0.005315
  0.621416   0.005315
  0.622294   0.005315
  0.623173   0.005315
  0.624051   0.005317
  0.624929   0.005316
  0.625807   0.005350
  0.626685   0.005328
  0.627564   0.005324
  0.628442   0.005336
  0.629320   0.005335
  0.630198   0.005315
  0.631076   0.005319
  0.631954   0.005329
  0.632833   0.005329
  0.633711   0.005341
  0.634589   0.005317
  0.635467   0.005338
  0.636345   0.005333
  0.637223   0.005338
  0.638102   0.005339
  0.638980   0.005320
  0.639858   0.005331
  0.640736   0.005319
  0.641614   0.005318
  0.642492   0.005373
  0.643371   0.005332
  0.644249   0.005337
  0.645127   0.005334
  0.646005   0.005352
  0.646883   0.005405
  0.647762   0.005341
  0.648640   0.005393
  0.649518   0.005373
  0.650396   0.005342
  0.651274   0.005335
  0.652152   0.005396
  0.653031   0.005322
  0.653909   0.005324
  0.654787   0.005357
  0.655665   0.005369
  0.656543   0.005331
  0.657421   0.005340
  0.658300   0.005327
  0.659178   0.005336
  0.660056   0.005336
  0.660934   0.005321
  0.661812   0.005320
  0.662691   0.005318
  0.663569   0.005317
  0.664447   0.005321
  0.665325   0.005318
  0.666203   0.005320
  0.667081   0.005316
  0.667960   0.005315
  0.668838   0.005315
  0.669716   0.005315
  0.670594   0.005315
  0.671472   0.005315
  0.672350   0.005315
  0.673229   0.005315
  0.674107   0.005315
  0.674985   0.005315
  0.675863   0.005315
  0.676741   0.005315
  0.677620   0.005315
  0.678498   0.005324
  0.679376   0.005318
  0.680254   0.005315
  0.681132   0.005318
  0.682010   0.005320
  0.682889   0.005319
  0.683767   0.005317
  0.684645   0.005332
  0.685523   0.005336
  0.686401   0.005323
  0.687279   0.005324
  0.688158   0.005316
  0.689036   0.005326
  0.689914   0.005317
  0.690792   0.005344
  0.691670   0.005336
  0.692549   0.005341
  0.693427   0.005360
  0.694305   0.005361
  0.695183   0.005392
  0.696061   0.005344
  0.696939   0.005345
  0.697818   0.005337
  0.698696   0.005340
  0.699574   0.005375
  0.700452   0.005389
  0.701330   0.005353
  0.702208   0.005359
  0.703087   0.005376
  0.703965   0.005364
  0.704843   0.005355
  0.705721   0.005373
  0.706599   0.005349
  0.707477   0.005397
  0.708356   0.005342
  0.709234   0.005332
  0.710112   0.005344
  0.710990   0.005337
  0.711868   0.005325
  0.712747   0.005363
  0.713625   0.005342
  0.714503   0.005345
  0.715381   0.005361
  0.716259   0.005351
  0.717137   0.005368
  0.718016   0.005367
  0.718894   0.005364
  0.719772   0.005366
  0.720650   0.005395
  0.721528   0.005362
  0.722406   0.005351
  0.723285   0.005364
  0.724163   0.005385
  0.725041   0.005358
  0.725919   0.005379
  0.726797   0.005348
  0.727676   0.005372
  0.728554   0.005383
  0.729432   0.005360
  0.730310   0.005365
  0.731188   0.005374
  0.732066   0.005356
  0.732945   0.005355
  0.733823   0.005349
  0.734701   0.005355
  0.735579   0.005375
  0.736457   0.005379
  0.737335   0.005379
  0.738214   0.005352
  0.739092   0.005349
  0.739970   0.005369
  0.740848   0.005400
  0.741726   0.005327
  0.742605   0.005403
  0.743483   0.005324
  0.744361   0.005331
  0.745239   0.005384
  0.746117   0.005317
  0.746995   0.005318
  0.747874   0.005317
  0.748752   0.005316
  0.749630   0.005317
  0.750508   0.005317
  0.751386   0.005315
  0.752264   0.005317
  0.753143   0.005315
  0.754021   0.005315
  0.754899   0.005318
  0.755777   0.005316
  0.756655   0.005315
  0.757534   0.005315
  0.758412   0.005317
  0.759290   0.005315
  0.760168   0.005316
  0.761046   0.005316
  0.761924   0.005317
  0.762803   0.005315
  0.763681   0.005316
  0.764559   0.005315
  0.765437   0.005315
  0.766315   0.005315
  0.767193   0.005315
  0.768072   0.005315
  0.768950   0.005318
  0.769828   0.005315
  0.770706   0.005315
  0.771584   0.005315
  0.772462   0.005315
  0.773341   0.005316
  0.774219   0.005315
  0.775097   0.005315
  0.775975   0.005315
  0.776853   0.005315
  0.777732   0.005319
  0.778610   0.005316
  0.779488   0.005315
  0.780366   0.005315
  0.781244   0.005315
  0.782122   0.005317
  0.783001   0.005327
  0.783879   0.005318
  0.784757   0.005320
  0.785635   0.005329
  0.786513   0.005326
  0.787391   0.005327
  0.788270   0.005341
  0.789148   0.005359
  0.790026   0.005322
  0.790904   0.005322
  0.791782   0.005362
  0.792661   0.005351
  0.793539   0.005331
  0.794417   0.005347
  0.795295   0.005326
  0.796173   0.005347
  0.797051   0.005466
  0.797930   0.005337
  0.798808   0.005350
  0.799686   0.005353
  0.800564   0.005354
  0.801442   0.005379
  0.802320   0.005333
  0.803199   0.005346
  0.804077   0.005328
  0.804955   0.005342
  0.805833   0.005322
  0.806711   0.005416
  0.807590   0.005408
  0.808468   0.005339
  0.809346   0.005355
  0.810224   0.005339
  0.811102   0.005348
  0.811980   0.005340
  0.812859   0.005392
  0.813737   0.005364
  0.814615   0.005364
  0.815493   0.005364
