# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.002307
  0.618798   0.002307
  0.627595   0.002307
  0.636393   0.002307
  0.645190   0.002311
  0.653988   0.002307
  0.662786   0.002307
  0.671583   0.002307
  0.680381   0.002307
  0.689178   0.002307
  0.697976   0.002307
  0.706774   0.002308
  0.715571   0.002308
  0.724369   0.002314
  0.733166   0.002313
  0.741964   0.002308
  0.750762   0.002307
  0.759559   0.002307
  0.768357   0.002307
  0.777154   0.002307
  0.785952   0.002307
  0.794749   0.002308
  0.803547   0.002308
  0.812345   0.002336
  0.821142   0.002358
  0.829940   0.002309
  0.838737   0.002326
  0.847535   0.002325
  0.856333   0.002335
  0.865130   0.002325
  0.873928   0.002334
  0.882725   0.002335
  0.891523   0.002420
  0.900321   0.002412
  0.909118   0.002371
  0.917916   0.002326
  0.926713   0.002312
  0.935511   0.002332
  0.944309   0.002362
  0.953106   0.002374
  0.961904   0.002330
  0.970701   0.002348
  0.979499   0.002345
  0.988297   0.002395
  0.997094   0.002356
  1.005892   0.002377
  1.014689   0.002376
  1.023487   0.002359
  1.032285   0.002363
  1.041082   0.002323
  1.049880   0.002318
  1.058677   0.002317
  1.067475   0.002311
  1.076273   0.002310
  1.085070   0.002310
  1.093868   0.002316
  1.102665   0.002331
  1.111463   0.002359
  1.120261   0.002436
  1.129058   0.002397
  1.137856   0.002407
  1.146653   0.002413
  1.155451   0.002468
  1.164248   0.002404
  1.173046   0.002450
  1.181844   0.002393
  1.190641   0.002412
  1.199439   0.002390
  1.208236   0.002359
  1.217034   0.002346
  1.225832   0.002342
  1.234629   0.002315
  1.243427   0.002310
  1.252224   0.002309
  1.261022   0.002308
  1.269820   0.002309
  1.278617   0.002310
  1.287415   0.002327
  1.296212   0.002330
  1.305010   0.002327
  1.313808   0.002357
  1.322605   0.002342
  1.331403   0.002391
  1.340200   0.002401
  1.348998   0.002386
  1.357796   0.002538
  1.366593   0.002386
  1.375391   0.002424
  1.384188   0.002430
  1.392986   0.002430
  1.401784   0.002456
  1.410581   0.002419
  1.419379   0.002491
  1.428176   0.002405
  1.436974   0.002391
  1.445772   0.002406
  1.454569   0.002427
  1.463367   0.002355
  1.472164   0.002355
  1.480962   0.002507
  1.489760   0.002386
  1.498557   0.002315
  1.507355   0.002403
  1.516152   0.002318
  1.524950   0.002336
  1.533747   0.002336
  1.542545   0.002372
  1.551343   0.002333
  1.560140   0.002317
  1.568938   0.002312
  1.577735   0.002319
  1.586533   0.002316
  1.595331   0.002314
  1.604128   0.002341
  1.612926   0.002346
  1.621723   0.002394
  1.630521   0.002390
  1.639319   0.002393
  1.648116   0.002374
  1.656914   0.002399
  1.665711   0.002384
  1.674509   0.002429
  1.683307   0.002432
  1.692104   0.002389
  1.700902   0.002436
  1.709699   0.002438
  1.718497   0.002423
  1.727295   0.002475
  1.736092   0.002447
  1.744890   0.002394
  1.753687   0.002473
  1.762485   0.002469
  1.771283   0.002429
  1.780080   0.002411
  1.788878   0.002400
  1.797675   0.002423
  1.806473   0.002389
  1.815271   0.002383
  1.824068   0.002433
  1.832866   0.002424
  1.841663   0.002358
  1.850461   0.002433
  1.859259   0.002397
  1.868056   0.002357
  1.876854   0.002384
  1.885651   0.002381
  1.894449   0.002346
  1.903246   0.002339
  1.912044   0.002396
  1.920842   0.002604
  1.929639   0.002343
  1.938437   0.002355
  1.947234   0.002350
  1.956032   0.002367
  1.964830   0.002408
  1.973627   0.002330
  1.982425   0.002350
  1.991222   0.002318
  2.000020   0.002350
  2.008818   0.002358
  2.017615   0.002460
  2.026413   0.002363
  2.035210   0.002340
  2.044008   0.002336
  2.052806   0.002338
  2.061603   0.002320
  2.070401   0.002359
  2.079198   0.002318
  2.087996   0.002347
  2.096794   0.002341
  2.105591   0.002365
  2.114389   0.002335
  2.123186   0.002349
  2.131984   0.002424
  2.140782   0.002346
  2.149579   0.002333
  2.158377   0.002410
  2.167174   0.002373
  2.175972   0.002337
  2.184770   0.002346
  2.193567   0.002420
  2.202365   0.002443
  2.211162   0.002379
  2.219960   0.002416
  2.228758   0.002386
  2.237555   0.002386
  2.246353   0.002386
  2.255150   0.002449
  2.263948   0.002389
  2.272745   0.002454
  2.281543   0.002454
  2.290341   0.002485
  2.299138   0.002541
  2.307936   0.002435
  2.316733   0.002496
  2.325531   0.002442
  2.334329   0.002468
  2.343126   0.002472
  2.351924   0.002534
  2.360721   0.002500
  2.369519   0.002425
  2.378317   0.002422
  2.387114   0.002397
  2.395912   0.002454
  2.404709   0.002424
  2.413507   0.002431
  2.422305   0.002390
  2.431102   0.002512
  2.439900   0.002469
  2.448697   0.002429
  2.457495   0.002494
  2.466293   0.002446
  2.475090   0.002380
  2.483888   0.002358
  2.492685   0.002423
  2.501483   0.002384
  2.510281   0.002356
  2.519078   0.002352
  2.527876   0.002365
  2.536673   0.002374
  2.545471   0.002341
  2.554269   0.002409
  2.563066   0.002483
  2.571864   0.002402
  2.580661   0.002412
  2.589459   0.002375
  2.598257   0.002407
  2.607054   0.002348
  2.615852   0.002402
  2.624649   0.002427
  2.633447   0.002435
  2.642244   0.002383
  2.651042   0.002379
  2.659840   0.002416
  2.668637   0.002395
  2.677435   0.002466
  2.686232   0.002416
  2.695030   0.002398
  2.703828   0.002441
  2.712625   0.002383
  2.721423   0.002412
  2.730220   0.002453
  2.739018   0.002425
  2.747816   0.002380
  2.756613   0.002409
  2.765411   0.002388
  2.774208   0.002419
  2.783006   0.002442
  2.791804   0.002452
  2.800601   0.002445
  2.809399   0.002436
  2.818196   0.002528
  2.826994   0.002451
  2.835792   0.002376
  2.844589   0.002349
  2.853387   0.002358
  2.862184   0.002393
  2.870982   0.002377
  2.879780   0.002348
  2.888577   0.002380
  2.897375   0.002362
  2.906172   0.002397
  2.914970   0.002369
  2.923768   0.002335
  2.932565   0.002361
  2.941363   0.002364
  2.950160   0.002335
  2.958958   0.002327
  2.967756   0.002362
  2.976553   0.002366
  2.985351   0.002376
  2.994148   0.002365
  3.002946   0.002376
  3.011743   0.002351
  3.020541   0.002319
  3.029339   0.002332
  3.038136   0.002365
  3.046934   0.002391
  3.055731   0.002438
  3.064529   0.002348
  3.073327   0.002355
  3.082124   0.002360
  3.090922   0.002363
  3.099719   0.002340
  3.108517   0.002400
  3.117315   0.002381
  3.126112   0.002373
  3.134910   0.002345
  3.143707   0.002398
  3.152505   0.002483
  3.161303   0.002506
  3.170100   0.002465
  3.178898   0.002394
  3.187695   0.002504
  3.196493   0.002423
  3.205291   0.002420
  3.214088   0.002409
  3.222886   0.002390
  3.231683   0.002399
  3.240481   0.002453
  3.249279   0.002429
  3.258076   0.002407
  3.266874   0.002429
  3.275671   0.002450
  3.284469   0.002416
