# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.001311
  0.632060   0.001340
  0.654121   0.001333
  0.676181   0.001284
  0.698241   0.001359
  0.720302   0.001414
  0.742362   0.001423
  0.764422   0.001314
  0.786482   0.001358
  0.808543   0.001358
  0.830603   0.001469
  0.852663   0.001457
  0.874724   0.001464
  0.896784   0.001516
  0.918844   0.001502
  0.940905   0.001521
  0.962965   0.001561
  0.985025   0.001508
  1.007085   0.001504
  1.029146   0.001476
  1.051206   0.001440
  1.073266   0.001413
  1.095327   0.001521
  1.117387   0.001607
  1.139447   0.001561
  1.161508   0.001638
  1.183568   0.001592
  1.205628   0.001517
  1.227688   0.001457
  1.249749   0.001427
  1.271809   0.001432
  1.293869   0.001456
  1.315930   0.001487
  1.337990   0.001554
  1.360050   0.001599
  1.382111   0.001599
  1.404171   0.001628
  1.426231   0.001580
  1.448291   0.001606
  1.470352   0.001661
  1.492412   0.001497
  1.514472   0.001524
  1.536533   0.001519
  1.558593   0.001438
  1.580653   0.001550
  1.602714   0.001539
  1.624774   0.001640
  1.646834   0.001580
  1.668894   0.001631
  1.690955   0.001620
  1.713015   0.001586
  1.735075   0.001664
  1.757136   0.001645
  1.779196   0.001597
  1.801256   0.001602
  1.823317   0.001691
  1.845377   0.001567
  1.867437   0.001538
  1.889497   0.001633
  1.911558   0.001554
  1.933618   0.001565
  1.955678   0.001523
  1.977739   0.001482
  1.999799   0.001556
  2.021859   0.001565
  2.043920   0.001542
  2.065980   0.001605
  2.088040   0.001587
  2.110101   0.001556
  2.132161   0.001620
  2.154221   0.001569
  2.176281   0.001563
  2.198342   0.001639
  2.220402   0.001638
  2.242462   0.001634
  2.264523   0.001704
  2.286583   0.001734
  2.308643   0.001667
  2.330704   0.001692
  2.352764   0.001754
  2.374824   0.001690
  2.396884   0.001685
  2.418945   0.001694
  2.441005   0.001656
  2.463065   0.001723
  2.485126   0.001638
  2.507186   0.001607
  2.529246   0.001585
  2.551307   0.001587
  2.573367   0.001578
  2.595427   0.001648
  2.617487   0.001602
  2.639548   0.001682
  2.661608   0.001678
  2.683668   0.001748
  2.705729   0.001746
  2.727789   0.001670
  2.749849   0.001572
  2.771910   0.001658
  2.793970   0.001807
  2.816030   0.001791
  2.838090   0.001583
  2.860151   0.001529
  2.882211   0.001637
  2.904271   0.001561
  2.926332   0.001682
  2.948392   0.001576
  2.970452   0.001555
  2.992513   0.001536
  3.014573   0.001559
  3.036633   0.001585
  3.058693   0.001581
  3.080754   0.001658
  3.102814   0.001645
  3.124874   0.001713
  3.146935   0.001709
  3.168995   0.001737
  3.191055   0.001750
  3.213116   0.001775
  3.235176   0.001698
  3.257236   0.001682
  3.279296   0.001750
  3.301357   0.001701
  3.323417   0.001848
  3.345477   0.001803
  3.367538   0.001743
  3.389598   0.001682
  3.411658   0.001752
  3.433719   0.001694
  3.455779   0.001710
  3.477839   0.001794
  3.499899   0.001671
  3.521960   0.001699
  3.544020   0.001686
  3.566080   0.001685
  3.588141   0.001737
  3.610201   0.001684
  3.632261   0.001680
  3.654322   0.001741
  3.676382   0.001665
  3.698442   0.001608
  3.720503   0.001656
  3.742563   0.001702
  3.764623   0.001658
  3.786683   0.001663
  3.808744   0.001565
  3.830804   0.001602
  3.852864   0.001581
  3.874925   0.001615
  3.896985   0.001571
  3.919045   0.001586
  3.941106   0.001546
  3.963166   0.001581
  3.985226   0.001609
  4.007286   0.001654
  4.029347   0.001584
  4.051407   0.001563
  4.073467   0.001553
  4.095528   0.001554
  4.117588   0.001531
  4.139648   0.001483
  4.161709   0.001560
  4.183769   0.001592
  4.205829   0.001599
  4.227889   0.001598
  4.249950   0.001703
  4.272010   0.002019
  4.294070   0.001651
  4.316131   0.001721
  4.338191   0.001760
  4.360251   0.001614
  4.382312   0.001615
  4.404372   0.001595
  4.426432   0.001704
  4.448492   0.001693
  4.470553   0.001880
  4.492613   0.001828
  4.514673   0.001759
  4.536734   0.001722
  4.558794   0.001574
  4.580854   0.001581
  4.602915   0.001582
  4.624975   0.001552
  4.647035   0.001567
  4.669095   0.001501
  4.691156   0.001513
  4.713216   0.001499
  4.735276   0.001522
  4.757337   0.001545
  4.779397   0.001487
  4.801457   0.001537
  4.823518   0.001558
  4.845578   0.001494
  4.867638   0.001520
  4.889698   0.001575
  4.911759   0.001679
  4.933819   0.001498
  4.955879   0.001570
  4.977940   0.001498
  5.000000   0.001493
