# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.000757
  0.632060   0.000788
  0.654121   0.000779
  0.676181   0.000732
  0.698241   0.000795
  0.720302   0.000843
  0.742362   0.000861
  0.764422   0.000744
  0.786482   0.000798
  0.808543   0.000800
  0.830603   0.000877
  0.852663   0.000890
  0.874724   0.000888
  0.896784   0.000934
  0.918844   0.000901
  0.940905   0.000917
  0.962965   0.000968
  0.985025   0.000915
  1.007085   0.000924
  1.029146   0.000902
  1.051206   0.000864
  1.073266   0.000829
  1.095327   0.000894
  1.117387   0.000990
  1.139447   0.000974
  1.161508   0.001047
  1.183568   0.000983
  1.205628   0.000926
  1.227688   0.000870
  1.249749   0.000848
  1.271809   0.000844
  1.293869   0.000875
  1.315930   0.000893
  1.337990   0.000958
  1.360050   0.001008
  1.382111   0.000997
  1.404171   0.001019
  1.426231   0.000993
  1.448291   0.000982
  1.470352   0.001030
  1.492412   0.000905
  1.514472   0.000904
  1.536533   0.000901
  1.558593   0.000857
  1.580653   0.000905
  1.602714   0.000924
  1.624774   0.001043
  1.646834   0.000979
  1.668894   0.001028
  1.690955   0.001011
  1.713015   0.000980
  1.735075   0.001062
  1.757136   0.001051
  1.779196   0.000983
  1.801256   0.001002
  1.823317   0.001050
  1.845377   0.000965
  1.867437   0.000929
  1.889497   0.000997
  1.911558   0.000965
  1.933618   0.000940
  1.955678   0.000927
  1.977739   0.000888
  1.999799   0.000946
  2.021859   0.000932
  2.043920   0.000917
  2.065980   0.000976
  2.088040   0.000954
  2.110101   0.000931
  2.132161   0.001023
  2.154221   0.000952
  2.176281   0.000942
  2.198342   0.001022
  2.220402   0.001022
  2.242462   0.001001
  2.264523   0.001070
  2.286583   0.001127
  2.308643   0.001041
  2.330704   0.001059
  2.352764   0.001149
  2.374824   0.001066
  2.396884   0.001067
  2.418945   0.001063
  2.441005   0.001057
  2.463065   0.001111
  2.485126   0.001005
  2.507186   0.000972
  2.529246   0.000961
  2.551307   0.000970
  2.573367   0.000968
  2.595427   0.001004
  2.617487   0.000984
  2.639548   0.001037
  2.661608   0.001037
  2.683668   0.001085
  2.705729   0.001093
  2.727789   0.001080
  2.749849   0.000943
  2.771910   0.000955
  2.793970   0.001166
  2.816030   0.001157
  2.838090   0.000938
  2.860151   0.000938
  2.882211   0.000978
  2.904271   0.000937
  2.926332   0.000990
  2.948392   0.000944
  2.970452   0.000931
  2.992513   0.000930
  3.014573   0.000931
  3.036633   0.000966
  3.058693   0.000946
  3.080754   0.000987
  3.102814   0.000980
  3.124874   0.001045
  3.146935   0.001077
  3.168995   0.001109
  3.191055   0.001116
  3.213116   0.001106
  3.235176   0.001053
  3.257236   0.001033
  3.279296   0.001100
  3.301357   0.001051
  3.323417   0.001207
  3.345477   0.001138
  3.367538   0.001093
  3.389598   0.001035
  3.411658   0.001098
  3.433719   0.001044
  3.455779   0.001063
  3.477839   0.001173
  3.499899   0.001031
  3.521960   0.001049
  3.544020   0.001031
  3.566080   0.001025
  3.588141   0.001082
  3.610201   0.001060
  3.632261   0.001044
  3.654322   0.001134
  3.676382   0.001038
  3.698442   0.000970
  3.720503   0.001024
  3.742563   0.001085
  3.764623   0.001014
  3.786683   0.001041
  3.808744   0.000933
  3.830804   0.000966
  3.852864   0.000910
  3.874925   0.000998
  3.896985   0.000935
  3.919045   0.000963
  3.941106   0.000928
  3.963166   0.000955
  3.985226   0.000981
  4.007286   0.001027
  4.029347   0.000964
  4.051407   0.000938
  4.073467   0.000931
  4.095528   0.000941
  4.117588   0.000904
  4.139648   0.000875
  4.161709   0.000942
  4.183769   0.000973
  4.205829   0.000984
  4.227889   0.001000
  4.249950   0.001080
  4.272010   0.001371
  4.294070   0.001011
  4.316131   0.001039
  4.338191   0.001112
  4.360251   0.000989
  4.382312   0.000975
  4.404372   0.000971
  4.426432   0.001031
  4.448492   0.001022
  4.470553   0.001174
  4.492613   0.001121
  4.514673   0.001096
  4.536734   0.001044
  4.558794   0.000954
  4.580854   0.000963
  4.602915   0.000939
  4.624975   0.000940
  4.647035   0.000964
  4.669095   0.000890
  4.691156   0.000901
  4.713216   0.000901
  4.735276   0.000932
  4.757337   0.000941
  4.779397   0.000889
  4.801457   0.000930
  4.823518   0.000924
  4.845578   0.000906
  4.867638   0.000908
  4.889698   0.000953
  4.911759   0.001028
  4.933819   0.000905
  4.955879   0.000951
  4.977940   0.000884
  5.000000   0.000883
