# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.003217
  0.632060   0.003261
  0.654121   0.003254
  0.676181   0.003207
  0.698241   0.003262
  0.720302   0.003302
  0.742362   0.003309
  0.764422   0.003214
  0.786482   0.003265
  0.808543   0.003272
  0.830603   0.003305
  0.852663   0.003337
  0.874724   0.003326
  0.896784   0.003360
  0.918844   0.003326
  0.940905   0.003326
  0.962965   0.003364
  0.985025   0.003344
  1.007085   0.003346
  1.029146   0.003337
  1.051206   0.003307
  1.073266   0.003281
  1.095327   0.003311
  1.117387   0.003378
  1.139447   0.003385
  1.161508   0.003426
  1.183568   0.003385
  1.205628   0.003345
  1.227688   0.003302
  1.249749   0.003291
  1.271809   0.003287
  1.293869   0.003310
  1.315930   0.003321
  1.337990   0.003362
  1.360050   0.003404
  1.382111   0.003393
  1.404171   0.003408
  1.426231   0.003401
  1.448291   0.003373
  1.470352   0.003371
  1.492412   0.003331
  1.514472   0.003329
  1.536533   0.003317
  1.558593   0.003303
  1.580653   0.003307
  1.602714   0.003314
  1.624774   0.003414
  1.646834   0.003376
  1.668894   0.003404
  1.690955   0.003382
  1.713015   0.003369
  1.735075   0.003423
  1.757136   0.003428
  1.779196   0.003380
  1.801256   0.003390
  1.823317   0.003414
  1.845377   0.003370
  1.867437   0.003340
  1.889497   0.003360
  1.911558   0.003373
  1.933618   0.003342
  1.955678   0.003350
  1.977739   0.003320
  1.999799   0.003335
  2.021859   0.003328
  2.043920   0.003327
  2.065980   0.003362
  2.088040   0.003334
  2.110101   0.003321
  2.132161   0.003402
  2.154221   0.003342
  2.176281   0.003326
  2.198342   0.003386
  2.220402   0.003385
  2.242462   0.003360
  2.264523   0.003374
  2.286583   0.003462
  2.308643   0.003399
  2.330704   0.003395
  2.352764   0.003478
  2.374824   0.003398
  2.396884   0.003419
  2.418945   0.003395
  2.441005   0.003440
  2.463065   0.003447
  2.485126   0.003353
  2.507186   0.003342
  2.529246   0.003350
  2.551307   0.003364
  2.573367   0.003380
  2.595427   0.003379
  2.617487   0.003387
  2.639548   0.003374
  2.661608   0.003412
  2.683668   0.003409
  2.705729   0.003416
  2.727789   0.003456
  2.749849   0.003368
  2.771910   0.003392
  2.793970   0.003460
  2.816030   0.003452
  2.838090   0.003352
  2.860151   0.003378
  2.882211   0.003350
  2.904271   0.003368
  2.926332   0.003320
  2.948392   0.003331
  2.970452   0.003366
  2.992513   0.003358
  3.014573   0.003323
  3.036633   0.003346
  3.058693   0.003368
  3.080754   0.003344
  3.102814   0.003341
  3.124874   0.003350
  3.146935   0.003423
  3.168995   0.003441
  3.191055   0.003443
  3.213116   0.003377
  3.235176   0.003396
  3.257236   0.003387
  3.279296   0.003402
  3.301357   0.003361
  3.323417   0.003491
  3.345477   0.003424
  3.367538   0.003402
  3.389598   0.003378
  3.411658   0.003402
  3.433719   0.003402
  3.455779   0.003395
  3.477839   0.003481
  3.499899   0.003365
  3.521960   0.003365
  3.544020   0.003362
  3.566080   0.003352
  3.588141   0.003400
  3.610201   0.003421
  3.632261   0.003378
  3.654322   0.003467
  3.676382   0.003389
  3.698442   0.003341
  3.720503   0.003393
  3.742563   0.003423
  3.764623   0.003375
  3.786683   0.003393
  3.808744   0.003313
  3.830804   0.003328
  3.852864   0.003341
  3.874925   0.003354
  3.896985   0.003328
  3.919045   0.003348
  3.941106   0.003346
  3.963166   0.003325
  3.985226   0.003337
  4.007286   0.003378
  4.029347   0.003342
  4.051407   0.003324
  4.073467   0.003325
  4.095528   0.003325
  4.117588   0.003304
  4.139648   0.003305
  4.161709   0.003331
  4.183769   0.003364
  4.205829   0.003388
  4.227889   0.003417
  4.249950   0.003463
  4.272010   0.003559
  4.294070   0.003417
  4.316131   0.003382
  4.338191   0.003402
  4.360251   0.003389
  4.382312   0.003375
  4.404372   0.003373
  4.426432   0.003371
  4.448492   0.003351
  4.470553   0.003390
  4.492613   0.003350
  4.514673   0.003384
  4.536734   0.003383
  4.558794   0.003385
  4.580854   0.003388
  4.602915   0.003356
  4.624975   0.003348
  4.647035   0.003379
  4.669095   0.003340
  4.691156   0.003327
  4.713216   0.003331
  4.735276   0.003353
  4.757337   0.003356
  4.779397   0.003334
  4.801457   0.003352
  4.823518   0.003327
  4.845578   0.003339
  4.867638   0.003336
  4.889698   0.003370
  4.911759   0.003354
  4.933819   0.003350
  4.955879   0.003371
  4.977940   0.003309
  5.000000   0.003314
