# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.013752
  0.610878   0.013752
  0.611756   0.013752
  0.612635   0.013752
  0.613513   0.013752
  0.614391   0.013752
  0.615269   0.013752
  0.616147   0.013752
  0.617025   0.013752
  0.617904   0.013752
  0.618782   0.013752
  0.619660   0.013752
  0.620538   0.013752
  0.621416   0.013752
  0.622294   0.013752
  0.623173   0.013752
  0.624051   0.013752
  0.624929   0.013752
  0.625807   0.013753
  0.626685   0.013752
  0.627564   0.013752
  0.628442   0.013752
  0.629320   0.013752
  0.630198   0.013752
  0.631076   0.013752
  0.631954   0.013752
  0.632833   0.013753
  0.633711   0.013753
  0.634589   0.013752
  0.635467   0.013754
  0.636345   0.013752
  0.637223   0.013752
  0.638102   0.013752
  0.638980   0.013752
  0.639858   0.013752
  0.640736   0.013752
  0.641614   0.013752
  0.642492   0.013755
  0.643371   0.013752
  0.644249   0.013752
  0.645127   0.013756
  0.646005   0.013752
  0.646883   0.013775
  0.647762   0.013753
  0.648640   0.013755
  0.649518   0.013752
  0.650396   0.013752
  0.651274   0.013753
  0.652152   0.013761
  0.653031   0.013752
  0.653909   0.013752
  0.654787   0.013752
  0.655665   0.013752
  0.656543   0.013752
  0.657421   0.013752
  0.658300   0.013752
  0.659178   0.013753
  0.660056   0.013752
  0.660934   0.013752
  0.661812   0.013752
  0.662691   0.013752
  0.663569   0.013752
  0.664447   0.013752
  0.665325   0.013752
  0.666203   0.013752
  0.667081   0.013752
  0.667960   0.013753
  0.668838   0.013752
  0.669716   0.013752
  0.670594   0.013752
  0.671472   0.013752
  0.672350   0.013752
  0.673229   0.013752
  0.674107   0.013752
  0.674985   0.013752
  0.675863   0.013752
  0.676741   0.013752
  0.677620   0.013752
  0.678498   0.013752
  0.679376   0.013752
  0.680254   0.013752
  0.681132   0.013752
  0.682010   0.013752
  0.682889   0.013752
  0.683767   0.013752
  0.684645   0.013752
  0.685523   0.013752
  0.686401   0.013752
  0.687279   0.013752
  0.688158   0.013752
  0.689036   0.013752
  0.689914   0.013752
  0.690792   0.013752
  0.691670   0.013752
  0.692549   0.013752
  0.693427   0.013753
  0.694305   0.013752
  0.695183   0.013754
  0.696061   0.013752
  0.696939   0.013753
  0.697818   0.013753
  0.698696   0.013753
  0.699574   0.013756
  0.700452   0.013776
  0.701330   0.013752
  0.702208   0.013753
  0.703087   0.013758
  0.703965   0.013752
  0.704843   0.013760
  0.705721   0.013754
  0.706599   0.013753
  0.707477   0.013772
  0.708356   0.013753
  0.709234   0.013752
  0.710112   0.013757
  0.710990   0.013753
  0.711868   0.013753
  0.712747   0.013765
  0.713625   0.013752
  0.714503   0.013752
  0.715381   0.013753
  0.716259   0.013753
  0.717137   0.013757
  0.718016   0.013754
  0.718894   0.013756
  0.719772   0.013757
  0.720650   0.013754
  0.721528   0.013752
  0.722406   0.013781
  0.723285   0.013758
  0.724163   0.013753
  0.725041   0.013752
  0.725919   0.013760
  0.726797   0.013764
  0.727676   0.013753
  0.728554   0.013756
  0.729432   0.013753
  0.730310   0.013753
  0.731188   0.013754
  0.732066   0.013753
  0.732945   0.013753
  0.733823   0.013753
  0.734701   0.013753
  0.735579   0.013797
  0.736457   0.013800
  0.737335   0.013756
  0.738214   0.013753
  0.739092   0.013761
  0.739970   0.013761
  0.740848   0.013802
  0.741726   0.013753
  0.742605   0.013763
  0.743483   0.013753
  0.744361   0.013753
  0.745239   0.013781
  0.746117   0.013753
  0.746995   0.013752
  0.747874   0.013752
  0.748752   0.013753
  0.749630   0.013753
  0.750508   0.013752
  0.751386   0.013752
  0.752264   0.013752
  0.753143   0.013752
  0.754021   0.013753
  0.754899   0.013753
  0.755777   0.013752
  0.756655   0.013752
  0.757534   0.013752
  0.758412   0.013752
  0.759290   0.013752
  0.760168   0.013752
  0.761046   0.013752
  0.761924   0.013752
  0.762803   0.013752
  0.763681   0.013752
  0.764559   0.013752
  0.765437   0.013752
  0.766315   0.013752
  0.767193   0.013752
  0.768072   0.013752
  0.768950   0.013753
  0.769828   0.013752
  0.770706   0.013752
  0.771584   0.013752
  0.772462   0.013752
  0.773341   0.013752
  0.774219   0.013752
  0.775097   0.013752
  0.775975   0.013752
  0.776853   0.013752
  0.777732   0.013752
  0.778610   0.013752
  0.779488   0.013752
  0.780366   0.013753
  0.781244   0.013752
  0.782122   0.013752
  0.783001   0.013755
  0.783879   0.013752
  0.784757   0.013752
  0.785635   0.013753
  0.786513   0.013752
  0.787391   0.013752
  0.788270   0.013752
  0.789148   0.013754
  0.790026   0.013753
  0.790904   0.013752
  0.791782   0.013752
  0.792661   0.013752
  0.793539   0.013752
  0.794417   0.013757
  0.795295   0.013752
  0.796173   0.013752
  0.797051   0.013931
  0.797930   0.013753
  0.798808   0.013752
  0.799686   0.013753
  0.800564   0.013752
  0.801442   0.013753
  0.802320   0.013752
  0.803199   0.013753
  0.804077   0.013753
  0.804955   0.013752
  0.805833   0.013752
  0.806711   0.013773
  0.807590   0.013780
  0.808468   0.013752
  0.809346   0.013752
  0.810224   0.013766
  0.811102   0.013752
  0.811980   0.013754
  0.812859   0.013777
  0.813737   0.013753
  0.814615   0.013753
  0.815493   0.013753
  0.816371   0.013753
  0.817249   0.013894
  0.818128   0.013755
  0.819006   0.013763
  0.819884   0.013753
  0.820762   0.013755
  0.821640   0.013753
  0.822519   0.013752
  0.823397   0.013764
  0.824275   0.013839
  0.825153   0.013753
  0.826031   0.013753
  0.826909   0.013753
  0.827788   0.013753
  0.828666   0.013753
  0.829544   0.013753
  0.830422   0.013754
  0.831300   0.013755
  0.832178   0.013757
  0.833057   0.013757
  0.833935   0.013757
  0.834813   0.013759
  0.835691   0.013779
  0.836569   0.013763
  0.837447   0.013758
  0.838326   0.013757
  0.839204   0.013785
  0.840082   0.013757
  0.840960   0.013757
  0.841838   0.013846
  0.842717   0.013757
  0.843595   0.013762
  0.844473   0.013761
  0.845351   0.013760
  0.846229   0.013757
  0.847107   0.013757
  0.847986   0.013759
  0.848864   0.013759
  0.849742   0.013760
  0.850620   0.013759
  0.851498   0.013759
  0.852376   0.013762
  0.853255   0.013764
  0.854133   0.013765
  0.855011   0.013759
  0.855889   0.013760
  0.856767   0.013759
  0.857646   0.013759
  0.858524   0.013758
  0.859402   0.013759
  0.860280   0.013760
  0.861158   0.013758
  0.862036   0.013759
  0.862915   0.013758
  0.863793   0.013759
  0.864671   0.013759
  0.865549   0.013758
  0.866427   0.013759
  0.867305   0.013760
  0.868184   0.013760
  0.869062   0.013761
  0.869940   0.013763
  0.870818   0.013762
  0.871696   0.013762
  0.872575   0.013762
  0.873453   0.013764
  0.874331   0.013760
  0.875209   0.013765
  0.876087   0.013760
  0.876965   0.013759
  0.877844   0.013761
  0.878722   0.013762
  0.879600   0.013762
  0.880478   0.013759
  0.881356   0.013765
  0.882234   0.013764
  0.883113   0.013766
  0.883991   0.013767
  0.884869   0.013764
  0.885747   0.013768
  0.886625   0.013775
  0.887504   0.013792
  0.888382   0.013814
  0.889260   0.013855
  0.890138   0.013855
  0.891016   0.013933
  0.891894   0.013984
  0.892773   0.013975
  0.893651   0.013994
  0.894529   0.013808
  0.895407   0.013789
  0.896285   0.013811
  0.897163   0.013792
  0.898042   0.013829
  0.898920   0.014055
  0.899798   0.013956
  0.900676   0.013909
  0.901554   0.013827
  0.902432   0.013790
  0.903311   0.013781
  0.904189   0.013798
  0.905067   0.013981
  0.905945   0.013799
  0.906823   0.013775
  0.907702   0.013789
  0.908580   0.013839
  0.909458   0.013787
  0.910336   0.013822
  0.911214   0.013829
  0.912092   0.013796
  0.912971   0.013842
  0.913849   0.013780
  0.914727   0.013776
  0.915605   0.013785
  0.916483   0.013787
  0.917361   0.013768
  0.918240   0.013762
  0.919118   0.013832
  0.919996   0.013756
  0.920874   0.013763
  0.921752   0.014078
  0.922631   0.013760
  0.923509   0.013755
  0.924387   0.013756
  0.925265   0.013765
  0.926143   0.013759
  0.927021   0.013755
  0.927900   0.013759
  0.928778   0.013779
  0.929656   0.013795
  0.930534   0.013757
  0.931412   0.013758
  0.932290   0.014048
  0.933169   0.013780
  0.934047   0.013788
  0.934925   0.013770
  0.935803   0.013754
  0.936681   0.013768
  0.937560   0.013955
  0.938438   0.013855
  0.939316   0.013767
  0.940194   0.014511
  0.941072   0.013764
  0.941950   0.014013
  0.942829   0.013757
  0.943707   0.013868
  0.944585   0.013759
  0.945463   0.013758
  0.946341   0.014366
  0.947219   0.013755
  0.948098   0.013755
  0.948976   0.013755
  0.949854   0.013757
  0.950732   0.013756
  0.951610   0.013756
  0.952488   0.013867
  0.953367   0.013834
  0.954245   0.013757
  0.955123   0.013757
  0.956001   0.013761
  0.956879   0.013757
  0.957758   0.013776
  0.958636   0.013790
  0.959514   0.013774
  0.960392   0.013783
  0.961270   0.013764
  0.962148   0.013769
  0.963027   0.013885
  0.963905   0.013868
  0.964783   0.013764
  0.965661   0.013760
  0.966539   0.013761
  0.967417   0.013765
  0.968296   0.013814
  0.969174   0.013774
  0.970052   0.013773
  0.970930   0.013767
  0.971808   0.013766
  0.972687   0.013766
  0.973565   0.013782
  0.974443   0.013774
  0.975321   0.013764
  0.976199   0.013774
  0.977077   0.013806
  0.977956   0.013772
  0.978834   0.013767
  0.979712   0.013803
  0.980590   0.013911
  0.981468   0.013773
  0.982346   0.013790
  0.983225   0.013777
  0.984103   0.013777
  0.984981   0.013779
  0.985859   0.013779
  0.986737   0.013783
  0.987616   0.013807
  0.988494   0.013835
  0.989372   0.013767
  0.990250   0.013830
  0.991128   0.013775
  0.992006   0.013771
  0.992885   0.013796
  0.993763   0.013831
  0.994641   0.013776
  0.995519   0.013792
  0.996397   0.013792
  0.997275   0.013784
  0.998154   0.013783
  0.999032   0.013784
  0.999910   0.013775
  1.000788   0.013771
  1.001666   0.013780
  1.002545   0.013836
  1.003423   0.013815
  1.004301   0.013819
  1.005179   0.013829
  1.006057   0.013802
  1.006935   0.013788
  1.007814   0.013786
  1.008692   0.013787
  1.009570   0.013783
  1.010448   0.013783
  1.011326   0.013783
  1.012204   0.013773
  1.013083   0.013774
  1.013961   0.013786
  1.014839   0.013794
  1.015717   0.013824
  1.016595   0.013784
  1.017473   0.013776
  1.018352   0.013777
  1.019230   0.013781
  1.020108   0.013783
  1.020986   0.013779
  1.021864   0.013767
  1.022743   0.013786
  1.023621   0.013774
  1.024499   0.013771
  1.025377   0.013773
  1.026255   0.013780
  1.027133   0.013797
  1.028012   0.013785
  1.028890   0.013771
  1.029768   0.013768
  1.030646   0.013771
  1.031524   0.013777
  1.032402   0.013785
  1.033281   0.013778
  1.034159   0.013776
  1.035037   0.013775
  1.035915   0.013772
  1.036793   0.013767
  1.037672   0.013766
  1.038550   0.013766
  1.039428   0.013767
  1.040306   0.013764
  1.041184   0.013760
  1.042062   0.013759
  1.042941   0.013762
  1.043819   0.013761
  1.044697   0.013761
  1.045575   0.013762
  1.046453   0.013776
  1.047331   0.013778
  1.048210   0.013757
  1.049088   0.013757
  1.049966   0.013757
  1.050844   0.013757
  1.051722   0.013756
  1.052601   0.013755
  1.053479   0.013755
  1.054357   0.013759
  1.055235   0.013766
  1.056113   0.013754
  1.056991   0.013754
  1.057870   0.013755
  1.058748   0.013756
  1.059626   0.013756
  1.060504   0.013754
  1.061382   0.013754
  1.062260   0.013755
  1.063139   0.013754
  1.064017   0.013754
  1.064895   0.013756
  1.065773   0.013756
  1.066651   0.013754
  1.067530   0.013754
  1.068408   0.013753
  1.069286   0.013753
  1.070164   0.013753
  1.071042   0.013754
  1.071920   0.013755
  1.072799   0.013754
  1.073677   0.013753
  1.074555   0.013754
  1.075433   0.013753
  1.076311   0.013753
  1.077189   0.013753
  1.078068   0.013753
  1.078946   0.013754
  1.079824   0.013754
  1.080702   0.013754
  1.081580   0.013755
  1.082458   0.013755
  1.083337   0.013755
  1.084215   0.013755
  1.085093   0.013754
  1.085971   0.013755
  1.086849   0.013754
  1.087728   0.013755
  1.088606   0.013766
  1.089484   0.013758
  1.090362   0.013755
  1.091240   0.013757
  1.092118   0.013813
  1.092997   0.013764
  1.093875   0.013758
  1.094753   0.013757
  1.095631   0.013779
  1.096509   0.013764
  1.097387   0.013756
