# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.001351
  0.610878   0.001371
  0.611756   0.001368
  0.612635   0.001361
  0.613513   0.001364
  0.614391   0.001376
  0.615269   0.001325
  0.616147   0.001357
  0.617025   0.001400
  0.617904   0.001377
  0.618782   0.001338
  0.619660   0.001331
  0.620538   0.001363
  0.621416   0.001352
  0.622294   0.001380
  0.623173   0.001335
  0.624051   0.001369
  0.624929   0.001358
  0.625807   0.001373
  0.626685   0.001409
  0.627564   0.001373
  0.628442   0.001344
  0.629320   0.001344
  0.630198   0.001353
  0.631076   0.001371
  0.631954   0.001370
  0.632833   0.001375
  0.633711   0.001416
  0.634589   0.001360
  0.635467   0.001403
  0.636345   0.001386
  0.637223   0.001377
  0.638102   0.001374
  0.638980   0.001391
  0.639858   0.001341
  0.640736   0.001352
  0.641614   0.001347
  0.642492   0.001406
  0.643371   0.001355
  0.644249   0.001369
  0.645127   0.001438
  0.646005   0.001387
  0.646883   0.001452
  0.647762   0.001411
  0.648640   0.001391
  0.649518   0.001377
  0.650396   0.001391
  0.651274   0.001384
  0.652152   0.001429
  0.653031   0.001395
  0.653909   0.001370
  0.654787   0.001387
  0.655665   0.001378
  0.656543   0.001355
  0.657421   0.001364
  0.658300   0.001374
  0.659178   0.001389
  0.660056   0.001375
  0.660934   0.001357
  0.661812   0.001362
  0.662691   0.001373
  0.663569   0.001376
  0.664447   0.001370
  0.665325   0.001359
  0.666203   0.001397
  0.667081   0.001347
  0.667960   0.001425
  0.668838   0.001374
  0.669716   0.001363
  0.670594   0.001399
  0.671472   0.001403
  0.672350   0.001388
  0.673229   0.001384
  0.674107   0.001374
  0.674985   0.001346
  0.675863   0.001394
  0.676741   0.001365
  0.677620   0.001361
  0.678498   0.001359
  0.679376   0.001372
  0.680254   0.001373
  0.681132   0.001356
  0.682010   0.001353
  0.682889   0.001345
  0.683767   0.001349
  0.684645   0.001359
  0.685523   0.001332
  0.686401   0.001350
  0.687279   0.001352
  0.688158   0.001354
  0.689036   0.001388
  0.689914   0.001380
