# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.000549
  0.632060   0.000559
  0.654121   0.000556
  0.676181   0.000542
  0.698241   0.000568
  0.720302   0.000587
  0.742362   0.000588
  0.764422   0.000557
  0.786482   0.000566
  0.808543   0.000565
  0.830603   0.000608
  0.852663   0.000599
  0.874724   0.000604
  0.896784   0.000620
  0.918844   0.000621
  0.940905   0.000626
  0.962965   0.000636
  0.985025   0.000622
  1.007085   0.000616
  1.029146   0.000607
  1.051206   0.000597
  1.073266   0.000591
  1.095327   0.000633
  1.117387   0.000656
  1.139447   0.000636
  1.161508   0.000659
  1.183568   0.000652
  1.205628   0.000623
  1.227688   0.000605
  1.249749   0.000594
  1.271809   0.000600
  1.293869   0.000602
  1.315930   0.000615
  1.337990   0.000635
  1.360050   0.000648
  1.382111   0.000652
  1.404171   0.000662
  1.426231   0.000642
  1.448291   0.000660
  1.470352   0.000675
  1.492412   0.000620
  1.514472   0.000634
  1.536533   0.000632
  1.558593   0.000600
  1.580653   0.000647
  1.602714   0.000634
  1.624774   0.000661
  1.646834   0.000645
  1.668894   0.000660
  1.690955   0.000657
  1.713015   0.000647
  1.735075   0.000670
  1.757136   0.000662
  1.779196   0.000657
  1.801256   0.000651
  1.823317   0.000690
  1.845377   0.000642
  1.867437   0.000634
  1.889497   0.000668
  1.911558   0.000634
  1.933618   0.000646
  1.955678   0.000626
  1.977739   0.000612
  1.999799   0.000640
  2.021859   0.000648
  2.043920   0.000641
  2.065980   0.000658
  2.088040   0.000653
  2.110101   0.000643
  2.132161   0.000655
  2.154221   0.000645
  2.176281   0.000644
  2.198342   0.000666
  2.220402   0.000666
  2.242462   0.000665
  2.264523   0.000687
  2.286583   0.000693
  2.308643   0.000676
  2.330704   0.000685
  2.352764   0.000699
  2.374824   0.000683
  2.396884   0.000681
  2.418945   0.000685
  2.441005   0.000670
  2.463065   0.000691
  2.485126   0.000668
  2.507186   0.000661
  2.529246   0.000651
  2.551307   0.000650
  2.573367   0.000648
  2.595427   0.000676
  2.617487   0.000654
  2.639548   0.000684
  2.661608   0.000686
  2.683668   0.000709
  2.705729   0.000707
  2.727789   0.000672
  2.749849   0.000658
  2.771910   0.000684
  2.793970   0.000722
  2.816030   0.000716
  2.838090   0.000658
  2.860151   0.000625
  2.882211   0.000676
  2.904271   0.000648
  2.926332   0.000696
  2.948392   0.000654
  2.970452   0.000646
  2.992513   0.000635
  3.014573   0.000645
  3.036633   0.000654
  3.058693   0.000656
  3.080754   0.000685
  3.102814   0.000678
  3.124874   0.000699
  3.146935   0.000692
  3.168995   0.000702
  3.191055   0.000704
  3.213116   0.000718
  3.235176   0.000692
  3.257236   0.000687
  3.279296   0.000707
  3.301357   0.000692
  3.323417   0.000740
  3.345477   0.000728
  3.367538   0.000705
  3.389598   0.000686
  3.411658   0.000708
  3.433719   0.000690
  3.455779   0.000695
  3.477839   0.000715
  3.499899   0.000681
  3.521960   0.000691
  3.544020   0.000689
  3.566080   0.000689
  3.588141   0.000705
  3.610201   0.000683
  3.632261   0.000683
  3.654322   0.000696
  3.676382   0.000675
  3.698442   0.000661
  3.720503   0.000677
  3.742563   0.000685
  3.764623   0.000677
  3.786683   0.000674
  3.808744   0.000647
  3.830804   0.000659
  3.852864   0.000650
  3.874925   0.000659
  3.896985   0.000649
  3.919045   0.000651
  3.941106   0.000639
  3.963166   0.000650
  3.985226   0.000658
  4.007286   0.000672
  4.029347   0.000649
  4.051407   0.000644
  4.073467   0.000641
  4.095528   0.000639
  4.117588   0.000635
  4.139648   0.000619
  4.161709   0.000641
  4.183769   0.000650
  4.205829   0.000657
  4.227889   0.000646
  4.249950   0.000688
  4.272010   0.000793
  4.294070   0.000721
  4.316131   0.000710
  4.338191   0.000709
  4.360251   0.000660
  4.382312   0.000669
  4.404372   0.000655
  4.426432   0.000701
  4.448492   0.000696
  4.470553   0.000758
  4.492613   0.000743
  4.514673   0.000713
  4.536734   0.000705
  4.558794   0.000660
  4.580854   0.000654
  4.602915   0.000655
  4.624975   0.000641
  4.647035   0.000645
  4.669095   0.000632
  4.691156   0.000634
  4.713216   0.000621
  4.735276   0.000624
  4.757337   0.000644
  4.779397   0.000622
  4.801457   0.000633
  4.823518   0.000645
  4.845578   0.000620
  4.867638   0.000633
  4.889698   0.000651
  4.911759   0.000684
  4.933819   0.000621
  4.955879   0.000648
  4.977940   0.000631
  5.000000   0.000622
