# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.000345
  0.632060   0.000354
  0.654121   0.000352
  0.676181   0.000341
  0.698241   0.000354
  0.720302   0.000363
  0.742362   0.000366
  0.764422   0.000343
  0.786482   0.000355
  0.808543   0.000356
  0.830603   0.000366
  0.852663   0.000372
  0.874724   0.000370
  0.896784   0.000378
  0.918844   0.000370
  0.940905   0.000371
  0.962965   0.000381
  0.985025   0.000374
  1.007085   0.000376
  1.029146   0.000373
  1.051206   0.000366
  1.073266   0.000359
  1.095327   0.000367
  1.117387   0.000383
  1.139447   0.000385
  1.161508   0.000395
  1.183568   0.000385
  1.205628   0.000375
  1.227688   0.000365
  1.249749   0.000362
  1.271809   0.000361
  1.293869   0.000367
  1.315930   0.000368
  1.337990   0.000380
  1.360050   0.000389
  1.382111   0.000387
  1.404171   0.000390
  1.426231   0.000388
  1.448291   0.000383
  1.470352   0.000385
  1.492412   0.000372
  1.514472   0.000371
  1.536533   0.000369
  1.558593   0.000364
  1.580653   0.000366
  1.602714   0.000369
  1.624774   0.000393
  1.646834   0.000383
  1.668894   0.000391
  1.690955   0.000386
  1.713015   0.000382
  1.735075   0.000395
  1.757136   0.000396
  1.779196   0.000384
  1.801256   0.000387
  1.823317   0.000393
  1.845377   0.000381
  1.867437   0.000374
  1.889497   0.000380
  1.911558   0.000382
  1.933618   0.000374
  1.955678   0.000376
  1.977739   0.000369
  1.999799   0.000374
  2.021859   0.000371
  2.043920   0.000371
  2.065980   0.000380
  2.088040   0.000374
  2.110101   0.000371
  2.132161   0.000390
  2.154221   0.000375
  2.176281   0.000372
  2.198342   0.000387
  2.220402   0.000387
  2.242462   0.000378
  2.264523   0.000382
  2.286583   0.000405
  2.308643   0.000390
  2.330704   0.000390
  2.352764   0.000409
  2.374824   0.000392
  2.396884   0.000395
  2.418945   0.000390
  2.441005   0.000398
  2.463065   0.000402
  2.485126   0.000381
  2.507186   0.000376
  2.529246   0.000377
  2.551307   0.000380
  2.573367   0.000383
  2.595427   0.000385
  2.617487   0.000384
  2.639548   0.000383
  2.661608   0.000391
  2.683668   0.000392
  2.705729   0.000395
  2.727789   0.000402
  2.749849   0.000379
  2.771910   0.000385
  2.793970   0.000406
  2.816030   0.000405
  2.838090   0.000377
  2.860151   0.000382
  2.882211   0.000378
  2.904271   0.000380
  2.926332   0.000371
  2.948392   0.000373
  2.970452   0.000379
  2.992513   0.000377
  3.014573   0.000371
  3.036633   0.000378
  3.058693   0.000380
  3.080754   0.000376
  3.102814   0.000374
  3.124874   0.000381
  3.146935   0.000396
  3.168995   0.000401
  3.191055   0.000401
  3.213116   0.000390
  3.235176   0.000390
  3.257236   0.000386
  3.279296   0.000394
  3.301357   0.000384
  3.323417   0.000414
  3.345477   0.000399
  3.367538   0.000393
  3.389598   0.000386
  3.411658   0.000393
  3.433719   0.000389
  3.455779   0.000390
  3.477839   0.000410
  3.499899   0.000384
  3.521960   0.000384
  3.544020   0.000383
  3.566080   0.000380
  3.588141   0.000392
  3.610201   0.000394
  3.632261   0.000384
  3.654322   0.000406
  3.676382   0.000388
  3.698442   0.000376
  3.720503   0.000389
  3.742563   0.000397
  3.764623   0.000383
  3.786683   0.000389
  3.808744   0.000369
  3.830804   0.000374
  3.852864   0.000373
  3.874925   0.000381
  3.896985   0.000371
  3.919045   0.000376
  3.941106   0.000374
  3.963166   0.000373
  3.985226   0.000377
  4.007286   0.000386
  4.029347   0.000376
  4.051407   0.000371
  4.073467   0.000371
  4.095528   0.000373
  4.117588   0.000365
  4.139648   0.000365
  4.161709   0.000373
  4.183769   0.000381
  4.205829   0.000385
  4.227889   0.000391
  4.249950   0.000400
  4.272010   0.000433
  4.294070   0.000392
  4.316131   0.000385
  4.338191   0.000394
  4.360251   0.000386
  4.382312   0.000383
  4.404372   0.000382
  4.426432   0.000384
  4.448492   0.000380
  4.470553   0.000395
  4.492613   0.000384
  4.514673   0.000390
  4.536734   0.000385
  4.558794   0.000383
  4.580854   0.000384
  4.602915   0.000377
  4.624975   0.000376
  4.647035   0.000383
  4.669095   0.000372
  4.691156   0.000370
  4.713216   0.000372
  4.735276   0.000377
  4.757337   0.000378
  4.779397   0.000371
  4.801457   0.000376
  4.823518   0.000370
  4.845578   0.000373
  4.867638   0.000372
  4.889698   0.000381
  4.911759   0.000381
  4.933819   0.000375
  4.955879   0.000380
  4.977940   0.000366
  5.000000   0.000367
