# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.001400
  0.632060   0.001417
  0.654121   0.001413
  0.676181   0.001385
  0.698241   0.001421
  0.720302   0.001447
  0.742362   0.001454
  0.764422   0.001392
  0.786482   0.001424
  0.808543   0.001425
  0.830603   0.001463
  0.852663   0.001469
  0.874724   0.001468
  0.896784   0.001490
  0.918844   0.001475
  0.940905   0.001482
  0.962965   0.001505
  0.985025   0.001481
  1.007085   0.001485
  1.029146   0.001475
  1.051206   0.001456
  1.073266   0.001437
  1.095327   0.001471
  1.117387   0.001515
  1.139447   0.001508
  1.161508   0.001540
  1.183568   0.001512
  1.205628   0.001486
  1.227688   0.001459
  1.249749   0.001447
  1.271809   0.001446
  1.293869   0.001461
  1.315930   0.001471
  1.337990   0.001501
  1.360050   0.001523
  1.382111   0.001519
  1.404171   0.001528
  1.426231   0.001517
  1.448291   0.001512
  1.470352   0.001532
  1.492412   0.001477
  1.514472   0.001476
  1.536533   0.001474
  1.558593   0.001453
  1.580653   0.001475
  1.602714   0.001485
  1.624774   0.001538
  1.646834   0.001510
  1.668894   0.001532
  1.690955   0.001524
  1.713015   0.001511
  1.735075   0.001546
  1.757136   0.001542
  1.779196   0.001512
  1.801256   0.001521
  1.823317   0.001541
  1.845377   0.001504
  1.867437   0.001488
  1.889497   0.001518
  1.911558   0.001505
  1.933618   0.001493
  1.955678   0.001490
  1.977739   0.001470
  1.999799   0.001495
  2.021859   0.001489
  2.043920   0.001483
  2.065980   0.001509
  2.088040   0.001499
  2.110101   0.001488
  2.132161   0.001530
  2.154221   0.001498
  2.176281   0.001493
  2.198342   0.001529
  2.220402   0.001529
  2.242462   0.001519
  2.264523   0.001548
  2.286583   0.001571
  2.308643   0.001537
  2.330704   0.001544
  2.352764   0.001580
  2.374824   0.001547
  2.396884   0.001548
  2.418945   0.001546
  2.441005   0.001544
  2.463065   0.001565
  2.485126   0.001521
  2.507186   0.001507
  2.529246   0.001503
  2.551307   0.001507
  2.573367   0.001507
  2.595427   0.001522
  2.617487   0.001514
  2.639548   0.001535
  2.661608   0.001536
  2.683668   0.001554
  2.705729   0.001558
  2.727789   0.001554
  2.749849   0.001497
  2.771910   0.001504
  2.793970   0.001586
  2.816030   0.001582
  2.838090   0.001494
  2.860151   0.001497
  2.882211   0.001510
  2.904271   0.001494
  2.926332   0.001514
  2.948392   0.001495
  2.970452   0.001493
  2.992513   0.001490
  3.014573   0.001488
  3.036633   0.001504
  3.058693   0.001498
  3.080754   0.001514
  3.102814   0.001510
  3.124874   0.001538
  3.146935   0.001552
  3.168995   0.001564
  3.191055   0.001567
  3.213116   0.001563
  3.235176   0.001542
  3.257236   0.001534
  3.279296   0.001560
  3.301357   0.001541
  3.323417   0.001601
  3.345477   0.001575
  3.367538   0.001558
  3.389598   0.001534
  3.411658   0.001560
  3.433719   0.001538
  3.455779   0.001546
  3.477839   0.001589
  3.499899   0.001532
  3.521960   0.001540
  3.544020   0.001532
  3.566080   0.001530
  3.588141   0.001553
  3.610201   0.001545
  3.632261   0.001538
  3.654322   0.001574
  3.676382   0.001536
  3.698442   0.001506
  3.720503   0.001530
  3.742563   0.001555
  3.764623   0.001525
  3.786683   0.001537
  3.808744   0.001489
  3.830804   0.001504
  3.852864   0.001480
  3.874925   0.001518
  3.896985   0.001490
  3.919045   0.001503
  3.941106   0.001488
  3.963166   0.001499
  3.985226   0.001511
  4.007286   0.001531
  4.029347   0.001503
  4.051407   0.001491
  4.073467   0.001488
  4.095528   0.001493
  4.117588   0.001475
  4.139648   0.001462
  4.161709   0.001493
  4.183769   0.001511
  4.205829   0.001515
  4.227889   0.001525
  4.249950   0.001554
  4.272010   0.001657
  4.294070   0.001529
  4.316131   0.001535
  4.338191   0.001565
  4.360251   0.001520
  4.382312   0.001513
  4.404372   0.001511
  4.426432   0.001534
  4.448492   0.001529
  4.470553   0.001588
  4.492613   0.001568
  4.514673   0.001559
  4.536734   0.001538
  4.558794   0.001504
  4.580854   0.001507
  4.602915   0.001495
  4.624975   0.001496
  4.647035   0.001507
  4.669095   0.001473
  4.691156   0.001477
  4.713216   0.001477
  4.735276   0.001492
  4.757337   0.001496
  4.779397   0.001472
  4.801457   0.001492
  4.823518   0.001485
  4.845578   0.001478
  4.867638   0.001481
  4.889698   0.001503
  4.911759   0.001531
  4.933819   0.001480
  4.955879   0.001502
  4.977940   0.001468
  5.000000   0.001468
