# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.001570
  0.632060   0.001597
  0.654121   0.001590
  0.676181   0.001555
  0.698241   0.001621
  0.720302   0.001672
  0.742362   0.001671
  0.764422   0.001598
  0.786482   0.001615
  0.808543   0.001613
  0.830603   0.001725
  0.852663   0.001700
  0.874724   0.001713
  0.896784   0.001753
  0.918844   0.001759
  0.940905   0.001773
  0.962965   0.001795
  0.985025   0.001765
  1.007085   0.001744
  1.029146   0.001719
  1.051206   0.001698
  1.073266   0.001687
  1.095327   0.001795
  1.117387   0.001850
  1.139447   0.001797
  1.161508   0.001850
  1.183568   0.001841
  1.205628   0.001765
  1.227688   0.001718
  1.249749   0.001690
  1.271809   0.001712
  1.293869   0.001710
  1.315930   0.001745
  1.337990   0.001792
  1.360050   0.001824
  1.382111   0.001838
  1.404171   0.001863
  1.426231   0.001810
  1.448291   0.001863
  1.470352   0.001897
  1.492412   0.001759
  1.514472   0.001800
  1.536533   0.001793
  1.558593   0.001710
  1.580653   0.001835
  1.602714   0.001795
  1.624774   0.001858
  1.646834   0.001820
  1.668894   0.001856
  1.690955   0.001850
  1.713015   0.001826
  1.735075   0.001879
  1.757136   0.001859
  1.779196   0.001856
  1.801256   0.001832
  1.823317   0.001940
  1.845377   0.001814
  1.867437   0.001794
  1.889497   0.001882
  1.911558   0.001793
  1.933618   0.001827
  1.955678   0.001773
  1.977739   0.001736
  1.999799   0.001809
  2.021859   0.001835
  2.043920   0.001818
  2.065980   0.001854
  2.088040   0.001844
  2.110101   0.001820
  2.132161   0.001842
  2.154221   0.001821
  2.176281   0.001820
  2.198342   0.001874
  2.220402   0.001873
  2.242462   0.001872
  2.264523   0.001927
  2.286583   0.001936
  2.308643   0.001900
  2.330704   0.001923
  2.352764   0.001951
  2.374824   0.001915
  2.396884   0.001911
  2.418945   0.001921
  2.441005   0.001882
  2.463065   0.001933
  2.485126   0.001881
  2.507186   0.001868
  2.529246   0.001838
  2.551307   0.001834
  2.573367   0.001830
  2.595427   0.001906
  2.617487   0.001844
  2.639548   0.001922
  2.661608   0.001931
  2.683668   0.001987
  2.705729   0.001981
  2.727789   0.001886
  2.749849   0.001865
  2.771910   0.001928
  2.793970   0.002013
  2.816030   0.001999
  2.838090   0.001863
  2.860151   0.001767
  2.882211   0.001909
  2.904271   0.001837
  2.926332   0.001961
  2.948392   0.001852
  2.970452   0.001832
  2.992513   0.001801
  3.014573   0.001827
  3.036633   0.001849
  3.058693   0.001857
  3.080754   0.001930
  3.102814   0.001912
  3.124874   0.001962
  3.146935   0.001941
  3.168995   0.001967
  3.191055   0.001971
  3.213116   0.002009
  3.235176   0.001943
  3.257236   0.001930
  3.279296   0.001978
  3.301357   0.001943
  3.323417   0.002068
  3.345477   0.002033
  3.367538   0.001975
  3.389598   0.001930
  3.411658   0.001983
  3.433719   0.001939
  3.455779   0.001949
  3.477839   0.001995
  3.499899   0.001915
  3.521960   0.001940
  3.544020   0.001936
  3.566080   0.001938
  3.588141   0.001975
  3.610201   0.001918
  3.632261   0.001919
  3.654322   0.001944
  3.676382   0.001898
  3.698442   0.001866
  3.720503   0.001906
  3.742563   0.001918
  3.764623   0.001903
  3.786683   0.001893
  3.808744   0.001832
  3.830804   0.001860
  3.852864   0.001837
  3.874925   0.001856
  3.896985   0.001836
  3.919045   0.001837
  3.941106   0.001808
  3.963166   0.001835
  3.985226   0.001855
  4.007286   0.001889
  4.029347   0.001833
  4.051407   0.001821
  4.073467   0.001812
  4.095528   0.001808
  4.117588   0.001799
  4.139648   0.001760
  4.161709   0.001812
  4.183769   0.001831
  4.205829   0.001860
  4.227889   0.001819
  4.249950   0.001929
  4.272010   0.002191
  4.294070   0.002029
  4.316131   0.001997
  4.338191   0.001984
  4.360251   0.001857
  4.382312   0.001884
  4.404372   0.001850
  4.426432   0.001973
  4.448492   0.001959
  4.470553   0.002113
  4.492613   0.002077
  4.514673   0.001998
  4.536734   0.001979
  4.558794   0.001876
  4.580854   0.001854
  4.602915   0.001852
  4.624975   0.001819
  4.647035   0.001829
  4.669095   0.001802
  4.691156   0.001805
  4.713216   0.001764
  4.735276   0.001769
  4.757337   0.001821
  4.779397   0.001770
  4.801457   0.001794
  4.823518   0.001826
  4.845578   0.001768
  4.867638   0.001807
  4.889698   0.001843
  4.911759   0.001922
  4.933819   0.001765
  4.955879   0.001836
  4.977940   0.001796
  5.000000   0.001765
