# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.002257
  0.632060   0.002301
  0.654121   0.002291
  0.676181   0.002238
  0.698241   0.002303
  0.720302   0.002349
  0.742362   0.002362
  0.764422   0.002246
  0.786482   0.002307
  0.808543   0.002314
  0.830603   0.002360
  0.852663   0.002392
  0.874724   0.002382
  0.896784   0.002422
  0.918844   0.002383
  0.940905   0.002387
  0.962965   0.002435
  0.985025   0.002403
  1.007085   0.002409
  1.029146   0.002395
  1.051206   0.002360
  1.073266   0.002327
  1.095327   0.002367
  1.117387   0.002448
  1.139447   0.002453
  1.161508   0.002505
  1.183568   0.002453
  1.205628   0.002408
  1.227688   0.002357
  1.249749   0.002342
  1.271809   0.002337
  1.293869   0.002365
  1.315930   0.002374
  1.337990   0.002430
  1.360050   0.002477
  1.382111   0.002464
  1.404171   0.002481
  1.426231   0.002471
  1.448291   0.002444
  1.470352   0.002456
  1.492412   0.002391
  1.514472   0.002386
  1.536533   0.002375
  1.558593   0.002353
  1.580653   0.002364
  1.602714   0.002379
  1.624774   0.002495
  1.646834   0.002447
  1.668894   0.002483
  1.690955   0.002461
  1.713015   0.002441
  1.735075   0.002507
  1.757136   0.002508
  1.779196   0.002451
  1.801256   0.002464
  1.823317   0.002492
  1.845377   0.002437
  1.867437   0.002402
  1.889497   0.002433
  1.911558   0.002442
  1.933618   0.002404
  1.955678   0.002413
  1.977739   0.002375
  1.999799   0.002402
  2.021859   0.002389
  2.043920   0.002387
  2.065980   0.002433
  2.088040   0.002404
  2.110101   0.002385
  2.132161   0.002480
  2.154221   0.002409
  2.176281   0.002394
  2.198342   0.002468
  2.220402   0.002466
  2.242462   0.002420
  2.264523   0.002443
  2.286583   0.002553
  2.308643   0.002479
  2.330704   0.002482
  2.352764   0.002571
  2.374824   0.002489
  2.396884   0.002504
  2.418945   0.002483
  2.441005   0.002518
  2.463065   0.002538
  2.485126   0.002435
  2.507186   0.002412
  2.529246   0.002417
  2.551307   0.002432
  2.573367   0.002447
  2.595427   0.002455
  2.617487   0.002451
  2.639548   0.002446
  2.661608   0.002487
  2.683668   0.002488
  2.705729   0.002503
  2.727789   0.002537
  2.749849   0.002428
  2.771910   0.002454
  2.793970   0.002557
  2.816030   0.002552
  2.838090   0.002416
  2.860151   0.002440
  2.882211   0.002420
  2.904271   0.002431
  2.926332   0.002387
  2.948392   0.002397
  2.970452   0.002426
  2.992513   0.002418
  3.014573   0.002385
  3.036633   0.002420
  3.058693   0.002429
  3.080754   0.002413
  3.102814   0.002403
  3.124874   0.002439
  3.146935   0.002509
  3.168995   0.002532
  3.191055   0.002533
  3.213116   0.002481
  3.235176   0.002479
  3.257236   0.002463
  3.279296   0.002498
  3.301357   0.002453
  3.323417   0.002594
  3.345477   0.002523
  3.367538   0.002495
  3.389598   0.002460
  3.411658   0.002496
  3.433719   0.002477
  3.455779   0.002480
  3.477839   0.002579
  3.499899   0.002452
  3.521960   0.002454
  3.544020   0.002446
  3.566080   0.002434
  3.588141   0.002491
  3.610201   0.002501
  3.632261   0.002452
  3.654322   0.002559
  3.676382   0.002472
  3.698442   0.002410
  3.720503   0.002473
  3.742563   0.002512
  3.764623   0.002448
  3.786683   0.002477
  3.808744   0.002378
  3.830804   0.002400
  3.852864   0.002395
  3.874925   0.002435
  3.896985   0.002387
  3.919045   0.002413
  3.941106   0.002403
  3.963166   0.002397
  3.985226   0.002415
  4.007286   0.002460
  4.029347   0.002413
  4.051407   0.002389
  4.073467   0.002387
  4.095528   0.002395
  4.117588   0.002360
  4.139648   0.002357
  4.161709   0.002397
  4.183769   0.002435
  4.205829   0.002455
  4.227889   0.002485
  4.249950   0.002530
  4.272010   0.002684
  4.294070   0.002489
  4.316131   0.002454
  4.338191   0.002499
  4.360251   0.002461
  4.382312   0.002445
  4.404372   0.002441
  4.426432   0.002454
  4.448492   0.002430
  4.470553   0.002506
  4.492613   0.002453
  4.514673   0.002483
  4.536734   0.002457
  4.558794   0.002447
  4.580854   0.002451
  4.602915   0.002418
  4.624975   0.002414
  4.647035   0.002444
  4.669095   0.002392
  4.691156   0.002384
  4.713216   0.002389
  4.735276   0.002417
  4.757337   0.002422
  4.779397   0.002386
  4.801457   0.002411
  4.823518   0.002383
  4.845578   0.002397
  4.867638   0.002393
  4.889698   0.002435
  4.911759   0.002439
  4.933819   0.002406
  4.955879   0.002434
  4.977940   0.002363
  5.000000   0.002368
