# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.002995
  0.632060   0.003042
  0.654121   0.003036
  0.676181   0.002989
  0.698241   0.003043
  0.720302   0.003082
  0.742362   0.003086
  0.764422   0.002996
  0.786482   0.003045
  0.808543   0.003053
  0.830603   0.003082
  0.852663   0.003115
  0.874724   0.003102
  0.896784   0.003138
  0.918844   0.003104
  0.940905   0.003102
  0.962965   0.003137
  0.985025   0.003120
  1.007085   0.003121
  1.029146   0.003114
  1.051206   0.003083
  1.073266   0.003059
  1.095327   0.003088
  1.117387   0.003152
  1.139447   0.003161
  1.161508   0.003200
  1.183568   0.003161
  1.205628   0.003120
  1.227688   0.003079
  1.249749   0.003069
  1.271809   0.003065
  1.293869   0.003086
  1.315930   0.003100
  1.337990   0.003137
  1.360050   0.003180
  1.382111   0.003170
  1.404171   0.003184
  1.426231   0.003179
  1.448291   0.003147
  1.470352   0.003137
  1.492412   0.003107
  1.514472   0.003105
  1.536533   0.003093
  1.558593   0.003082
  1.580653   0.003084
  1.602714   0.003088
  1.624774   0.003186
  1.646834   0.003150
  1.668894   0.003176
  1.690955   0.003151
  1.713015   0.003142
  1.735075   0.003195
  1.757136   0.003202
  1.779196   0.003154
  1.801256   0.003163
  1.823317   0.003189
  1.845377   0.003145
  1.867437   0.003117
  1.889497   0.003133
  1.911558   0.003148
  1.933618   0.003119
  1.955678   0.003126
  1.977739   0.003098
  1.999799   0.003111
  2.021859   0.003104
  2.043920   0.003103
  2.065980   0.003135
  2.088040   0.003108
  2.110101   0.003096
  2.132161   0.003174
  2.154221   0.003117
  2.176281   0.003100
  2.198342   0.003156
  2.220402   0.003154
  2.242462   0.003137
  2.264523   0.003150
  2.286583   0.003234
  2.308643   0.003170
  2.330704   0.003161
  2.352764   0.003250
  2.374824   0.003163
  2.396884   0.003190
  2.418945   0.003162
  2.441005   0.003216
  2.463065   0.003218
  2.485126   0.003121
  2.507186   0.003116
  2.529246   0.003125
  2.551307   0.003140
  2.573367   0.003157
  2.595427   0.003151
  2.617487   0.003167
  2.639548   0.003148
  2.661608   0.003187
  2.683668   0.003185
  2.705729   0.003187
  2.727789   0.003233
  2.749849   0.003147
  2.771910   0.003173
  2.793970   0.003228
  2.816030   0.003218
  2.838090   0.003128
  2.860151   0.003156
  2.882211   0.003123
  2.904271   0.003145
  2.926332   0.003095
  2.948392   0.003105
  2.970452   0.003144
  2.992513   0.003135
  3.014573   0.003098
  3.036633   0.003117
  3.058693   0.003147
  3.080754   0.003118
  3.102814   0.003119
  3.124874   0.003118
  3.146935   0.003194
  3.168995   0.003211
  3.191055   0.003213
  3.213116   0.003136
  3.235176   0.003165
  3.257236   0.003162
  3.279296   0.003165
  3.301357   0.003128
  3.323417   0.003261
  3.345477   0.003188
  3.367538   0.003165
  3.389598   0.003147
  3.411658   0.003167
  3.433719   0.003177
  3.455779   0.003166
  3.477839   0.003252
  3.499899   0.003131
  3.521960   0.003132
  3.544020   0.003129
  3.566080   0.003120
  3.588141   0.003166
  3.610201   0.003197
  3.632261   0.003153
  3.654322   0.003239
  3.676382   0.003158
  3.698442   0.003116
  3.720503   0.003164
  3.742563   0.003192
  3.764623   0.003149
  3.786683   0.003161
  3.808744   0.003089
  3.830804   0.003100
  3.852864   0.003121
  3.874925   0.003124
  3.896985   0.003105
  3.919045   0.003123
  3.941106   0.003125
  3.963166   0.003097
  3.985226   0.003105
  4.007286   0.003146
  4.029347   0.003114
  4.051407   0.003098
  4.073467   0.003099
  4.095528   0.003096
  4.117588   0.003083
  4.139648   0.003084
  4.161709   0.003105
  4.183769   0.003136
  4.205829   0.003166
  4.227889   0.003197
  4.249950   0.003250
  4.272010   0.003325
  4.294070   0.003195
  4.316131   0.003158
  4.338191   0.003170
  4.360251   0.003164
  4.382312   0.003149
  4.404372   0.003148
  4.426432   0.003139
  4.448492   0.003121
  4.470553   0.003142
  4.492613   0.003115
  4.514673   0.003145
  4.536734   0.003160
  4.558794   0.003164
  4.580854   0.003167
  4.602915   0.003133
  4.624975   0.003123
  4.647035   0.003156
  4.669095   0.003121
  4.691156   0.003105
  4.713216   0.003109
  4.735276   0.003129
  4.757337   0.003130
  4.779397   0.003114
  4.801457   0.003130
  4.823518   0.003106
  4.845578   0.003117
  4.867638   0.003115
  4.889698   0.003146
  4.911759   0.003122
  4.933819   0.003129
  4.955879   0.003149
  4.977940   0.003087
  5.000000   0.003092
