# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.001297
  0.632060   0.001321
  0.654121   0.001315
  0.676181   0.001275
  0.698241   0.001336
  0.720302   0.001381
  0.742362   0.001388
  0.764422   0.001300
  0.786482   0.001336
  0.808543   0.001335
  0.830603   0.001425
  0.852663   0.001415
  0.874724   0.001421
  0.896784   0.001462
  0.918844   0.001451
  0.940905   0.001466
  0.962965   0.001497
  0.985025   0.001455
  1.007085   0.001452
  1.029146   0.001431
  1.051206   0.001402
  1.073266   0.001381
  1.095327   0.001466
  1.117387   0.001533
  1.139447   0.001497
  1.161508   0.001556
  1.183568   0.001521
  1.205628   0.001463
  1.227688   0.001415
  1.249749   0.001392
  1.271809   0.001396
  1.293869   0.001414
  1.315930   0.001439
  1.337990   0.001492
  1.360050   0.001526
  1.382111   0.001526
  1.404171   0.001549
  1.426231   0.001512
  1.448291   0.001532
  1.470352   0.001574
  1.492412   0.001447
  1.514472   0.001469
  1.536533   0.001465
  1.558593   0.001400
  1.580653   0.001490
  1.602714   0.001480
  1.624774   0.001558
  1.646834   0.001512
  1.668894   0.001551
  1.690955   0.001543
  1.713015   0.001516
  1.735075   0.001576
  1.757136   0.001561
  1.779196   0.001525
  1.801256   0.001529
  1.823317   0.001597
  1.845377   0.001502
  1.867437   0.001479
  1.889497   0.001553
  1.911558   0.001491
  1.933618   0.001501
  1.955678   0.001467
  1.977739   0.001435
  1.999799   0.001493
  2.021859   0.001501
  2.043920   0.001483
  2.065980   0.001531
  2.088040   0.001518
  2.110101   0.001494
  2.132161   0.001542
  2.154221   0.001504
  2.176281   0.001499
  2.198342   0.001558
  2.220402   0.001557
  2.242462   0.001553
  2.264523   0.001606
  2.286583   0.001629
  2.308643   0.001578
  2.330704   0.001598
  2.352764   0.001644
  2.374824   0.001596
  2.396884   0.001593
  2.418945   0.001599
  2.441005   0.001570
  2.463065   0.001621
  2.485126   0.001556
  2.507186   0.001533
  2.529246   0.001516
  2.551307   0.001517
  2.573367   0.001510
  2.595427   0.001565
  2.617487   0.001529
  2.639548   0.001590
  2.661608   0.001587
  2.683668   0.001641
  2.705729   0.001639
  2.727789   0.001580
  2.749849   0.001507
  2.771910   0.001573
  2.793970   0.001684
  2.816030   0.001672
  2.838090   0.001515
  2.860151   0.001471
  2.882211   0.001556
  2.904271   0.001497
  2.926332   0.001591
  2.948392   0.001509
  2.970452   0.001493
  2.992513   0.001478
  3.014573   0.001496
  3.036633   0.001516
  3.058693   0.001514
  3.080754   0.001572
  3.102814   0.001562
  3.124874   0.001614
  3.146935   0.001611
  3.168995   0.001632
  3.191055   0.001641
  3.213116   0.001661
  3.235176   0.001603
  3.257236   0.001591
  3.279296   0.001642
  3.301357   0.001605
  3.323417   0.001714
  3.345477   0.001682
  3.367538   0.001636
  3.389598   0.001590
  3.411658   0.001644
  3.433719   0.001600
  3.455779   0.001611
  3.477839   0.001674
  3.499899   0.001582
  3.521960   0.001603
  3.544020   0.001594
  3.566080   0.001593
  3.588141   0.001632
  3.610201   0.001591
  3.632261   0.001589
  3.654322   0.001635
  3.676382   0.001577
  3.698442   0.001534
  3.720503   0.001571
  3.742563   0.001605
  3.764623   0.001572
  3.786683   0.001575
  3.808744   0.001500
  3.830804   0.001530
  3.852864   0.001513
  3.874925   0.001539
  3.896985   0.001505
  3.919045   0.001517
  3.941106   0.001486
  3.963166   0.001513
  3.985226   0.001534
  4.007286   0.001569
  4.029347   0.001515
  4.051407   0.001499
  4.073467   0.001491
  4.095528   0.001492
  4.117588   0.001474
  4.139648   0.001437
  4.161709   0.001496
  4.183769   0.001520
  4.205829   0.001526
  4.227889   0.001524
  4.249950   0.001605
  4.272010   0.001839
  4.294070   0.001570
  4.316131   0.001621
  4.338191   0.001649
  4.360251   0.001537
  4.382312   0.001539
  4.404372   0.001523
  4.426432   0.001608
  4.448492   0.001599
  4.470553   0.001739
  4.492613   0.001701
  4.514673   0.001649
  4.536734   0.001621
  4.558794   0.001508
  4.580854   0.001512
  4.602915   0.001513
  4.624975   0.001489
  4.647035   0.001501
  4.669095   0.001450
  4.691156   0.001460
  4.713216   0.001448
  4.735276   0.001465
  4.757337   0.001484
  4.779397   0.001439
  4.801457   0.001478
  4.823518   0.001495
  4.845578   0.001444
  4.867638   0.001465
  4.889698   0.001508
  4.911759   0.001588
  4.933819   0.001447
  4.955879   0.001504
  4.977940   0.001448
  5.000000   0.001444
