# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.001534
  0.632060   0.001577
  0.654121   0.001565
  0.676181   0.001507
  0.698241   0.001581
  0.720302   0.001636
  0.742362   0.001654
  0.764422   0.001517
  0.786482   0.001586
  0.808543   0.001592
  0.830603   0.001660
  0.852663   0.001688
  0.874724   0.001680
  0.896784   0.001728
  0.918844   0.001685
  0.940905   0.001696
  0.962965   0.001754
  0.985025   0.001706
  1.007085   0.001716
  1.029146   0.001696
  1.051206   0.001654
  1.073266   0.001613
  1.095327   0.001669
  1.117387   0.001770
  1.139447   0.001768
  1.161508   0.001836
  1.183568   0.001771
  1.205628   0.001715
  1.227688   0.001655
  1.249749   0.001633
  1.271809   0.001629
  1.293869   0.001663
  1.315930   0.001673
  1.337990   0.001745
  1.360050   0.001799
  1.382111   0.001785
  1.404171   0.001805
  1.426231   0.001787
  1.448291   0.001764
  1.470352   0.001798
  1.492412   0.001694
  1.514472   0.001688
  1.536533   0.001680
  1.558593   0.001645
  1.580653   0.001671
  1.602714   0.001696
  1.624774   0.001828
  1.646834   0.001767
  1.668894   0.001813
  1.690955   0.001792
  1.713015   0.001762
  1.735075   0.001845
  1.757136   0.001840
  1.779196   0.001770
  1.801256   0.001789
  1.823317   0.001827
  1.845377   0.001753
  1.867437   0.001711
  1.889497   0.001765
  1.911558   0.001757
  1.933618   0.001717
  1.955678   0.001720
  1.977739   0.001674
  1.999799   0.001722
  2.021859   0.001704
  2.043920   0.001696
  2.065980   0.001755
  2.088040   0.001728
  2.110101   0.001702
  2.132161   0.001809
  2.154221   0.001728
  2.176281   0.001715
  2.198342   0.001802
  2.220402   0.001801
  2.242462   0.001740
  2.264523   0.001788
  2.286583   0.001904
  2.308643   0.001816
  2.330704   0.001827
  2.352764   0.001925
  2.374824   0.001837
  2.396884   0.001845
  2.418945   0.001830
  2.441005   0.001848
  2.463065   0.001886
  2.485126   0.001773
  2.507186   0.001741
  2.529246   0.001736
  2.551307   0.001751
  2.573367   0.001759
  2.595427   0.001785
  2.617487   0.001767
  2.639548   0.001783
  2.661608   0.001818
  2.683668   0.001838
  2.705729   0.001854
  2.727789   0.001872
  2.749849   0.001735
  2.771910   0.001758
  2.793970   0.001922
  2.816030   0.001917
  2.838090   0.001726
  2.860151   0.001741
  2.882211   0.001745
  2.904271   0.001733
  2.926332   0.001727
  2.948392   0.001717
  2.970452   0.001729
  2.992513   0.001723
  3.014573   0.001701
  3.036633   0.001744
  3.058693   0.001736
  3.080754   0.001744
  3.102814   0.001732
  3.124874   0.001794
  3.146935   0.001853
  3.168995   0.001881
  3.191055   0.001885
  3.213116   0.001851
  3.235176   0.001821
  3.257236   0.001801
  3.279296   0.001856
  3.301357   0.001811
  3.323417   0.001965
  3.345477   0.001889
  3.367538   0.001851
  3.389598   0.001800
  3.411658   0.001853
  3.433719   0.001811
  3.455779   0.001826
  3.477839   0.001941
  3.499899   0.001796
  3.521960   0.001806
  3.544020   0.001790
  3.566080   0.001779
  3.588141   0.001843
  3.610201   0.001838
  3.632261   0.001793
  3.654322   0.001911
  3.676382   0.001812
  3.698442   0.001738
  3.720503   0.001806
  3.742563   0.001859
  3.764623   0.001781
  3.786683   0.001816
  3.808744   0.001699
  3.830804   0.001731
  3.852864   0.001695
  3.874925   0.001773
  3.896985   0.001701
  3.919045   0.001732
  3.941106   0.001709
  3.963166   0.001724
  3.985226   0.001749
  4.007286   0.001798
  4.029347   0.001738
  4.051407   0.001708
  4.073467   0.001702
  4.095528   0.001717
  4.117588   0.001670
  4.139648   0.001655
  4.161709   0.001716
  4.183769   0.001752
  4.205829   0.001771
  4.227889   0.001800
  4.249950   0.001859
  4.272010   0.002094
  4.294070   0.001809
  4.316131   0.001789
  4.338191   0.001868
  4.360251   0.001781
  4.382312   0.001763
  4.404372   0.001758
  4.426432   0.001795
  4.448492   0.001775
  4.470553   0.001895
  4.492613   0.001847
  4.514673   0.001846
  4.536734   0.001795
  4.558794   0.001754
  4.580854   0.001759
  4.602915   0.001726
  4.624975   0.001726
  4.647035   0.001757
  4.669095   0.001685
  4.691156   0.001687
  4.713216   0.001691
  4.735276   0.001725
  4.757337   0.001733
  4.779397   0.001681
  4.801457   0.001718
  4.823518   0.001691
  4.845578   0.001697
  4.867638   0.001696
  4.889698   0.001745
  4.911759   0.001785
  4.933819   0.001703
  4.955879   0.001742
  4.977940   0.001665
  5.000000   0.001666
