# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.000781
  0.632060   0.000792
  0.654121   0.000789
  0.676181   0.000772
  0.698241   0.000801
  0.720302   0.000823
  0.742362   0.000824
  0.764422   0.000789
  0.786482   0.000800
  0.808543   0.000799
  0.830603   0.000846
  0.852663   0.000836
  0.874724   0.000841
  0.896784   0.000859
  0.918844   0.000860
  0.940905   0.000866
  0.962965   0.000877
  0.985025   0.000862
  1.007085   0.000855
  1.029146   0.000845
  1.051206   0.000834
  1.073266   0.000827
  1.095327   0.000873
  1.117387   0.000899
  1.139447   0.000877
  1.161508   0.000902
  1.183568   0.000894
  1.205628   0.000863
  1.227688   0.000842
  1.249749   0.000830
  1.271809   0.000837
  1.293869   0.000839
  1.315930   0.000854
  1.337990   0.000875
  1.360050   0.000890
  1.382111   0.000894
  1.404171   0.000904
  1.426231   0.000883
  1.448291   0.000902
  1.470352   0.000918
  1.492412   0.000858
  1.514472   0.000874
  1.536533   0.000872
  1.558593   0.000836
  1.580653   0.000888
  1.602714   0.000875
  1.624774   0.000904
  1.646834   0.000886
  1.668894   0.000903
  1.690955   0.000900
  1.713015   0.000889
  1.735075   0.000913
  1.757136   0.000905
  1.779196   0.000899
  1.801256   0.000893
  1.823317   0.000934
  1.845377   0.000883
  1.867437   0.000874
  1.889497   0.000911
  1.911558   0.000875
  1.933618   0.000887
  1.955678   0.000866
  1.977739   0.000850
  1.999799   0.000880
  2.021859   0.000889
  2.043920   0.000881
  2.065980   0.000900
  2.088040   0.000895
  2.110101   0.000884
  2.132161   0.000897
  2.154221   0.000886
  2.176281   0.000885
  2.198342   0.000909
  2.220402   0.000909
  2.242462   0.000908
  2.264523   0.000932
  2.286583   0.000938
  2.308643   0.000920
  2.330704   0.000929
  2.352764   0.000944
  2.374824   0.000927
  2.396884   0.000925
  2.418945   0.000929
  2.441005   0.000913
  2.463065   0.000936
  2.485126   0.000911
  2.507186   0.000904
  2.529246   0.000893
  2.551307   0.000892
  2.573367   0.000889
  2.595427   0.000919
  2.617487   0.000896
  2.639548   0.000928
  2.661608   0.000930
  2.683668   0.000954
  2.705729   0.000952
  2.727789   0.000915
  2.749849   0.000900
  2.771910   0.000927
  2.793970   0.000968
  2.816030   0.000962
  2.838090   0.000900
  2.860151   0.000866
  2.882211   0.000919
  2.904271   0.000890
  2.926332   0.000940
  2.948392   0.000895
  2.970452   0.000887
  2.992513   0.000876
  3.014573   0.000886
  3.036633   0.000895
  3.058693   0.000898
  3.080754   0.000928
  3.102814   0.000921
  3.124874   0.000943
  3.146935   0.000936
  3.168995   0.000947
  3.191055   0.000950
  3.213116   0.000964
  3.235176   0.000936
  3.257236   0.000930
  3.279296   0.000952
  3.301357   0.000936
  3.323417   0.000986
  3.345477   0.000974
  3.367538   0.000950
  3.389598   0.000930
  3.411658   0.000954
  3.433719   0.000935
  3.455779   0.000939
  3.477839   0.000961
  3.499899   0.000925
  3.521960   0.000935
  3.544020   0.000933
  3.566080   0.000933
  3.588141   0.000950
  3.610201   0.000927
  3.632261   0.000927
  3.654322   0.000941
  3.676382   0.000919
  3.698442   0.000904
  3.720503   0.000920
  3.742563   0.000929
  3.764623   0.000920
  3.786683   0.000917
  3.808744   0.000888
  3.830804   0.000901
  3.852864   0.000892
  3.874925   0.000901
  3.896985   0.000891
  3.919045   0.000892
  3.941106   0.000879
  3.963166   0.000891
  3.985226   0.000900
  4.007286   0.000915
  4.029347   0.000891
  4.051407   0.000885
  4.073467   0.000881
  4.095528   0.000880
  4.117588   0.000875
  4.139648   0.000858
  4.161709   0.000882
  4.183769   0.000892
  4.205829   0.000899
  4.227889   0.000890
  4.249950   0.000932
  4.272010   0.001042
  4.294070   0.000966
  4.316131   0.000955
  4.338191   0.000955
  4.360251   0.000904
  4.382312   0.000913
  4.404372   0.000898
  4.426432   0.000945
  4.448492   0.000940
  4.470553   0.001005
  4.492613   0.000989
  4.514673   0.000958
  4.536734   0.000949
  4.558794   0.000902
  4.580854   0.000896
  4.602915   0.000896
  4.624975   0.000882
  4.647035   0.000886
  4.669095   0.000871
  4.691156   0.000873
  4.713216   0.000860
  4.735276   0.000864
  4.757337   0.000884
  4.779397   0.000861
  4.801457   0.000874
  4.823518   0.000886
  4.845578   0.000858
  4.867638   0.000873
  4.889698   0.000893
  4.911759   0.000928
  4.933819   0.000860
  4.955879   0.000889
  4.977940   0.000871
  5.000000   0.000861
