# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.000642
  0.610878   0.000642
  0.611756   0.000642
  0.612635   0.000642
  0.613513   0.000642
  0.614391   0.000642
  0.615269   0.000642
  0.616147   0.000642
  0.617025   0.000642
  0.617904   0.000642
  0.618782   0.000642
  0.619660   0.000642
  0.620538   0.000642
  0.621416   0.000642
  0.622294   0.000642
  0.623173   0.000642
  0.624051   0.000642
  0.624929   0.000642
  0.625807   0.000642
  0.626685   0.000642
  0.627564   0.000642
  0.628442   0.000642
  0.629320   0.000642
  0.630198   0.000642
  0.631076   0.000642
  0.631954   0.000642
  0.632833   0.000642
  0.633711   0.000642
  0.634589   0.000642
  0.635467   0.000643
  0.636345   0.000642
  0.637223   0.000642
  0.638102   0.000642
  0.638980   0.000642
  0.639858   0.000642
  0.640736   0.000642
  0.641614   0.000642
  0.642492   0.000643
  0.643371   0.000642
  0.644249   0.000642
  0.645127   0.000643
  0.646005   0.000642
  0.646883   0.000646
  0.647762   0.000642
  0.648640   0.000643
  0.649518   0.000642
  0.650396   0.000642
  0.651274   0.000642
  0.652152   0.000644
  0.653031   0.000642
  0.653909   0.000642
  0.654787   0.000642
  0.655665   0.000642
  0.656543   0.000642
  0.657421   0.000642
  0.658300   0.000642
  0.659178   0.000642
  0.660056   0.000642
  0.660934   0.000642
  0.661812   0.000642
  0.662691   0.000642
  0.663569   0.000642
  0.664447   0.000642
  0.665325   0.000642
  0.666203   0.000642
  0.667081   0.000642
  0.667960   0.000642
  0.668838   0.000642
  0.669716   0.000642
  0.670594   0.000642
  0.671472   0.000642
  0.672350   0.000642
  0.673229   0.000642
  0.674107   0.000642
  0.674985   0.000642
  0.675863   0.000642
  0.676741   0.000642
  0.677620   0.000642
  0.678498   0.000642
  0.679376   0.000642
  0.680254   0.000642
  0.681132   0.000642
  0.682010   0.000642
  0.682889   0.000642
  0.683767   0.000642
  0.684645   0.000642
  0.685523   0.000642
  0.686401   0.000642
  0.687279   0.000642
  0.688158   0.000642
  0.689036   0.000642
  0.689914   0.000642
  0.690792   0.000642
  0.691670   0.000642
  0.692549   0.000642
  0.693427   0.000642
  0.694305   0.000642
  0.695183   0.000642
  0.696061   0.000642
  0.696939   0.000642
  0.697818   0.000642
  0.698696   0.000642
  0.699574   0.000643
  0.700452   0.000647
  0.701330   0.000642
  0.702208   0.000642
  0.703087   0.000644
  0.703965   0.000642
  0.704843   0.000644
  0.705721   0.000643
  0.706599   0.000642
  0.707477   0.000647
  0.708356   0.000642
  0.709234   0.000642
  0.710112   0.000644
  0.710990   0.000642
  0.711868   0.000642
  0.712747   0.000646
  0.713625   0.000642
  0.714503   0.000642
  0.715381   0.000642
  0.716259   0.000643
  0.717137   0.000644
  0.718016   0.000643
  0.718894   0.000644
  0.719772   0.000644
  0.720650   0.000643
  0.721528   0.000642
  0.722406   0.000652
  0.723285   0.000644
  0.724163   0.000642
  0.725041   0.000642
  0.725919   0.000644
  0.726797   0.000647
  0.727676   0.000642
  0.728554   0.000644
  0.729432   0.000642
  0.730310   0.000642
  0.731188   0.000642
  0.732066   0.000642
  0.732945   0.000643
  0.733823   0.000642
  0.734701   0.000642
  0.735579   0.000655
  0.736457   0.000655
  0.737335   0.000643
  0.738214   0.000642
  0.739092   0.000645
  0.739970   0.000645
  0.740848   0.000654
  0.741726   0.000642
  0.742605   0.000644
  0.743483   0.000642
  0.744361   0.000642
  0.745239   0.000651
  0.746117   0.000642
  0.746995   0.000642
  0.747874   0.000642
  0.748752   0.000642
  0.749630   0.000642
  0.750508   0.000642
  0.751386   0.000642
  0.752264   0.000642
  0.753143   0.000642
  0.754021   0.000642
  0.754899   0.000642
  0.755777   0.000642
  0.756655   0.000642
  0.757534   0.000642
  0.758412   0.000642
  0.759290   0.000642
  0.760168   0.000642
  0.761046   0.000642
  0.761924   0.000642
  0.762803   0.000642
  0.763681   0.000642
  0.764559   0.000642
  0.765437   0.000642
  0.766315   0.000642
  0.767193   0.000642
  0.768072   0.000642
  0.768950   0.000642
  0.769828   0.000642
  0.770706   0.000642
  0.771584   0.000642
  0.772462   0.000642
  0.773341   0.000642
  0.774219   0.000642
  0.775097   0.000642
  0.775975   0.000642
  0.776853   0.000642
  0.777732   0.000642
  0.778610   0.000642
  0.779488   0.000642
  0.780366   0.000642
  0.781244   0.000642
  0.782122   0.000642
  0.783001   0.000643
  0.783879   0.000642
  0.784757   0.000642
  0.785635   0.000642
  0.786513   0.000642
  0.787391   0.000642
  0.788270   0.000642
  0.789148   0.000642
  0.790026   0.000643
  0.790904   0.000642
  0.791782   0.000642
  0.792661   0.000642
  0.793539   0.000642
  0.794417   0.000644
  0.795295   0.000642
  0.796173   0.000642
  0.797051   0.000667
  0.797930   0.000642
  0.798808   0.000642
  0.799686   0.000642
  0.800564   0.000642
  0.801442   0.000642
  0.802320   0.000642
  0.803199   0.000642
  0.804077   0.000642
  0.804955   0.000642
  0.805833   0.000642
  0.806711   0.000645
  0.807590   0.000648
  0.808468   0.000642
  0.809346   0.000642
  0.810224   0.000647
  0.811102   0.000642
  0.811980   0.000643
  0.812859   0.000650
  0.813737   0.000642
  0.814615   0.000642
  0.815493   0.000642
  0.816371   0.000642
  0.817249   0.000673
  0.818128   0.000643
  0.819006   0.000646
  0.819884   0.000643
  0.820762   0.000643
  0.821640   0.000642
  0.822519   0.000642
  0.823397   0.000646
  0.824275   0.000662
  0.825153   0.000643
  0.826031   0.000642
  0.826909   0.000643
  0.827788   0.000643
  0.828666   0.000642
  0.829544   0.000642
  0.830422   0.000643
  0.831300   0.000643
  0.832178   0.000643
  0.833057   0.000644
  0.833935   0.000643
  0.834813   0.000644
  0.835691   0.000649
  0.836569   0.000645
  0.837447   0.000644
  0.838326   0.000643
  0.839204   0.000650
  0.840082   0.000644
  0.840960   0.000643
  0.841838   0.000667
  0.842717   0.000643
  0.843595   0.000645
  0.844473   0.000644
  0.845351   0.000644
  0.846229   0.000643
  0.847107   0.000643
  0.847986   0.000644
  0.848864   0.000644
  0.849742   0.000644
  0.850620   0.000644
  0.851498   0.000644
  0.852376   0.000644
  0.853255   0.000645
  0.854133   0.000646
  0.855011   0.000644
  0.855889   0.000644
  0.856767   0.000644
  0.857646   0.000644
  0.858524   0.000644
  0.859402   0.000644
  0.860280   0.000644
  0.861158   0.000644
  0.862036   0.000644
  0.862915   0.000644
  0.863793   0.000644
  0.864671   0.000644
  0.865549   0.000644
  0.866427   0.000644
  0.867305   0.000644
  0.868184   0.000644
  0.869062   0.000644
  0.869940   0.000645
  0.870818   0.000645
  0.871696   0.000645
  0.872575   0.000645
  0.873453   0.000645
  0.874331   0.000644
  0.875209   0.000645
  0.876087   0.000644
  0.876965   0.000644
  0.877844   0.000645
  0.878722   0.000645
  0.879600   0.000645
  0.880478   0.000644
  0.881356   0.000645
  0.882234   0.000646
  0.883113   0.000646
  0.883991   0.000646
  0.884869   0.000646
  0.885747   0.000647
  0.886625   0.000648
  0.887504   0.000652
  0.888382   0.000656
  0.889260   0.000661
  0.890138   0.000662
  0.891016   0.000670
  0.891894   0.000674
  0.892773   0.000673
  0.893651   0.000673
