# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.003258
  0.618798   0.003258
  0.627595   0.003263
  0.636393   0.003269
  0.645190   0.003285
  0.653988   0.003262
  0.662786   0.003259
  0.671583   0.003258
  0.680381   0.003258
  0.689178   0.003264
  0.697976   0.003268
  0.706774   0.003288
  0.715571   0.003289
  0.724369   0.003310
  0.733166   0.003300
  0.741964   0.003269
  0.750762   0.003259
  0.759559   0.003259
  0.768357   0.003258
  0.777154   0.003258
  0.785952   0.003271
  0.794749   0.003278
  0.803547   0.003281
  0.812345   0.003327
  0.821142   0.003346
  0.829940   0.003293
  0.838737   0.003318
  0.847535   0.003317
  0.856333   0.003329
  0.865130   0.003316
  0.873928   0.003327
  0.882725   0.003327
  0.891523   0.003399
  0.900321   0.003391
  0.909118   0.003358
  0.917916   0.003320
  0.926713   0.003299
  0.935511   0.003328
  0.944309   0.003351
  0.953106   0.003357
  0.961904   0.003322
  0.970701   0.003340
  0.979499   0.003336
  0.988297   0.003380
  0.997094   0.003345
  1.005892   0.003363
  1.014689   0.003363
  1.023487   0.003349
  1.032285   0.003352
  1.041082   0.003312
  1.049880   0.003306
  1.058677   0.003304
  1.067475   0.003290
  1.076273   0.003285
  1.085070   0.003286
  1.093868   0.003305
  1.102665   0.003324
  1.111463   0.003348
  1.120261   0.003411
  1.129058   0.003380
  1.137856   0.003389
  1.146653   0.003394
  1.155451   0.003435
  1.164248   0.003386
  1.173046   0.003422
  1.181844   0.003376
  1.190641   0.003391
  1.199439   0.003374
  1.208236   0.003349
  1.217034   0.003335
  1.225832   0.003334
  1.234629   0.003301
  1.243427   0.003287
  1.252224   0.003280
  1.261022   0.003275
  1.269820   0.003277
  1.278617   0.003285
  1.287415   0.003320
  1.296212   0.003322
  1.305010   0.003318
  1.313808   0.003346
  1.322605   0.003332
  1.331403   0.003373
  1.340200   0.003380
  1.348998   0.003368
  1.357796   0.003493
  1.366593   0.003370
  1.375391   0.003400
  1.384188   0.003406
  1.392986   0.003407
  1.401784   0.003428
  1.410581   0.003397
  1.419379   0.003454
  1.428176   0.003387
  1.436974   0.003373
  1.445772   0.003385
  1.454569   0.003402
  1.463367   0.003343
  1.472164   0.003343
  1.480962   0.003464
  1.489760   0.003364
  1.498557   0.003306
  1.507355   0.003376
  1.516152   0.003306
  1.524950   0.003329
  1.533747   0.003330
  1.542545   0.003355
  1.551343   0.003326
  1.560140   0.003308
  1.568938   0.003299
  1.577735   0.003313
  1.586533   0.003306
  1.595331   0.003302
  1.604128   0.003328
  1.612926   0.003333
  1.621723   0.003371
  1.630521   0.003370
  1.639319   0.003372
  1.648116   0.003356
  1.656914   0.003379
  1.665711   0.003362
  1.674509   0.003402
  1.683307   0.003407
  1.692104   0.003368
  1.700902   0.003411
  1.709699   0.003414
  1.718497   0.003400
  1.727295   0.003445
  1.736092   0.003417
  1.744890   0.003372
  1.753687   0.003440
  1.762485   0.003438
  1.771283   0.003406
  1.780080   0.003391
  1.788878   0.003379
  1.797675   0.003398
  1.806473   0.003371
  1.815271   0.003366
  1.824068   0.003409
  1.832866   0.003401
  1.841663   0.003346
  1.850461   0.003407
  1.859259   0.003380
  1.868056   0.003346
  1.876854   0.003370
  1.885651   0.003369
  1.894449   0.003333
  1.903246   0.003334
  1.912044   0.003378
  1.920842   0.003543
  1.929639   0.003335
  1.938437   0.003345
  1.947234   0.003339
  1.956032   0.003354
  1.964830   0.003391
  1.973627   0.003322
  1.982425   0.003340
  1.991222   0.003311
  2.000020   0.003337
  2.008818   0.003343
  2.017615   0.003426
  2.026413   0.003348
  2.035210   0.003328
  2.044008   0.003327
  2.052806   0.003329
  2.061603   0.003315
  2.070401   0.003347
  2.079198   0.003312
  2.087996   0.003334
  2.096794   0.003329
  2.105591   0.003353
  2.114389   0.003323
  2.123186   0.003338
  2.131984   0.003399
  2.140782   0.003338
  2.149579   0.003325
  2.158377   0.003387
  2.167174   0.003356
  2.175972   0.003326
  2.184770   0.003333
  2.193567   0.003395
  2.202365   0.003413
  2.211162   0.003359
  2.219960   0.003390
  2.228758   0.003363
  2.237555   0.003369
  2.246353   0.003371
  2.255150   0.003417
  2.263948   0.003372
  2.272745   0.003422
  2.281543   0.003421
  2.290341   0.003448
  2.299138   0.003496
  2.307936   0.003407
  2.316733   0.003456
  2.325531   0.003410
  2.334329   0.003432
  2.343126   0.003439
  2.351924   0.003489
  2.360721   0.003461
  2.369519   0.003394
  2.378317   0.003393
  2.387114   0.003374
  2.395912   0.003423
  2.404709   0.003396
  2.413507   0.003401
  2.422305   0.003369
  2.431102   0.003471
  2.439900   0.003439
  2.448697   0.003400
  2.457495   0.003453
  2.466293   0.003416
  2.475090   0.003359
  2.483888   0.003341
  2.492685   0.003395
  2.501483   0.003367
  2.510281   0.003343
  2.519078   0.003340
  2.527876   0.003352
  2.536673   0.003357
  2.545471   0.003331
  2.554269   0.003388
  2.563066   0.003442
  2.571864   0.003384
  2.580661   0.003392
  2.589459   0.003362
  2.598257   0.003379
  2.607054   0.003339
  2.615852   0.003385
  2.624649   0.003403
  2.633447   0.003413
  2.642244   0.003364
  2.651042   0.003362
  2.659840   0.003395
  2.668637   0.003379
  2.677435   0.003425
  2.686232   0.003393
  2.695030   0.003380
  2.703828   0.003412
  2.712625   0.003369
  2.721423   0.003394
  2.730220   0.003427
  2.739018   0.003404
  2.747816   0.003367
  2.756613   0.003389
  2.765411   0.003376
  2.774208   0.003400
  2.783006   0.003414
  2.791804   0.003423
  2.800601   0.003416
  2.809399   0.003405
  2.818196   0.003482
  2.826994   0.003417
  2.835792   0.003361
  2.844589   0.003340
  2.853387   0.003348
  2.862184   0.003377
  2.870982   0.003362
  2.879780   0.003337
  2.888577   0.003360
  2.897375   0.003349
  2.906172   0.003379
  2.914970   0.003351
  2.923768   0.003324
  2.932565   0.003342
  2.941363   0.003348
  2.950160   0.003325
  2.958958   0.003320
  2.967756   0.003351
  2.976553   0.003355
  2.985351   0.003362
  2.994148   0.003354
  3.002946   0.003360
  3.011743   0.003338
  3.020541   0.003311
  3.029339   0.003322
  3.038136   0.003347
  3.046934   0.003374
  3.055731   0.003413
  3.064529   0.003339
  3.073327   0.003340
  3.082124   0.003346
  3.090922   0.003352
  3.099719   0.003330
  3.108517   0.003383
  3.117315   0.003352
  3.126112   0.003350
  3.134910   0.003329
  3.143707   0.003373
  3.152505   0.003445
  3.161303   0.003463
  3.170100   0.003432
  3.178898   0.003373
  3.187695   0.003464
  3.196493   0.003394
  3.205291   0.003386
  3.214088   0.003375
  3.222886   0.003364
  3.231683   0.003377
  3.240481   0.003421
  3.249279   0.003406
  3.258076   0.003385
  3.266874   0.003398
  3.275671   0.003413
  3.284469   0.003385
  3.293267   0.003359
  3.302064   0.003361
  3.310862   0.003399
  3.319659   0.003449
  3.328457   0.003503
  3.337255   0.003427
  3.346052   0.003424
  3.354850   0.003405
  3.363647   0.003397
  3.372445   0.003398
  3.381242   0.003362
  3.390040   0.003379
  3.398838   0.003403
  3.407635   0.003412
  3.416433   0.003391
  3.425230   0.003402
  3.434028   0.003402
  3.442826   0.003395
  3.451623   0.003385
  3.460421   0.003415
  3.469218   0.003460
  3.478016   0.003479
  3.486814   0.003394
  3.495611   0.003371
  3.504409   0.003380
  3.513206   0.003415
  3.522004   0.003365
  3.530802   0.003357
  3.539599   0.003365
  3.548397   0.003360
  3.557194   0.003357
  3.565992   0.003352
  3.574790   0.003343
  3.583587   0.003376
  3.592385   0.003398
  3.601182   0.003399
  3.609980   0.003421
  3.618778   0.003402
  3.627575   0.003387
  3.636373   0.003369
  3.645170   0.003382
  3.653968   0.003465
  3.662766   0.003424
  3.671563   0.003397
  3.680361   0.003381
  3.689158   0.003348
  3.697956   0.003341
  3.706754   0.003351
  3.715551   0.003373
  3.724349   0.003396
  3.733146   0.003373
  3.741944   0.003417
  3.750741   0.003488
  3.759539   0.003402
  3.768337   0.003394
  3.777134   0.003468
  3.785932   0.003401
  3.794729   0.003333
  3.803527   0.003318
  3.812325   0.003312
  3.821122   0.003310
  3.829920   0.003325
  3.838717   0.003353
  3.847515   0.003338
  3.856313   0.003345
  3.865110   0.003360
  3.873908   0.003355
  3.882705   0.003344
  3.891503   0.003332
  3.900301   0.003330
  3.909098   0.003340
  3.917896   0.003347
  3.926693   0.003351
  3.935491   0.003348
  3.944289   0.003344
  3.953086   0.003334
  3.961884   0.003325
  3.970681   0.003324
  3.979479   0.003329
  3.988277   0.003343
  3.997074   0.003357
  4.005872   0.003377
  4.014669   0.003385
  4.023467   0.003368
  4.032265   0.003334
  4.041062   0.003322
  4.049860   0.003324
  4.058657   0.003326
  4.067455   0.003328
  4.076253   0.003321
  4.085050   0.003310
  4.093848   0.003320
  4.102645   0.003352
  4.111443   0.003317
  4.120240   0.003303
  4.129038   0.003302
  4.137836   0.003304
  4.146633   0.003307
  4.155431   0.003312
  4.164228   0.003342
  4.173026   0.003388
  4.181824   0.003354
  4.190621   0.003399
  4.199419   0.003392
  4.208216   0.003388
  4.217014   0.003404
  4.225812   0.003419
  4.234609   0.003413
  4.243407   0.003418
  4.252204   0.003488
  4.261002   0.003587
  4.269800   0.003566
  4.278597   0.003537
  4.287395   0.003460
  4.296192   0.003408
  4.304990   0.003392
  4.313788   0.003382
  4.322585   0.003385
  4.331383   0.003397
  4.340180   0.003401
  4.348978   0.003396
