# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.003125
  0.632060   0.003188
  0.654121   0.003174
  0.676181   0.003091
  0.698241   0.003193
  0.720302   0.003266
  0.742362   0.003283
  0.764422   0.003104
  0.786482   0.003201
  0.808543   0.003209
  0.830603   0.003288
  0.852663   0.003328
  0.874724   0.003315
  0.896784   0.003378
  0.918844   0.003322
  0.940905   0.003332
  0.962965   0.003407
  0.985025   0.003350
  1.007085   0.003361
  1.029146   0.003337
  1.051206   0.003281
  1.073266   0.003228
  1.095327   0.003298
  1.117387   0.003424
  1.139447   0.003428
  1.161508   0.003506
  1.183568   0.003429
  1.205628   0.003359
  1.227688   0.003281
  1.249749   0.003253
  1.271809   0.003249
  1.293869   0.003292
  1.315930   0.003307
  1.337990   0.003396
  1.360050   0.003465
  1.382111   0.003449
  1.404171   0.003471
  1.426231   0.003453
  1.448291   0.003419
  1.470352   0.003451
  1.492412   0.003335
  1.514472   0.003323
  1.536533   0.003310
  1.558593   0.003274
  1.580653   0.003296
  1.602714   0.003325
  1.624774   0.003495
  1.646834   0.003423
  1.668894   0.003478
  1.690955   0.003450
  1.713015   0.003416
  1.735075   0.003511
  1.757136   0.003509
  1.779196   0.003428
  1.801256   0.003450
  1.823317   0.003493
  1.845377   0.003407
  1.867437   0.003355
  1.889497   0.003411
  1.911558   0.003415
  1.933618   0.003361
  1.955678   0.003373
  1.977739   0.003312
  1.999799   0.003361
  2.021859   0.003339
  2.043920   0.003336
  2.065980   0.003405
  2.088040   0.003372
  2.110101   0.003335
  2.132161   0.003474
  2.154221   0.003369
  2.176281   0.003350
  2.198342   0.003463
  2.220402   0.003460
  2.242462   0.003382
  2.264523   0.003423
  2.286583   0.003553
  2.308643   0.003476
  2.330704   0.003486
  2.352764   0.003560
  2.374824   0.003499
  2.396884   0.003509
  2.418945   0.003489
  2.441005   0.003518
  2.463065   0.003543
  2.485126   0.003420
  2.507186   0.003382
  2.529246   0.003384
  2.551307   0.003407
  2.573367   0.003423
  2.595427   0.003445
  2.617487   0.003432
  2.639548   0.003431
  2.661608   0.003484
  2.683668   0.003497
  2.705729   0.003514
  2.727789   0.003539
  2.749849   0.003394
  2.771910   0.003432
  2.793970   0.003557
  2.816030   0.003555
  2.838090   0.003378
  2.860151   0.003413
  2.882211   0.003391
  2.904271   0.003399
  2.926332   0.003347
  2.948392   0.003355
  2.970452   0.003391
  2.992513   0.003377
  3.014573   0.003335
  3.036633   0.003389
  3.058693   0.003396
  3.080754   0.003383
  3.102814   0.003367
  3.124874   0.003436
  3.146935   0.003517
  3.168995   0.003539
  3.191055   0.003541
  3.213116   0.003501
  3.235176   0.003479
  3.257236   0.003460
  3.279296   0.003512
  3.301357   0.003464
  3.323417   0.003563
  3.345477   0.003538
  3.367538   0.003507
  3.389598   0.003453
  3.411658   0.003508
  3.433719   0.003476
  3.455779   0.003484
  3.477839   0.003562
  3.499899   0.003447
  3.521960   0.003456
  3.544020   0.003437
  3.566080   0.003421
  3.588141   0.003500
  3.610201   0.003503
  3.632261   0.003443
  3.654322   0.003555
  3.676382   0.003471
  3.698442   0.003380
  3.720503   0.003468
  3.742563   0.003521
  3.764623   0.003434
  3.786683   0.003476
  3.808744   0.003328
  3.830804   0.003366
  3.852864   0.003341
  3.874925   0.003424
  3.896985   0.003335
  3.919045   0.003374
  3.941106   0.003354
  3.963166   0.003359
  3.985226   0.003390
  4.007286   0.003454
  4.029347   0.003380
  4.051407   0.003341
  4.073467   0.003337
  4.095528   0.003352
  4.117588   0.003293
  4.139648   0.003283
  4.161709   0.003353
  4.183769   0.003414
  4.205829   0.003440
  4.227889   0.003483
  4.249950   0.003530
  4.272010   0.003563
  4.294070   0.003490
  4.316131   0.003443
  4.338191   0.003526
  4.360251   0.003453
  4.382312   0.003429
  4.404372   0.003421
  4.426432   0.003451
  4.448492   0.003416
  4.470553   0.003535
  4.492613   0.003489
  4.514673   0.003498
  4.536734   0.003450
  4.558794   0.003425
  4.580854   0.003429
  4.602915   0.003382
  4.624975   0.003379
  4.647035   0.003422
  4.669095   0.003335
  4.691156   0.003328
  4.713216   0.003336
  4.735276   0.003379
  4.757337   0.003389
  4.779397   0.003327
  4.801457   0.003369
  4.823518   0.003324
  4.845578   0.003342
  4.867638   0.003343
  4.889698   0.003409
  4.911759   0.003431
  4.933819   0.003358
  4.955879   0.003405
  4.977940   0.003297
  5.000000   0.003302
