# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.001305
  0.632060   0.001334
  0.654121   0.001327
  0.676181   0.001278
  0.698241   0.001353
  0.720302   0.001409
  0.742362   0.001417
  0.764422   0.001308
  0.786482   0.001353
  0.808543   0.001352
  0.830603   0.001463
  0.852663   0.001451
  0.874724   0.001458
  0.896784   0.001510
  0.918844   0.001496
  0.940905   0.001514
  0.962965   0.001553
  0.985025   0.001501
  1.007085   0.001498
  1.029146   0.001470
  1.051206   0.001434
  1.073266   0.001407
  1.095327   0.001514
  1.117387   0.001595
  1.139447   0.001553
  1.161508   0.001620
  1.183568   0.001582
  1.205628   0.001510
  1.227688   0.001451
  1.249749   0.001421
  1.271809   0.001426
  1.293869   0.001450
  1.315930   0.001481
  1.337990   0.001547
  1.360050   0.001588
  1.382111   0.001588
  1.404171   0.001613
  1.426231   0.001571
  1.448291   0.001594
  1.470352   0.001636
  1.492412   0.001491
  1.514472   0.001517
  1.536533   0.001513
  1.558593   0.001432
  1.580653   0.001543
  1.602714   0.001532
  1.624774   0.001622
  1.646834   0.001571
  1.668894   0.001615
  1.690955   0.001606
  1.713015   0.001576
  1.735075   0.001639
  1.757136   0.001625
  1.779196   0.001586
  1.801256   0.001591
  1.823317   0.001654
  1.845377   0.001559
  1.867437   0.001531
  1.889497   0.001616
  1.911558   0.001547
  1.933618   0.001557
  1.955678   0.001517
  1.977739   0.001476
  1.999799   0.001548
  2.021859   0.001557
  2.043920   0.001535
  2.065980   0.001593
  2.088040   0.001577
  2.110101   0.001549
  2.132161   0.001606
  2.154221   0.001561
  2.176281   0.001554
  2.198342   0.001621
  2.220402   0.001620
  2.242462   0.001617
  2.264523   0.001659
  2.286583   0.001668
  2.308643   0.001640
  2.330704   0.001654
  2.352764   0.001672
  2.374824   0.001653
  2.396884   0.001651
  2.418945   0.001655
  2.441005   0.001633
  2.463065   0.001666
  2.485126   0.001620
  2.507186   0.001595
  2.529246   0.001575
  2.551307   0.001577
  2.573367   0.001569
  2.595427   0.001628
  2.617487   0.001590
  2.639548   0.001649
  2.661608   0.001647
  2.683668   0.001671
  2.705729   0.001671
  2.727789   0.001642
  2.749849   0.001564
  2.771910   0.001635
  2.793970   0.001674
  2.816030   0.001674
  2.838090   0.001574
  2.860151   0.001523
  2.882211   0.001619
  2.904271   0.001553
  2.926332   0.001649
  2.948392   0.001567
  2.970452   0.001548
  2.992513   0.001530
  3.014573   0.001551
  3.036633   0.001575
  3.058693   0.001572
  3.080754   0.001634
  3.102814   0.001625
  3.124874   0.001663
  3.146935   0.001661
  3.168995   0.001669
  3.191055   0.001671
  3.213116   0.001674
  3.235176   0.001657
  3.257236   0.001649
  3.279296   0.001671
  3.301357   0.001658
  3.323417   0.001674
  3.345477   0.001674
  3.367538   0.001670
  3.389598   0.001649
  3.411658   0.001672
  3.433719   0.001655
  3.455779   0.001661
  3.477839   0.001674
  3.499899   0.001643
  3.521960   0.001657
  3.544020   0.001651
  3.566080   0.001651
  3.588141   0.001669
  3.610201   0.001650
  3.632261   0.001648
  3.654322   0.001670
  3.676382   0.001639
  3.698442   0.001596
  3.720503   0.001633
  3.742563   0.001658
  3.764623   0.001635
  3.786683   0.001638
  3.808744   0.001556
  3.830804   0.001591
  3.852864   0.001572
  3.874925   0.001602
  3.896985   0.001562
  3.919045   0.001576
  3.941106   0.001538
  3.963166   0.001572
  3.985226   0.001597
  4.007286   0.001632
  4.029347   0.001574
  4.051407   0.001555
  4.073467   0.001545
  4.095528   0.001547
  4.117588   0.001524
  4.139648   0.001477
  4.161709   0.001552
  4.183769   0.001583
  4.205829   0.001588
  4.227889   0.001591
  4.249950   0.001661
  4.272010   0.001674
  4.294070   0.001633
  4.316131   0.001665
  4.338191   0.001673
  4.360251   0.001605
  4.382312   0.001605
  4.404372   0.001587
  4.426432   0.001660
  4.448492   0.001654
  4.470553   0.001674
  4.492613   0.001674
  4.514673   0.001672
  4.536734   0.001665
  4.558794   0.001565
  4.580854   0.001572
  4.602915   0.001572
  4.624975   0.001545
  4.647035   0.001560
  4.669095   0.001494
  4.691156   0.001507
  4.713216   0.001493
  4.735276   0.001515
  4.757337   0.001538
  4.779397   0.001481
  4.801457   0.001531
  4.823518   0.001550
  4.845578   0.001488
  4.867638   0.001514
  4.889698   0.001567
  4.911759   0.001647
  4.933819   0.001492
  4.955879   0.001562
  4.977940   0.001491
  5.000000   0.001487
