# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.000752
  0.632060   0.000783
  0.654121   0.000773
  0.676181   0.000727
  0.698241   0.000790
  0.720302   0.000837
  0.742362   0.000855
  0.764422   0.000739
  0.786482   0.000793
  0.808543   0.000795
  0.830603   0.000871
  0.852663   0.000884
  0.874724   0.000882
  0.896784   0.000928
  0.918844   0.000895
  0.940905   0.000910
  0.962965   0.000959
  0.985025   0.000909
  1.007085   0.000918
  1.029146   0.000896
  1.051206   0.000858
  1.073266   0.000823
  1.095327   0.000888
  1.117387   0.000979
  1.139447   0.000965
  1.161508   0.001023
  1.183568   0.000973
  1.205628   0.000919
  1.227688   0.000864
  1.249749   0.000842
  1.271809   0.000838
  1.293869   0.000869
  1.315930   0.000887
  1.337990   0.000951
  1.360050   0.000995
  1.382111   0.000986
  1.404171   0.001003
  1.426231   0.000982
  1.448291   0.000973
  1.470352   0.001011
  1.492412   0.000899
  1.514472   0.000898
  1.536533   0.000895
  1.558593   0.000851
  1.580653   0.000899
  1.602714   0.000918
  1.624774   0.001020
  1.646834   0.000970
  1.668894   0.001010
  1.690955   0.000998
  1.713015   0.000970
  1.735075   0.001031
  1.757136   0.001025
  1.779196   0.000974
  1.801256   0.000990
  1.823317   0.001025
  1.845377   0.000957
  1.867437   0.000923
  1.889497   0.000986
  1.911558   0.000957
  1.933618   0.000933
  1.955678   0.000921
  1.977739   0.000882
  1.999799   0.000939
  2.021859   0.000926
  2.043920   0.000911
  2.065980   0.000967
  2.088040   0.000947
  2.110101   0.000924
  2.132161   0.001007
  2.154221   0.000945
  2.176281   0.000935
  2.198342   0.001006
  2.220402   0.001006
  2.242462   0.000989
  2.264523   0.001034
  2.286583   0.001049
  2.308643   0.001019
  2.330704   0.001029
  2.352764   0.001050
  2.374824   0.001033
  2.396884   0.001033
  2.418945   0.001031
  2.441005   0.001028
  2.463065   0.001046
  2.485126   0.000992
  2.507186   0.000963
  2.529246   0.000954
  2.551307   0.000962
  2.573367   0.000960
  2.595427   0.000992
  2.617487   0.000975
  2.639548   0.001016
  2.661608   0.001017
  2.683668   0.001040
  2.705729   0.001043
  2.727789   0.001039
  2.749849   0.000937
  2.771910   0.000949
  2.793970   0.001050
  2.816030   0.001050
  2.838090   0.000932
  2.860151   0.000932
  2.882211   0.000969
  2.904271   0.000930
  2.926332   0.000979
  2.948392   0.000937
  2.970452   0.000925
  2.992513   0.000924
  3.014573   0.000924
  3.036633   0.000958
  3.058693   0.000940
  3.080754   0.000977
  3.102814   0.000971
  3.124874   0.001022
  3.146935   0.001038
  3.168995   0.001046
  3.191055   0.001047
  3.213116   0.001046
  3.235176   0.001026
  3.257236   0.001014
  3.279296   0.001044
  3.301357   0.001025
  3.323417   0.001050
  3.345477   0.001049
  3.367538   0.001043
  3.389598   0.001015
  3.411658   0.001044
  3.433719   0.001021
  3.455779   0.001031
  3.477839   0.001050
  3.499899   0.001012
  3.521960   0.001024
  3.544020   0.001012
  3.566080   0.001008
  3.588141   0.001039
  3.610201   0.001030
  3.632261   0.001021
  3.654322   0.001049
  3.676382   0.001017
  3.698442   0.000962
  3.720503   0.001008
  3.742563   0.001040
  3.764623   0.001000
  3.786683   0.001019
  3.808744   0.000926
  3.830804   0.000958
  3.852864   0.000904
  3.874925   0.000986
  3.896985   0.000928
  3.919045   0.000955
  3.941106   0.000922
  3.963166   0.000948
  3.985226   0.000972
  4.007286   0.001009
  4.029347   0.000956
  4.051407   0.000931
  4.073467   0.000924
  4.095528   0.000935
  4.117588   0.000898
  4.139648   0.000869
  4.161709   0.000935
  4.183769   0.000966
  4.205829   0.000975
  4.227889   0.000992
  4.249950   0.001041
  4.272010   0.001050
  4.294070   0.001001
  4.316131   0.001018
  4.338191   0.001047
  4.360251   0.000982
  4.382312   0.000968
  4.404372   0.000965
  4.426432   0.001014
  4.448492   0.001006
  4.470553   0.001050
  4.492613   0.001048
  4.514673   0.001043
  4.536734   0.001021
  4.558794   0.000948
  4.580854   0.000956
  4.602915   0.000932
  4.624975   0.000933
  4.647035   0.000958
  4.669095   0.000885
  4.691156   0.000895
  4.713216   0.000895
  4.735276   0.000926
  4.757337   0.000935
  4.779397   0.000883
  4.801457   0.000924
  4.823518   0.000918
  4.845578   0.000900
  4.867638   0.000902
  4.889698   0.000947
  4.911759   0.001010
  4.933819   0.000899
  4.955879   0.000945
  4.977940   0.000878
  5.000000   0.000877
