# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.000760
  0.632060   0.000820
  0.654121   0.000805
  0.676181   0.000726
  0.698241   0.000860
  0.720302   0.000971
  0.742362   0.000987
  0.764422   0.000784
  0.786482   0.000849
  0.808543   0.000842
  0.830603   0.001104
  0.852663   0.001063
  0.874724   0.001086
  0.896784   0.001210
  0.918844   0.001192
  0.940905   0.001237
  0.962965   0.001327
  0.985025   0.001203
  1.007085   0.001179
  1.029146   0.001111
  1.051206   0.001034
  1.073266   0.000987
  1.095327   0.001260
  1.117387   0.001452
  1.139447   0.001326
  1.161508   0.001493
  1.183568   0.001418
  1.205628   0.001222
  1.227688   0.001078
  1.249749   0.001010
  1.271809   0.001031
  1.293869   0.001070
  1.315930   0.001152
  1.337990   0.001312
  1.360050   0.001416
  1.382111   0.001427
  1.404171   0.001489
  1.426231   0.001372
  1.448291   0.001459
  1.470352   0.001542
  1.492412   0.001176
  1.514472   0.001268
  1.536533   0.001252
  1.558593   0.001035
  1.580653   0.001350
  1.602714   0.001290
  1.624774   0.001500
  1.646834   0.001382
  1.668894   0.001488
  1.690955   0.001470
  1.713015   0.001398
  1.735075   0.001537
  1.757136   0.001506
  1.779196   0.001437
  1.801256   0.001430
  1.823317   0.001571
  1.845377   0.001354
  1.867437   0.001284
  1.889497   0.001509
  1.911558   0.001303
  1.933618   0.001364
  1.955678   0.001217
  1.977739   0.001130
  1.999799   0.001330
  2.021859   0.001371
  2.043920   0.001311
  2.065980   0.001454
  2.088040   0.001418
  2.110101   0.001344
  2.132161   0.001463
  2.154221   0.001367
  2.176281   0.001354
  2.198342   0.001510
  2.220402   0.001507
  2.242462   0.001502
  2.264523   0.001573
  2.286583   0.001579
  2.308643   0.001548
  2.330704   0.001569
  2.352764   0.001581
  2.374824   0.001566
  2.396884   0.001562
  2.418945   0.001569
  2.441005   0.001529
  2.463065   0.001577
  2.485126   0.001513
  2.507186   0.001465
  2.529246   0.001408
  2.551307   0.001404
  2.573367   0.001385
  2.595427   0.001535
  2.617487   0.001439
  2.639548   0.001564
  2.661608   0.001564
  2.683668   0.001581
  2.705729   0.001581
  2.727789   0.001541
  2.749849   0.001410
  2.771910   0.001554
  2.793970   0.001581
  2.816030   0.001581
  2.838090   0.001427
  2.860151   0.001205
  2.882211   0.001527
  2.904271   0.001365
  2.926332   0.001573
  2.948392   0.001403
  2.970452   0.001345
  2.992513   0.001282
  3.014573   0.001355
  3.036633   0.001413
  3.058693   0.001419
  3.080754   0.001554
  3.102814   0.001537
  3.124874   0.001579
  3.146935   0.001576
  3.168995   0.001580
  3.191055   0.001581
  3.213116   0.001581
  3.235176   0.001574
  3.257236   0.001566
  3.279296   0.001581
  3.301357   0.001575
  3.323417   0.001581
  3.345477   0.001581
  3.367538   0.001581
  3.389598   0.001566
  3.411658   0.001581
  3.433719   0.001572
  3.455779   0.001577
  3.477839   0.001581
  3.499899   0.001556
  3.521960   0.001574
  3.544020   0.001569
  3.566080   0.001570
  3.588141   0.001581
  3.610201   0.001563
  3.632261   0.001562
  3.654322   0.001580
  3.676382   0.001546
  3.698442   0.001467
  3.720503   0.001542
  3.742563   0.001571
  3.764623   0.001544
  3.786683   0.001542
  3.808744   0.001369
  3.830804   0.001454
  3.852864   0.001402
  3.874925   0.001468
  3.896985   0.001385
  3.919045   0.001409
  3.941106   0.001313
  3.963166   0.001400
  3.985226   0.001460
  4.007286   0.001533
  4.029347   0.001402
  4.051407   0.001358
  4.073467   0.001331
  4.095528   0.001328
  4.117588   0.001281
  4.139648   0.001159
  4.161709   0.001343
  4.183769   0.001397
  4.205829   0.001434
  4.227889   0.001376
  4.249950   0.001573
  4.272010   0.001581
  4.294070   0.001580
  4.316131   0.001581
  4.338191   0.001581
  4.360251   0.001460
  4.382312   0.001495
  4.404372   0.001413
  4.426432   0.001578
  4.448492   0.001575
  4.470553   0.001581
  4.492613   0.001581
  4.514673   0.001581
  4.536734   0.001580
  4.558794   0.001414
  4.580854   0.001406
  4.602915   0.001412
  4.624975   0.001305
  4.647035   0.001342
  4.669095   0.001207
  4.691156   0.001236
  4.713216   0.001164
  4.735276   0.001194
  4.757337   0.001326
  4.779397   0.001159
  4.801457   0.001259
  4.823518   0.001352
  4.845578   0.001151
  4.867638   0.001233
  4.889698   0.001381
  4.911759   0.001563
  4.933819   0.001171
  4.955879   0.001363
  4.977940   0.001204
  5.000000   0.001175
