# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.001992
  0.632060   0.002079
  0.654121   0.002059
  0.676181   0.001955
  0.698241   0.002083
  0.720302   0.002178
  0.742362   0.002205
  0.764422   0.001971
  0.786482   0.002091
  0.808543   0.002105
  0.830603   0.002202
  0.852663   0.002269
  0.874724   0.002246
  0.896784   0.002334
  0.918844   0.002250
  0.940905   0.002260
  0.962965   0.002366
  0.985025   0.002293
  1.007085   0.002307
  1.029146   0.002276
  1.051206   0.002200
  1.073266   0.002130
  1.095327   0.002216
  1.117387   0.002392
  1.139447   0.002404
  1.161508   0.002511
  1.183568   0.002404
  1.205628   0.002303
  1.227688   0.002194
  1.249749   0.002161
  1.271809   0.002153
  1.293869   0.002211
  1.315930   0.002231
  1.337990   0.002353
  1.360050   0.002455
  1.382111   0.002429
  1.404171   0.002464
  1.426231   0.002441
  1.448291   0.002384
  1.470352   0.002413
  1.492412   0.002267
  1.514472   0.002256
  1.536533   0.002233
  1.558593   0.002187
  1.580653   0.002210
  1.602714   0.002243
  1.624774   0.002493
  1.646834   0.002392
  1.668894   0.002468
  1.690955   0.002422
  1.713015   0.002377
  1.735075   0.002515
  1.757136   0.002516
  1.779196   0.002399
  1.801256   0.002429
  1.823317   0.002489
  1.845377   0.002370
  1.867437   0.002292
  1.889497   0.002363
  1.911558   0.002379
  1.933618   0.002298
  1.955678   0.002317
  1.977739   0.002234
  1.999799   0.002294
  2.021859   0.002265
  2.043920   0.002262
  2.065980   0.002361
  2.088040   0.002299
  2.110101   0.002257
  2.132161   0.002463
  2.154221   0.002308
  2.176281   0.002275
  2.198342   0.002438
  2.220402   0.002435
  2.242462   0.002332
  2.264523   0.002383
  2.286583   0.002574
  2.308643   0.002462
  2.330704   0.002469
  2.352764   0.002582
  2.374824   0.002484
  2.396884   0.002510
  2.418945   0.002471
  2.441005   0.002532
  2.463065   0.002560
  2.485126   0.002368
  2.507186   0.002316
  2.529246   0.002326
  2.551307   0.002360
  2.573367   0.002391
  2.595427   0.002412
  2.617487   0.002402
  2.639548   0.002392
  2.661608   0.002479
  2.683668   0.002483
  2.705729   0.002511
  2.727789   0.002559
  2.749849   0.002351
  2.771910   0.002407
  2.793970   0.002577
  2.816030   0.002573
  2.838090   0.002323
  2.860151   0.002378
  2.882211   0.002334
  2.904271   0.002356
  2.926332   0.002261
  2.948392   0.002282
  2.970452   0.002345
  2.992513   0.002328
  3.014573   0.002257
  3.036633   0.002332
  3.058693   0.002353
  3.080754   0.002319
  3.102814   0.002296
  3.124874   0.002379
  3.146935   0.002520
  3.168995   0.002553
  3.191055   0.002555
  3.213116   0.002471
  3.235176   0.002462
  3.257236   0.002431
  3.279296   0.002501
  3.301357   0.002410
  3.323417   0.002586
  3.345477   0.002543
  3.367538   0.002496
  3.389598   0.002422
  3.411658   0.002496
  3.433719   0.002461
  3.455779   0.002465
  3.477839   0.002584
  3.499899   0.002406
  3.521960   0.002410
  3.544020   0.002392
  3.566080   0.002367
  3.588141   0.002487
  3.610201   0.002503
  3.632261   0.002405
  3.654322   0.002577
  3.676382   0.002448
  3.698442   0.002313
  3.720503   0.002449
  3.742563   0.002525
  3.764623   0.002396
  3.786683   0.002457
  3.808744   0.002243
  3.830804   0.002291
  3.852864   0.002278
  3.874925   0.002369
  3.896985   0.002261
  3.919045   0.002317
  3.941106   0.002294
  3.963166   0.002283
  3.985226   0.002324
  4.007286   0.002422
  4.029347   0.002318
  4.051407   0.002265
  4.073467   0.002262
  4.095528   0.002279
  4.117588   0.002202
  4.139648   0.002195
  4.161709   0.002283
  4.183769   0.002367
  4.205829   0.002412
  4.227889   0.002479
  4.249950   0.002552
  4.272010   0.002586
  4.294070   0.002486
  4.316131   0.002409
  4.338191   0.002509
  4.360251   0.002426
  4.382312   0.002389
  4.404372   0.002380
  4.426432   0.002410
  4.448492   0.002357
  4.470553   0.002519
  4.492613   0.002415
  4.514673   0.002473
  4.536734   0.002416
  4.558794   0.002394
  4.580854   0.002401
  4.602915   0.002329
  4.624975   0.002320
  4.647035   0.002387
  4.669095   0.002270
  4.691156   0.002253
  4.713216   0.002265
  4.735276   0.002326
  4.757337   0.002337
  4.779397   0.002258
  4.801457   0.002313
  4.823518   0.002251
  4.845578   0.002280
  4.867638   0.002273
  4.889698   0.002366
  4.911759   0.002377
  4.933819   0.002301
  4.955879   0.002363
  4.977940   0.002210
  5.000000   0.002218
