# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.005276
  0.632060   0.005326
  0.654121   0.005319
  0.676181   0.005269
  0.698241   0.005327
  0.720302   0.005369
  0.742362   0.005375
  0.764422   0.005278
  0.786482   0.005329
  0.808543   0.005338
  0.830603   0.005370
  0.852663   0.005406
  0.874724   0.005392
  0.896784   0.005430
  0.918844   0.005393
  0.940905   0.005391
  0.962965   0.005428
  0.985025   0.005411
  1.007085   0.005412
  1.029146   0.005404
  1.051206   0.005372
  1.073266   0.005347
  1.095327   0.005376
  1.117387   0.005445
  1.139447   0.005454
  1.161508   0.005492
  1.183568   0.005455
  1.205628   0.005411
  1.227688   0.005366
  1.249749   0.005357
  1.271809   0.005353
  1.293869   0.005375
  1.315930   0.005389
  1.337990   0.005428
  1.360050   0.005473
  1.382111   0.005462
  1.404171   0.005477
  1.426231   0.005472
  1.448291   0.005440
  1.470352   0.005429
  1.492412   0.005397
  1.514472   0.005395
  1.536533   0.005383
  1.558593   0.005370
  1.580653   0.005372
  1.602714   0.005376
  1.624774   0.005480
  1.646834   0.005443
  1.668894   0.005470
  1.690955   0.005444
  1.713015   0.005434
  1.735075   0.005487
  1.757136   0.005494
  1.779196   0.005447
  1.801256   0.005456
  1.823317   0.005482
  1.845377   0.005438
  1.867437   0.005407
  1.889497   0.005424
  1.911558   0.005440
  1.933618   0.005408
  1.955678   0.005417
  1.977739   0.005387
  1.999799   0.005400
  2.021859   0.005393
  2.043920   0.005392
  2.065980   0.005426
  2.088040   0.005397
  2.110101   0.005385
  2.132161   0.005467
  2.154221   0.005407
  2.176281   0.005389
  2.198342   0.005449
  2.220402   0.005447
  2.242462   0.005429
  2.264523   0.005442
  2.286583   0.005517
  2.308643   0.005463
  2.330704   0.005455
  2.352764   0.005524
  2.374824   0.005456
  2.396884   0.005483
  2.418945   0.005455
  2.441005   0.005506
  2.463065   0.005507
  2.485126   0.005411
  2.507186   0.005406
  2.529246   0.005415
  2.551307   0.005431
  2.573367   0.005449
  2.595427   0.005443
  2.617487   0.005459
  2.639548   0.005440
  2.661608   0.005481
  2.683668   0.005479
  2.705729   0.005481
  2.727789   0.005517
  2.749849   0.005438
  2.771910   0.005466
  2.793970   0.005514
  2.816030   0.005507
  2.838090   0.005418
  2.860151   0.005448
  2.882211   0.005413
  2.904271   0.005437
  2.926332   0.005384
  2.948392   0.005394
  2.970452   0.005436
  2.992513   0.005426
  3.014573   0.005387
  3.036633   0.005407
  3.058693   0.005438
  3.080754   0.005408
  3.102814   0.005409
  3.124874   0.005408
  3.146935   0.005487
  3.168995   0.005502
  3.191055   0.005503
  3.213116   0.005428
  3.235176   0.005458
  3.257236   0.005454
  3.279296   0.005458
  3.301357   0.005418
  3.323417   0.005526
  3.345477   0.005481
  3.367538   0.005459
  3.389598   0.005439
  3.411658   0.005460
  3.433719   0.005471
  3.455779   0.005459
  3.477839   0.005524
  3.499899   0.005422
  3.521960   0.005423
  3.544020   0.005420
  3.566080   0.005410
  3.588141   0.005459
  3.610201   0.005489
  3.632261   0.005444
  3.654322   0.005519
  3.676382   0.005451
  3.698442   0.005405
  3.720503   0.005457
  3.742563   0.005485
  3.764623   0.005441
  3.786683   0.005454
  3.808744   0.005377
  3.830804   0.005389
  3.852864   0.005410
  3.874925   0.005414
  3.896985   0.005394
  3.919045   0.005413
  3.941106   0.005415
  3.963166   0.005386
  3.985226   0.005395
  4.007286   0.005438
  4.029347   0.005404
  4.051407   0.005388
  4.073467   0.005389
  4.095528   0.005385
  4.117588   0.005373
  4.139648   0.005374
  4.161709   0.005395
  4.183769   0.005427
  4.205829   0.005459
  4.227889   0.005491
  4.249950   0.005523
  4.272010   0.005527
  4.294070   0.005489
  4.316131   0.005450
  4.338191   0.005463
  4.360251   0.005456
  4.382312   0.005440
  4.404372   0.005440
  4.426432   0.005430
  4.448492   0.005411
  4.470553   0.005434
  4.492613   0.005404
  4.514673   0.005437
  4.536734   0.005452
  4.558794   0.005456
  4.580854   0.005460
  4.602915   0.005423
  4.624975   0.005413
  4.647035   0.005448
  4.669095   0.005410
  4.691156   0.005394
  4.713216   0.005398
  4.735276   0.005419
  4.757337   0.005421
  4.779397   0.005403
  4.801457   0.005421
  4.823518   0.005395
  4.845578   0.005407
  4.867638   0.005405
  4.889698   0.005437
  4.911759   0.005413
  4.933819   0.005419
  4.955879   0.005440
  4.977940   0.005377
  5.000000   0.005381
