# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.014522
  0.632060   0.014752
  0.654121   0.014715
  0.676181   0.014475
  0.698241   0.014755
  0.720302   0.014959
  0.742362   0.015000
  0.764422   0.014510
  0.786482   0.014769
  0.808543   0.014807
  0.830603   0.014974
  0.852663   0.015144
  0.874724   0.015082
  0.896784   0.015262
  0.918844   0.015082
  0.940905   0.015079
  0.962965   0.015273
  0.985025   0.015174
  1.007085   0.015183
  1.029146   0.015140
  1.051206   0.014986
  1.073266   0.014851
  1.095327   0.015004
  1.117387   0.015345
  1.139447   0.015383
  1.161508   0.015574
  1.183568   0.015385
  1.205628   0.015179
  1.227688   0.014959
  1.249749   0.014904
  1.271809   0.014883
  1.293869   0.014998
  1.315930   0.015056
  1.337990   0.015265
  1.360050   0.015478
  1.382111   0.015424
  1.404171   0.015495
  1.426231   0.015466
  1.448291   0.015323
  1.470352   0.015297
  1.492412   0.015107
  1.514472   0.015098
  1.536533   0.015038
  1.558593   0.014965
  1.580653   0.014981
  1.602714   0.015012
  1.624774   0.015521
  1.646834   0.015338
  1.668894   0.015473
  1.690955   0.015358
  1.713015   0.015298
  1.735075   0.015559
  1.757136   0.015581
  1.779196   0.015358
  1.801256   0.015405
  1.823317   0.015523
  1.845377   0.015307
  1.867437   0.015151
  1.889497   0.015248
  1.911558   0.015321
  1.933618   0.015161
  1.955678   0.015202
  1.977739   0.015048
  1.999799   0.015124
  2.021859   0.015085
  2.043920   0.015082
  2.065980   0.015263
  2.088040   0.015114
  2.110101   0.015049
  2.132161   0.015463
  2.154221   0.015161
  2.176281   0.015074
  2.198342   0.015380
  2.220402   0.015374
  2.242462   0.015253
  2.264523   0.015325
  2.286583   0.015690
  2.308643   0.015447
  2.330704   0.015421
  2.352764   0.015715
  2.374824   0.015432
  2.396884   0.015542
  2.418945   0.015419
  2.441005   0.015630
  2.463065   0.015650
  2.485126   0.015207
  2.507186   0.015154
  2.529246   0.015197
  2.551307   0.015273
  2.573367   0.015358
  2.595427   0.015344
  2.617487   0.015395
  2.639548   0.015320
  2.661608   0.015515
  2.683668   0.015503
  2.705729   0.015529
  2.727789   0.015681
  2.749849   0.015296
  2.771910   0.015422
  2.793970   0.015685
  2.816030   0.015661
  2.838090   0.015210
  2.860151   0.015345
  2.882211   0.015198
  2.904271   0.015294
  2.926332   0.015046
  2.948392   0.015098
  2.970452   0.015284
  2.992513   0.015244
  3.014573   0.015059
  3.036633   0.015175
  3.058693   0.015298
  3.080754   0.015166
  3.102814   0.015154
  3.124874   0.015190
  3.146935   0.015560
  3.168995   0.015629
  3.191055   0.015635
  3.213116   0.015320
  3.235176   0.015428
  3.257236   0.015387
  3.279296   0.015452
  3.301357   0.015242
  3.323417   0.015724
  3.345477   0.015555
  3.367538   0.015450
  3.389598   0.015339
  3.411658   0.015452
  3.433719   0.015468
  3.455779   0.015426
  3.477839   0.015717
  3.499899   0.015269
  3.521960   0.015265
  3.544020   0.015254
  3.566080   0.015201
  3.588141   0.015446
  3.610201   0.015555
  3.632261   0.015340
  3.654322   0.015699
  3.676382   0.015393
  3.698442   0.015153
  3.720503   0.015417
  3.742563   0.015556
  3.764623   0.015325
  3.786683   0.015412
  3.808744   0.015009
  3.830804   0.015082
  3.852864   0.015157
  3.874925   0.015214
  3.896985   0.015088
  3.919045   0.015189
  3.941106   0.015183
  3.963166   0.015068
  3.985226   0.015124
  4.007286   0.015338
  4.029347   0.015156
  4.051407   0.015066
  4.073467   0.015069
  4.095528   0.015066
  4.117588   0.014968
  4.139648   0.014970
  4.161709   0.015103
  4.183769   0.015266
  4.205829   0.015399
  4.227889   0.015548
  4.249950   0.015701
  4.272010   0.015727
  4.294070   0.015544
  4.316131   0.015364
  4.338191   0.015456
  4.360251   0.015398
  4.382312   0.015324
  4.404372   0.015317
  4.426432   0.015297
  4.448492   0.015195
  4.470553   0.015378
  4.492613   0.015182
  4.514673   0.015359
  4.536734   0.015372
  4.558794   0.015383
  4.580854   0.015399
  4.602915   0.015231
  4.624975   0.015190
  4.647035   0.015350
  4.669095   0.015154
  4.691156   0.015082
  4.713216   0.015105
  4.735276   0.015216
  4.757337   0.015229
  4.779397   0.015121
  4.801457   0.015213
  4.823518   0.015086
  4.845578   0.015152
  4.867638   0.015133
  4.889698   0.015302
  4.911759   0.015212
  4.933819   0.015203
  4.955879   0.015309
  4.977940   0.014990
  5.000000   0.015015
