# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.003215
  0.632060   0.003259
  0.654121   0.003252
  0.676181   0.003205
  0.698241   0.003260
  0.720302   0.003300
  0.742362   0.003307
  0.764422   0.003212
  0.786482   0.003263
  0.808543   0.003270
  0.830603   0.003303
  0.852663   0.003335
  0.874724   0.003323
  0.896784   0.003358
  0.918844   0.003324
  0.940905   0.003324
  0.962965   0.003362
  0.985025   0.003341
  1.007085   0.003344
  1.029146   0.003335
  1.051206   0.003305
  1.073266   0.003278
  1.095327   0.003309
  1.117387   0.003375
  1.139447   0.003382
  1.161508   0.003420
  1.183568   0.003382
  1.205628   0.003343
  1.227688   0.003300
  1.249749   0.003289
  1.271809   0.003285
  1.293869   0.003308
  1.315930   0.003319
  1.337990   0.003360
  1.360050   0.003401
  1.382111   0.003390
  1.404171   0.003404
  1.426231   0.003398
  1.448291   0.003371
  1.470352   0.003368
  1.492412   0.003329
  1.514472   0.003327
  1.536533   0.003315
  1.558593   0.003301
  1.580653   0.003305
  1.602714   0.003311
  1.624774   0.003410
  1.646834   0.003374
  1.668894   0.003400
  1.690955   0.003379
  1.713015   0.003367
  1.735075   0.003417
  1.757136   0.003421
  1.779196   0.003378
  1.801256   0.003387
  1.823317   0.003410
  1.845377   0.003368
  1.867437   0.003338
  1.889497   0.003358
  1.911558   0.003371
  1.933618   0.003340
  1.955678   0.003348
  1.977739   0.003318
  1.999799   0.003333
  2.021859   0.003325
  2.043920   0.003325
  2.065980   0.003360
  2.088040   0.003332
  2.110101   0.003319
  2.132161   0.003398
  2.154221   0.003340
  2.176281   0.003324
  2.198342   0.003383
  2.220402   0.003382
  2.242462   0.003357
  2.264523   0.003372
  2.286583   0.003443
  2.308643   0.003396
  2.330704   0.003392
  2.352764   0.003448
  2.374824   0.003394
  2.396884   0.003414
  2.418945   0.003392
  2.441005   0.003430
  2.463065   0.003435
  2.485126   0.003351
  2.507186   0.003339
  2.529246   0.003347
  2.551307   0.003362
  2.573367   0.003378
  2.595427   0.003376
  2.617487   0.003385
  2.639548   0.003371
  2.661608   0.003408
  2.683668   0.003406
  2.705729   0.003412
  2.727789   0.003440
  2.749849   0.003366
  2.771910   0.003390
  2.793970   0.003442
  2.816030   0.003438
  2.838090   0.003350
  2.860151   0.003375
  2.882211   0.003348
  2.904271   0.003366
  2.926332   0.003318
  2.948392   0.003328
  2.970452   0.003364
  2.992513   0.003355
  3.014573   0.003320
  3.036633   0.003344
  3.058693   0.003366
  3.080754   0.003342
  3.102814   0.003339
  3.124874   0.003348
  3.146935   0.003418
  3.168995   0.003431
  3.191055   0.003432
  3.213116   0.003375
  3.235176   0.003393
  3.257236   0.003385
  3.279296   0.003399
  3.301357   0.003358
  3.323417   0.003450
  3.345477   0.003418
  3.367538   0.003398
  3.389598   0.003376
  3.411658   0.003398
  3.433719   0.003400
  3.455779   0.003392
  3.477839   0.003449
  3.499899   0.003363
  3.521960   0.003362
  3.544020   0.003360
  3.566080   0.003350
  3.588141   0.003397
  3.610201   0.003416
  3.632261   0.003376
  3.654322   0.003445
  3.676382   0.003386
  3.698442   0.003339
  3.720503   0.003390
  3.742563   0.003417
  3.764623   0.003372
  3.786683   0.003390
  3.808744   0.003311
  3.830804   0.003326
  3.852864   0.003339
  3.874925   0.003352
  3.896985   0.003326
  3.919045   0.003346
  3.941106   0.003344
  3.963166   0.003323
  3.985226   0.003334
  4.007286   0.003375
  4.029347   0.003340
  4.051407   0.003322
  4.073467   0.003322
  4.095528   0.003322
  4.117588   0.003302
  4.139648   0.003302
  4.161709   0.003329
  4.183769   0.003362
  4.205829   0.003386
  4.227889   0.003414
  4.249950   0.003444
  4.272010   0.003450
  4.294070   0.003414
  4.316131   0.003380
  4.338191   0.003400
  4.360251   0.003387
  4.382312   0.003372
  4.404372   0.003371
  4.426432   0.003368
  4.448492   0.003348
  4.470553   0.003387
  4.492613   0.003348
  4.514673   0.003381
  4.536734   0.003381
  4.558794   0.003382
  4.580854   0.003385
  4.602915   0.003354
  4.624975   0.003346
  4.647035   0.003377
  4.669095   0.003338
  4.691156   0.003324
  4.713216   0.003329
  4.735276   0.003351
  4.757337   0.003353
  4.779397   0.003332
  4.801457   0.003350
  4.823518   0.003325
  4.845578   0.003337
  4.867638   0.003334
  4.889698   0.003368
  4.911759   0.003351
  4.933819   0.003347
  4.955879   0.003369
  4.977940   0.003306
  5.000000   0.003311
