# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.001188
  0.632060   0.001205
  0.654121   0.001200
  0.676181   0.001173
  0.698241   0.001213
  0.720302   0.001242
  0.742362   0.001249
  0.764422   0.001187
  0.786482   0.001213
  0.808543   0.001213
  0.830603   0.001269
  0.852663   0.001266
  0.874724   0.001268
  0.896784   0.001294
  0.918844   0.001285
  0.940905   0.001294
  0.962965   0.001315
  0.985025   0.001288
  1.007085   0.001288
  1.029146   0.001275
  1.051206   0.001255
  1.073266   0.001240
  1.095327   0.001291
  1.117387   0.001333
  1.139447   0.001315
  1.161508   0.001346
  1.183568   0.001326
  1.205628   0.001293
  1.227688   0.001263
  1.249749   0.001248
  1.271809   0.001249
  1.293869   0.001263
  1.315930   0.001278
  1.337990   0.001311
  1.360050   0.001331
  1.382111   0.001330
  1.404171   0.001341
  1.426231   0.001323
  1.448291   0.001331
  1.470352   0.001351
  1.492412   0.001283
  1.514472   0.001293
  1.536533   0.001291
  1.558593   0.001253
  1.580653   0.001303
  1.602714   0.001302
  1.624774   0.001347
  1.646834   0.001322
  1.668894   0.001343
  1.690955   0.001339
  1.713015   0.001324
  1.735075   0.001354
  1.757136   0.001349
  1.779196   0.001327
  1.801256   0.001332
  1.823317   0.001358
  1.845377   0.001316
  1.867437   0.001302
  1.889497   0.001341
  1.911558   0.001311
  1.933618   0.001313
  1.955678   0.001295
  1.977739   0.001275
  1.999799   0.001310
  2.021859   0.001312
  2.043920   0.001301
  2.065980   0.001331
  2.088040   0.001322
  2.110101   0.001309
  2.132161   0.001339
  2.154221   0.001316
  2.176281   0.001312
  2.198342   0.001345
  2.220402   0.001344
  2.242462   0.001343
  2.264523   0.001361
  2.286583   0.001365
  2.308643   0.001353
  2.330704   0.001359
  2.352764   0.001367
  2.374824   0.001359
  2.396884   0.001358
  2.418945   0.001359
  2.441005   0.001351
  2.463065   0.001364
  2.485126   0.001343
  2.507186   0.001330
  2.529246   0.001322
  2.551307   0.001324
  2.573367   0.001319
  2.595427   0.001346
  2.617487   0.001330
  2.639548   0.001356
  2.661608   0.001355
  2.683668   0.001366
  2.705729   0.001366
  2.727789   0.001356
  2.749849   0.001313
  2.771910   0.001347
  2.793970   0.001367
  2.816030   0.001367
  2.838090   0.001319
  2.860151   0.001298
  2.882211   0.001340
  2.904271   0.001310
  2.926332   0.001353
  2.948392   0.001317
  2.970452   0.001307
  2.992513   0.001300
  3.014573   0.001310
  3.036633   0.001322
  3.058693   0.001318
  3.080754   0.001347
  3.102814   0.001343
  3.124874   0.001362
  3.146935   0.001362
  3.168995   0.001365
  3.191055   0.001366
  3.213116   0.001367
  3.235176   0.001359
  3.257236   0.001356
  3.279296   0.001366
  3.301357   0.001360
  3.323417   0.001367
  3.345477   0.001367
  3.367538   0.001365
  3.389598   0.001356
  3.411658   0.001366
  3.433719   0.001359
  3.455779   0.001362
  3.477839   0.001367
  3.499899   0.001353
  3.521960   0.001360
  3.544020   0.001357
  3.566080   0.001356
  3.588141   0.001365
  3.610201   0.001357
  3.632261   0.001356
  3.654322   0.001366
  3.676382   0.001353
  3.698442   0.001331
  3.720503   0.001349
  3.742563   0.001361
  3.764623   0.001350
  3.786683   0.001352
  3.808744   0.001312
  3.830804   0.001329
  3.852864   0.001320
  3.874925   0.001336
  3.896985   0.001315
  3.919045   0.001323
  3.941106   0.001304
  3.963166   0.001321
  3.985226   0.001333
  4.007286   0.001349
  4.029347   0.001322
  4.051407   0.001312
  4.073467   0.001308
  4.095528   0.001309
  4.117588   0.001296
  4.139648   0.001274
  4.161709   0.001312
  4.183769   0.001326
  4.205829   0.001328
  4.227889   0.001331
  4.249950   0.001362
  4.272010   0.001367
  4.294070   0.001336
  4.316131   0.001362
  4.338191   0.001367
  4.360251   0.001334
  4.382312   0.001331
  4.404372   0.001327
  4.426432   0.001359
  4.448492   0.001357
  4.470553   0.001367
  4.492613   0.001367
  4.514673   0.001366
  4.536734   0.001363
  4.558794   0.001315
  4.580854   0.001319
  4.602915   0.001319
  4.624975   0.001308
  4.647035   0.001316
  4.669095   0.001280
  4.691156   0.001287
  4.713216   0.001283
  4.735276   0.001295
  4.757337   0.001302
  4.779397   0.001275
  4.801457   0.001301
  4.823518   0.001309
  4.845578   0.001281
  4.867638   0.001291
  4.889698   0.001317
  4.911759   0.001355
  4.933819   0.001282
  4.955879   0.001315
  4.977940   0.001279
  5.000000   0.001278
