# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.003010
  0.632060   0.003057
  0.654121   0.003045
  0.676181   0.002978
  0.698241   0.003063
  0.720302   0.003122
  0.742362   0.003137
  0.764422   0.002991
  0.786482   0.003069
  0.808543   0.003074
  0.830603   0.003149
  0.852663   0.003173
  0.874724   0.003166
  0.896784   0.003217
  0.918844   0.003176
  0.940905   0.003188
  0.962965   0.003246
  0.985025   0.003195
  1.007085   0.003205
  1.029146   0.003183
  1.051206   0.003138
  1.073266   0.003095
  1.095327   0.003161
  1.117387   0.003263
  1.139447   0.003258
  1.161508   0.003322
  1.183568   0.003262
  1.205628   0.003205
  1.227688   0.003141
  1.249749   0.003117
  1.271809   0.003113
  1.293869   0.003149
  1.315930   0.003164
  1.337990   0.003237
  1.360050   0.003289
  1.382111   0.003278
  1.404171   0.003296
  1.426231   0.003277
  1.448291   0.003256
  1.470352   0.003293
  1.492412   0.003185
  1.514472   0.003177
  1.536533   0.003170
  1.558593   0.003132
  1.580653   0.003163
  1.602714   0.003189
  1.624774   0.003316
  1.646834   0.003259
  1.668894   0.003303
  1.690955   0.003284
  1.713015   0.003255
  1.735075   0.003329
  1.757136   0.003325
  1.779196   0.003262
  1.801256   0.003280
  1.823317   0.003318
  1.845377   0.003245
  1.867437   0.003205
  1.889497   0.003261
  1.911558   0.003249
  1.933618   0.003212
  1.955678   0.003216
  1.977739   0.003167
  1.999799   0.003215
  2.021859   0.003199
  2.043920   0.003191
  2.065980   0.003249
  2.088040   0.003224
  2.110101   0.003195
  2.132161   0.003300
  2.154221   0.003222
  2.176281   0.003209
  2.198342   0.003294
  2.220402   0.003294
  2.242462   0.003244
  2.264523   0.003294
  2.286583   0.003361
  2.308643   0.003307
  2.330704   0.003318
  2.352764   0.003365
  2.374824   0.003326
  2.396884   0.003330
  2.418945   0.003321
  2.441005   0.003330
  2.463065   0.003355
  2.485126   0.003269
  2.507186   0.003237
  2.529246   0.003232
  2.551307   0.003248
  2.573367   0.003255
  2.595427   0.003281
  2.617487   0.003264
  2.639548   0.003284
  2.661608   0.003310
  2.683668   0.003330
  2.705729   0.003340
  2.727789   0.003346
  2.749849   0.003232
  2.771910   0.003256
  2.793970   0.003366
  2.816030   0.003364
  2.838090   0.003222
  2.860151   0.003239
  2.882211   0.003244
  2.904271   0.003228
  2.926332   0.003229
  2.948392   0.003212
  2.970452   0.003226
  2.992513   0.003217
  3.014573   0.003196
  3.036633   0.003238
  3.058693   0.003232
  3.080754   0.003243
  3.102814   0.003232
  3.124874   0.003293
  3.146935   0.003336
  3.168995   0.003353
  3.191055   0.003355
  3.213116   0.003339
  3.235176   0.003314
  3.257236   0.003297
  3.279296   0.003341
  3.301357   0.003306
  3.323417   0.003368
  3.345477   0.003358
  3.367538   0.003337
  3.389598   0.003296
  3.411658   0.003339
  3.433719   0.003308
  3.455779   0.003319
  3.477839   0.003367
  3.499899   0.003292
  3.521960   0.003302
  3.544020   0.003287
  3.566080   0.003278
  3.588141   0.003331
  3.610201   0.003325
  3.632261   0.003293
  3.654322   0.003363
  3.676382   0.003304
  3.698442   0.003235
  3.720503   0.003298
  3.742563   0.003340
  3.764623   0.003278
  3.786683   0.003307
  3.808744   0.003194
  3.830804   0.003227
  3.852864   0.003190
  3.874925   0.003267
  3.896985   0.003197
  3.919045   0.003229
  3.941106   0.003203
  3.963166   0.003219
  3.985226   0.003245
  4.007286   0.003292
  4.029347   0.003232
  4.051407   0.003202
  4.073467   0.003197
  4.095528   0.003210
  4.117588   0.003163
  4.139648   0.003145
  4.161709   0.003210
  4.183769   0.003254
  4.205829   0.003270
  4.227889   0.003301
  4.249950   0.003344
  4.272010   0.003368
  4.294070   0.003307
  4.316131   0.003289
  4.338191   0.003349
  4.360251   0.003282
  4.382312   0.003264
  4.404372   0.003259
  4.426432   0.003295
  4.448492   0.003274
  4.470553   0.003361
  4.492613   0.003339
  4.514673   0.003335
  4.536734   0.003295
  4.558794   0.003253
  4.580854   0.003257
  4.602915   0.003224
  4.624975   0.003225
  4.647035   0.003255
  4.669095   0.003179
  4.691156   0.003181
  4.713216   0.003185
  4.735276   0.003221
  4.757337   0.003229
  4.779397   0.003176
  4.801457   0.003215
  4.823518   0.003187
  4.845578   0.003189
  4.867638   0.003193
  4.889698   0.003245
  4.911759   0.003283
  4.933819   0.003198
  4.955879   0.003242
  4.977940   0.003158
  5.000000   0.003160
