# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.001626
  0.632060   0.001645
  0.654121   0.001640
  0.676181   0.001607
  0.698241   0.001654
  0.720302   0.001688
  0.742362   0.001695
  0.764422   0.001623
  0.786482   0.001655
  0.808543   0.001655
  0.830603   0.001716
  0.852663   0.001714
  0.874724   0.001717
  0.896784   0.001746
  0.918844   0.001734
  0.940905   0.001745
  0.962965   0.001769
  0.985025   0.001738
  1.007085   0.001740
  1.029146   0.001724
  1.051206   0.001702
  1.073266   0.001683
  1.095327   0.001739
  1.117387   0.001788
  1.139447   0.001770
  1.161508   0.001807
  1.183568   0.001782
  1.205628   0.001745
  1.227688   0.001710
  1.249749   0.001693
  1.271809   0.001693
  1.293869   0.001711
  1.315930   0.001726
  1.337990   0.001765
  1.360050   0.001789
  1.382111   0.001787
  1.404171   0.001799
  1.426231   0.001780
  1.448291   0.001786
  1.470352   0.001810
  1.492412   0.001733
  1.514472   0.001741
  1.536533   0.001740
  1.558593   0.001699
  1.580653   0.001752
  1.602714   0.001753
  1.624774   0.001807
  1.646834   0.001777
  1.668894   0.001802
  1.690955   0.001796
  1.713015   0.001780
  1.735075   0.001815
  1.757136   0.001809
  1.779196   0.001783
  1.801256   0.001789
  1.823317   0.001819
  1.845377   0.001770
  1.867437   0.001753
  1.889497   0.001798
  1.911558   0.001766
  1.933618   0.001765
  1.955678   0.001748
  1.977739   0.001724
  1.999799   0.001763
  2.021859   0.001763
  2.043920   0.001752
  2.065980   0.001785
  2.088040   0.001775
  2.110101   0.001760
  2.132161   0.001798
  2.154221   0.001769
  2.176281   0.001765
  2.198342   0.001803
  2.220402   0.001803
  2.242462   0.001800
  2.264523   0.001824
  2.286583   0.001830
  2.308643   0.001813
  2.330704   0.001820
  2.352764   0.001832
  2.374824   0.001821
  2.396884   0.001820
  2.418945   0.001821
  2.441005   0.001812
  2.463065   0.001828
  2.485126   0.001800
  2.507186   0.001785
  2.529246   0.001776
  2.551307   0.001779
  2.573367   0.001774
  2.595427   0.001802
  2.617487   0.001786
  2.639548   0.001816
  2.661608   0.001815
  2.683668   0.001829
  2.705729   0.001830
  2.727789   0.001818
  2.749849   0.001766
  2.771910   0.001797
  2.793970   0.001833
  2.816030   0.001833
  2.838090   0.001770
  2.860151   0.001753
  2.882211   0.001795
  2.904271   0.001762
  2.926332   0.001810
  2.948392   0.001769
  2.970452   0.001759
  2.992513   0.001752
  3.014573   0.001761
  3.036633   0.001776
  3.058693   0.001770
  3.080754   0.001803
  3.102814   0.001799
  3.124874   0.001823
  3.146935   0.001825
  3.168995   0.001829
  3.191055   0.001831
  3.213116   0.001832
  3.235176   0.001821
  3.257236   0.001815
  3.279296   0.001830
  3.301357   0.001821
  3.323417   0.001833
  3.345477   0.001833
  3.367538   0.001829
  3.389598   0.001815
  3.411658   0.001830
  3.433719   0.001819
  3.455779   0.001824
  3.477839   0.001833
  3.499899   0.001813
  3.521960   0.001821
  3.544020   0.001816
  3.566080   0.001815
  3.588141   0.001828
  3.610201   0.001818
  3.632261   0.001816
  3.654322   0.001831
  3.676382   0.001812
  3.698442   0.001785
  3.720503   0.001807
  3.742563   0.001824
  3.764623   0.001808
  3.786683   0.001812
  3.808744   0.001763
  3.830804   0.001783
  3.852864   0.001768
  3.874925   0.001792
  3.896985   0.001766
  3.919045   0.001777
  3.941106   0.001755
  3.963166   0.001774
  3.985226   0.001788
  4.007286   0.001808
  4.029347   0.001776
  4.051407   0.001764
  4.073467   0.001759
  4.095528   0.001762
  4.117588   0.001745
  4.139648   0.001720
  4.161709   0.001764
  4.183769   0.001782
  4.205829   0.001785
  4.227889   0.001791
  4.249950   0.001825
  4.272010   0.001833
  4.294070   0.001796
  4.316131   0.001823
  4.338191   0.001831
  4.360251   0.001792
  4.382312   0.001787
  4.404372   0.001783
  4.426432   0.001820
  4.448492   0.001816
  4.470553   0.001833
  4.492613   0.001833
  4.514673   0.001831
  4.536734   0.001824
  4.558794   0.001768
  4.580854   0.001774
  4.602915   0.001770
  4.624975   0.001761
  4.647035   0.001771
  4.669095   0.001729
  4.691156   0.001737
  4.713216   0.001733
  4.735276   0.001749
  4.757337   0.001756
  4.779397   0.001725
  4.801457   0.001754
  4.823518   0.001760
  4.845578   0.001732
  4.867638   0.001742
  4.889698   0.001771
  4.911759   0.001814
  4.933819   0.001733
  4.955879   0.001769
  4.977940   0.001728
  5.000000   0.001726
