# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.003648
  0.632060   0.003722
  0.654121   0.003704
  0.676181   0.003610
  0.698241   0.003726
  0.720302   0.003809
  0.742362   0.003833
  0.764422   0.003624
  0.786482   0.003734
  0.808543   0.003745
  0.830603   0.003835
  0.852663   0.003885
  0.874724   0.003869
  0.896784   0.003940
  0.918844   0.003874
  0.940905   0.003885
  0.962965   0.003972
  0.985025   0.003908
  1.007085   0.003921
  1.029146   0.003893
  1.051206   0.003830
  1.073266   0.003769
  1.095327   0.003846
  1.117387   0.003992
  1.139447   0.003997
  1.161508   0.004083
  1.183568   0.003998
  1.205628   0.003918
  1.227688   0.003828
  1.249749   0.003798
  1.271809   0.003791
  1.293869   0.003841
  1.315930   0.003856
  1.337990   0.003960
  1.360050   0.004038
  1.382111   0.004019
  1.404171   0.004045
  1.426231   0.004025
  1.448291   0.003986
  1.470352   0.004020
  1.492412   0.003889
  1.514472   0.003878
  1.536533   0.003862
  1.558593   0.003819
  1.580653   0.003845
  1.602714   0.003878
  1.624774   0.004071
  1.646834   0.003991
  1.668894   0.004052
  1.690955   0.004020
  1.713015   0.003982
  1.735075   0.004088
  1.757136   0.004086
  1.779196   0.003996
  1.801256   0.004021
  1.823317   0.004068
  1.845377   0.003972
  1.867437   0.003911
  1.889497   0.003975
  1.911558   0.003980
  1.933618   0.003917
  1.955678   0.003930
  1.977739   0.003861
  1.999799   0.003919
  2.021859   0.003892
  2.043920   0.003887
  2.065980   0.003969
  2.088040   0.003929
  2.110101   0.003888
  2.132161   0.004048
  2.154221   0.003927
  2.176281   0.003905
  2.198342   0.004034
  2.220402   0.004032
  2.242462   0.003939
  2.264523   0.003985
  2.286583   0.004130
  2.308643   0.004049
  2.330704   0.004059
  2.352764   0.004136
  2.374824   0.004073
  2.396884   0.004085
  2.418945   0.004062
  2.441005   0.004096
  2.463065   0.004121
  2.485126   0.003985
  2.507186   0.003941
  2.529246   0.003943
  2.551307   0.003969
  2.573367   0.003988
  2.595427   0.004013
  2.617487   0.003997
  2.639548   0.003996
  2.661608   0.004058
  2.683668   0.004070
  2.705729   0.004089
  2.727789   0.004117
  2.749849   0.003954
  2.771910   0.003997
  2.793970   0.004134
  2.816030   0.004132
  2.838090   0.003937
  2.860151   0.003976
  2.882211   0.003951
  2.904271   0.003960
  2.926332   0.003899
  2.948392   0.003910
  2.970452   0.003950
  2.992513   0.003937
  3.014573   0.003888
  3.036633   0.003951
  3.058693   0.003957
  3.080754   0.003941
  3.102814   0.003923
  3.124874   0.004002
  3.146935   0.004094
  3.168995   0.004117
  3.191055   0.004119
  3.213116   0.004074
  3.235176   0.004052
  3.257236   0.004029
  3.279296   0.004087
  3.301357   0.004032
  3.323417   0.004139
  3.345477   0.004115
  3.367538   0.004082
  3.389598   0.004023
  3.411658   0.004083
  3.433719   0.004046
  3.455779   0.004056
  3.477839   0.004138
  3.499899   0.004016
  3.521960   0.004025
  3.544020   0.004003
  3.566080   0.003985
  3.588141   0.004074
  3.610201   0.004079
  3.632261   0.004009
  3.654322   0.004133
  3.676382   0.004043
  3.698442   0.003938
  3.720503   0.004040
  3.742563   0.004099
  3.764623   0.004000
  3.786683   0.004048
  3.808744   0.003879
  3.830804   0.003923
  3.852864   0.003894
  3.874925   0.003989
  3.896985   0.003887
  3.919045   0.003932
  3.941106   0.003909
  3.963166   0.003915
  3.985226   0.003950
  4.007286   0.004024
  4.029347   0.003940
  4.051407   0.003895
  4.073467   0.003890
  4.095528   0.003909
  4.117588   0.003840
  4.139648   0.003829
  4.161709   0.003908
  4.183769   0.003974
  4.205829   0.004006
  4.227889   0.004054
  4.249950   0.004107
  4.272010   0.004139
  4.294070   0.004062
  4.316131   0.004009
  4.338191   0.004101
  4.360251   0.004020
  4.382312   0.003991
  4.404372   0.003983
  4.426432   0.004017
  4.448492   0.003979
  4.470553   0.004110
  4.492613   0.004057
  4.514673   0.004071
  4.536734   0.004017
  4.558794   0.003988
  4.580854   0.003993
  4.602915   0.003940
  4.624975   0.003936
  4.647035   0.003985
  4.669095   0.003886
  4.691156   0.003878
  4.713216   0.003888
  4.735276   0.003938
  4.757337   0.003949
  4.779397   0.003877
  4.801457   0.003925
  4.823518   0.003875
  4.845578   0.003896
  4.867638   0.003894
  4.889698   0.003969
  4.911759   0.003996
  4.933819   0.003913
  4.955879   0.003965
  4.977940   0.003843
  5.000000   0.003849
