# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.013062
  0.618798   0.012953
  0.627595   0.013146
  0.636393   0.013167
  0.645190   0.013365
  0.653988   0.013154
  0.662786   0.013131
  0.671583   0.013075
  0.680381   0.013063
  0.689178   0.013182
  0.697976   0.013184
  0.706774   0.013258
  0.715571   0.013272
  0.724369   0.013334
  0.733166   0.013339
  0.741964   0.013225
  0.750762   0.013129
  0.759559   0.013120
  0.768357   0.013020
  0.777154   0.013063
  0.785952   0.013248
  0.794749   0.013241
  0.803547   0.013287
  0.812345   0.013514
  0.821142   0.013547
  0.829940   0.013302
  0.838737   0.013406
  0.847535   0.013406
  0.856333   0.013423
  0.865130   0.013409
  0.873928   0.013450
  0.882725   0.013468
  0.891523   0.013728
  0.900321   0.013730
  0.909118   0.013568
  0.917916   0.013461
  0.926713   0.013388
  0.935511   0.013430
  0.944309   0.013548
  0.953106   0.013683
  0.961904   0.013458
  0.970701   0.013491
  0.979499   0.013536
  0.988297   0.013611
  0.997094   0.013541
  1.005892   0.013587
  1.014689   0.013572
  1.023487   0.013518
  1.032285   0.013541
  1.041082   0.013430
  1.049880   0.013389
  1.058677   0.013377
  1.067475   0.013310
  1.076273   0.013287
  1.085070   0.013324
  1.093868   0.013413
  1.102665   0.013455
  1.111463   0.013562
  1.120261   0.013793
  1.129058   0.013648
  1.137856   0.013692
  1.146653   0.013689
  1.155451   0.013946
  1.164248   0.013669
  1.173046   0.013838
  1.181844   0.013654
  1.190641   0.013713
  1.199439   0.013649
  1.208236   0.013558
  1.217034   0.013533
  1.225832   0.013466
  1.234629   0.013391
  1.243427   0.013327
  1.252224   0.013296
  1.261022   0.013267
  1.269820   0.013283
  1.278617   0.013324
  1.287415   0.013410
  1.296212   0.013497
  1.305010   0.013508
  1.313808   0.013557
  1.322605   0.013527
  1.331403   0.013677
  1.340200   0.013776
  1.348998   0.013753
  1.357796   0.014118
  1.366593   0.013659
  1.375391   0.013768
  1.384188   0.013780
  1.392986   0.013778
  1.401784   0.013838
  1.410581   0.013753
  1.419379   0.013998
  1.428176   0.013679
  1.436974   0.013765
  1.445772   0.013743
  1.454569   0.013812
  1.463367   0.013576
  1.472164   0.013645
  1.480962   0.014104
  1.489760   0.013759
  1.498557   0.013461
  1.507355   0.013866
  1.516152   0.013406
  1.524950   0.013458
  1.533747   0.013429
  1.542545   0.013638
  1.551343   0.013464
  1.560140   0.013416
  1.568938   0.013400
  1.577735   0.013446
  1.586533   0.013445
  1.595331   0.013397
  1.604128   0.013593
  1.612926   0.013620
  1.621723   0.013766
  1.630521   0.013733
  1.639319   0.013732
  1.648116   0.013693
  1.656914   0.013703
  1.665711   0.013731
  1.674509   0.013847
  1.683307   0.013817
  1.692104   0.013744
  1.700902   0.013807
  1.709699   0.013792
  1.718497   0.013766
  1.727295   0.013885
  1.736092   0.013878
  1.744890   0.013750
  1.753687   0.013939
  1.762485   0.013900
  1.771283   0.013772
  1.780080   0.013742
  1.788878   0.013759
  1.797675   0.013791
  1.806473   0.013694
  1.815271   0.013676
  1.824068   0.013794
  1.832866   0.013786
  1.841663   0.013610
  1.850461   0.013807
  1.859259   0.013685
  1.868056   0.013606
  1.876854   0.013635
  1.885651   0.013607
  1.894449   0.013758
  1.903246   0.013497
  1.912044   0.013664
  1.920842   0.014371
  1.929639   0.013559
  1.938437   0.013536
  1.947234   0.013660
  1.956032   0.013605
  1.964830   0.013672
  1.973627   0.013625
  1.982425   0.013548
  1.991222   0.013493
  2.000020   0.013611
  2.008818   0.013713
  2.017615   0.013948
  2.026413   0.013692
  2.035210   0.013598
  2.044008   0.013554
  2.052806   0.013606
  2.061603   0.013460
  2.070401   0.013639
  2.079198   0.013508
  2.087996   0.013645
  2.096794   0.013557
  2.105591   0.013629
  2.114389   0.013627
  2.123186   0.013615
  2.131984   0.013794
  2.140782   0.013532
  2.149579   0.013558
  2.158377   0.013757
  2.167174   0.013669
  2.175972   0.013609
  2.184770   0.013620
  2.193567   0.013819
  2.202365   0.013869
  2.211162   0.013748
  2.219960   0.013812
  2.228758   0.013801
  2.237555   0.013679
  2.246353   0.013815
  2.255150   0.013922
  2.263948   0.013926
  2.272745   0.013912
  2.281543   0.013936
  2.290341   0.013997
  2.299138   0.014132
  2.307936   0.013875
  2.316733   0.014066
  2.325531   0.013922
  2.334329   0.014013
  2.343126   0.013953
  2.351924   0.014114
  2.360721   0.014025
  2.369519   0.013899
  2.378317   0.013881
  2.387114   0.013803
  2.395912   0.013908
  2.404709   0.013898
  2.413507   0.013899
  2.422305   0.013797
  2.431102   0.014056
  2.439900   0.013877
  2.448697   0.013893
  2.457495   0.014079
  2.466293   0.013889
