# wavelength_um transit_depth_rprs2
6.099999999999999867e-01 1.317362547568509505e-02
6.320603015075376696e-01 1.320848821800298459e-02
6.541206030150753525e-01 1.320915692793132520e-02
6.761809045226130355e-01 1.316544535944937089e-02
6.982412060301507184e-01 1.323032333145895273e-02
7.203015075376884013e-01 1.329750382544993975e-02
7.423618090452260843e-01 1.327115937064108665e-02
7.644221105527637672e-01 1.319821486645203837e-02
7.864824120603014501e-01 1.324681377728731922e-02
8.085427135678391330e-01 1.325219902629506258e-02
8.306030150753768160e-01 1.331377050080600512e-02
8.526633165829144989e-01 1.334114164268338648e-02
8.747236180904522929e-01 1.334388502839376454e-02
8.967839195979898648e-01 1.340521691327663939e-02
9.188442211055276587e-01 1.336315735724311060e-02
9.409045226130652306e-01 1.337612548100455129e-02
9.629648241206030246e-01 1.340625088507427579e-02
9.850251256281405965e-01 1.337568841248017518e-02
1.007085427135678390e+00 1.339279620423573791e-02
1.029145728643215962e+00 1.336607440889165180e-02
1.051206030150753756e+00 1.332748438577114822e-02
1.073266331658291328e+00 1.330934699604514708e-02
1.095326633165829122e+00 1.336235385219684650e-02
1.117386934673366916e+00 1.346049375327064597e-02
1.139447236180904488e+00 1.345078429401568368e-02
1.161507537688442060e+00 1.353117014004040497e-02
1.183567839195979854e+00 1.345493994266559572e-02
1.205628140703517648e+00 1.339848939735202756e-02
1.227688442211055220e+00 1.334295964706805858e-02
1.249748743718592792e+00 1.332879906909150043e-02
1.271809045226130586e+00 1.332901245608397386e-02
1.293869346733668380e+00 1.334833005815953821e-02
1.315929648241205951e+00 1.338150907211123515e-02
1.337989949748743523e+00 1.344168219060446444e-02
1.360050251256281317e+00 1.349135173579676938e-02
1.382110552763819111e+00 1.348690538501153523e-02
1.404170854271356683e+00 1.349793492581405352e-02
1.426231155778894255e+00 1.347259569515563832e-02
1.448291457286432049e+00 1.345829411329846695e-02
1.470351758793969843e+00 1.348492014091785991e-02
1.492412060301507415e+00 1.338517331591531322e-02
1.514472361809044987e+00 1.337888886333913133e-02
1.536532663316582781e+00 1.337489736588589294e-02
1.558592964824120575e+00 1.336102362738884192e-02
1.580653266331658147e+00 1.338957049891504117e-02
1.602713567839195719e+00 1.341257858862196332e-02
1.624773869346733512e+00 1.353014688093432706e-02
1.646834170854271306e+00 1.346572680984067794e-02
1.668894472361809100e+00 1.351844567366864390e-02
1.690954773869346450e+00 1.350434099617850089e-02
1.713015075376884244e+00 1.346857856232106139e-02
1.735075376884422038e+00 1.355180252415817341e-02
1.757135678391959832e+00 1.353677233986727568e-02
1.779195979899497182e+00 1.346681171212750668e-02
1.801256281407034976e+00 1.349017936372664227e-02
1.823316582914572770e+00 1.353009477447263478e-02
1.845376884422110564e+00 1.345035434207847609e-02
1.867437185929647914e+00 1.342001334257347106e-02
1.889497487437185708e+00 1.346331527976356995e-02
1.911557788944723502e+00 1.345414007781583349e-02
1.933618090452261296e+00 1.343909123640222615e-02
1.955678391959798645e+00 1.342949262776291230e-02
1.977738693467336439e+00 1.339965100386597725e-02
1.999798994974874233e+00 1.340959946338119227e-02
2.021859296482412027e+00 1.342552813103371073e-02
2.043919597989949821e+00 1.343242246040987284e-02
2.065979899497487171e+00 1.347815536998100104e-02
2.088040201005024965e+00 1.346215512764593891e-02
2.110100502512562759e+00 1.342598520998044068e-02
2.132160804020100553e+00 1.350958394364967091e-02
2.154221105527637903e+00 1.344970700799788879e-02
2.176281407035175697e+00 1.344098635553970730e-02
2.198341708542713491e+00 1.352089719269911582e-02
2.220402010050251285e+00 1.351938219940143279e-02
2.242462311557788635e+00 1.351115142262387762e-02
2.264522613065326428e+00 1.357758202953793757e-02
2.286582914572864222e+00 1.361382944772328817e-02
2.308643216080402016e+00 1.354311454891991146e-02
2.330703517587939366e+00 1.356452116368693506e-02
2.352763819095477160e+00 1.363126086049682231e-02
2.374824120603014954e+00 1.356670434669419653e-02
2.396884422110552748e+00 1.356445193267660776e-02
2.418944723618090098e+00 1.356752091978575582e-02
2.441005025125627892e+00 1.354362724594567434e-02
2.463065326633165686e+00 1.360203898979635284e-02
2.485125628140703480e+00 1.351049109585376364e-02
2.507185929648240830e+00 1.347601873090351239e-02
2.529246231155778624e+00 1.346526834259550651e-02
2.551306532663316418e+00 1.347864852931313605e-02
2.573366834170854212e+00 1.347457512887577022e-02
2.595427135678391561e+00 1.350985103218404690e-02
2.617487437185929355e+00 1.349117536345991256e-02
2.639547738693467149e+00 1.350718145900463817e-02
2.661608040201004499e+00 1.351566632573167163e-02
2.683668341708542293e+00 1.359563476886176472e-02
2.705728643216080087e+00 1.360612240164332104e-02
2.727788944723617881e+00 1.352384106720534024e-02
2.749849246231155675e+00 1.347350342884560438e-02
2.771909547738693025e+00 1.352228501955780871e-02
2.793969849246230819e+00 1.365642845798533192e-02
2.816030150753768613e+00 1.361312259006129503e-02
2.838090452261306407e+00 1.346435437645156913e-02
2.860150753768843757e+00 1.346141142555748113e-02
2.882211055276381551e+00 1.349480529717975857e-02
2.904271356783919344e+00 1.345114535725022709e-02
2.926331658291457138e+00 1.347372806889281759e-02
2.948391959798994488e+00 1.344386464633025996e-02
2.970452261306532282e+00 1.344960551251343263e-02
2.992512562814070076e+00 1.342315558306052953e-02
3.014572864321607870e+00 1.343244981100795085e-02
3.036633165829145220e+00 1.345765471705776158e-02
3.058693467336683014e+00 1.345717766850093762e-02
3.080753768844220808e+00 1.350156708083757005e-02
3.102814070351758602e+00 1.350283086486789470e-02
3.124874371859295952e+00 1.356886919438457170e-02
3.146934673366833746e+00 1.357261584235449486e-02
3.168994974874371540e+00 1.360646971977192039e-02
3.191055276381909334e+00 1.361626180801045125e-02
3.213115577889446683e+00 1.362433314035574675e-02
3.235175879396984477e+00 1.356459130112576926e-02
3.257236180904522271e+00 1.355233734068888446e-02
3.279296482412060065e+00 1.361039938125679569e-02
3.301356783919597415e+00 1.356562248874648019e-02
3.323417085427135209e+00 1.368432335268354380e-02
3.345477386934673003e+00 1.364680293652633346e-02
3.367537688442210797e+00 1.360389697192327871e-02
3.389597989949748147e+00 1.354793563239546118e-02
3.411658291457285941e+00 1.361060581256073009e-02
3.433718592964823735e+00 1.356920291131844154e-02
3.455778894472361529e+00 1.357587560591027795e-02
3.477839195979899323e+00 1.365535608280380592e-02
3.499899497487436673e+00 1.353998603422502597e-02
3.521959798994974467e+00 1.356338599535930785e-02
3.544020100502512260e+00 1.354862222418605489e-02
3.566080402010050054e+00 1.354543529572743016e-02
3.588140703517587404e+00 1.359573564003038228e-02
3.610201005025125198e+00 1.355750340880646637e-02
3.632261306532662992e+00 1.355369350249379691e-02
3.654321608040200786e+00 1.362013058823950164e-02
3.676381909547738136e+00 1.354199752608802217e-02
3.698442211055275930e+00 1.348206981590771049e-02
3.720502512562813724e+00 1.352746223319572540e-02
3.742562814070351518e+00 1.358114913982702045e-02
3.764623115577888868e+00 1.353164493207991391e-02
3.786683417085426662e+00 1.354088087994185542e-02
3.808743718592964456e+00 1.343709040800122878e-02
3.830804020100502250e+00 1.346221207899323154e-02
3.852864321608039599e+00 1.344980469935311458e-02
3.874924623115577393e+00 1.349515163879099096e-02
3.896984924623115187e+00 1.344365299426843012e-02
3.919045226130652981e+00 1.346621233777435360e-02
3.941105527638190331e+00 1.343600896796290182e-02
3.963165829145728125e+00 1.345611381282221970e-02
3.985226130653265919e+00 1.348289870591776705e-02
4.007286432160803713e+00 1.352289116539774801e-02
4.029346733668341507e+00 1.346384893470718713e-02
4.051407035175879301e+00 1.343884367925055577e-02
4.073467336683417095e+00 1.343523015612848280e-02
4.095527638190954889e+00 1.343441616182662439e-02
4.117587939698491795e+00 1.340844859775317498e-02
4.139648241206029589e+00 1.339158883461306904e-02
4.161708542713567383e+00 1.344152645442947373e-02
4.183768844221105176e+00 1.353017861281345484e-02
4.205829145728642970e+00 1.352340369470672252e-02
4.227889447236180764e+00 1.355753322297889411e-02
4.249949748743718558e+00 1.361439373677634027e-02
4.272010050251256352e+00 1.370992937095613651e-02
4.294070351758794146e+00 1.356031003308530089e-02
4.316130653266331052e+00 1.356975802472294018e-02
4.338190954773868846e+00 1.362661622895778614e-02
4.360251256281406640e+00 1.355330750659174133e-02
4.382311557788944434e+00 1.354006793158292130e-02
4.404371859296482228e+00 1.353650337669832712e-02
4.426432160804020022e+00 1.357136605018764187e-02
4.448492462311557816e+00 1.354565994877416669e-02
4.470552763819095610e+00 1.368156260436449896e-02
4.492613065326632515e+00 1.364870196430019618e-02
4.514673366834170309e+00 1.360973411892552401e-02
4.536733668341708103e+00 1.357020277963836598e-02
4.558793969849245897e+00 1.343388753599901453e-02
4.580854271356783691e+00 1.344406728180217413e-02
4.602914572864321485e+00 1.345127682507971101e-02
4.624974874371859279e+00 1.340043354057119350e-02
4.647035175879397073e+00 1.339888475463890498e-02
4.669095477386934867e+00 1.340939281932982882e-02
4.691155778894472661e+00 1.342272077277279277e-02
4.713216080402009567e+00 1.341950595130097373e-02
4.735276381909547361e+00 1.345232299565647140e-02
4.757336683417085155e+00 1.346024016660623754e-02
4.779396984924622949e+00 1.340299340351235047e-02
4.801457286432160743e+00 1.340116357977628667e-02
4.823517587939698537e+00 1.342817502941092735e-02
4.845577889447236331e+00 1.341093763583538559e-02
4.867638190954774124e+00 1.342989719828888498e-02
4.889698492462311918e+00 1.347893319767302055e-02
4.911758793969848824e+00 1.354346165464540355e-02
4.933819095477386618e+00 1.342134198022570425e-02
4.955879396984924412e+00 1.343405660533828275e-02
4.977939698492462206e+00 1.339699852426345754e-02
5.000000000000000000e+00 1.340065486638475876e-02
