# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.001305
  0.618798   0.001266
  0.627595   0.001328
  0.636393   0.001341
  0.645190   0.001429
  0.653988   0.001334
  0.662786   0.001327
  0.671583   0.001322
  0.680381   0.001307
  0.689178   0.001342
  0.697976   0.001354
  0.706774   0.001367
  0.715571   0.001378
  0.724369   0.001399
  0.733166   0.001408
  0.741964   0.001367
  0.750762   0.001341
  0.759559   0.001329
  0.768357   0.001311
  0.777154   0.001316
  0.785952   0.001378
  0.794749   0.001368
  0.803547   0.001396
  0.812345   0.001493
  0.821142   0.001499
  0.829940   0.001394
  0.838737   0.001439
  0.847535   0.001442
  0.856333   0.001445
  0.865130   0.001444
  0.873928   0.001458
  0.882725   0.001472
  0.891523   0.001568
  0.900321   0.001577
  0.909118   0.001501
  0.917916   0.001470
  0.926713   0.001445
  0.935511   0.001448
  0.944309   0.001492
  0.953106   0.001571
  0.961904   0.001464
  0.970701   0.001478
  0.979499   0.001510
  0.988297   0.001529
  0.997094   0.001497
  1.005892   0.001511
  1.014689   0.001504
  1.023487   0.001482
  1.032285   0.001492
  1.041082   0.001453
  1.049880   0.001438
  1.058677   0.001432
  1.067475   0.001407
  1.076273   0.001403
  1.085070   0.001420
  1.093868   0.001461
  1.102665   0.001466
  1.111463   0.001518
  1.120261   0.001598
  1.129058   0.001543
  1.137856   0.001576
  1.146653   0.001557
  1.155451   0.001654
  1.164248   0.001553
  1.173046   0.001614
  1.181844   0.001547
  1.190641   0.001569
  1.199439   0.001544
  1.208236   0.001512
  1.217034   0.001501
  1.225832   0.001470
  1.234629   0.001448
  1.243427   0.001424
  1.252224   0.001407
  1.261022   0.001400
  1.269820   0.001404
  1.278617   0.001418
  1.287415   0.001442
  1.296212   0.001489
  1.305010   0.001496
  1.313808   0.001515
  1.322605   0.001499
  1.331403   0.001557
  1.340200   0.001611
  1.348998   0.001615
  1.357796   0.001674
  1.366593   0.001558
  1.375391   0.001592
  1.384188   0.001597
  1.392986   0.001599
  1.401784   0.001617
  1.410581   0.001587
  1.419379   0.001663
  1.428176   0.001555
  1.436974   0.001625
  1.445772   0.001589
  1.454569   0.001621
  1.463367   0.001522
  1.472164   0.001579
  1.480962   0.001674
  1.489760   0.001607
  1.498557   0.001504
  1.507355   0.001648
  1.516152   0.001455
  1.524950   0.001463
  1.533747   0.001450
  1.542545   0.001546
  1.551343   0.001483
  1.560140   0.001453
  1.568938   0.001453
  1.577735   0.001476
  1.586533   0.001475
  1.595331   0.001460
  1.604128   0.001538
  1.612926   0.001551
  1.621723   0.001607
  1.630521   0.001593
  1.639319   0.001591
  1.648116   0.001576
  1.656914   0.001573
  1.665711   0.001586
  1.674509   0.001631
  1.683307   0.001616
  1.692104   0.001597
  1.700902   0.001610
  1.709699   0.001605
  1.718497   0.001595
  1.727295   0.001629
  1.736092   0.001636
  1.744890   0.001596
  1.753687   0.001650
  1.762485   0.001636
  1.771283   0.001595
  1.780080   0.001602
  1.788878   0.001609
  1.797675   0.001605
  1.806473   0.001571
  1.815271   0.001564
  1.824068   0.001613
  1.832866   0.001620
  1.841663   0.001543
  1.850461   0.001608
  1.859259   0.001563
  1.868056   0.001545
  1.876854   0.001548
  1.885651   0.001530
  1.894449   0.001638
  1.903246   0.001494
  1.912044   0.001545
  1.920842   0.001674
  1.929639   0.001542
  1.938437   0.001496
  1.947234   0.001591
  1.956032   0.001527
  1.964830   0.001552
  1.973627   0.001579
  1.982425   0.001516
  1.991222   0.001521
  2.000020   0.001543
  2.008818   0.001603
  2.017615   0.001658
  2.026413   0.001592
  2.035210   0.001543
  2.044008   0.001535
  2.052806   0.001566
  2.061603   0.001496
  2.070401   0.001573
  2.079198   0.001518
  2.087996   0.001575
  2.096794   0.001517
  2.105591   0.001547
  2.114389   0.001567
  2.123186   0.001551
  2.131984   0.001604
  2.140782   0.001526
  2.149579   0.001537
  2.158377   0.001595
  2.167174   0.001572
  2.175972   0.001554
  2.184770   0.001554
  2.193567   0.001629
  2.202365   0.001637
  2.211162   0.001609
  2.219960   0.001621
  2.228758   0.001628
  2.237555   0.001576
  2.246353   0.001633
  2.255150   0.001654
  2.263948   0.001659
  2.272745   0.001650
  2.281543   0.001656
  2.290341   0.001665
  2.299138   0.001674
  2.307936   0.001645
  2.316733   0.001672
  2.325531   0.001656
  2.334329   0.001671
  2.343126   0.001659
  2.351924   0.001673
  2.360721   0.001668
  2.369519   0.001651
  2.378317   0.001648
  2.387114   0.001629
  2.395912   0.001650
  2.404709   0.001654
  2.413507   0.001651
  2.422305   0.001630
  2.431102   0.001671
  2.439900   0.001634
  2.448697   0.001654
  2.457495   0.001673
  2.466293   0.001642
  2.475090   0.001613
  2.483888   0.001605
  2.492685   0.001642
  2.501483   0.001586
  2.510281   0.001586
  2.519078   0.001563
  2.527876   0.001568
  2.536673   0.001584
  2.545471   0.001549
  2.554269   0.001596
  2.563066   0.001674
  2.571864   0.001579
  2.580661   0.001592
  2.589459   0.001571
  2.598257   0.001666
  2.607054   0.001554
  2.615852   0.001590
  2.624649   0.001618
  2.633447   0.001674
  2.642244   0.001632
  2.651042   0.001588
  2.659840   0.001600
  2.668637   0.001566
  2.677435   0.001674
  2.686232   0.001657
  2.695030   0.001558
  2.703828   0.001659
  2.712625   0.001532
  2.721423   0.001566
  2.730220   0.001609
  2.739018   0.001606
  2.747816   0.001575
  2.756613   0.001603
  2.765411   0.001542
  2.774208   0.001652
  2.783006   0.001654
  2.791804   0.001664
  2.800601   0.001666
  2.809399   0.001669
  2.818196   0.001674
  2.826994   0.001674
  2.835792   0.001584
  2.844589   0.001547
  2.853387   0.001549
  2.862184   0.001543
  2.870982   0.001642
  2.879780   0.001613
  2.888577   0.001632
  2.897375   0.001571
  2.906172   0.001559
  2.914970   0.001593
  2.923768   0.001635
  2.932565   0.001647
  2.941363   0.001578
  2.950160   0.001574
  2.958958   0.001535
  2.967756   0.001526
  2.976553   0.001523
  2.985351   0.001530
  2.994148   0.001529
  3.002946   0.001592
  3.011743   0.001576
  3.020541   0.001543
  3.029339   0.001568
  3.038136   0.001579
  3.046934   0.001629
  3.055731   0.001610
  3.064529   0.001592
  3.073327   0.001639
  3.082124   0.001631
  3.090922   0.001625
  3.099719   0.001626
  3.108517   0.001628
  3.117315   0.001666
  3.126112   0.001661
  3.134910   0.001638
  3.143707   0.001647
  3.152505   0.001670
  3.161303   0.001673
  3.170100   0.001667
  3.178898   0.001637
  3.187695   0.001674
  3.196493   0.001654
  3.205291   0.001672
  3.214088   0.001673
  3.222886   0.001664
  3.231683   0.001648
  3.240481   0.001665
  3.249279   0.001649
  3.258076   0.001649
  3.266874   0.001669
  3.275671   0.001673
  3.284469   0.001666
  3.293267   0.001643
  3.302064   0.001659
  3.310862   0.001621
  3.319659   0.001666
  3.328457   0.001674
  3.337255   0.001674
  3.346052   0.001674
  3.354850   0.001672
  3.363647   0.001669
  3.372445   0.001670
  3.381242   0.001655
  3.390040   0.001649
  3.398838   0.001664
  3.407635   0.001673
  3.416433   0.001669
  3.425230   0.001659
  3.434028   0.001655
  3.442826   0.001657
  3.451623   0.001658
  3.460421   0.001669
  3.469218   0.001674
  3.478016   0.001674
  3.486814   0.001652
  3.495611   0.001642
  3.504409   0.001651
  3.513206   0.001666
  3.522004   0.001657
  3.530802   0.001654
  3.539599   0.001654
  3.548397   0.001649
  3.557194   0.001654
  3.565992   0.001651
  3.574790   0.001621
  3.583587   0.001657
  3.592385   0.001664
  3.601182   0.001638
  3.609980   0.001650
  3.618778   0.001652
  3.627575   0.001645
  3.636373   0.001651
  3.645170   0.001660
  3.653968   0.001670
  3.662766   0.001660
  3.671563   0.001646
  3.680361   0.001633
  3.689158   0.001602
  3.697956   0.001594
  3.706754   0.001628
  3.715551   0.001633
  3.724349   0.001635
  3.733146   0.001642
  3.741944   0.001657
  3.750741   0.001668
  3.759539   0.001649
  3.768337   0.001650
  3.777134   0.001670
  3.785932   0.001642
  3.794729   0.001585
  3.803527   0.001566
  3.812325   0.001553
  3.821122   0.001553
  3.829920   0.001587
  3.838717   0.001597
  3.847515   0.001573
  3.856313   0.001587
  3.865110   0.001622
  3.873908   0.001605
  3.882705   0.001582
  3.891503   0.001568
  3.900301   0.001569
  3.909098   0.001587
  3.917896   0.001579
  3.926693   0.001561
  3.935491   0.001547
  3.944289   0.001542
  3.953086   0.001566
  3.961884   0.001574
  3.970681   0.001562
  3.979479   0.001578
  3.988277   0.001606
  3.997074   0.001620
  4.005872   0.001632
  4.014669   0.001634
  4.023467   0.001614
  4.032265   0.001558
  4.041062   0.001534
  4.049860   0.001552
  4.058657   0.001558
  4.067455   0.001552
  4.076253   0.001541
  4.085050   0.001527
  4.093848   0.001542
  4.102645   0.001567
  4.111443   0.001545
  4.120240   0.001516
  4.129038   0.001494
  4.137836   0.001475
  4.146633   0.001490
  4.155431   0.001508
  4.164228   0.001569
  4.173026   0.001622
  4.181824   0.001583
  4.190621   0.001602
  4.199419   0.001590
  4.208216   0.001588
  4.217014   0.001581
  4.225812   0.001594
  4.234609   0.001581
  4.243407   0.001674
  4.252204   0.001673
  4.261002   0.001674
  4.269800   0.001674
  4.278597   0.001674
  4.287395   0.001674
  4.296192   0.001613
  4.304990   0.001622
  4.313788   0.001658
  4.322585   0.001671
  4.331383   0.001674
  4.340180   0.001668
  4.348978   0.001616
  4.357776   0.001597
  4.366573   0.001628
  4.375371   0.001645
  4.384168   0.001596
  4.392966   0.001562
  4.401764   0.001581
  4.410561   0.001605
  4.419359   0.001637
  4.428156   0.001664
  4.436954   0.001666
  4.445752   0.001658
  4.454549   0.001664
  4.463347   0.001674
  4.472144   0.001674
  4.480942   0.001674
  4.489739   0.001674
  4.498537   0.001674
  4.507335   0.001673
  4.516132   0.001672
  4.524930   0.001673
  4.533727   0.001672
  4.542525   0.001640
  4.551323   0.001580
  4.560120   0.001565
  4.568918   0.001577
  4.577715   0.001573
  4.586513   0.001592
  4.595311   0.001623
  4.604108   0.001564
  4.612906   0.001513
  4.621703   0.001524
  4.630501   0.001603
  4.639299   0.001652
  4.648096   0.001551
  4.656894   0.001523
  4.665691   0.001502
  4.674489   0.001487
  4.683287   0.001489
  4.692084   0.001510
  4.700882   0.001544
  4.709679   0.001507
  4.718477   0.001477
  4.727275   0.001474
  4.736072   0.001521
  4.744870   0.001615
  4.753667   0.001571
  4.762465   0.001506
  4.771263   0.001495
  4.780060   0.001481
  4.788858   0.001509
  4.797655   0.001528
  4.806453   0.001541
  4.815251   0.001583
  4.824048   0.001548
  4.832846   0.001516
  4.841643   0.001492
  4.850441   0.001486
  4.859238   0.001490
  4.868036   0.001516
  4.876834   0.001558
  4.885631   0.001606
  4.894429   0.001541
  4.903226   0.001599
  4.912024   0.001646
  4.920822   0.001581
  4.929619   0.001511
  4.938417   0.001491
  4.947214   0.001500
  4.956012   0.001564
  4.964810   0.001539
  4.973607   0.001495
  4.982405   0.001495
  4.991202   0.001492
  5.000000   0.001487
