# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.000891
  0.618798   0.000864
  0.627595   0.000907
  0.636393   0.000915
  0.645190   0.000976
  0.653988   0.000911
  0.662786   0.000905
  0.671583   0.000901
  0.680381   0.000891
  0.689178   0.000917
  0.697976   0.000923
  0.706774   0.000934
  0.715571   0.000941
  0.724369   0.000956
  0.733166   0.000962
  0.741964   0.000933
  0.750762   0.000914
  0.759559   0.000906
  0.768357   0.000892
  0.777154   0.000897
  0.785952   0.000940
  0.794749   0.000934
  0.803547   0.000953
  0.812345   0.001019
  0.821142   0.001024
  0.829940   0.000952
  0.838737   0.000982
  0.847535   0.000984
  0.856333   0.000986
  0.865130   0.000986
  0.873928   0.000995
  0.882725   0.001004
  0.891523   0.001072
  0.900321   0.001078
  0.909118   0.001026
  0.917916   0.001003
  0.926713   0.000985
  0.935511   0.000988
  0.944309   0.001020
  0.953106   0.001072
  0.961904   0.000999
  0.970701   0.001009
  0.979499   0.001030
  0.988297   0.001043
  0.997094   0.001022
  1.005892   0.001032
  1.014689   0.001027
  1.023487   0.001012
  1.032285   0.001019
  1.041082   0.000992
  1.049880   0.000981
  1.058677   0.000977
  1.067475   0.000960
  1.076273   0.000956
  1.085070   0.000968
  1.093868   0.000996
  1.102665   0.001000
  1.111463   0.001035
  1.120261   0.001092
  1.129058   0.001054
  1.137856   0.001075
  1.146653   0.001063
  1.155451   0.001131
  1.164248   0.001060
  1.173046   0.001104
  1.181844   0.001057
  1.190641   0.001072
  1.199439   0.001055
  1.208236   0.001032
  1.217034   0.001024
  1.225832   0.001003
  1.234629   0.000987
  1.243427   0.000970
  1.252224   0.000959
  1.261022   0.000954
  1.269820   0.000957
  1.278617   0.000967
  1.287415   0.000984
  1.296212   0.001016
  1.305010   0.001021
  1.313808   0.001034
  1.322605   0.001023
  1.331403   0.001064
  1.340200   0.001100
  1.348998   0.001101
  1.357796   0.001145
  1.366593   0.001063
  1.375391   0.001088
  1.384188   0.001091
  1.392986   0.001093
  1.401784   0.001105
  1.410581   0.001085
  1.419379   0.001138
  1.428176   0.001062
  1.436974   0.001108
  1.445772   0.001085
  1.454569   0.001107
  1.463367   0.001038
  1.472164   0.001076
  1.480962   0.001145
  1.489760   0.001097
  1.498557   0.001023
  1.507355   0.001126
  1.516152   0.000992
  1.524950   0.000999
  1.533747   0.000989
  1.542545   0.001055
  1.551343   0.001011
  1.560140   0.000991
  1.568938   0.000990
  1.577735   0.001006
  1.586533   0.001005
  1.595331   0.000994
  1.604128   0.001049
  1.612926   0.001058
  1.621723   0.001097
  1.630521   0.001088
  1.639319   0.001086
  1.648116   0.001076
  1.656914   0.001074
  1.665711   0.001083
  1.674509   0.001114
  1.683307   0.001104
  1.692104   0.001090
  1.700902   0.001100
  1.709699   0.001096
  1.718497   0.001089
  1.727295   0.001114
  1.736092   0.001118
  1.744890   0.001090
  1.753687   0.001129
  1.762485   0.001119
  1.771283   0.001090
  1.780080   0.001092
  1.788878   0.001098
  1.797675   0.001096
  1.806473   0.001073
  1.815271   0.001068
  1.824068   0.001101
  1.832866   0.001105
  1.841663   0.001053
  1.850461   0.001099
  1.859259   0.001067
  1.868056   0.001053
  1.876854   0.001056
  1.885651   0.001045
  1.894449   0.001117
  1.903246   0.001019
  1.912044   0.001055
  1.920842   0.001146
  1.929639   0.001050
  1.938437   0.001021
  1.947234   0.001084
  1.956032   0.001043
  1.964830   0.001059
  1.973627   0.001076
  1.982425   0.001034
  1.991222   0.001035
  2.000020   0.001053
  2.008818   0.001093
  2.017615   0.001133
  2.026413   0.001086
  2.035210   0.001053
  2.044008   0.001045
  2.052806   0.001067
  2.061603   0.001018
  2.070401   0.001072
  2.079198   0.001034
  2.087996   0.001074
  2.096794   0.001035
  2.105591   0.001056
  2.114389   0.001068
  2.123186   0.001058
  2.131984   0.001096
  2.140782   0.001040
  2.149579   0.001047
  2.158377   0.001089
  2.167174   0.001072
  2.175972   0.001059
  2.184770   0.001060
  2.193567   0.001112
  2.202365   0.001118
  2.211162   0.001098
  2.219960   0.001107
  2.228758   0.001111
  2.237555   0.001073
  2.246353   0.001115
  2.255150   0.001131
  2.263948   0.001134
  2.272745   0.001128
  2.281543   0.001132
  2.290341   0.001138
  2.299138   0.001145
  2.307936   0.001124
  2.316733   0.001144
  2.325531   0.001132
  2.334329   0.001143
  2.343126   0.001135
  2.351924   0.001145
  2.360721   0.001141
  2.369519   0.001128
  2.378317   0.001126
  2.387114   0.001112
  2.395912   0.001128
  2.404709   0.001131
  2.413507   0.001128
  2.422305   0.001113
  2.431102   0.001143
  2.439900   0.001117
  2.448697   0.001130
  2.457495   0.001145
  2.466293   0.001123
  2.475090   0.001100
  2.483888   0.001094
  2.492685   0.001122
  2.501483   0.001081
  2.510281   0.001081
  2.519078   0.001066
  2.527876   0.001069
  2.536673   0.001080
  2.545471   0.001054
  2.554269   0.001090
  2.563066   0.001146
  2.571864   0.001077
  2.580661   0.001087
  2.589459   0.001071
  2.598257   0.001139
  2.607054   0.001059
  2.615852   0.001085
  2.624649   0.001105
  2.633447   0.001146
  2.642244   0.001113
  2.651042   0.001084
  2.659840   0.001092
  2.668637   0.001068
  2.677435   0.001146
  2.686232   0.001132
  2.695030   0.001065
  2.703828   0.001134
  2.712625   0.001046
  2.721423   0.001068
  2.730220   0.001099
  2.739018   0.001095
  2.747816   0.001072
  2.756613   0.001093
  2.765411   0.001051
  2.774208   0.001128
  2.783006   0.001131
  2.791804   0.001138
  2.800601   0.001139
  2.809399   0.001141
  2.818196   0.001146
  2.826994   0.001145
  2.835792   0.001078
  2.844589   0.001053
  2.853387   0.001055
  2.862184   0.001054
  2.870982   0.001120
  2.879780   0.001098
  2.888577   0.001113
  2.897375   0.001070
  2.906172   0.001062
  2.914970   0.001085
  2.923768   0.001114
  2.932565   0.001124
  2.941363   0.001076
  2.950160   0.001071
  2.958958   0.001045
  2.967756   0.001040
  2.976553   0.001038
  2.985351   0.001044
  2.994148   0.001042
