# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.000920
  0.618798   0.000905
  0.627595   0.000932
  0.636393   0.000936
  0.645190   0.000968
  0.653988   0.000933
  0.662786   0.000930
  0.671583   0.000924
  0.680381   0.000920
  0.689178   0.000937
  0.697976   0.000939
  0.706774   0.000948
  0.715571   0.000951
  0.724369   0.000960
  0.733166   0.000962
  0.741964   0.000945
  0.750762   0.000931
  0.759559   0.000928
  0.768357   0.000916
  0.777154   0.000921
  0.785952   0.000949
  0.794749   0.000947
  0.803547   0.000955
  0.812345   0.000991
  0.821142   0.000995
  0.829940   0.000956
  0.838737   0.000973
  0.847535   0.000974
  0.856333   0.000976
  0.865130   0.000974
  0.873928   0.000980
  0.882725   0.000984
  0.891523   0.001022
  0.900321   0.001023
  0.909118   0.000998
  0.917916   0.000982
  0.926713   0.000971
  0.935511   0.000975
  0.944309   0.000993
  0.953106   0.001017
  0.961904   0.000981
  0.970701   0.000987
  0.979499   0.000995
  0.988297   0.001005
  0.997094   0.000994
  1.005892   0.001001
  1.014689   0.000999
  1.023487   0.000990
  1.032285   0.000994
  1.041082   0.000978
  1.049880   0.000971
  1.058677   0.000970
  1.067475   0.000959
  1.076273   0.000956
  1.085070   0.000962
  1.093868   0.000976
  1.102665   0.000981
  1.111463   0.000998
  1.120261   0.001032
  1.129058   0.001011
  1.137856   0.001018
  1.146653   0.001016
  1.155451   0.001049
  1.164248   0.001014
  1.173046   0.001037
  1.181844   0.001012
  1.190641   0.001020
  1.199439   0.001011
  1.208236   0.000998
  1.217034   0.000994
  1.225832   0.000983
  1.234629   0.000972
  1.243427   0.000962
  1.252224   0.000957
  1.261022   0.000953
  1.269820   0.000956
  1.278617   0.000962
  1.287415   0.000974
  1.296212   0.000988
  1.305010   0.000990
  1.313808   0.000998
  1.322605   0.000993
  1.331403   0.001015
  1.340200   0.001031
  1.348998   0.001029
  1.357796   0.001055
  1.366593   0.001013
  1.375391   0.001028
  1.384188   0.001030
  1.392986   0.001030
  1.401784   0.001037
  1.410581   0.001026
  1.419379   0.001052
  1.428176   0.001015
  1.436974   0.001031
  1.445772   0.001025
  1.454569   0.001035
  1.463367   0.001001
  1.472164   0.001014
  1.480962   0.001055
  1.489760   0.001029
  1.498557   0.000985
  1.507355   0.001043
  1.516152   0.000975
  1.524950   0.000981
  1.533747   0.000977
  1.542545   0.001010
  1.551343   0.000984
  1.560140   0.000976
  1.568938   0.000974
  1.577735   0.000981
  1.586533   0.000981
  1.595331   0.000974
  1.604128   0.001004
  1.612926   0.001008
  1.621723   0.001030
  1.630521   0.001025
  1.639319   0.001025
  1.648116   0.001019
  1.656914   0.001020
  1.665711   0.001024
  1.674509   0.001040
  1.683307   0.001035
  1.692104   0.001026
  1.700902   0.001034
  1.709699   0.001032
  1.718497   0.001028
  1.727295   0.001043
  1.736092   0.001043
  1.744890   0.001027
  1.753687   0.001048
  1.762485   0.001044
  1.771283   0.001029
  1.780080   0.001026
  1.788878   0.001029
  1.797675   0.001032
  1.806473   0.001018
  1.815271   0.001016
  1.824068   0.001032
  1.832866   0.001032
  1.841663   0.001006
  1.850461   0.001034
  1.859259   0.001016
  1.868056   0.001006
  1.876854   0.001009
  1.885651   0.001004
  1.894449   0.001032
  1.903246   0.000988
  1.912044   0.001012
  1.920842   0.001055
  1.929639   0.001000
  1.938437   0.000992
  1.947234   0.001017
  1.956032   0.001003
  1.964830   0.001013
  1.973627   0.001012
  1.982425   0.000996
  1.991222   0.000990
  2.000020   0.001007
  2.008818   0.001024
  2.017615   0.001049
  2.026413   0.001020
  2.035210   0.001005
  2.044008   0.000998
  2.052806   0.001008
  2.061603   0.000984
  2.070401   0.001013
  2.079198   0.000992
  2.087996   0.001013
  2.096794   0.000998
  2.105591   0.001009
  2.114389   0.001011
  2.123186   0.001008
  2.131984   0.001032
  2.140782   0.000995
  2.149579   0.001000
  2.158377   0.001027
  2.167174   0.001016
  2.175972   0.001007
  2.184770   0.001009
  2.193567   0.001037
  2.202365   0.001042
  2.211162   0.001028
  2.219960   0.001035
  2.228758   0.001035
  2.237555   0.001016
  2.246353   0.001037
  2.255150   0.001047
  2.263948   0.001048
  2.272745   0.001046
  2.281543   0.001048
  2.290341   0.001052
  2.299138   0.001055
  2.307936   0.001043
  2.316733   0.001054
  2.325531   0.001048
  2.334329   0.001053
  2.343126   0.001050
  2.351924   0.001055
  2.360721   0.001053
  2.369519   0.001046
  2.378317   0.001044
  2.387114   0.001035
  2.395912   0.001046
  2.404709   0.001046
  2.413507   0.001046
  2.422305   0.001035
  2.431102   0.001054
  2.439900   0.001042
  2.448697   0.001045
  2.457495   0.001055
  2.466293   0.001044
  2.475090   0.001030
  2.483888   0.001025
  2.492685   0.001042
  2.501483   0.001020
  2.510281   0.001018
  2.519078   0.001010
  2.527876   0.001013
  2.536673   0.001018
  2.545471   0.001002
  2.554269   0.001027
  2.563066   0.001055
  2.571864   0.001020
  2.580661   0.001026
  2.589459   0.001014
  2.598257   0.001048
  2.607054   0.001005
  2.615852   0.001023
  2.624649   0.001035
  2.633447   0.001055
  2.642244   0.001034
  2.651042   0.001021
  2.659840   0.001027
  2.668637   0.001013
  2.677435   0.001055
  2.686232   0.001045
  2.695030   0.001015
  2.703828   0.001048
  2.712625   0.001005
  2.721423   0.001016
  2.730220   0.001034
  2.739018   0.001027
  2.747816   0.001012
  2.756613   0.001027
  2.765411   0.001004
  2.774208   0.001029
  2.783006   0.001046
  2.791804   0.001049
  2.800601   0.001050
  2.809399   0.001051
  2.818196   0.001055
  2.826994   0.001054
  2.835792   0.001015
  2.844589   0.000998
  2.853387   0.001003
  2.862184   0.001007
  2.870982   0.001023
  2.879780   0.001020
  2.888577   0.001033
  2.897375   0.001010
  2.906172   0.001007
  2.914970   0.001018
  2.923768   0.001028
  2.932565   0.001038
  2.941363   0.001016
  2.950160   0.001010
  2.958958   0.000998
  2.967756   0.000998
  2.976553   0.000998
  2.985351   0.001003
  2.994148   0.001000
  3.002946   0.001022
  3.011743   0.001015
  3.020541   0.000999
  3.029339   0.001008
  3.038136   0.001017
  3.046934   0.001024
  3.055731   0.001033
  3.064529   0.001016
  3.073327   0.001033
  3.082124   0.001029
  3.090922   0.001026
  3.099719   0.001026
  3.108517   0.001031
  3.117315   0.001048
  3.126112   0.001044
  3.134910   0.001032
  3.143707   0.001041
  3.152505   0.001053
  3.161303   0.001055
  3.170100   0.001051
  3.178898   0.001035
  3.187695   0.001055
  3.196493   0.001045
  3.205291   0.001053
  3.214088   0.001053
  3.222886   0.001046
  3.231683   0.001040
  3.240481   0.001050
  3.249279   0.001041
  3.258076   0.001041
  3.266874   0.001051
  3.275671   0.001054
  3.284469   0.001050
  3.293267   0.001039
  3.302064   0.001046
  3.310862   0.001034
  3.319659   0.001051
  3.328457   0.001055
  3.337255   0.001055
  3.346052   0.001055
  3.354850   0.001053
  3.363647   0.001051
  3.372445   0.001052
  3.381242   0.001043
  3.390040   0.001041
  3.398838   0.001049
  3.407635   0.001054
  3.416433   0.001051
  3.425230   0.001045
  3.434028   0.001044
  3.442826   0.001045
  3.451623   0.001045
  3.460421   0.001052
  3.469218   0.001055
  3.478016   0.001055
  3.486814   0.001044
  3.495611   0.001039
  3.504409   0.001044
  3.513206   0.001051
  3.522004   0.001045
  3.530802   0.001042
  3.539599   0.001042
  3.548397   0.001041
  3.557194   0.001042
  3.565992   0.001040
  3.574790   0.001028
  3.583587   0.001044
  3.592385   0.001049
  3.601182   0.001040
  3.609980   0.001045
  3.618778   0.001045
  3.627575   0.001042
  3.636373   0.001044
  3.645170   0.001049
  3.653968   0.001054
  3.662766   0.001049
  3.671563   0.001042
  3.680361   0.001038
  3.689158   0.001023
  3.697956   0.001019
  3.706754   0.001036
  3.715551   0.001038
  3.724349   0.001037
  3.733146   0.001040
  3.741944   0.001049
  3.750741   0.001054
  3.759539   0.001044
  3.768337   0.001044
  3.777134   0.001054
  3.785932   0.001043
  3.794729   0.001017
  3.803527   0.001010
  3.812325   0.001004
  3.821122   0.001002
  3.829920   0.001017
  3.838717   0.001020
  3.847515   0.001004
  3.856313   0.001011
  3.865110   0.001035
  3.873908   0.001028
  3.882705   0.001018
  3.891503   0.001010
  3.900301   0.001010
  3.909098   0.001019
  3.917896   0.001017
  3.926693   0.001011
  3.935491   0.001005
  3.944289   0.001003
  3.953086   0.001011
  3.961884   0.001014
  3.970681   0.001010
  3.979479   0.001016
  3.988277   0.001027
  3.997074   0.001032
  4.005872   0.001037
  4.014669   0.001039
  4.023467   0.001031
  4.032265   0.001009
  4.041062   0.001000
  4.049860   0.001006
  4.058657   0.001008
  4.067455   0.001006
  4.076253   0.001002
  4.085050   0.000997
  4.093848   0.001004
  4.102645   0.001016
  4.111443   0.001004
  4.120240   0.000990
  4.129038   0.000983
  4.137836   0.000978
  4.146633   0.000983
  4.155431   0.000990
  4.164228   0.001015
  4.173026   0.001036
  4.181824   0.001020
  4.190621   0.001030
  4.199419   0.001024
  4.208216   0.001022
  4.217014   0.001023
  4.225812   0.001030
  4.234609   0.001025
  4.243407   0.001055
  4.252204   0.001055
  4.261002   0.001055
  4.269800   0.001055
  4.278597   0.001055
  4.287395   0.001053
  4.296192   0.001025
  4.304990   0.001026
  4.313788   0.001040
  4.322585   0.001050
  4.331383   0.001054
  4.340180   0.001051
  4.348978   0.001034
  4.357776   0.001027
  4.366573   0.001028
  4.375371   0.001028
  4.384168   0.001021
  4.392966   0.001015
  4.401764   0.001019
  4.410561   0.001024
  4.419359   0.001033
  4.428156   0.001045
  4.436954   0.001047
  4.445752   0.001042
  4.454549   0.001045
  4.463347   0.001054
  4.472144   0.001055
  4.480942   0.001055
  4.489739   0.001055
  4.498537   0.001054
  4.507335   0.001053
  4.516132   0.001053
  4.524930   0.001053
  4.533727   0.001052
  4.542525   0.001029
  4.551323   0.001011
  4.560120   0.001011
  4.568918   0.001016
  4.577715   0.001015
  4.586513   0.001021
  4.595311   0.001034
  4.604108   0.001006
  4.612906   0.000989
  4.621703   0.000998
  4.630501   0.001027
  4.639299   0.001045
  4.648096   0.001011
  4.656894   0.000993
  4.665691   0.000987
  4.674489   0.000985
  4.683287   0.000987
  4.692084   0.000991
  4.700882   0.001001
  4.709679   0.000992
  4.718477   0.000985
  4.727275   0.000986
  4.736072   0.001003
  4.744870   0.001033
  4.753667   0.001016
  4.762465   0.000994
  4.771263   0.000984
  4.780060   0.000984
  4.788858   0.000999
  4.797655   0.001004
  4.806453   0.001001
  4.815251   0.001011
  4.824048   0.001002
  4.832846   0.000996
  4.841643   0.000992
  4.850441   0.000988
  4.859238   0.000987
  4.868036   0.000994
  4.876834   0.001008
  4.885631   0.001023
  4.894429   0.001004
  4.903226   0.001019
  4.912024   0.001039
  4.920822   0.001013
  4.929619   0.000991
  4.938417   0.000991
  4.947214   0.000994
  4.956012   0.001012
  4.964810   0.001003
  4.973607   0.000986
  4.982405   0.000986
  4.991202   0.000984
  5.000000   0.000983
