# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.000752
  0.618798   0.000725
  0.627595   0.000777
  0.636393   0.000786
  0.645190   0.000853
  0.653988   0.000780
  0.662786   0.000771
  0.671583   0.000757
  0.680381   0.000752
  0.689178   0.000789
  0.697976   0.000789
  0.706774   0.000811
  0.715571   0.000817
  0.724369   0.000836
  0.733166   0.000842
  0.741964   0.000804
  0.750762   0.000770
  0.759559   0.000767
  0.768357   0.000740
  0.777154   0.000750
  0.785952   0.000810
  0.794749   0.000809
  0.803547   0.000823
  0.812345   0.000904
  0.821142   0.000918
  0.829940   0.000825
  0.838737   0.000868
  0.847535   0.000868
  0.856333   0.000875
  0.865130   0.000870
  0.873928   0.000884
  0.882725   0.000889
  0.891523   0.000984
  0.900321   0.000984
  0.909118   0.000927
  0.917916   0.000883
  0.926713   0.000856
  0.935511   0.000868
  0.944309   0.000910
  0.953106   0.000964
  0.961904   0.000883
  0.970701   0.000897
  0.979499   0.000911
  0.988297   0.000942
  0.997094   0.000916
  1.005892   0.000933
  1.014689   0.000928
  1.023487   0.000908
  1.032285   0.000917
  1.041082   0.000876
  1.049880   0.000862
  1.058677   0.000858
  1.067475   0.000833
  1.076273   0.000825
  1.085070   0.000838
  1.093868   0.000866
  1.102665   0.000883
  1.111463   0.000918
  1.120261   0.001005
  1.129058   0.000955
  1.137856   0.000969
  1.146653   0.000969
  1.155451   0.001040
  1.164248   0.000962
  1.173046   0.001019
  1.181844   0.000956
  1.190641   0.000978
  1.199439   0.000955
  1.208236   0.000921
  1.217034   0.000912
  1.225832   0.000889
  1.234629   0.000860
  1.243427   0.000837
  1.252224   0.000826
  1.261022   0.000817
  1.269820   0.000824
  1.278617   0.000837
  1.287415   0.000870
  1.296212   0.000896
  1.305010   0.000900
  1.313808   0.000918
  1.322605   0.000909
  1.331403   0.000964
  1.340200   0.000996
  1.348998   0.000986
  1.357796   0.001050
  1.366593   0.000956
  1.375391   0.000997
  1.384188   0.001000
  1.392986   0.001000
  1.401784   0.001019
  1.410581   0.000992
  1.419379   0.001046
  1.428176   0.000966
  1.436974   0.000989
  1.445772   0.000987
  1.454569   0.001009
  1.463367   0.000926
  1.472164   0.000946
  1.480962   0.001050
  1.489760   0.000990
  1.498557   0.000879
  1.507355   0.001021
  1.516152   0.000865
  1.524950   0.000886
  1.533747   0.000875
  1.542545   0.000949
  1.551343   0.000886
  1.560140   0.000869
  1.568938   0.000862
  1.577735   0.000875
  1.586533   0.000875
  1.595331   0.000860
  1.604128   0.000931
  1.612926   0.000940
  1.621723   0.000993
  1.630521   0.000982
  1.639319   0.000982
  1.648116   0.000968
  1.656914   0.000973
  1.665711   0.000982
  1.674509   0.001019
  1.683307   0.001011
  1.692104   0.000986
  1.700902   0.001009
  1.709699   0.001004
  1.718497   0.000996
  1.727295   0.001031
  1.736092   0.001028
  1.744890   0.000988
  1.753687   0.001040
  1.762485   0.001033
  1.771283   0.000998
  1.780080   0.000986
  1.788878   0.000991
  1.797675   0.001004
  1.806473   0.000968
  1.815271   0.000962
  1.824068   0.001003
  1.832866   0.000999
  1.841663   0.000937
  1.850461   0.001009
  1.859259   0.000965
  1.868056   0.000933
  1.876854   0.000944
  1.885651   0.000932
  1.894449   0.000983
  1.903246   0.000893
  1.912044   0.000958
  1.920842   0.001050
  1.929639   0.000914
  1.938437   0.000904
  1.947234   0.000950
  1.956032   0.000929
  1.964830   0.000955
  1.973627   0.000937
  1.982425   0.000913
  1.991222   0.000887
  2.000020   0.000938
  2.008818   0.000971
  2.017615   0.001040
  2.026413   0.000964
  2.035210   0.000930
  2.044008   0.000911
  2.052806   0.000931
  2.061603   0.000878
  2.070401   0.000944
  2.079198   0.000896
  2.087996   0.000945
  2.096794   0.000919
  2.105591   0.000945
  2.114389   0.000940
  2.123186   0.000938
  2.131984   0.001005
  2.140782   0.000902
  2.149579   0.000915
  2.158377   0.000992
  2.167174   0.000959
  2.175972   0.000935
  2.184770   0.000940
  2.193567   0.001010
  2.202365   0.001025
  2.211162   0.000985
  2.219960   0.001009
  2.228758   0.001003
  2.237555   0.000960
  2.246353   0.001005
  2.255150   0.001036
  2.263948   0.001034
  2.272745   0.001034
  2.281543   0.001038
  2.290341   0.001046
  2.299138   0.001050
  2.307936   0.001025
  2.316733   0.001049
  2.325531   0.001035
  2.334329   0.001047
  2.343126   0.001041
  2.351924   0.001050
  2.360721   0.001048
  2.369519   0.001031
  2.378317   0.001026
  2.387114   0.001004
  2.395912   0.001033
  2.404709   0.001030
  2.413507   0.001031
  2.422305   0.001001
  2.431102   0.001049
  2.439900   0.001028
  2.448697   0.001028
  2.457495   0.001050
  2.466293   0.001030
  2.475090   0.000990
  2.483888   0.000975
  2.492685   0.001023
  2.501483   0.000967
  2.510281   0.000956
  2.519078   0.000941
  2.527876   0.000948
  2.536673   0.000960
  2.545471   0.000916
  2.554269   0.000987
  2.563066   0.001050
  2.571864   0.000969
  2.580661   0.000987
  2.589459   0.000951
  2.598257   0.001028
  2.607054   0.000924
  2.615852   0.000975
  2.624649   0.001006
  2.633447   0.001050
  2.642244   0.000995
  2.651042   0.000969
  2.659840   0.000984
  2.668637   0.000954
  2.677435   0.001050
  2.686232   0.001025
  2.695030   0.000960
  2.703828   0.001034
  2.712625   0.000934
  2.721423   0.000963
  2.730220   0.001010
  2.739018   0.000983
  2.747816   0.000942
  2.756613   0.000987
  2.765411   0.000926
  2.774208   0.000968
  2.783006   0.001032
  2.791804   0.001037
  2.800601   0.001040
  2.809399   0.001042
  2.818196   0.001050
  2.826994   0.001048
  2.835792   0.000949
  2.844589   0.000907
  2.853387   0.000921
  2.862184   0.000935
  2.870982   0.000949
  2.879780   0.000951
  2.888577   0.000994
  2.897375   0.000937
  2.906172   0.000933
  2.914970   0.000955
  2.923768   0.000969
  2.932565   0.001001
  2.941363   0.000956
  2.950160   0.000936
  2.958958   0.000908
  2.967756   0.000912
  2.976553   0.000916
  2.985351   0.000932
  2.994148   0.000920
  3.002946   0.000971
  3.011743   0.000952
  3.020541   0.000910
  3.029339   0.000931
  3.038136   0.000963
  3.046934   0.000963
  3.055731   0.001005
  3.064529   0.000948
  3.073327   0.000986
  3.082124   0.000975
  3.090922   0.000969
  3.099719   0.000967
  3.108517   0.000987
  3.117315   0.001029
  3.126112   0.001019
  3.134910   0.000983
  3.143707   0.001014
  3.152505   0.001048
  3.161303   0.001050
  3.170100   0.001043
  3.178898   0.000997
  3.187695   0.001050
  3.196493   0.001026
  3.205291   0.001043
  3.214088   0.001045
  3.222886   0.001025
  3.231683   0.001009
  3.240481   0.001040
  3.249279   0.001014
  3.258076   0.001015
  3.266874   0.001041
  3.275671   0.001047
  3.284469   0.001037
  3.293267   0.001010
  3.302064   0.001026
  3.310862   0.001003
  3.319659   0.001043
  3.328457   0.001050
  3.337255   0.001050
  3.346052   0.001049
  3.354850   0.001044
  3.363647   0.001040
  3.372445   0.001042
  3.381242   0.001017
  3.390040   0.001015
  3.398838   0.001035
  3.407635   0.001047
  3.416433   0.001039
  3.425230   0.001024
  3.434028   0.001021
  3.442826   0.001026
  3.451623   0.001024
  3.460421   0.001043
  3.469218   0.001050
  3.478016   0.001050
  3.486814   0.001025
  3.495611   0.001012
  3.504409   0.001024
  3.513206   0.001042
  3.522004   0.001023
  3.530802   0.001013
  3.539599   0.001013
  3.548397   0.001012
  3.557194   0.001015
  3.565992   0.001008
  3.574790   0.000979
  3.583587   0.001021
  3.592385   0.001034
  3.601182   0.001016
  3.609980   0.001030
  3.618778   0.001029
  3.627575   0.001018
  3.636373   0.001023
  3.645170   0.001038
  3.653968   0.001049
  3.662766   0.001038
  3.671563   0.001021
  3.680361   0.001013
  3.689158   0.000971
  3.697956   0.000959
  3.706754   0.001007
  3.715551   0.001011
  3.724349   0.001008
  3.733146   0.001013
  3.741944   0.001039
  3.750741   0.001049
  3.759539   0.001026
  3.768337   0.001023
  3.777134   0.001049
  3.785932   0.001025
  3.794729   0.000957
  3.803527   0.000937
  3.812325   0.000921
  3.821122   0.000913
  3.829920   0.000953
  3.838717   0.000962
  3.847515   0.000908
  3.856313   0.000928
  3.865110   0.001005
  3.873908   0.000990
  3.882705   0.000962
  3.891503   0.000938
  3.900301   0.000937
  3.909098   0.000961
  3.917896   0.000957
  3.926693   0.000943
  3.935491   0.000930
  3.944289   0.000924
  3.953086   0.000943
  3.961884   0.000949
  3.970681   0.000940
  3.979479   0.000954
  3.988277   0.000981
  3.997074   0.000995
  4.005872   0.001009
  4.014669   0.001015
  4.023467   0.000995
  4.032265   0.000940
  4.041062   0.000917
  4.049860   0.000929
  4.058657   0.000933
  4.067455   0.000930
  4.076253   0.000920
  4.085050   0.000908
  4.093848   0.000928
  4.102645   0.000961
  4.111443   0.000928
  4.120240   0.000888
  4.129038   0.000875
  4.137836   0.000867
  4.146633   0.000878
  4.155431   0.000891
  4.164228   0.000954
  4.173026   0.001011
  4.181824   0.000963
  4.190621   0.000993
  4.199419   0.000978
  4.208216   0.000975
  4.217014   0.000978
  4.225812   0.000996
  4.234609   0.000982
  4.243407   0.001050
  4.252204   0.001050
  4.261002   0.001050
  4.269800   0.001050
  4.278597   0.001050
  4.287395   0.001048
  4.296192   0.000985
  4.304990   0.000982
  4.313788   0.001007
  4.322585   0.001031
  4.331383   0.001048
  4.340180   0.001042
  4.348978   0.001003
  4.357776   0.000983
  4.366573   0.000980
  4.375371   0.000977
  4.384168   0.000966
  4.392966   0.000956
  4.401764   0.000963
  4.410561   0.000970
  4.419359   0.000990
  4.428156   0.001021
  4.436954   0.001025
  4.445752   0.001011
  4.454549   0.001019
  4.463347   0.001047
  4.472144   0.001050
  4.480942   0.001050
  4.489739   0.001049
  4.498537   0.001047
  4.507335   0.001044
  4.516132   0.001044
  4.524930   0.001045
  4.533727   0.001040
  4.542525   0.000973
  4.551323   0.000945
  4.560120   0.000949
  4.568918   0.000959
  4.577715   0.000957
  4.586513   0.000970
  4.595311   0.001000
  4.604108   0.000925
  4.612906   0.000891
  4.621703   0.000913
  4.630501   0.000982
  4.639299   0.001028
  4.648096   0.000950
  4.656894   0.000904
  4.665691   0.000888
  4.674489   0.000884
  4.683287   0.000889
  4.692084   0.000896
  4.700882   0.000918
  4.709679   0.000902
  4.718477   0.000889
  4.727275   0.000893
  4.736072   0.000930
  4.744870   0.001001
  4.753667   0.000961
  4.762465   0.000909
  4.771263   0.000884
  4.780060   0.000884
  4.788858   0.000922
  4.797655   0.000931
  4.806453   0.000916
  4.815251   0.000931
  4.824048   0.000917
  4.832846   0.000913
