# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.000760
  0.618798   0.000705
  0.627595   0.000802
  0.636393   0.000839
  0.645190   0.001020
  0.653988   0.000813
  0.662786   0.000802
  0.671583   0.000814
  0.680381   0.000772
  0.689178   0.000819
  0.697976   0.000863
  0.706774   0.000865
  0.715571   0.000893
  0.724369   0.000935
  0.733166   0.000964
  0.741964   0.000881
  0.750762   0.000845
  0.759559   0.000820
  0.768357   0.000806
  0.777154   0.000790
  0.785952   0.000905
  0.794749   0.000880
  0.803547   0.000947
  0.812345   0.001173
  0.821142   0.001182
  0.829940   0.000932
  0.838737   0.001037
  0.847535   0.001049
  0.856333   0.001055
  0.865130   0.001056
  0.873928   0.001083
  0.882725   0.001121
  0.891523   0.001356
  0.900321   0.001389
  0.909118   0.001181
  0.917916   0.001114
  0.926713   0.001062
  0.935511   0.001057
  0.944309   0.001146
  0.953106   0.001383
  0.961904   0.001099
  0.970701   0.001138
  0.979499   0.001225
  0.988297   0.001271
  0.997094   0.001180
  1.005892   0.001208
  1.014689   0.001193
  1.023487   0.001139
  1.032285   0.001163
  1.041082   0.001073
  1.049880   0.001040
  1.058677   0.001028
  1.067475   0.000977
  1.076273   0.000970
  1.085070   0.001009
  1.093868   0.001107
  1.102665   0.001109
  1.111463   0.001246
  1.120261   0.001440
  1.129058   0.001304
  1.137856   0.001406
  1.146653   0.001336
  1.155451   0.001564
  1.164248   0.001327
  1.173046   0.001477
  1.181844   0.001313
  1.190641   0.001370
  1.199439   0.001301
  1.208236   0.001225
  1.217034   0.001198
  1.225832   0.001123
  1.234629   0.001073
  1.243427   0.001022
  1.252224   0.000979
  1.261022   0.000969
  1.269820   0.000976
  1.278617   0.001005
  1.287415   0.001051
  1.296212   0.001166
  1.305010   0.001185
  1.313808   0.001239
  1.322605   0.001191
  1.331403   0.001339
  1.340200   0.001487
  1.348998   0.001505
  1.357796   0.001581
  1.366593   0.001353
  1.375391   0.001428
  1.384188   0.001443
  1.392986   0.001451
  1.401784   0.001488
  1.410581   0.001417
  1.419379   0.001575
  1.428176   0.001331
  1.436974   0.001529
  1.445772   0.001426
  1.454569   0.001512
  1.463367   0.001253
  1.472164   0.001424
  1.480962   0.001581
  1.489760   0.001480
  1.498557   0.001238
  1.507355   0.001562
  1.516152   0.001091
  1.524950   0.001099
  1.533747   0.001067
  1.542545   0.001315
  1.551343   0.001165
  1.560140   0.001080
  1.568938   0.001084
  1.577735   0.001142
  1.586533   0.001141
  1.595331   0.001112
  1.604128   0.001303
  1.612926   0.001338
  1.621723   0.001477
  1.630521   0.001444
  1.639319   0.001437
  1.648116   0.001400
  1.656914   0.001387
  1.665711   0.001420
  1.674509   0.001526
  1.683307   0.001492
  1.692104   0.001450
  1.700902   0.001474
  1.709699   0.001463
  1.718497   0.001439
  1.727295   0.001512
  1.736092   0.001532
  1.744890   0.001447
  1.753687   0.001556
  1.762485   0.001527
  1.771283   0.001437
  1.780080   0.001475
  1.788878   0.001490
  1.797675   0.001461
  1.806473   0.001381
  1.815271   0.001363
  1.824068   0.001499
  1.832866   0.001521
  1.841663   0.001318
  1.850461   0.001468
  1.859259   0.001358
  1.868056   0.001322
  1.876854   0.001323
  1.885651   0.001268
  1.894449   0.001557
  1.903246   0.001187
  1.912044   0.001294
  1.920842   0.001581
  1.929639   0.001336
  1.938437   0.001172
  1.947234   0.001459
  1.956032   0.001247
  1.964830   0.001328
  1.973627   0.001433
  1.982425   0.001243
  1.991222   0.001277
  2.000020   0.001315
  2.008818   0.001479
  2.017615   0.001570
  2.026413   0.001449
  2.035210   0.001316
  2.044008   0.001313
  2.052806   0.001395
  2.061603   0.001211
  2.070401   0.001407
  2.079198   0.001264
  2.087996   0.001414
  2.096794   0.001244
  2.105591   0.001321
  2.114389   0.001392
  2.123186   0.001341
  2.131984   0.001458
  2.140782   0.001280
  2.149579   0.001311
  2.158377   0.001442
  2.167174   0.001396
  2.175972   0.001353
  2.184770   0.001350
  2.193567   0.001529
  2.202365   0.001537
  2.211162   0.001489
  2.219960   0.001509
  2.228758   0.001528
  2.237555   0.001428
  2.246353   0.001537
  2.255150   0.001567
  2.263948   0.001573
  2.272745   0.001559
  2.281543   0.001569
  2.290341   0.001576
  2.299138   0.001581
  2.307936   0.001555
  2.316733   0.001581
  2.325531   0.001570
  2.334329   0.001581
  2.343126   0.001573
  2.351924   0.001581
  2.360721   0.001579
  2.369519   0.001562
  2.378317   0.001560
  2.387114   0.001531
  2.395912   0.001562
  2.404709   0.001568
  2.413507   0.001562
  2.422305   0.001534
  2.431102   0.001580
  2.439900   0.001531
  2.448697   0.001568
  2.457495   0.001581
  2.466293   0.001547
  2.475090   0.001496
  2.483888   0.001482
  2.492685   0.001550
  2.501483   0.001435
  2.510281   0.001438
  2.519078   0.001381
  2.527876   0.001389
  2.536673   0.001433
  2.545471   0.001360
  2.554269   0.001444
  2.563066   0.001581
  2.571864   0.001408
  2.580661   0.001439
  2.589459   0.001392
  2.598257   0.001580
  2.607054   0.001355
  2.615852   0.001436
  2.624649   0.001493
  2.633447   0.001581
  2.642244   0.001541
  2.651042   0.001418
  2.659840   0.001454
  2.668637   0.001390
  2.677435   0.001581
  2.686232   0.001573
  2.695030   0.001312
  2.703828   0.001574
  2.712625   0.001260
  2.721423   0.001380
  2.730220   0.001472
  2.739018   0.001490
  2.747816   0.001432
  2.756613   0.001479
  2.765411   0.001326
  2.774208   0.001571
  2.783006   0.001568
  2.791804   0.001578
  2.800601   0.001579
  2.809399   0.001580
  2.818196   0.001581
  2.826994   0.001581
  2.835792   0.001449
  2.844589   0.001354
  2.853387   0.001337
  2.862184   0.001269
  2.870982   0.001563
  2.879780   0.001519
  2.888577   0.001543
  2.897375   0.001418
  2.906172   0.001382
  2.914970   0.001461
  2.923768   0.001556
  2.932565   0.001565
  2.941363   0.001422
  2.950160   0.001426
  2.958958   0.001317
  2.967756   0.001277
  2.976553   0.001257
  2.985351   0.001278
  2.994148   0.001284
  3.002946   0.001446
  3.011743   0.001413
  3.020541   0.001341
  3.029339   0.001408
  3.038136   0.001419
  3.046934   0.001543
  3.055731   0.001473
  3.064529   0.001466
  3.073327   0.001560
  3.082124   0.001549
  3.090922   0.001540
  3.099719   0.001540
  3.108517   0.001536
  3.117315   0.001580
  3.126112   0.001578
  3.134910   0.001557
  3.143707   0.001564
  3.152505   0.001580
  3.161303   0.001581
  3.170100   0.001579
  3.178898   0.001552
  3.187695   0.001581
  3.196493   0.001571
  3.205291   0.001581
  3.214088   0.001581
  3.222886   0.001579
  3.231683   0.001567
  3.240481   0.001578
  3.249279   0.001566
  3.258076   0.001566
  3.266874   0.001580
  3.275671   0.001581
  3.284469   0.001580
  3.293267   0.001558
  3.302064   0.001575
  3.310862   0.001512
  3.319659   0.001579
  3.328457   0.001581
  3.337255   0.001581
  3.346052   0.001581
  3.354850   0.001581
  3.363647   0.001581
  3.372445   0.001581
  3.381242   0.001573
  3.390040   0.001566
  3.398838   0.001579
  3.407635   0.001581
  3.416433   0.001581
  3.425230   0.001576
  3.434028   0.001572
  3.442826   0.001573
  3.451623   0.001575
  3.460421   0.001581
  3.469218   0.001581
  3.478016   0.001581
  3.486814   0.001568
  3.495611   0.001556
  3.504409   0.001566
  3.513206   0.001578
  3.522004   0.001574
  3.530802   0.001572
  3.539599   0.001572
  3.548397   0.001566
  3.557194   0.001572
  3.565992   0.001570
  3.574790   0.001526
  3.583587   0.001574
  3.592385   0.001578
  3.601182   0.001547
  3.609980   0.001563
  3.618778   0.001566
  3.627575   0.001558
  3.636373   0.001565
  3.645170   0.001574
  3.653968   0.001580
  3.662766   0.001573
  3.671563   0.001557
  3.680361   0.001534
  3.689158   0.001479
  3.697956   0.001463
  3.706754   0.001526
  3.715551   0.001540
  3.724349   0.001546
  3.733146   0.001555
  3.741944   0.001570
  3.750741   0.001578
  3.759539   0.001560
  3.768337   0.001563
  3.777134   0.001580
  3.785932   0.001550
  3.794729   0.001437
  3.803527   0.001392
  3.812325   0.001361
  3.821122   0.001370
