# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.000567
  0.618798   0.000557
  0.627595   0.000575
  0.636393   0.000581
  0.645190   0.000610
  0.653988   0.000575
  0.662786   0.000576
  0.671583   0.000581
  0.680381   0.000574
  0.689178   0.000575
  0.697976   0.000588
  0.706774   0.000585
  0.715571   0.000590
  0.724369   0.000601
  0.733166   0.000601
  0.741964   0.000590
  0.750762   0.000593
  0.759559   0.000591
  0.768357   0.000587
  0.777154   0.000584
  0.785952   0.000593
  0.794749   0.000591
  0.803547   0.000601
  0.812345   0.000636
  0.821142   0.000634
  0.829940   0.000601
  0.838737   0.000614
  0.847535   0.000616
  0.856333   0.000620
  0.865130   0.000621
  0.873928   0.000621
  0.882725   0.000628
  0.891523   0.000652
  0.900321   0.000662
  0.909118   0.000630
  0.917916   0.000627
  0.926713   0.000625
  0.935511   0.000625
  0.944309   0.000638
  0.953106   0.000665
  0.961904   0.000628
  0.970701   0.000635
  0.979499   0.000648
  0.988297   0.000655
  0.997094   0.000636
  1.005892   0.000636
  1.014689   0.000637
  1.023487   0.000628
  1.032285   0.000634
  1.041082   0.000620
  1.049880   0.000618
  1.058677   0.000616
  1.067475   0.000614
  1.076273   0.000613
  1.085070   0.000620
  1.093868   0.000637
  1.102665   0.000634
  1.111463   0.000655
  1.120261   0.000666
  1.129058   0.000657
  1.137856   0.000678
  1.146653   0.000660
  1.155451   0.000692
  1.164248   0.000655
  1.173046   0.000669
  1.181844   0.000655
  1.190641   0.000664
  1.199439   0.000651
  1.208236   0.000643
  1.217034   0.000648
  1.225832   0.000637
  1.234629   0.000629
  1.243427   0.000627
  1.252224   0.000616
  1.261022   0.000616
  1.269820   0.000615
  1.278617   0.000621
  1.287415   0.000624
  1.296212   0.000638
  1.305010   0.000640
  1.313808   0.000650
  1.322605   0.000643
  1.331403   0.000660
  1.340200   0.000682
  1.348998   0.000691
  1.357796   0.000704
  1.366593   0.000671
  1.375391   0.000669
  1.384188   0.000673
  1.392986   0.000675
  1.401784   0.000679
  1.410581   0.000667
  1.419379   0.000696
  1.428176   0.000659
  1.436974   0.000696
  1.445772   0.000672
  1.454569   0.000691
  1.463367   0.000654
  1.472164   0.000682
  1.480962   0.000704
  1.489760   0.000683
  1.498557   0.000667
  1.507355   0.000698
  1.516152   0.000638
  1.524950   0.000633
  1.533747   0.000634
  1.542545   0.000660
  1.551343   0.000649
  1.560140   0.000632
  1.568938   0.000635
  1.577735   0.000644
  1.586533   0.000646
  1.595331   0.000641
  1.604128   0.000660
  1.612926   0.000663
  1.621723   0.000680
  1.630521   0.000675
  1.639319   0.000674
  1.648116   0.000669
  1.656914   0.000667
  1.665711   0.000670
  1.674509   0.000686
  1.683307   0.000679
  1.692104   0.000675
  1.700902   0.000676
  1.709699   0.000674
  1.718497   0.000671
  1.727295   0.000677
  1.736092   0.000684
  1.744890   0.000675
  1.753687   0.000688
  1.762485   0.000679
  1.771283   0.000669
  1.780080   0.000690
  1.788878   0.000690
  1.797675   0.000673
  1.806473   0.000666
  1.815271   0.000664
  1.824068   0.000694
  1.832866   0.000698
  1.841663   0.000670
  1.850461   0.000682
  1.859259   0.000667
  1.868056   0.000667
  1.876854   0.000664
  1.885651   0.000655
  1.894449   0.000702
  1.903246   0.000646
  1.912044   0.000659
  1.920842   0.000705
  1.929639   0.000676
  1.938437   0.000644
  1.947234   0.000689
  1.956032   0.000657
  1.964830   0.000673
  1.973627   0.000688
  1.982425   0.000656
  1.991222   0.000667
  2.000020   0.000666
  2.008818   0.000686
  2.017615   0.000696
  2.026413   0.000681
  2.035210   0.000665
  2.044008   0.000676
  2.052806   0.000679
  2.061603   0.000661
  2.070401   0.000678
  2.079198   0.000664
  2.087996   0.000680
  2.096794   0.000653
  2.105591   0.000662
  2.114389   0.000676
  2.123186   0.000667
  2.131984   0.000672
  2.140782   0.000663
  2.149579   0.000667
  2.158377   0.000674
  2.167174   0.000674
  2.175972   0.000671
  2.184770   0.000670
  2.193567   0.000691
  2.202365   0.000689
  2.211162   0.000686
  2.219960   0.000687
  2.228758   0.000691
  2.237555   0.000682
  2.246353   0.000693
  2.255150   0.000696
  2.263948   0.000699
  2.272745   0.000694
  2.281543   0.000696
  2.290341   0.000698
  2.299138   0.000703
  2.307936   0.000695
  2.316733   0.000702
  2.325531   0.000698
  2.334329   0.000703
  2.343126   0.000699
  2.351924   0.000702
  2.360721   0.000700
  2.369519   0.000695
  2.378317   0.000696
  2.387114   0.000693
  2.395912   0.000696
  2.404709   0.000698
  2.413507   0.000695
  2.422305   0.000693
  2.431102   0.000701
  2.439900   0.000689
  2.448697   0.000702
  2.457495   0.000704
  2.466293   0.000691
  2.475090   0.000687
  2.483888   0.000687
  2.492685   0.000692
  2.501483   0.000682
  2.510281   0.000684
  2.519078   0.000676
  2.527876   0.000675
  2.536673   0.000684
  2.545471   0.000683
  2.554269   0.000678
  2.563066   0.000705
  2.571864   0.000678
  2.580661   0.000677
  2.589459   0.000677
  2.598257   0.000704
  2.607054   0.000673
  2.615852   0.000677
  2.624649   0.000687
  2.633447   0.000705
  2.642244   0.000697
  2.651042   0.000688
  2.659840   0.000691
  2.668637   0.000686
  2.677435   0.000705
  2.686232   0.000702
  2.695030   0.000685
  2.703828   0.000704
  2.712625   0.000675
  2.721423   0.000686
  2.730220   0.000692
  2.739018   0.000695
  2.747816   0.000692
  2.756613   0.000692
  2.765411   0.000683
  2.774208   0.000703
  2.783006   0.000698
  2.791804   0.000702
  2.800601   0.000702
  2.809399   0.000704
  2.818196   0.000705
  2.826994   0.000705
  2.835792   0.000692
  2.844589   0.000685
  2.853387   0.000678
  2.862184   0.000676
  2.870982   0.000703
  2.879780   0.000700
  2.888577   0.000699
  2.897375   0.000688
  2.906172   0.000685
  2.914970   0.000694
  2.923768   0.000703
  2.932565   0.000702
  2.941363   0.000689
  2.950160   0.000691
  2.958958   0.000678
  2.967756   0.000672
  2.976553   0.000674
  2.985351   0.000672
  2.994148   0.000667
  3.002946   0.000680
  3.011743   0.000680
  3.020541   0.000680
  3.029339   0.000687
  3.038136   0.000685
  3.046934   0.000700
  3.055731   0.000693
  3.064529   0.000691
  3.073327   0.000703
  3.082124   0.000703
  3.090922   0.000701
  3.099719   0.000701
  3.108517   0.000699
  3.117315   0.000704
  3.126112   0.000704
  3.134910   0.000702
  3.143707   0.000702
  3.152505   0.000704
  3.161303   0.000704
  3.170100   0.000704
  3.178898   0.000701
  3.187695   0.000704
  3.196493   0.000702
  3.205291   0.000705
  3.214088   0.000705
  3.222886   0.000704
  3.231683   0.000702
  3.240481   0.000703
  3.249279   0.000702
  3.258076   0.000701
  3.266874   0.000704
  3.275671   0.000705
  3.284469   0.000704
  3.293267   0.000700
  3.302064   0.000703
  3.310862   0.000703
  3.319659   0.000705
  3.328457   0.000705
  3.337255   0.000705
  3.346052   0.000705
  3.354850   0.000705
  3.363647   0.000704
  3.372445   0.000704
  3.381242   0.000703
  3.390040   0.000701
  3.398838   0.000704
  3.407635   0.000705
  3.416433   0.000704
  3.425230   0.000703
  3.434028   0.000703
  3.442826   0.000703
  3.451623   0.000703
  3.460421   0.000704
  3.469218   0.000705
  3.478016   0.000705
  3.486814   0.000701
  3.495611   0.000699
  3.504409   0.000700
  3.513206   0.000702
  3.522004   0.000702
  3.530802   0.000703
  3.539599   0.000703
  3.548397   0.000701
  3.557194   0.000702
  3.565992   0.000703
  3.574790   0.000698
  3.583587   0.000703
  3.592385   0.000704
  3.601182   0.000698
  3.609980   0.000699
  3.618778   0.000700
  3.627575   0.000700
  3.636373   0.000699
  3.645170   0.000700
  3.653968   0.000701
  3.662766   0.000699
  3.671563   0.000696
  3.680361   0.000691
  3.689158   0.000688
  3.697956   0.000688
  3.706754   0.000692
  3.715551   0.000696
  3.724349   0.000698
  3.733146   0.000697
  3.741944   0.000697
  3.750741   0.000696
  3.759539   0.000696
  3.768337   0.000697
  3.777134   0.000699
  3.785932   0.000692
  3.794729   0.000683
  3.803527   0.000680
  3.812325   0.000678
  3.821122   0.000681
  3.829920   0.000685
  3.838717   0.000686
  3.847515   0.000679
  3.856313   0.000680
  3.865110   0.000685
  3.873908   0.000682
  3.882705   0.000679
  3.891503   0.000678
  3.900301   0.000679
  3.909098   0.000680
  3.917896   0.000677
  3.926693   0.000672
  3.935491   0.000669
  3.944289   0.000669
  3.953086   0.000674
  3.961884   0.000676
  3.970681   0.000673
  3.979479   0.000677
  3.988277   0.000684
  3.997074   0.000688
  4.005872   0.000691
  4.014669   0.000690
  4.023467   0.000685
  4.032265   0.000671
  4.041062   0.000665
  4.049860   0.000670
  4.058657   0.000671
  4.067455   0.000670
  4.076253   0.000667
  4.085050   0.000663
  4.093848   0.000666
  4.102645   0.000670
  4.111443   0.000667
  4.120240   0.000664
  4.129038   0.000657
  4.137836   0.000651
  4.146633   0.000653
  4.155431   0.000657
  4.164228   0.000669
  4.173026   0.000680
  4.181824   0.000674
  4.190621   0.000676
  4.199419   0.000684
  4.208216   0.000694
  4.217014   0.000679
  4.225812   0.000669
  4.234609   0.000669
  4.243407   0.000705
  4.252204   0.000704
  4.261002   0.000705
  4.269800   0.000705
  4.278597   0.000705
  4.287395   0.000705
  4.296192   0.000705
  4.304990   0.000705
  4.313788   0.000705
  4.322585   0.000705
  4.331383   0.000705
  4.340180   0.000705
  4.348978   0.000705
  4.357776   0.000705
  4.366573   0.000705
  4.375371   0.000705
  4.384168   0.000705
  4.392966   0.000704
  4.401764   0.000704
  4.410561   0.000703
  4.419359   0.000704
  4.428156   0.000705
  4.436954   0.000705
  4.445752   0.000705
  4.454549   0.000705
  4.463347   0.000705
  4.472144   0.000705
  4.480942   0.000705
  4.489739   0.000705
  4.498537   0.000705
  4.507335   0.000705
  4.516132   0.000705
  4.524930   0.000705
  4.533727   0.000705
  4.542525   0.000704
  4.551323   0.000702
  4.560120   0.000698
  4.568918   0.000692
  4.577715   0.000690
  4.586513   0.000693
  4.595311   0.000695
  4.604108   0.000688
  4.612906   0.000680
  4.621703   0.000680
  4.630501   0.000689
  4.639299   0.000699
  4.648096   0.000684
  4.656894   0.000683
  4.665691   0.000679
  4.674489   0.000676
  4.683287   0.000674
  4.692084   0.000678
  4.700882   0.000682
  4.709679   0.000672
  4.718477   0.000660
  4.727275   0.000656
  4.736072   0.000672
  4.744870   0.000688
  4.753667   0.000680
  4.762465   0.000667
  4.771263   0.000667
  4.780060   0.000660
  4.788858   0.000654
  4.797655   0.000660
  4.806453   0.000675
  4.815251   0.000691
  4.824048   0.000675
  4.832846   0.000661
  4.841643   0.000653
  4.850441   0.000661
  4.859238   0.000671
  4.868036   0.000677
  4.876834   0.000688
  4.885631   0.000699
  4.894429   0.000673
  4.903226   0.000689
  4.912024   0.000699
  4.920822   0.000684
  4.929619   0.000663
  4.938417   0.000651
  4.947214   0.000653
  4.956012   0.000680
  4.964810   0.000668
  4.973607   0.000663
  4.982405   0.000683
  4.991202   0.000676
  5.000000   0.000666
